"gene"	"Young.Resolving-Mac.D4_1"	"Young.Resolving-Mac.D4_3"	"Young.Inflammatory-Mac.D4_1"	"Young.Resolving-Mac.D4_2"	"Young.Inflammatory-Mac.D4_3"	"Young.Inflammatory-Mac.D4_2"	"Young.FAPs.D4_1"	"Young.FAPs.D4_2"	"Young.FAPs.D4_3"	"Young.MuSCs.D4_2"	"Young.MuSCs.D4_3"	"Young.MuSCs.D4_1"	"Young.ECs.D4_2"	"Young.ECs.D4_3"	"Young.ECs.D4_1"
"ENSMUSG00000000247"	0	0	0	0.047304	0	0	0.933033	0.524715	0.393075	0	0.971567	0.468319	0	0	0
"ENSMUSG00000000817"	0	0	0	0	0	0	0.895434	0	0	0	0	0	0	0.335633	0
"ENSMUSG00000000889"	0	0	0	0	0	0	0	0.722142	0.124209	0	0.179845	0	0	0	0
"ENSMUSG00000001138"	6.354333	4.868378	3.946667	1.468472	3.484811	3.112973	5.642582	4.372816	4.915367	2.290014	3.75932	2.589177	10.502214	5.655385	5.15972
"ENSMUSG00000001143"	5.576146	4.932487	4.986794	5.906723	4.040059	6.515332	3.298679	2.475434	2.89352	2.327317	4.372855	1.212386	1.440552	3.861313	4.143735
"ENSMUSG00000001305"	2.670419	4.237005	4.629127	4.566671	5.444991	6.261695	3.897876	3.123611	7.880485	1.545979	4.548839	5.434795	4.263174	2.917342	1.770228
"ENSMUSG00000001674"	7.507162	12.471679	10.012057	16.186846	13.941445	15.949035	13.331397	13.609932	13.150853	4.654145	14.427687	15.987142	10.391813	11.150972	7.596925
"ENSMUSG00000001855"	12.282603	13.753358	12.728474	11.361805	13.094644	14.053628	10.044291	9.555837	7.991948	4.232571	10.657692	6.321938	11.776384	11.156721	9.95249
"ENSMUSG00000002459"	0	0.406672	0.255598	0	0.623253	0	1.481811	1.74915	2.032212	0.454741	2.311961	0.286068	0	1.040909	0.787572
"ENSMUSG00000002546"	8.195245	9.296389	8.200965	8.673473	15.177661	9.714734	21.710056	27.377127	22.675814	5.360534	9.550706	3.09497	10.500566	11.19362	13.936996
"ENSMUSG00000002550"	3.544199	5.697675	3.08887	5.283004	3.796688	4.845521	7.035685	7.152367	6.934247	2.262343	4.134791	3.316112	3.197966	4.522549	7.060397
"ENSMUSG00000002881"	17.933401	23.308628	20.352102	43.806728	21.696192	22.935257	16.436712	12.242752	15.396597	6.113614	13.815737	8.131124	19.538565	20.427309	13.160892
"ENSMUSG00000003135"	11.066688	11.471161	8.170948	17.62657	10.377448	12.546334	5.833146	6.867465	7.011384	2.199134	10.032464	4.303227	9.776334	5.567286	5.953172
"ENSMUSG00000003418"	0	0	0	0	0.157373	0	0	0	0	0.094673	0	0.037278	7.322758	6.155126	3.027436
"ENSMUSG00000003458"	50.080898	49.805882	35.776829	37.868561	46.914898	47.303658	30.619244	36.364544	33.111706	6.595658	17.079601	7.382492	26.908798	23.340349	23.118364
"ENSMUSG00000003464"	7.245713	7.773901	7.267973	7.786392	7.646656	6.901124	11.265135	12.296823	13.634972	5.93717	12.49164	5.04265	12.791401	5.577384	9.734196
"ENSMUSG00000003721"	4.967832	5.985105	7.032454	4.144966	6.513043	7.083714	9.956508	12.784089	12.862685	3.822457	9.091282	3.33467	10.927098	4.99836	6.282135
"ENSMUSG00000004031"	0	0	0	0	0	0	0	0.084727	0	0	0	0.194989	0	0	0
"ENSMUSG00000004105"	4.092002	5.799957	4.725511	4.176217	5.68704	6.005248	68.093529	59.492126	66.841454	6.437553	19.747103	13.90255	0.861839	3.521033	7.631556
"ENSMUSG00000004110"	0	0	0	0	0	0	0	0	0	0	0	0	0	0.060479	0
"ENSMUSG00000004364"	27.068756	40.176865	31.898836	45.675335	37.847511	42.688869	28.190632	31.130577	30.295555	10.25926	30.674673	16.045477	25.551281	27.873014	23.798939
"ENSMUSG00000004552"	2.082046	3.120551	1.73551	4.159305	2.419321	2.669372	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004707"	47.382904	44.695873	35.474464	18.979156	41.10376	41.293865	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004709"	9.199808	2.701571	2.272621	21.260185	1.705174	3.442276	0	0	0	0	0	0	0	0	0
"ENSMUSG00000004872"	0	0	0	0	0	0	0	0	0	0.390727	0.974885	0.24077	0	0	0
"ENSMUSG00000004880"	10.808299	11.025234	9.232218	34.686909	13.922454	10.534371	8.554877	7.557162	10.615582	4.281636	17.977818	15.202048	40.286926	43.169399	29.416708
"ENSMUSG00000005338"	0	0	0	0.199648	0	0	1.384544	4.213244	2.431216	0.678437	1.938813	0.515637	5.407831	11.937599	6.649587
"ENSMUSG00000005339"	0	0	0	0	0	0.303477	0	0	0	0	0	0	0	0	0
"ENSMUSG00000005501"	14.230235	11.658237	10.611529	15.004825	10.156224	13.047197	12.942146	14.049755	14.361561	5.888329	13.554373	4.635678	8.910395	12.00708	9.060676
"ENSMUSG00000005674"	2.288166	1.848202	1.307025	2.243427	2.955693	2.588654	0.556384	0	0.305833	0.369174	1.084438	0.726283	3.197196	1.155897	0.541975
"ENSMUSG00000005677"	2.470349	2.376118	2.325608	1.508667	2.897079	2.938722	0.90899	0.851282	1.182284	0.329945	1.282597	0.649843	4.396227	2.850147	1.049913
"ENSMUSG00000005681"	2.756155	0.741149	1.178256	1.884917	1.000739	0.489305	0	0	0.192503	0	0	0	0	0.647484	0.789165
"ENSMUSG00000005763"	0.111058	0.244096	0	0.123283	0.761111	0.380866	0	0.111743	0.216832	0.2379	0.291946	0	2.846435	5.981253	7.131895
"ENSMUSG00000005886"	20.947289	23.002712	19.669285	18.327534	21.100615	21.050501	16.873255	19.114941	17.126762	5.595492	13.984978	4.131495	12.946108	19.030569	13.536207
"ENSMUSG00000006007"	0.027619	0	0	0.0012	0.016754	0	0	0	0	0.029049	0	0	0	0	0
"ENSMUSG00000006010"	9.191208	11.311547	9.098277	5.861998	9.672463	9.91952	14.06165	15.487823	16.425394	3.150982	5.858669	2.416733	7.299498	8.472528	9.849224
"ENSMUSG00000006299"	12.49432	14.613056	17.651407	18.69153	18.246778	19.561954	15.217698	12.753638	16.524569	5.423666	12.703377	5.313874	11.876854	12.053763	10.295416
"ENSMUSG00000006301"	16.46961	8.969997	18.443064	9.803869	13.439509	16.946167	10.880251	8.848497	12.832745	5.193541	12.003553	4.676321	14.232438	20.555492	15.884659
"ENSMUSG00000006412"	1.81832	3.481709	4.518335	2.193901	2.609541	3.213582	1.753746	2.515864	1.360349	0.757874	2.712644	1.206377	0.341664	2.396306	0.405478
"ENSMUSG00000006469"	0	0	0	0	0	0	0	0	0	0.039368	0	0	0	0	0
"ENSMUSG00000006471"	4.351979	7.71581	3.88693	3.185387	4.397414	5.965375	6.245696	4.187364	3.614576	0.511059	3.520382	0.940721	4.085034	2.836216	3.249435
"ENSMUSG00000006538"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000006542"	0	0	0	0	0	0	0	0	0.075375	0.439084	1.974719	0.300829	0	0.070612	0
"ENSMUSG00000006546"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENSMUSG00000006576"	0	0.035735	0.010348	0	0	0	4.054706	3.942132	4.620833	1.44163	2.912779	0.807587	0	0.224661	0.204206
"ENSMUSG00000007097"	0	0	0	0	0.029909	0	0.473298	0.644103	0.99232	1.678926	3.864163	2.607233	0	1.501082	0.188396
"ENSMUSG00000007107"	0	0	0	0	0	0	0.635502	0.691741	0.481309	0.140135	0.276962	0.058002	0.491782	0	0
"ENSMUSG00000008136"	0	0	0	0	0.159541	0	22.626038	19.312279	25.761148	0.550782	1.684591	0.605827	2.090812	0.350894	3.460325
"ENSMUSG00000008475"	100.686501	150.44696	137.947083	174.699432	154.155563	156.194077	52.354942	51.446049	48.284351	6.391205	20.190351	12.124385	60.051964	40.085045	36.295963
"ENSMUSG00000009030"	7.795418	9.572858	10.308785	5.877713	8.717503	10.259892	5.799657	5.599077	5.249449	1.840687	6.160431	2.878651	7.365384	6.886774	9.259641
"ENSMUSG00000009214"	0	0	0	0	0	0	0	0	0	6.597752	34.921165	2.416144	0	1.241227	0.822126
"ENSMUSG00000009216"	0	0	0	0	0	0	0.280646	0.055349	0	0	0.120427	0	0	0	0
"ENSMUSG00000009418"	18.928938	20.163464	21.701719	15.268434	25.033773	25.496744	43.972725	42.330528	44.510025	10.438401	19.036186	2.45282	52.142872	56.182518	39.971622
"ENSMUSG00000009551"	0.27289	1.235052	1.093743	1.083046	0.321811	0.829391	0	1.039809	0.639842	0	0	0.275932	9.194616	8.750383	6.508416
"ENSMUSG00000009563"	5.956201	9.987144	8.917642	5.546111	11.740917	12.324329	8.211444	9.125556	10.023228	1.297476	3.923183	2.013529	8.277218	10.108294	8.071554
"ENSMUSG00000009614"	0.178597	0	0	0	0	0	5.386667	4.473377	4.497774	0.75313	1.29505	0.291081	1.218598	0.719772	2.306377
"ENSMUSG00000009633"	0	0	0.479953	1.620644	0	0	3.779691	4.747808	3.983181	1.159343	4.357914	2.081733	0	0.325494	0.907685
"ENSMUSG00000009772"	25.026838	18.598127	15.160513	39.125641	15.390298	17.819586	4.596961	7.252482	5.144226	0.23712	0.748985	0.358854	1.556372	1.960275	3.342132
"ENSMUSG00000009905"	2.925221	3.901093	2.831375	2.514321	3.310302	3.229097	5.39276	4.843785	5.253775	1.440901	2.695049	1.461565	6.006971	6.776323	5.698149
"ENSMUSG00000009907"	25.794569	34.928944	26.222054	27.79644	34.513477	32.204407	10.545757	13.561569	12.812276	4.567499	10.678087	4.859618	12.543279	14.370425	14.173485
"ENSMUSG00000010175"	0	0	0	0	0	0	0.695154	0.584477	0.567998	7.170227	10.844007	1.246192	0.487469	1.29401	0.990498
"ENSMUSG00000010290"	2.83034	2.551379	2.438582	0	2.433741	2.45544	4.817309	4.433105	4.823795	1.404955	3.788213	2.106322	1.657636	2.859848	2.662403
"ENSMUSG00000010311"	0	0	0	0	0	0	2.943981	1.951818	1.865062	0.048415	0.462247	0	0.941857	0.386735	0
"ENSMUSG00000010453"	7.27537	7.257721	5.913521	9.299361	8.201887	7.006405	9.396094	9.262074	8.473285	3.851614	10.269976	4.56834	7.524538	14.682902	11.043079
"ENSMUSG00000010609"	11.441295	19.927805	13.575583	9.939251	12.227283	16.178705	4.872595	4.383585	3.754513	0.790102	1.338491	0.470859	5.433244	4.917423	6.007561
"ENSMUSG00000012187"	0	0	0	0	0	0	0	0	0	0	0	0.201833	0	0	0
"ENSMUSG00000013275"	3.977741	1.667461	2.165486	2.852266	1.257849	1.881937	7.984186	6.782132	7.651058	2.071938	3.195297	1.869929	4.947089	6.660164	3.479942
"ENSMUSG00000013465"	5.862897	8.768584	9.441885	5.795826	7.067484	9.025026	18.33849	15.198799	21.681709	3.228811	7.221585	4.002431	20.859829	13.131694	14.44984
"ENSMUSG00000013698"	48.588322	26.785683	21.215975	11.682139	21.547426	25.055107	28.028149	38.060322	28.388107	7.068004	20.613525	11.060539	49.373329	52.021324	40.22406
