Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Fgf23,Fgfr4,MuSCs,0.6666666666666666,1.5970417061044542,1.0,1.0,1367.166211789124,0.9888797160269048,2183.421459404066,0.9888797160269048
MuSCs,Wnt7b,Fzd10,MuSCs,0.6666666666666666,2.176621897535147,1.0,0.6666666666666666,5.046740315368467,0.8335639720243323,10.98484548160444,0.8335639720243323
MuSCs,Epo,Crlf3,MuSCs,0.3333333333333333,0.3239649943755903,1.0,1.0,302.8746087243503,0.4826123669881958,98.12077091189327,0.4826123669881958
MuSCs,Ccl4,Ccr5,MuSCs,0.3333333333333333,2.113351078937453,1.0,0.6666666666666666,3.831881272227304,0.4744487730457749,8.098110421021794,0.4744487730457749
MuSCs,Fgf23,Kl,MuSCs,0.6666666666666666,1.5970417061044542,1.0,1.0,10.05805914227913,0.4598711574333272,16.06313993268496,0.4598711574333272
MuSCs,Fgf23,Fgfr1,MuSCs,0.6666666666666666,1.5970417061044542,1.0,1.0,3232.160456292853,0.4494253930645628,5161.895049521288,0.4494253930645628
MuSCs,Tff2,Cxcr4,MuSCs,0.3333333333333333,1.204726914408377,1.0,1.0,435.2848956356691,0.3953409901870361,524.3994292077318,0.3953409901870361
MuSCs,Wnt7b,Fzd1,MuSCs,0.6666666666666666,2.176621897535147,1.0,1.0,379.44348806473295,0.375904042275351,825.9050049988141,0.375904042275351
MuSCs,Wnt7b,Fzd8,MuSCs,0.6666666666666666,2.176621897535147,1.0,1.0,474.6103760929287,0.3155300195800317,1033.04733740126,0.3155300195800317
MuSCs,Fgf15,Fgfr4,MuSCs,0.3333333333333333,0.301181728602094,0.3120760172703594,1.0,1367.166211789124,0.9888797160269048,411.7654829530249,0.3086056433371204
MuSCs,Wnt7b,Fzd4,MuSCs,0.6666666666666666,2.176621897535147,1.0,1.0,3045.290710706097,0.3005356708487023,6628.446445283261,0.3005356708487023
MuSCs,Ccl24,Ccr2,MuSCs,0.3333333333333333,0.8453404315749801,1.0,0.6666666666666666,3.6774644761792232,0.2499140530160804,3.1087094073950023,0.2499140530160804
MuSCs,Wnt7b,Fzd5,MuSCs,0.6666666666666666,2.176621897535147,1.0,1.0,206.875442841857,0.2318799252447943,450.2896189518666,0.2318799252447943
MuSCs,Gnai2,Oprm1,MuSCs,1.0,1329.8284065641099,0.208376016899655,0.6666666666666666,3.74074820913332,1.0,4974.5532303093105,0.208376016899655
MuSCs,Areg,Erbb3,MuSCs,0.3333333333333333,0.301181728602094,0.2322059844515691,1.0,524.1916128700401,0.888042793587595,157.87693608291832,0.2062088511201291
MuSCs,Wnt7b,Lrp5,MuSCs,0.6666666666666666,2.176621897535147,1.0,1.0,795.4321526392656,0.1851091030083963,1731.3550414381452,0.1851091030083963
MuSCs,Fgf23,Fgfr2,MuSCs,0.6666666666666666,1.5970417061044542,1.0,1.0,18.53166092467474,0.1725592496893912,29.59583538009178,0.1725592496893912
MuSCs,Pth2,Pth2r,MuSCs,0.3333333333333333,0.301181728602094,0.2256887283892197,1.0,17.88879700028997,0.7475219685873274,5.387778803159285,0.1687072825334801
MuSCs,Cd200,Cd200r1,MuSCs,1.0,945.2453276024464,0.1680805146226964,0.3333333333333333,0.6479299887511799,1.0,612.4527944805584,0.1680805146226964
MuSCs,Cd200r1,Cd200,MuSCs,0.3333333333333333,0.6479299887511799,1.0,1.0,945.2453276024464,0.1680805146226964,612.4527944805584,0.1680805146226964
MuSCs,Epo,Epor,MuSCs,0.3333333333333333,0.3239649943755903,1.0,1.0,3.143450816295527,0.1433440766628648,1.018368026021125,0.1433440766628648
MuSCs,Wnt9a,Fzd10,MuSCs,1.0,52.441412743352394,0.1694171372158967,0.6666666666666666,5.046740315368467,0.8335639720243323,264.6581918867543,0.1412200218266742
MuSCs,Fgf15,Fgfr1,MuSCs,0.3333333333333333,0.301181728602094,0.3120760172703594,1.0,3232.160456292853,0.4494253930645628,973.4676733456143,0.1402548867277545
MuSCs,Ptn,Alk,MuSCs,1.0,234.12123030581,0.6849318423051985,0.3333333333333333,0.42267021578749,0.1993823168126439,98.95607093378936,0.1365632975775629
MuSCs,Pth2,Pth1r,MuSCs,0.3333333333333333,0.301181728602094,0.2256887283892197,1.0,169.303411825743,0.5600149970421461,50.99109423190946,0.1263890725613345
MuSCs,Bmp10,Bmpr1a,MuSCs,0.3333333333333333,0.3239649943755903,0.2432831899702334,1.0,2033.381432087634,0.4929596985095846,658.7444042097001,0.1199288079801763
MuSCs,Hp,Cd163,MuSCs,1.0,4.203905977745007,0.1211277367767236,1.0,89.48457586912514,0.9708414341184554,376.1847434121917,0.1175958256838371
MuSCs,Ucn,Crhr2,MuSCs,0.3333333333333333,0.42267021578749,0.1266267570931319,1.0,171.61683663277068,0.9003270817715473,72.5373253723396,0.114005498687854
MuSCs,Epo,Ephb4,MuSCs,0.3333333333333333,0.3239649943755903,1.0,1.0,371.936995278733,0.109867228994333,120.4945665835487,0.109867228994333
MuSCs,Slamf6,Slamf6,MuSCs,0.3333333333333333,0.42267021578749,0.3314487511999124,0.3333333333333333,0.42267021578749,0.3314487511999124,0.1786501113138433,0.1098582746719814
MuSCs,Adipoq,Adipor1,MuSCs,1.0,2.923257107698227,0.5859386422521535,1.0,577.4025714137252,0.1854999972782031,1687.896170888405,0.1086916165429685
MuSCs,Proc,Procr,MuSCs,0.3333333333333333,2.108272100214656,0.1974726674174809,1.0,440.2071734342923,0.5488185737061547,928.076502065873,0.1083766676780117
MuSCs,Nts,Ntsr2,MuSCs,1.0,12.65985734955327,0.1213770459402218,1.0,5.011318826910666,0.8323524308048212,63.442581481819666,0.1010284792322521
MuSCs,Adipoq,Adipor2,MuSCs,1.0,2.923257107698227,0.5859386422521535,1.0,350.1324653284854,0.1660107590452118,1023.527217907398,0.09727211875420083
MuSCs,Fgf15,Klb,MuSCs,0.3333333333333333,0.301181728602094,0.3120760172703594,1.0,37.24809406948904,0.3045299707239546,11.21844535898211,0.0950365004029909
MuSCs,Ereg,Egfr,MuSCs,0.6666666666666666,1.227510180181874,0.2839489486363288,1.0,3959.04027272747,0.329538389320814,4859.7622385229915,0.09357207918295432
MuSCs,Hc,C5ar2,MuSCs,1.0,5.269440117917283,0.1629836924578403,0.6666666666666666,3.636964008998623,0.5469109309576641,19.16476405643862,0.089137562973035
MuSCs,Wnt9b,Fzd10,MuSCs,0.6666666666666666,1.227510180181874,0.1038510294905787,0.6666666666666666,5.046740315368467,0.8335639720243323,6.194925113849074,0.08656647664098288
MuSCs,Fgf23,Fgfr3,MuSCs,0.6666666666666666,1.5970417061044542,1.0,1.0,44.14243813800703,0.08199093474381394,70.49731471553307,0.08199093474381394
MuSCs,Areg,Egfr,MuSCs,0.3333333333333333,0.301181728602094,0.2322059844515691,1.0,3959.04027272747,0.329538389320814,1192.390592945365,0.07652078610682407
MuSCs,Il7,Il7r,MuSCs,1.0,12.9964734809696,0.2139441987867665,0.3333333333333333,0.3239649943755903,0.3253488338761117,4.210402458164825,0.06960649558983352
MuSCs,Bmp10,Bmpr1b,MuSCs,0.3333333333333333,0.3239649943755903,0.2432831899702334,1.0,30.22220909022897,0.2801535527942225,9.790937797933942,0.06815665000527266
MuSCs,Hp,Itgam,MuSCs,1.0,4.203905977745007,0.1211277367767236,0.6666666666666666,1.447703888779167,0.5499958634178829,6.086011032043433,0.06661975417236812
MuSCs,Ifna11,Ifnar2,MuSCs,0.3333333333333333,0.42267021578749,0.2902976667917964,1.0,241.68364795326198,0.2288678083079519,102.152479632713,0.06643979075555055
MuSCs,Efnb2,Grm5,MuSCs,1.0,344.997571836956,0.06410408887999912,1.0,1.996928656118446,1.0,688.9355374924997,0.06410408887999912
MuSCs,Ifna11,Ifnar1,MuSCs,0.3333333333333333,0.42267021578749,0.2902976667917964,1.0,507.1103689576686,0.2135970317757805,214.3404490754115,0.062006719958162274
