Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Ccl4,Ccr1,ECs,0.3333333333333333,2.113351078937453,1.0,1.0,2.092867703923047,1.0,4.4229642201591215,1.0
sCs,Epo,Ephb4,ECs,0.3333333333333333,0.3239649943755903,1.0,1.0,2759.218632558714,0.8150512296352151,893.8902487779077,0.8150512296352151
sCs,Fgf23,Fgfr3,ECs,0.6666666666666666,1.5970417061044542,1.0,1.0,438.11509290576174,0.8137626172893153,699.6880754443291,0.8137626172893153
sCs,Cd200r1,Cd200,ECs,0.3333333333333333,0.64792998875118,1.0,1.0,4395.977480225047,0.7816787193438205,2848.285639312655,0.7816787193438205
sCs,Wnt7b,Lrp5,ECs,0.6666666666666666,2.176621897535147,1.0,1.0,2774.483260958476,0.6456642543851848,6039.0010201469395,0.6456642543851848
sCs,Tff2,Cxcr4,ECs,0.3333333333333333,1.204726914408377,1.0,1.0,644.7394415349668,0.5855749459370481,776.7349579978004,0.5855749459370481
sCs,Epo,Epor,ECs,0.3333333333333333,0.3239649943755903,1.0,1.0,12.8156806875907,0.5844061263645645,4.151831921874683,0.5844061263645645
sCs,Wnt7b,Fzd4,ECs,0.6666666666666666,2.176621897535147,1.0,1.0,5814.3498393653545,0.5738104159906445,12655.64118029259,0.5738104159906445
sCs,Sectm1a,Cd7,ECs,1.0,1.695746927516354,1.0,0.3333333333333333,0.3603661073306366,0.5105727827557551,0.6110897192869557,0.5105727827557551
sCs,Sema6d,Trem2,ECs,1.0,3798.364665122503,0.508894658315874,0.3333333333333333,1.081098321991913,1.0,4106.4056657773135,0.508894658315874
sCs,Ccl24,Ccr2,ECs,0.3333333333333333,0.8453404315749801,1.0,0.6666666666666666,7.4208364197279915,0.5043070622263105,6.273133061700191,0.5043070622263105
sCs,Wnt7b,Fzd5,ECs,0.6666666666666666,2.176621897535147,1.0,1.0,385.93918140273695,0.4325866197715613,840.0436733579868,0.4325866197715613
sCs,Adipoq,Adipor2,ECs,1.0,2.923257107698227,0.5859386422521535,1.0,1532.1790454254528,0.7264627862646647,4478.953284806241,0.4256626186306339
sCs,Wnt7b,Fzd8,ECs,0.6666666666666666,2.176621897535147,1.0,1.0,589.8835397672827,0.3921658147993496,1283.9534296530119,0.3921658147993496
sCs,Adipoq,Adipor1,ECs,1.0,2.923257107698227,0.5859386422521535,1.0,2041.937766288357,0.6560058247772231,5969.109088779879,0.3843791622794703
sCs,Guca2b,Gucy2c,ECs,0.3333333333333333,1.204726914408377,1.0,0.3333333333333333,2.8829288586451,0.35114883063850394,3.473141988334375,0.35114883063850394
sCs,Ccl4,Ccr5,ECs,0.3333333333333333,2.113351078937453,1.0,1.0,2.732086603961736,0.3382764352589139,5.773858172233098,0.3382764352589139
sCs,Epo,Crlf3,ECs,0.3333333333333333,0.3239649943755903,1.0,1.0,192.444563707022,0.3066487705781377,62.34530199895833,0.3066487705781377
sCs,Fgf15,Fgfr3,ECs,0.3333333333333333,0.30118172860209397,0.3120760172703594,1.0,438.11509290576174,0.8137626172893153,131.9522610080243,0.2539557966071532
sCs,Slamf7,Slamf7,ECs,0.6666666666666666,0.6251467229776844,0.4644895655134956,0.3333333333333333,0.7207322146612732,0.5355104344865045,0.4505633821399439,0.2487390090425797
sCs,Bmp10,Eng,ECs,0.3333333333333333,0.3239649943755903,0.2432831899702334,1.0,12696.132256185,0.8488319397942277,4113.102414966725,0.2065065420617608
sCs,Cd48,Cd2,ECs,0.6666666666666666,1.07060020453867,0.3388649917277187,0.3333333333333333,2.52256275131446,0.5939964004296089,2.700656197518891,0.2012845853178741
sCs,Npy,Prlhr,ECs,0.6666666666666666,0.7238519443895841,0.1888560047422329,0.3333333333333333,0.33589080162807,1.0,0.2431352098610545,0.1888560047422329
sCs,Wnt7b,Fzd10,ECs,0.6666666666666666,2.176621897535147,1.0,0.3333333333333333,1.0076724048842132,0.1664360279756677,2.193321822012881,0.1664360279756677
