Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Inhbb,Acvr1c,ECs,0.0,127.36247864989427,0.1905815703243866,0.3333333333333333,2.449170201598027,0.6565727606402537,724.4797382162553,0.475721193200643
FAPs,Col2a1,Tnfrsf10b,ECs,0.0,4.247513402939779,0.4639380487114124,0.0,14.297726280697589,-0.01767940729580364,2263.878625536749,0.3664176821660922
FAPs,Inhba,Acvr1c,ECs,0.0,64.8334208167231,-0.06074787130661019,0.3333333333333333,2.449170201598027,0.6565727606402537,1714.2664150683795,0.35482442287032545
FAPs,Adipoq,Adipor2,ECs,0.3333333333333333,2.7339828108482105,0.4845146464319019,0.0,-400.08913160139986,-0.05360131141629188,2956.9070116752964,0.3222998637387117
FAPs,Nppa,Npr1,ECs,0.33333333333333337,2.2826142209621967,0.361969101204544,0.0,52.274418902040004,-0.012408671651821357,7011.805557159382,0.3201496926938754
FAPs,Adipoq,Adipor1,ECs,0.3333333333333333,2.7339828108482105,0.4845146464319019,0.0,-68.57197903151996,-0.01389677733632222,5371.4605408715615,0.3101490197732341
FAPs,Csf3,Csf3r,ECs,0.33333333333333337,7.438279953291907,0.3183117311884065,0.0,-2.295852405774699,0.09815099493520874,8.169329233268618,0.29063526181669463
FAPs,Lefty2,Acvr2b,ECs,0.3333333333333333,2.730494890942747,0.6446132461642711,0.0,-9.013607344221713,-0.004721077542966301,337.4236750567396,0.2763240174335807
FAPs,Il10,Il10ra,ECs,0.0,4.729447434072799,0.36396010255757133,0.0,0.21984357234200932,-0.062033998667530336,70.15153095351732,0.2732827092097324
FAPs,Lama1,Itga1,ECs,-0.33333333333333337,3.066310821490497,0.5084094395472982,0.0,-1384.6360502799362,-0.058114382913774576,39763.433429951634,0.2636816642715753
FAPs,Il10,Il10rb,ECs,0.0,4.729447434072799,0.36396010255757133,0.0,29.878146320316766,0.0008196270091396228,3497.9453352586033,0.2588230382581226
FAPs,Nppa,Npr2,ECs,0.33333333333333337,2.2826142209621967,0.361969101204544,0.0,186.15705549774384,0.06054308552477027,3915.9948128059136,0.2420039098758247
