Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Apob,Olr1,ECs,0.33333333333333337,7.159695615702022,0.9544100504381046,-0.33333333333333337,1.3138065979391218,0.3084640702899142,57.77448578494921,0.9267619390543054
MuSCs,Apob,Lsr,ECs,0.33333333333333337,7.159695615702022,0.9544100504381046,0.0,8.201026249139334,0.1485025859465799,167.4527950120146,0.4476512543964833
MuSCs,Ostn,Npr3,ECs,0.0,1.5411763474580933,0.7221130973160443,0.0,53.48734479731149,0.12013194573357087,357.05372597290057,0.4332919623818312
MuSCs,Plg,Plgrkt,ECs,0.0,10.053272980624511,0.8097456584024253,0.0,-67.40012544716039,-0.043880228194675734,4452.5101211440115,0.40396862086601293
MuSCs,Wnt8a,Fzd4,ECs,0.3333333333333333,0.8062613439654666,0.7223449947904705,0.0,-862.7295168449145,-0.06395600549917058,3212.7849544438454,0.3505330764503093
MuSCs,C1qa,Cd93,ECs,0.3333333333333333,1.2682804455480128,0.3447209114577022,0.0,-1842.669991714234,0.0017573217159675414,19517.84590804344,0.3365030255470042
MuSCs,Cxcl5,Cxcr2,ECs,-0.3333333333333333,2.2978194885020624,0.5291903669687266,0.0,-1.6177429890607589,-0.3837085028963319,4.197069392338108,0.32146858789622085
MuSCs,Wnt8a,Fzd5,ECs,0.3333333333333333,0.8062613439654666,0.7223449947904705,0.0,86.96145869193244,-0.018303801825793498,459.85511299664495,0.2941729777795222
MuSCs,Inhba,Acvr1c,ECs,0.0,183.3369082994584,0.08363534734808857,0.3333333333333333,2.449170201598027,0.6565727606402537,1492.9818160346138,0.2914168157031651
MuSCs,Plg,Itgb1,ECs,0.0,10.053272980624511,0.8097456584024253,0.0,255.1585315375369,0.0013733716717881372,75668.57543304193,0.2764095508682448
MuSCs,Col4a6,Cd93,ECs,0.0,241.708331974274,0.27422095935993085,0.0,-1842.669991714234,0.0017573217159675414,3617391.367871549,0.2682197143265522
MuSCs,Slit2,Robo2,ECs,0.0,-4.5344480695049745,0.1531617332376829,0.0,151.34408498762403,0.17508358900802534,32201.29897286776,0.2620454642104427
MuSCs,Col4a5,Cd93,ECs,0.0,317.2789116996326,0.2654882869330333,0.0,-1842.669991714234,0.0017573217159675414,4446165.440608596,0.2594721456058529
MuSCs,Shh,Ptch1,ECs,0.0,0.3974707384629961,0.6964091398323605,0.0,121.00589215531409,-0.02056863786497509,624.913930417106,0.2450227373518362
