Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Zp3,Chrna7,MuSCs,-0.3333333333333333,0.8789628116237737,0.6650242367597781,0.0,47.42815436105709,0.1251664045635491,137.65554602831716,0.6506945573500528
ECs,C1qa,Cspg4,MuSCs,0.0,0.6727968351054532,0.6330498152557854,0.0,-901.6815239929474,0.0006848470593405763,3212.4335842224127,0.5135000050194655
ECs,Nodal,Tdgf1,MuSCs,0.0,6.116056150395522,0.14195404188989202,0.33333333333333337,0.8972342403128234,0.6207533081296495,71.12423249152312,0.4628671962440207
ECs,Il17f,Il17ra,MuSCs,0.33333333333333337,6.237375202104072,0.4718922560477583,0.0,457.8121410120796,0.25870273832424623,6286.163994707647,0.4091065497295693
ECs,Lpl,Lrp2,MuSCs,0.0,4321.127415749696,0.07803347053467967,0.0,0.3353305150589577,0.5131733321973464,5914.082073633764,0.3416915840678099
ECs,Galp,Galr1,MuSCs,0.33333333333333337,1.4003373629006646,0.3707698985833309,0.0,-21.367699630966122,0.013572711935282313,24.481299482399322,0.33190606710203285
ECs,Il1b,Il1rap,MuSCs,0.0,1.3293811082282447,0.5561196792563199,0.0,67.39225098830303,0.039675209284545376,1068.600883886581,0.3298582602278155
ECs,Zp3,Mertk,MuSCs,-0.3333333333333333,0.8789628116237737,0.6650242367597781,0.0,-452.28466480801984,-0.07275639786528533,581.6818698694599,0.32823677778507143
ECs,Zp3,Egfr,MuSCs,-0.3333333333333333,0.8789628116237737,0.6650242367597781,0.0,1420.5564255382694,0.12001224019014005,4790.834846160707,0.25935220759698185
ECs,Pnoc,Oprl1,MuSCs,0.33333333333333337,0.9974977282954098,0.1099697326967052,0.0,1.0288270353571312,0.7064470730259211,8.353215270516586,0.24993696322597606
ECs,Nodal,Acvr1c,MuSCs,0.0,6.116056150395522,0.14195404188989202,0.6666666666666667,6.132594127877394,0.33129958973742946,467.78872984376585,0.245905716500188
ECs,Cd14,Itga4,MuSCs,0.0,4.3047160661795685,0.20877817635004392,0.0,75.97161960423959,0.0912150728674096,2830.271972821971,0.20727902358633968
ECs,Apoe,Lrp2,MuSCs,0.0,-551.7761060686388,-0.06607078811675854,0.0,0.3353305150589577,0.5131733321973464,203.7309002384666,0.19737677797438385
ECs,Uts2,Uts2r,MuSCs,0.0,5.574695508638,0.1264211259283508,0.6666666666666667,2.594083942148957,0.31901314526013824,40.321834111685455,0.17010260670542868
ECs,Il1b,Il1r1,MuSCs,0.0,1.3293811082282447,0.5561196792563199,0.0,-1.941522120683544,-0.001772581483820923,1296.4922748716906,0.1684004378522786
ECs,Lrpap1,Lrp2,MuSCs,0.0,56.301774494721705,0.04001569474405359,0.0,0.3353305150589577,0.5131733321973464,152.13515410306445,0.1660727560014152
ECs,Icam1,Spn,MuSCs,0.0,-103.06774997806349,-0.02043571843463915,0.6666666666666667,2.141148184670583,0.4120496595648797,912.9095990734154,0.1639706654604745
ECs,F13a1,Itga4,MuSCs,0.33333333333333337,9.81754659203831,0.1612097222865005,0.0,75.97161960423959,0.0912150728674096,4088.599023766824,0.15964124549790698
ECs,Hp,Cd163,MuSCs,0.33333333333333337,8.235529984993374,0.1573965285016617,0.0,-7.993387439995459,0.04364690493794055,729.4404828543143,0.15747617350742155
ECs,Spp1,Itga4,MuSCs,0.0,10.22499460110662,0.16605829411970568,0.0,75.97161960423959,0.0912150728674096,4386.291025491029,0.1507905428639326
ECs,Gip,Gipr,MuSCs,0.33333333333333337,2.4627174108249625,0.43691830066159704,0.0,-2.6202687670611717,0.014656517538861713,22.887908628974554,0.1423226538839673
ECs,Il2,Cd53,MuSCs,0.6666666666666667,1.404768699408504,0.09087675178810006,0.3333333333333333,1.6544940392393994,0.1837628561324769,5.096068975660301,0.13587414903288336
ECs,Galp,Galr2,MuSCs,0.33333333333333337,1.4003373629006646,0.3707698985833309,0.0,9.671925259809463,0.07792703804786022,53.52542260776309,0.13465401228219342
ECs,Col9a2,Mag,MuSCs,0.0,9.581282048266269,0.1292845625515201,0.0,3.0386269218705952,0.04857619000784685,634.6849554509101,0.13300221056162542
ECs,F8,Ldlr,MuSCs,0.0,62.34417590583252,0.21135622834883872,0.0,72.52834569009292,0.07949292698352868,57841.92317878679,0.12497868824464342
ECs,Il2,Il2ra,MuSCs,0.6666666666666667,1.404768699408504,0.09087675178810006,0.0,-2.123080445048629,0.0865281219197932,499.57083602727386,0.1245630167782853
ECs,Prn,Rpsa,MuSCs,0.0,1.3650633235961969,0.3243583522408301,0.0,268.976387729282,0.057761540770056026,1797.1570189510876,0.12395799509656302
ECs,Cntn2,Nrcam,MuSCs,0.0,17.128483871653255,0.2245512383023806,0.0,-50.05953801270571,-0.13936354329772227,624.5112546665978,0.12287681198223817
ECs,Epgn,Egfr,MuSCs,0.3333333333333333,7.112079744695678,0.3440734799242393,0.0,1420.5564255382694,0.12001224019014005,28632.7197745045,0.12165305909796005
ECs,Ucn2,Crhr2,MuSCs,0.3333333333333333,2.0908011905747497,0.1329368408832836,0.0,-112.01474575762762,-0.02185836120320994,283.7946827360523,0.11864983357431355
ECs,Ptprc,Mrc1,MuSCs,-0.33333333333333337,11.1357745748991,0.35354711910380465,0.0,6.38901142023839,-0.14041019923304804,215.37342476809482,0.11584905248213218
ECs,Agrn,Musk,MuSCs,0.0,397.4680097686101,0.07967323148574472,0.0,127.34100276226637,0.1404744533565736,408480.0285707455,0.1149918625116883
ECs,Sema3f,Plxna3,MuSCs,0.0,18.44071867762869,0.11049576167456733,0.0,75.4428737016473,0.11167777322555106,42264.92784111909,0.11313259353896513
ECs,Ceacam1,Havcr2,MuSCs,0.0,-147.7773247829541,0.017639197624247926,0.3333333333333333,2.0994272398958045,0.11546949414401635,6744.602450802382,0.11189781972560843
ECs,Osm,Lifr,MuSCs,0.3333333333333333,4.72806831692383,0.4731204880281845,0.0,-690.8532038858181,0.01037399606402159,12878.4459277599,0.11024490585865772
ECs,Gnai2,F2r,MuSCs,0.0,-337.79528695244244,-0.009789228890490607,0.0,1202.5414030958616,0.18878227495655087,4298508.546738915,0.1097693713526667
ECs,Apoe,Sorl1,MuSCs,0.0,-551.7761060686388,-0.06607078811675854,0.0,206.73181606202857,0.3026337673603347,38439.49624875927,0.10930888448976543
ECs,S100a9,Tlr4,MuSCs,0.0,3.195399170056185,0.5118821090925382,0.0,3.5902044957214234,-0.002602774683473502,978.2319490807613,0.1079941267037758
ECs,Qrfp,Qrfpr,MuSCs,0.0,15.387639700240426,0.1398687759893574,0.3333333333333333,5.83390557887041,0.2651619693440154,208.3341264471196,0.1077650132355943
ECs,Qrfp,P2ry14,MuSCs,0.0,15.387639700240426,0.1398687759893574,0.0,-29.431226333353976,0.07460340530891263,2357.595334643028,0.10452463641675043
ECs,Il15,Il2ra,MuSCs,0.0,42.734421642089984,0.08023669334631661,0.0,-2.123080445048629,0.0865281219197932,14803.773491222251,0.10450889014477303
ECs,Il1a,Il1rap,MuSCs,0.0,3.768678894411228,0.15499992988504474,0.0,67.39225098830303,0.039675209284545376,2544.4486070419425,0.10447380252949408
