Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cxcl5,Cxcr2,ECs,0.0,84.09875225211091,0.5291903669687268,0.0,1.6177429890607589,0.3837085028963319,357.66549768206886,0.705177090792553
FAPs,C3,Itgax,ECs,0.0,-6157.813382189541,-0.003019729938271154,0.3333333333333333,1.8538268436062533,0.7026030439229363,10783.41823614205,0.6978661024346238
FAPs,Apob,Olr1,ECs,0.0,223.0565846392511,0.9544100504381045,0.33333333333333337,-1.3138065979391218,-0.3084640702899142,1475.8619497100449,0.6182978687643912
FAPs,Tnc,Ptprb,ECs,0.0,759.7474994008649,0.4805017894354008,0.0,7081.183270832087,-0.002316378082201309,41510838.607577205,0.471721888292964
FAPs,Tnfsf13b,Tnfrsf17,ECs,0.0,-100.98259728368895,-0.08597891699392635,0.0,5.304138232841091,0.5279438974156937,365.20014068421625,0.4004633671090041
FAPs,Icam1,Itgax,ECs,0.0,-68.42209493344797,0.0252501581131106,0.3333333333333333,1.8538268436062533,0.7026030439229363,1022.4575783920799,0.3892066018855279
FAPs,Spon2,Itgb2,ECs,0.0,301.14280342395404,0.1489412973086368,0.0,4.140549230710353,0.3409634707337981,3668.6162892302477,0.3725262974066782
FAPs,C1qtnf1,Avpr2,ECs,0.0,95.6051839869425,0.09423147564049196,0.0,1.4993533470293006,0.5384124319683871,1313.7653040854402,0.3582630346187111
FAPs,C3,Itgb2,ECs,0.0,-6157.813382189541,-0.003019729938271154,0.0,4.140549230710353,0.3409634707337981,10257.914173901823,0.33798657535527604
FAPs,Ccl12,Ccr5,ECs,-0.3333333333333333,-1.4953741971827441,0.0,0.6666666666666667,2.4296094143378504,0.3144578575288952,0.354203418398136,0.3144578575288952
FAPs,Ostn,Npr3,ECs,0.6666666666666667,26.046600350386647,0.7221130973160441,0.0,-53.48734479731149,-0.12013194573357087,4057.270350929217,0.3131600166482602
FAPs,Oxt,Avpr2,ECs,-0.33333333333333337,0.1258963178837167,-0.16974095613446238,0.0,1.4993533470293006,0.5384124319683871,8.183549954632356,0.3063886090566699
