Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
FAPs,Serping1,Selp,MuSCs,3.0,1.0,26378.2267217429,0.8042034636354758,3.0,1.0,6.5064472754381,0.0470130015185473,171628.5413845726,0.03780801865711562
MuSCs,Mmp9,Lrp1,FAPs,1.0,0.3333333333333333,2.4497597767568933,0.2640983799282879,3.0,1.0,44131.93516524576,0.7638098207351273,108112.6396382621,0.2017209362294631
FAPs,Col3a1,Mag,FAPs,3.0,1.0,51988.3409303328,0.915424897154802,1.0,0.3333333333333333,1.3012675171136632,0.02031321537723945,67650.7393212728,0.018595223097592758
ECs,Pdgfc,Pdgfra,FAPs,2.0,0.6666666666666666,3.419866022809266,0.01955724837514134,3.0,1.0,16318.902206230268,0.995633019107406,55808.45918463407,0.01947184224517538
FAPs,Vcan,Selp,MuSCs,3.0,1.0,8309.962656359807,0.9814609703730482,3.0,1.0,6.5064472754381,0.0470130015185473,54068.333884464606,0.04614142609054302
FAPs,Cd34,Selp,MuSCs,3.0,1.0,7997.126361795454,0.684552371773222,3.0,1.0,6.5064472754381,0.0470130015185473,52032.88102803823,0.03218286169369965
ECs,Pdgfc,Pdgfrb,MuSCs,2.0,0.6666666666666666,3.419866022809266,0.01955724837514134,3.0,1.0,14740.880092718831,0.7384888548289182,50411.834975394646,0.01444280995616285
MuSCs,Serping1,Selp,MuSCs,3.0,1.0,6085.627324004883,0.1855349347014806,3.0,1.0,6.5064472754381,0.0470130015185473,39595.813321603215,0.008722554166864281
FAPs,C3,Itgax,MuSCs,3.0,1.0,15311.70069886404,0.9975559292478248,1.0,0.3333333333333333,2.37343984046375,0.7026030439229364,36341.400463940554,0.7008858323728951
FAPs,Fn1,Mag,FAPs,3.0,1.0,26453.95396978287,0.9205467298753338,1.0,0.3333333333333333,1.3012675171136632,0.02031321537723945,34423.671000098504,0.018699263988771118
MuSCs,Mmp9,Lrp1,MuSCs,1.0,0.3333333333333333,2.4497597767568933,0.2640983799282879,3.0,1.0,12534.7775070374,0.2169446258079497,30707.19374733727,0.057294724210028174
ECs,Lif,Il6st,FAPs,2.0,0.6666666666666666,3.4507383351247727,0.03280542393453932,3.0,1.0,8067.405916151573,0.5096205477846056,27838.50685987663,0.01671831811582614
FAPs,C3,Cd19,FAPs,3.0,1.0,15311.70069886404,0.9975559292478248,2.0,0.6666666666666666,1.749078154036433,0.4118729619870107,26781.36119352747,0.4108663153270066
ECs,Cd34,Selp,MuSCs,3.0,1.0,3347.81053306079,0.2865718930743033,3.0,1.0,6.5064472754381,0.0470130015185473,21782.35272151635,0.01347260484427519
ECs,Lif,Lifr,ECs,2.0,0.6666666666666666,3.4507383351247727,0.03280542393453932,3.0,1.0,6195.783746304466,0.3966080549107406,21380.0284895158,0.0130108953771999
FAPs,Serping1,Sele,MuSCs,3.0,1.0,26378.2267217429,0.8042034636354758,1.0,0.3333333333333333,0.8010988264356866,0.01723257392774212,21131.56647024271,0.01385849564004461
ECs,Lif,Lifr,FAPs,2.0,0.6666666666666666,3.4507383351247727,0.03280542393453932,3.0,1.0,5962.534864846252,0.3816771940264457,20575.14763264297,0.01252108215618297
FAPs,Myoc,Fzd10,FAPs,3.0,1.0,9074.237016721678,0.9765672929401163,1.0,0.3333333333333333,2.0931365587692903,1.0,18993.61724263772,0.9765672929401163
FAPs,Cdh1,Ptprm,ECs,1.0,0.3333333333333333,1.8217745239591296,0.021277984670052368,3.0,1.0,9826.958146471728,0.8874908996880947,17902.501999254833,0.01888401775837427
