Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Epcam,Epcam,M2,0.3333333333333333,3.3770564388198667,0.4001523539730516,0.3333333333333333,1.27105993203565,0.15060974936582097,4.292441127606934,0.0602668457400246
ECs,Ifnb1,Ifnar1,M2,0.3333333333333333,0.3377056438819867,0.2390762921198707,1.0,2248.703920722287,0.2504132330954909,759.4000054474678,0.0598678672662188
ECs,Galp,Galr3,M2,0.6666666666666666,1.9030851210701532,0.4120773041790141,0.3333333333333333,0.9532949490267401,0.1339207432827638,1.8142014334841192,0.0551856988656111
ECs,Tnfsf13b,Tnfrsf17,M2,1.0,18.784974569732768,0.0702317279597269,0.3333333333333333,0.92913639025592,0.7460458476055885,17.45380346277076,0.0523960890145195
ECs,B2m,Gm11127,M2,1.0,13981.41357495143,0.1389111410883978,0.6666666666666666,1.171485288388913,0.3648354070357528,16379.02031393664,0.0506797027007865
ECs,Ifnb1,Ifnar2,M2,0.3333333333333333,0.3377056438819867,0.2390762921198707,1.0,998.3533862613556,0.1962309668002241,337.1495731291529,0.046914171941695
ECs,Tnfsf13,Tnfrsf17,M2,1.0,8.364395687734152,0.0627360760194831,0.3333333333333333,0.92913639025592,0.7460458476055885,7.771664415973494,0.0468039890094039
ECs,Bmp7,Bmpr2,M2,0.6666666666666666,3.3524605866956763,0.2746838885507227,1.0,3407.52072028136,0.1355417155860826,11423.578913092118,0.0372311254980212
ECs,Nodal,Tdgf1,M2,1.0,28.524483384289237,0.3924025377306701,0.3333333333333333,0.6355299660178266,0.0909800524971567,18.1281639558934,0.0357008034827538
ECs,Gdf6,Bmpr2,M2,0.3333333333333333,3.5664271632803337,0.2488347253279371,1.0,3407.52072028136,0.1355417155860826,12152.674456252009,0.0337274855683402
