Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Wnt3a,Fzd2,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,383.5128082685317,0.8361478442210415,235.6676082323625,0.5634214311996703
FAPs,Ntn1,Dcc,FAPs,1.0,863.6082391164767,0.5524542537222982,0.3333333333333333,0.92174604009842,1.0,796.0274746019818,0.5524542537222982
FAPs,Wnt3a,Fzd1,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,995.1418723052344,0.6787526951813486,611.5120534223182,0.4573638712254008
FAPs,Wnt3a,Fzd10,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,0.6666666666666666,3.590623362917226,0.6768936526352585,2.206428577502551,0.4561111927436964
FAPs,Wnt3a,Ryk,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,1304.6040372196499,0.500587218832019,801.6757368024163,0.3373106433556013
FAPs,Wnt3a,Apcdd1,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,144.5142468383403,0.498618784278431,88.80362317403058,0.3359842532667306
FAPs,Rspo4,Lgr4,FAPs,0.3333333333333333,0.66708489883725,0.640603453706107,1.0,685.8673469369406,0.5061831332552917,457.5317497472021,0.3242626633711185
FAPs,Wnt3a,Fzd8,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,245.5527324236043,0.4019363181581567,150.8915058312028,0.2708367152925751
FAPs,Rspo4,Lgr6,FAPs,0.3333333333333333,0.66708489883725,0.640603453706107,1.0,22.245664262058373,0.4199285389078663,14.839746693822631,0.2690076723341385
FAPs,Ntn4,Dcc,FAPs,1.0,311.67413775582736,0.206980898725746,0.3333333333333333,0.92174604009842,1.0,287.2844022775233,0.206980898725746
FAPs,Rspo4,Lgr5,FAPs,0.3333333333333333,0.66708489883725,0.640603453706107,1.0,63.58333933594283,0.3038019587101159,42.41548548865196,0.1946165839923804
FAPs,Wnt3a,Lrp6,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,2578.350713996837,0.2699740633772758,1584.389707074346,0.1819166003071152
FAPs,Ntn1,Unc5d,FAPs,1.0,863.6082391164767,0.5524542537222982,0.3333333333333333,1.000627348255873,0.29856455749252003,864.1500222390442,0.1649432597974583
FAPs,Efna5,Epha5,FAPs,1.0,112.7789522668235,0.6965357494558745,0.3333333333333333,1.6677122470931205,0.2173991033577833,188.082839909712,0.1514262473883487
FAPs,Wnt3a,Lrp1,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,28166.347054000467,0.2232506284377618,17308.14590737515,0.1504329520909195
FAPs,Lgi1,Adam23,FAPs,0.3333333333333333,1.334169797674497,0.1935418182197292,1.0,834.7024630951523,0.754186152891722,1113.634816306063,0.1459665593068065
FAPs,Penk,Oprd1,FAPs,1.0,223.39604649871032,0.7977273023822166,0.3333333333333333,0.3599706506718967,0.1638142212447286,80.41602021567004,0.130679076805401
FAPs,Wnt3a,Fzd7,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,259.7272240346283,0.1629062274419494,159.60169350644918,0.1097710894682617
FAPs,Wnt3a,Fzd5,FAPs,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,400.90183507405027,0.1392016049048207,246.3531192984638,0.09379820566759944
