Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Wnt3a,Lrp1,Resolving-Mac,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,49336.8402663671,0.3910510856620129,30317.35809766144,0.2635019199997259
FAPs,Wnt3a,Fzd7,Resolving-Mac,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,411.0604772749003,0.2578255392835259,252.5955781127374,0.1737305613438253
FAPs,Tnfsf13b,Tnfrsf17,Resolving-Mac,1.0,56.80612002216716,0.2123820797858656,0.3333333333333333,0.92913639025592,0.7460458476055885,52.78063330184092,0.1584467687300838
FAPs,Wnt3a,Lrp6,Resolving-Mac,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,1781.281340601023,0.1865144873153085,1094.592681333466,0.1256790412233408
FAPs,Alb,Lrp2,Resolving-Mac,0.3333333333333333,7.337933887209733,0.8691059378087901,1.0,9.55492588855758,0.1231016258019342,70.11341446742423,0.1069883539383767
FAPs,Tnc,Cntn1,Resolving-Mac,1.0,7898.636417184191,0.5366943921663514,0.6666666666666666,1.35599654294592,0.1922567689841729,10710.52367568851,0.1031831297698273
FAPs,Wnt3a,Fzd5,Resolving-Mac,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,285.46981575968397,0.09912116390859507,175.42044816274282,0.06679080549873928
FAPs,Col1a1,Gp6,Resolving-Mac,1.0,106573.8654696569,0.9116096767571868,0.6666666666666666,0.7365722827753066,0.05819158093049374,78499.35537317359,0.05304800828203707
FAPs,Col1a2,Gp6,Resolving-Mac,1.0,76654.35601534086,0.8986098707068642,0.6666666666666666,0.7365722827753066,0.05819158093049374,56461.47399489067,0.052291529016179006
FAPs,Rspo4,Lgr5,Resolving-Mac,0.3333333333333333,0.66708489883725,0.640603453706107,1.0,15.84873807156843,0.0757254607812693,10.5724538331703,0.04850999170996747
FAPs,Cntn2,Cntn1,Resolving-Mac,1.0,10.024425131214961,0.1980136332958454,0.6666666666666666,1.35599654294592,0.1922567689841729,13.59308582294769,0.03806946135227608
FAPs,Apob,Lsr,Resolving-Mac,0.3333333333333333,0.66708489883725,0.1964348457219847,1.0,41.7553978189723,0.1889115367538511,27.85439532997826,0.03710880857734579
FAPs,Galp,Galr3,Resolving-Mac,0.6666666666666666,1.027055549509147,0.222389570176364,0.3333333333333333,0.95329494902674,0.1339207432827638,0.9790868677169524,0.029782576536353036
FAPs,Calca,Ramp1,Resolving-Mac,0.6666666666666666,3.54698453607987,0.1269650100091885,1.0,30.07938528730337,0.2132723800995948,106.6911144688534,0.0270781298740285
FAPs,Xcl1,Xcr1,Resolving-Mac,0.3333333333333333,0.3335424494186234,0.2106882450240759,1.0,13.83817051053603,0.1175727019635992,4.615617287556748,0.02477118623944944
FAPs,Apob,Lrp2,Resolving-Mac,0.3333333333333333,0.66708489883725,0.1964348457219847,1.0,9.55492588855758,0.1231016258019342,6.373946769765854,0.024181448872528436
FAPs,Tdgf1,Acvr1b,Resolving-Mac,0.3333333333333333,0.92174604009842,0.1319536569497469,1.0,292.20375790148535,0.1700019431978501,269.3376567475715,0.02243237809351947
FAPs,Cck,Cckbr,Resolving-Mac,1.0,19.032491039132037,0.2995678862017491,0.3333333333333333,0.42686015269,0.06798718247165891,8.124212031034954,0.02036677654184747
FAPs,Apob,Ldlr,Resolving-Mac,0.3333333333333333,0.66708489883725,0.1964348457219847,1.0,447.13337030802774,0.09805326001531978,298.2759190986893,0.01926107700364699
FAPs,Apob,Olr1,Resolving-Mac,0.3333333333333333,0.66708489883725,0.1964348457219847,1.0,331.3657327692033,0.09760129905652484,221.0490763224752,0.01917229612243375
FAPs,Lgi1,Rtn4r,Resolving-Mac,0.3333333333333333,1.334169797674497,0.1935418182197292,0.6666666666666666,3.45515054848001,0.09816075743859974,4.6097575082005005,0.0189982114724924
FAPs,Tnfsf13,Tnfrsf17,Resolving-Mac,1.0,3.3096684522702366,0.02482374332498341,0.3333333333333333,0.92913639025592,0.7460458476055885,3.075133398686265,0.01851965062963082
FAPs,Ucn,Crhr2,Resolving-Mac,0.6666666666666666,1.922373388354293,0.3502608853410686,0.6666666666666666,3.430991989709193,0.04734564335945663,6.5956476966737005,0.01658332696012576
FAPs,B2m,Gm11127,Resolving-Mac,1.0,4282.12934074831,0.04254473053262232,0.6666666666666666,1.171485288388913,0.3648354070357528,5016.45152566516,0.015521824081095691
FAPs,Nodal,Tdgf1,Resolving-Mac,1.0,12.334272826434074,0.1696787946322968,0.3333333333333333,0.6355299660178267,0.09098005249715677,7.83879999023825,0.01543738564330064
FAPs,Wnt3a,Apcdd1,Resolving-Mac,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,6.460744996267966,0.02229156561412064,3.970110744263786,0.01502072377366436
FAPs,Il5,Il5ra,Resolving-Mac,0.6666666666666666,1.387026200181043,0.240508425073018,0.3333333333333333,0.42686015269,0.05606238220352072,0.5920662155943106,0.01348347524961036
FAPs,Kng1,Gpr135,Resolving-Mac,0.6666666666666666,2.791531889681073,0.9037061594313252,0.3333333333333333,1.85827278051184,0.01432553299052478,5.187427726525119,0.0129460724006739
FAPs,Calca,Calcrl,Resolving-Mac,0.6666666666666666,3.54698453607987,0.1269650100091885,1.0,566.3839920994044,0.1002792394475803,2008.955261459771,0.012731954640175841
FAPs,Wnt3a,Fzd1,Resolving-Mac,0.3333333333333333,0.6144973600656134,0.6738299154793083,1.0,27.659530952538876,0.018865632834841918,16.99670875098825,0.012712227778565193
FAPs,Lgi1,Adam22,Resolving-Mac,0.3333333333333333,1.334169797674497,0.1935418182197292,1.0,49.87820165468006,0.06349762015797804,66.54599020999224,0.0122894448580008
FAPs,Efna5,Ephb6,Resolving-Mac,1.0,112.7789522668235,0.6965357494558745,0.6666666666666666,1.2630070791120471,0.01742260005742687,142.4406150878377,0.01213546378846979
FAPs,Qrfp,Qrfpr,Resolving-Mac,1.0,15.668890729415581,0.1376595976007095,0.3333333333333333,0.8537203053800001,0.08745815160462023,13.37685017848252,0.01203945395679387
FAPs,Rspo4,Lgr4,Resolving-Mac,0.3333333333333333,0.66708489883725,0.640603453706107,1.0,22.54525184849854,0.01663882421530687,15.03959704861597,0.010658888257934393
FAPs,Il20,Il20rb,Resolving-Mac,0.3333333333333333,0.3599706506718967,0.1977312452884289,1.0,25.933044227368196,0.051114404793220734,9.335134804428805,0.010106914911940379
FAPs,Tdgf1,Acvr2a,Resolving-Mac,0.3333333333333333,0.92174604009842,0.1319536569497469,1.0,391.2564660040798,0.07396162027968205,360.63909820216253,0.009759506269832607
FAPs,Snca,Lag3,Resolving-Mac,0.3333333333333333,0.66708489883725,0.09873086493815997,1.0,84.281085703896,0.08379768036907632,56.222639530677064,0.008273417462650373
FAPs,Il1rapl1,Ptprs,Resolving-Mac,0.3333333333333333,0.3599706506718967,0.08926160588653764,1.0,374.2604836619767,0.09143676486565584,134.7227898245805,0.008161792468978184
FAPs,Gast,Cckbr,Resolving-Mac,0.6666666666666666,4.590712983703288,0.1079088885870941,0.3333333333333333,0.42686015269,0.06798718247165891,1.959592445179551,0.007336421298684678
FAPs,Efnb1,Ephb6,Resolving-Mac,1.0,378.618207401482,0.4082947840319939,0.6666666666666666,1.2630070791120471,0.01742260005742687,478.19747622878486,0.007113556727722906
FAPs,Plg,F2rl1,Resolving-Mac,0.3333333333333333,0.3335424494186234,1.0,0.6666666666666666,0.9452420961031334,0.006383246841688018,0.3152783640278329,0.006383246841688018
FAPs,Rbp4,Stra6,Resolving-Mac,1.0,66.14584633335846,0.9549990224292324,0.3333333333333333,0.31776498300891304,0.00561426943145766,21.01883373622982,0.005361621818696388
FAPs,Muc2,Agr2,Resolving-Mac,1.0,124.5716471083934,0.3774832142255478,0.6666666666666666,0.9452420961031334,0.009638715525333812,117.7503648277577,0.0036384533175086962
FAPs,Nell2,Robo3,Resolving-Mac,0.6666666666666666,0.9743335788700564,0.7224847989252607,0.3333333333333333,0.6194242601706134,0.004552115047698952,0.6035258562509707,0.003288833924921431
FAPs,Ndp,Lgr4,Resolving-Mac,0.3333333333333333,0.66708489883725,0.1836710409908527,1.0,22.54525184849854,0.01663882421530687,15.03959704861597,0.003056070164489221
