Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Cfp,Ncr1,Neutro,1.0,1307.3584004863499,0.3256239812697644,0.6666666666666666,5.836585532107638,0.7837367312808571,7630.509125558012,0.2552034747070241
M2,Xcl1,Xcr1,Neutro,0.3333333333333333,0.6355299660178266,0.4014442342613264,1.0,47.756337184579706,0.405750282842717,30.35058334805181,0.1628861115971111
M2,Hsp90aa1,Cftr,Neutro,1.0,5935.80631034594,0.1188776690341675,0.3333333333333333,1.2689501894145272,1.0,7532.242541841423,0.1188776690341675
M2,Il19,Il20ra,Neutro,1.0,2.426439514577353,0.1584353967046659,0.6666666666666666,1.3353214523268502,0.5782052540103724,3.240076736588689,0.0916081787958554
M2,H2-M3,Klrc1,Neutro,1.0,171.80198956638932,0.3487949629574051,0.3333333333333333,0.7914856568634834,0.2180378241421098,135.978810562407,0.0760504947949604
M2,Cntn1,Notch2,Neutro,0.6666666666666666,1.35599654294592,0.19225676898417302,1.0,11167.1171577267,0.3716688588753044,15142.572260549483,0.0714558539394005
M2,Epo,Crlf3,Neutro,0.3333333333333333,0.42686015269,0.2371514152260293,1.0,717.4619199432368,0.2630389726980547,306.2559046962307,0.0623800646349445
M2,Cd86,Ctla4,Neutro,1.0,1032.025588969607,0.2158588607093616,0.6666666666666666,2.2096651097262727,0.2785212845791472,2280.430936290848,0.0601212871725625
M2,Ccl12,Ccr10,Neutro,1.0,377.34560427564367,0.5245776115839755,0.6666666666666666,4.47653343257388,0.1134072038311015,1689.200213174712,0.0594908801221362
M2,Grp,Grpr,Neutro,0.3333333333333333,0.42686015269,0.0847349365577601,0.6666666666666666,1.48341441935848,0.6871395011020847,0.6332105055499085,0.0582247220322161
M2,H2-T23,Klrc1,Neutro,1.0,475.2306823403437,0.223420425136552,0.3333333333333333,0.7914856568634834,0.2180378241421098,376.13826877382826,0.0487141033656789
M2,Cntn1,Notch1,Neutro,0.6666666666666666,1.35599654294592,0.19225676898417302,1.0,2620.020204442037,0.1906844577849615,3552.738339671866,0.0366603777492356
M2,a,Atrn,Neutro,0.3333333333333333,0.9532949490267401,0.1517885243210512,1.0,1388.7617765053799,0.2213500266068758,1323.899586943981,0.0335983938970831
M2,Icosl,Ctla4,Neutro,1.0,143.936772969799,0.1115331626541869,0.6666666666666666,2.2096651097262727,0.2785212845791472,318.05206523795664,0.0310643597356191
M2,Cd80,Ctla4,Neutro,1.0,433.0726957605884,0.0942175081077443,0.6666666666666666,2.2096651097262727,0.2785212845791472,956.9456257972736,0.0262415813880151
M2,Efna4,Epha1,Neutro,0.6666666666666666,3.1132270067002796,0.0540221177536182,1.0,969.6240465004432,0.4724463505401367,3018.659767911188,0.0255225523811464
M2,Nmb,Grpr,Neutro,1.0,5.11280636858763,0.0317567041944707,0.6666666666666666,1.48341441935848,0.6871395011020847,7.584410690550758,0.0218212858768351
M2,Ccl25,Ccr10,Neutro,1.0,200.13005884309442,0.1763743054238227,0.6666666666666666,4.47653343257388,0.1134072038311015,895.8888992740898,0.0200021168057684
M2,Btla,Vtcn1,Neutro,1.0,21.6439238506048,0.0726806032206163,0.3333333333333333,0.3739978395998467,0.2687945805616627,8.09478076058979,0.0195361522576542
M2,Epo,Epor,Neutro,0.3333333333333333,0.42686015269,0.2371514152260293,0.3333333333333333,1.4959913583993831,0.0800641228636783,0.6385790996692813,0.018987320045952
M2,Ccl20,Cxcr3,Neutro,0.3333333333333333,0.3097121300853067,0.0202498013713719,1.0,139.6406639187313,0.8858097251547316,43.248407468796714,0.0179374709872129
M2,Tdgf1,Acvr1b,Neutro,0.3333333333333333,0.6355299660178266,0.0909800524971567,1.0,332.797786019696,0.1936192426873748,211.5029656399053,0.0176154888641571
M2,Cga,Lhcgr,Neutro,0.3333333333333333,0.85372030538,0.7354974842259521,0.6666666666666666,0.5770214269195327,0.0236919839910034,0.4926149088005468,0.0174253946217045
M2,Epcam,Epcam,Neutro,0.3333333333333333,1.27105993203565,0.15060974936582097,0.6666666666666666,0.9727642553512728,0.1152642585907393,1.236441668293498,0.0173599210971884
M2,Fgf6,Fgfr3,Neutro,0.3333333333333333,0.9532949490267401,0.5981061931644307,1.0,9.24584390996111,0.0239930434755257,8.81401629885557,0.0143503878955753
M2,Efna2,Epha8,Neutro,1.0,18.99418155230513,0.0657144936596623,0.3333333333333333,2.7701997990221936,0.1952723806776862,52.617677918786725,0.0128322256219509
M2,Efna2,Epha5,Neutro,1.0,18.99418155230513,0.0657144936596623,0.6666666666666666,1.29183147466306,0.1684001570238698,24.537281564732233,0.0110663310510312
M2,Efna4,Epha8,Neutro,0.6666666666666666,3.1132270067002796,0.0540221177536182,0.3333333333333333,2.7701997990221936,0.1952723806776862,8.624260828271579,0.0105490275429993
M2,Adm2,Ramp1,Neutro,0.3333333333333333,0.31776498300891304,0.0242280449827813,1.0,60.599535849381894,0.4296699257675241,19.256410479526853,0.0104100622892439
M2,Fgf8,Fgfrl1,Neutro,0.6666666666666666,2.835726288309397,0.1374535918299939,1.0,18.394192443721057,0.0739257063135916,52.160895064881856,0.0101613538613724
M2,Efna4,Epha5,Neutro,0.6666666666666666,3.1132270067002796,0.0540221177536182,0.6666666666666666,1.29183147466306,0.1684001570238698,4.0217646350264875,0.0090973331124712
M2,Efnb2,Grm5,Neutro,1.0,32.88213179115157,0.0071267331468198,0.3333333333333333,1.2689501894145272,1.0,41.72578736473522,0.0071267331468198
M2,a,Mc5r,Neutro,0.3333333333333333,0.9532949490267401,0.1517885243210512,1.0,6.452974981899318,0.0398360017673039,6.151588456440537,0.0060466479231098
M2,Gip,Dpp4,Neutro,0.3333333333333333,0.6355299660178266,0.0341127262832888,1.0,112.3171345199467,0.1700460273784215,71.38090468468138,0.0058007335875207
M2,a,Mc1r,Neutro,0.3333333333333333,0.9532949490267401,0.1517885243210512,1.0,4.660797689436669,0.038009232168752995,4.4431148957754765,0.0057693652614712
M2,a,F11r,Neutro,0.3333333333333333,0.9532949490267401,0.1517885243210512,1.0,57.837368885277,0.0376315103684771,55.1360716233309,0.0057120314268034
M2,Tdgf1,Acvr2a,Neutro,0.3333333333333333,0.6355299660178266,0.0909800524971567,1.0,304.4199227737279,0.0575463735173793,193.4679831755367,0.0052355720836321
M2,Fgf6,Fgfr1,Neutro,0.3333333333333333,0.9532949490267401,0.5981061931644307,1.0,41.979015302217725,0.0085197128119939,40.01838325272039,0.0050956929968359
M2,Slit1,Robo2,Neutro,1.0,39.83052511693293,0.1637505414207322,0.3333333333333333,1.994064583365683,0.028515521558189996,79.42463947253326,0.0046694320940481
M2,Fgf6,Fgfr4,Neutro,0.3333333333333333,0.9532949490267401,0.5981061931644307,0.6666666666666666,3.518195478221887,0.0077141011456957,3.3538779790776414,0.0046138516699374
