Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Gal,Galr1,Inflammatory-Mac,1.0,1249.296291576554,0.8604340954839461,0.3333333333333333,1.791396297504103,0.2586860240034862,2237.984751215844,0.22258227507777806
MuSCs,Xcl1,Xcr1,Inflammatory-Mac,0.3333333333333333,0.6140365490931501,0.3878675207145977,1.0,40.656675440475176,0.3454297069655496,24.964684685069603,0.1339809640218977
MuSCs,Prok1,Prokr1,Inflammatory-Mac,0.6666666666666666,0.909625067929408,0.7535779263429132,1.0,80.36507323570396,0.1456066278780699,73.10208520117905,0.1097259406981401
MuSCs,Nodal,Acvr1c,Inflammatory-Mac,1.0,14.21771188293797,0.1955886859869024,0.6666666666666666,0.99997466303883,0.3563677596507031,14.21735164932406,0.06970150183817726
MuSCs,Pth2,Pth2r,Inflammatory-Mac,0.3333333333333333,1.47794259418129,0.6975593854461581,0.6666666666666666,2.535371773653287,0.09584711497113124,3.7471339363671583,0.06685905461604956
MuSCs,Pomc,Oprd1,Inflammatory-Mac,1.0,6.534791529126674,0.1502764403470643,0.3333333333333333,0.9488346267332431,0.431792439684233,6.200436481318468,0.06488823080452101
MuSCs,Pth2,Pth1r,Inflammatory-Mac,0.3333333333333333,1.47794259418129,0.6975593854461581,1.0,34.11237361579659,0.08583287221365375,50.41612995541182,0.059873525592434924
MuSCs,Cd40lg,Cd40,Inflammatory-Mac,0.6666666666666666,1.055525037474238,0.1500321544305445,1.0,121.7835116998823,0.3596421521210658,128.5455457507627,0.053957886906761135
MuSCs,Inhba,Acvr1c,Inflammatory-Mac,1.0,160.570259072943,0.1143064919267711,0.6666666666666666,0.99997466303883,0.3563677596507031,160.5661907105238,0.04073514844147461
MuSCs,Gal,Galr3,Inflammatory-Mac,1.0,1249.296291576554,0.8604340954839461,0.3333333333333333,0.3162782089110817,0.04443138282097961,395.1251934990888,0.03823027668867053
