Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Hsp90aa1,Cftr,Neutrophils,1.0,16155.746916742068,0.323554616602088,0.3333333333333333,1.2689501894145272,1.0,20500.838110133,0.323554616602088
MuSCs,Grp,Grpr,Neutrophils,0.3333333333333333,2.149127921826026,0.4266179847494243,0.6666666666666666,1.48341441935848,0.6871395011020845,3.188047348282652,0.2931460692018961
MuSCs,Efnb2,Grm5,Neutrophils,1.0,1233.1610813108198,0.2672700787578181,0.3333333333333333,1.2689501894145272,1.0,1564.819987707988,0.2672700787578181
MuSCs,Shh,Gpc5,Neutrophils,1.0,8.192923359983746,0.8954021746339219,0.3333333333333333,1.812785984877893,0.2358500368894974,14.85201664215723,0.2111806359183467
MuSCs,Pth2,Pth2r,Neutrophils,0.3333333333333333,1.47794259418129,0.6975593854461581,1.0,7.453666617498452,0.2817781789115845,11.01609137682815,0.1965570133137025
MuSCs,Xcl1,Xcr1,Neutrophils,0.3333333333333333,0.6140365490931501,0.3878675207145977,1.0,47.756337184579706,0.4057502828427171,29.32413648214819,0.1573773562354515
MuSCs,Pth2,Pth1r,Neutrophils,0.3333333333333333,1.47794259418129,0.6975593854461581,1.0,61.61650314793867,0.1550382128348916,91.06565450684413,0.1081483604657777
MuSCs,Nmb,Grpr,Neutrophils,1.0,20.09164611507293,0.1247933945584983,0.6666666666666666,1.48341441935848,0.6871395011020845,29.80423755574698,0.08575047087776212
MuSCs,Rspo2,Rnf43,Neutrophils,0.3333333333333333,2.0691196318538068,0.1359059524759408,1.0,25.8038681742229,0.6235332738411693,53.39129021705224,0.08474188348182576
MuSCs,Pmch,Mchr1,Neutrophils,1.0,11.411515243866804,0.8253743643728655,0.3333333333333333,1.4502287879023168,0.09010135784075572,16.54930792024176,0.07436735095694585
MuSCs,Prok1,Prokr2,Neutrophils,0.6666666666666666,0.909625067929408,0.7535779263429132,0.3333333333333333,1.4502287879023168,0.07437205022858122,1.319164459708828,0.05604513538912522
MuSCs,Prok1,Prokr1,Neutrophils,0.6666666666666666,0.909625067929408,0.7535779263429132,1.0,37.10304139883834,0.06722383897119523,33.749856552805966,0.050658401172723216
MuSCs,Efna5,Epha8,Neutrophils,1.0,41.941605007706436,0.2590361649069777,0.3333333333333333,2.7701997990221936,0.1952723806776862,116.1866257630166,0.05058260860300324
MuSCs,Efna2,Epha8,Neutrophils,1.0,74.32937812591601,0.2571586163968917,0.3333333333333333,2.7701997990221936,0.1952723806776862,205.90722834585708,0.0502159752356009
MuSCs,Efna5,Epha5,Neutrophils,1.0,41.941605007706436,0.2590361649069777,0.6666666666666666,1.29183147466306,0.1684001570238698,54.181485446841,0.043621730845196084
MuSCs,Efna2,Epha5,Neutrophils,1.0,74.32937812591601,0.2571586163968917,0.6666666666666666,1.29183147466306,0.1684001570238698,96.02103015519026,0.04330555138127767
MuSCs,Efna3,Epha8,Neutrophils,0.3333333333333333,2.4561461963726003,0.2195739751463457,0.3333333333333333,2.7701997990221936,0.1952723806776862,6.804015699560503,0.04287673286169
MuSCs,Efna3,Epha5,Neutrophils,0.3333333333333333,2.4561461963726003,0.2195739751463457,0.6666666666666666,1.29183147466306,0.1684001570238698,3.172926962848082,0.0369762918929999
MuSCs,Rbp3,Notch1,Neutrophils,0.3333333333333333,0.37425338146383,0.1786449446974336,1.0,2620.020204442037,0.1906844577849615,980.5514210159872,0.03406481441565455
MuSCs,Efna4,Epha8,Neutrophils,1.0,8.588692825523564,0.1490348677341917,0.3333333333333333,2.7701997990221936,0.1952723806776862,23.792395139128732,0.029102393426439686
MuSCs,Nxph1,Nrxn2,Neutrophils,0.3333333333333333,0.7485067629276635,0.23422956967549,1.0,12.03828960714799,0.1097380681770463,9.010741185032074,0.02570390048612915
MuSCs,Efna4,Epha5,Neutrophils,1.0,8.588692825523564,0.1490348677341917,0.6666666666666666,1.29183147466306,0.1684001570238698,11.09514371822415,0.02509749512846956
MuSCs,Rln3,Rxfp4,Neutrophils,0.3333333333333333,1.84210964727945,0.2473516212224156,1.0,23.23719287185317,0.0992290698529115,42.805457164933976,0.02454447130050998
MuSCs,Ccl25,Ccr10,Neutrophils,1.0,233.9653401511847,0.206193285511231,0.6666666666666666,4.4765334325738815,0.1134072038311015,1047.353667250298,0.02338380395857668
MuSCs,Ccl28,Ccr10,Neutrophils,1.0,4.385663607300649,0.1913588588741456,0.6666666666666666,4.4765334325738815,0.1134072038311015,19.632569762103923,0.021701473113227208
MuSCs,Rspo4,Lgr4,Neutrophils,0.3333333333333333,0.37425338146383,0.3593965462938929,1.0,77.54471348007512,0.05722947186803039,29.021371234561965,0.02056807453559363
MuSCs,Enam,Cd63,Neutrophils,0.3333333333333333,0.7485067629276635,0.1418079778001389,1.0,1615.1742582813129,0.1269077942549957,1208.968855630236,0.01799653767037703
MuSCs,Tnfsf4,Tnfrsf4,Neutrophils,0.3333333333333333,0.7485067629276635,0.08018841849172034,1.0,17.37495255233094,0.2134494129155769,13.00526949096697,0.0171161708496863
MuSCs,Rspo4,Lgr5,Neutrophils,0.3333333333333333,0.37425338146383,0.3593965462938929,1.0,9.65714933580874,0.04614197546740546,3.6142207942276015,0.01658326662216306
MuSCs,Btla,Vtcn1,Neutrophils,1.0,16.19422772758138,0.05438044635791658,0.3333333333333333,0.3739978395998467,0.2687945805616627,6.056606184103371,0.014617169269532191
MuSCs,Nlgn1,Nrxn1,Neutrophils,0.6666666666666666,2.04381496803122,0.4410912678810362,0.3333333333333333,0.3739978395998467,0.03102726025749997,0.7643823825855061,0.01368585356585555
MuSCs,Rln3,Rxfp1,Neutrophils,0.3333333333333333,1.84210964727945,0.2473516212224156,0.6666666666666666,1.0991122335510028,0.050993189908499034,2.0246852488671667,0.01261324819516976
