Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Fgf6,Fgfr3,ECs,0.3333333333333333,0.95329494902674,0.5981061931644307,1.0,229.84284260521267,0.5964441287208017,219.10802092549716,0.3567369272644744
Resolving-Mac,Epo,Ephb4,ECs,0.3333333333333333,0.42686015269,0.2371514152260293,1.0,2091.5109050345072,0.7724689309552761,892.7826642758298,0.1831921001941817
Resolving-Mac,Epo,Epor,ECs,0.3333333333333333,0.42686015269,0.2371514152260293,1.0,12.041873950619529,0.6444703507665172,5.140196153235185,0.1528370557554951
Resolving-Mac,Cd86,Ctla4,ECs,1.0,1032.025588969607,0.2158588607093616,0.3333333333333333,5.349640744920467,0.6743052627086868,5520.9661405523475,0.1455547657786239
Resolving-Mac,a,F11r,ECs,0.3333333333333333,0.95329494902674,0.1517885243210512,1.0,1313.7073630212801,0.8547552076710155,1252.350593667424,0.1297420316281171
Resolving-Mac,Cga,Lhcgr,ECs,0.3333333333333333,0.8537203053800001,0.7354974842259521,1.0,3.631869062258557,0.1491212971757627,3.10060036493155,0.1096783389172841
Resolving-Mac,Cntn1,Notch1,ECs,0.6666666666666666,1.35599654294592,0.1922567689841729,1.0,5859.574522625936,0.4264584634893873,7945.562795814757,0.08198952629642448
Resolving-Mac,Fgf8,Fgfr3,ECs,0.6666666666666666,2.835726288309397,0.1374535918299939,1.0,229.84284260521267,0.5964441287208017,651.7713909553605,0.08198338781858543
Resolving-Mac,Icosl,Ctla4,ECs,1.0,143.936772969799,0.1115331626541869,0.3333333333333333,5.349640744920467,0.6743052627086868,770.0100253716035,0.07520739854426221
Resolving-Mac,Fgf23,Fgfr3,ECs,0.3333333333333333,1.2805804580700002,0.1212029430278733,1.0,229.84284260521267,0.5964441287208017,294.3322526674941,0.07229078375265686
Resolving-Mac,Fgf6,Fgfr1,ECs,0.3333333333333333,0.95329494902674,0.5981061931644307,1.0,581.212879713198,0.1179581460436693,554.0673025398778,0.07055149768291298
Resolving-Mac,Fgf6,Fgfr2,ECs,0.3333333333333333,0.95329494902674,0.5981061931644307,1.0,9.403594422485334,0.1103704582771487,8.964399065651293,0.06601325463795903
Resolving-Mac,Cd80,Ctla4,ECs,1.0,433.0726957605884,0.09421750810774432,0.3333333333333333,5.349640744920467,0.6743052627086868,2316.7833387533888,0.06353136155635038
Resolving-Mac,Epcam,Epcam,ECs,0.3333333333333333,1.27105993203565,0.15060974936582094,0.3333333333333333,3.3770564388198667,0.4001523539730516,4.292441127606934,0.0602668457400246
Resolving-Mac,a,Mc1r,ECs,0.3333333333333333,0.95329494902674,0.1517885243210512,1.0,40.881848703552926,0.3333952216769553,38.97245987597239,0.05060556871403479
Resolving-Mac,Pdyn,Oprd1,ECs,1.0,5.9247896738968775,0.345598620682652,0.3333333333333333,0.29744992210352195,0.1353625004086973,1.762328226980378,0.04678109343340072
Resolving-Mac,Oxt,Avpr1b,ECs,1.0,10.667105860259747,0.2976859548051936,0.3333333333333333,0.29744992210352195,0.138371590602455,3.172929807204285,0.041191279066405184
Resolving-Mac,Efna4,Epha4,ECs,0.6666666666666666,3.11322700670028,0.0540221177536182,1.0,544.3165632215364,0.6412160085518374,1694.5810248155676,0.03463984671949241
Resolving-Mac,Fgf23,Kl,ECs,0.3333333333333333,1.2805804580700002,0.1212029430278733,1.0,13.910362129589359,0.2815851158882443,17.81333790782912,0.03412894475849998
Resolving-Mac,Fgf6,Fgfr4,ECs,0.3333333333333333,0.95329494902674,0.5981061931644307,1.0,24.712253795580093,0.054184830404465034,23.55806672239338,0.03240828264047488
Resolving-Mac,a,Mc5r,ECs,0.3333333333333333,0.95329494902674,0.1517885243210512,1.0,32.68045691292833,0.2017455116425285,31.15411450698059,0.030622653500614862
Resolving-Mac,a,Atrn,ECs,0.3333333333333333,0.95329494902674,0.1517885243210512,1.0,1264.381259889137,0.2015254381654644,1205.32826869638,0.0305892488722891
Resolving-Mac,Cntn4,Ptprg,ECs,0.3333333333333333,0.3097121300853067,0.044834667800185884,1.0,4063.74671815182,0.6248423330846229,1258.591652205974,0.028014598431342186
Resolving-Mac,Gdf3,Tdgf1,ECs,1.0,317.6008956295373,0.6390848201914603,0.3333333333333333,0.29744992210352195,0.04258179940408117,94.47036166501469,0.02721338161558605
Resolving-Mac,Grp,Grpr,ECs,0.3333333333333333,0.42686015269,0.0847349365577602,0.3333333333333333,0.6754112877639766,0.3128604988979153,0.2883061654234806,0.02651021452554406
Resolving-Mac,Bmp7,Eng,ECs,0.3333333333333333,0.42686015269,0.03497479047883825,1.0,8635.434097246025,0.7328519886618379,3686.122717294871,0.02563134475544773
Resolving-Mac,Gnai2,Oprd1,ECs,1.0,4294.025951830644,0.1801677849064083,0.3333333333333333,0.29744992210352195,0.1353625004086973,1277.257684882527,0.02438796185802778
Resolving-Mac,Efna4,Epha2,ECs,0.6666666666666666,3.11322700670028,0.0540221177536182,1.0,1275.5666274425698,0.4100779671156883,3971.128473399804,0.02215328022768809
Resolving-Mac,Xcl1,Xcr1,ECs,0.3333333333333333,0.6355299660178267,0.4014442342613265,1.0,6.466073720436765,0.05493744695722245,4.10938361181794,0.022054321326014408
Resolving-Mac,Epo,Crlf3,ECs,0.3333333333333333,0.42686015269,0.2371514152260293,1.0,223.92274943712968,0.08209552080523869,95.5836990154978,0.01946906894268029
Resolving-Mac,Adm2,Ramp2,ECs,0.3333333333333333,0.31776498300891304,0.02422804498278135,1.0,882.0125345944008,0.7686031696608518,280.27269806903803,0.018621752168451442
Resolving-Mac,Gnai2,Adcy1,ECs,1.0,4294.025951830644,0.1801677849064083,1.0,7.434171776531496,0.0996820233635578,31922.526538793165,0.01795948934440104
Resolving-Mac,Avp,Avpr1b,ECs,0.6666666666666666,0.7365722827753066,0.1273272869817122,0.3333333333333333,0.29744992210352195,0.138371590602455,0.2190933681351283,0.01761847922675478
Resolving-Mac,Tdgf1,Acvr2a,ECs,0.3333333333333333,0.6355299660178267,0.09098005249715677,1.0,1021.315072424945,0.1930654804100339,649.0763332717197,0.01756510754309368
Resolving-Mac,a,Mc4r,ECs,0.3333333333333333,0.95329494902674,0.1517885243210512,0.3333333333333333,1.426570865312127,0.1119823398730211,1.3599428003307557,0.016997634119344282
Resolving-Mac,Fgf8,Fgfrl1,ECs,0.6666666666666666,2.835726288309397,0.1374535918299939,1.0,29.521940446280972,0.1186477909218619,83.7161426054234,0.01630856502490407
Resolving-Mac,Fgf8,Fgfr1,ECs,0.6666666666666666,2.835726288309397,0.1374535918299939,1.0,581.212879713198,0.1179581460436693,1648.1606421067233,0.01621377085930933
Resolving-Mac,Cd48,Cd2,ECs,1.0,1852.492571168917,0.4380224076891659,0.6666666666666666,1.308185276863107,0.03618517212401643,2423.403507101457,0.01584991621640857
Resolving-Mac,Btla,Vtcn1,ECs,1.0,21.6439238506048,0.07268060322061635,0.3333333333333333,0.29744992210352195,0.2137791147014642,6.437983463376961,0.01553759501247175
