Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Cfp,Ncr1,Neutrophils,1.0,1307.3584004863499,0.3256239812697644,0.6666666666666666,5.836585532107638,0.7837367312808572,7630.509125558012,0.2552034747070243
Resolving-Mac,Xcl1,Xcr1,Neutrophils,0.3333333333333333,0.6355299660178267,0.4014442342613265,1.0,47.756337184579706,0.4057502828427171,30.35058334805181,0.1628861115971112
Resolving-Mac,Hsp90aa1,Cftr,Neutrophils,1.0,5935.80631034594,0.1188776690341675,0.3333333333333333,1.2689501894145272,1.0,7532.242541841423,0.1188776690341675
Resolving-Mac,Il19,Il20ra,Neutrophils,1.0,2.426439514577353,0.1584353967046659,0.6666666666666666,1.3353214523268502,0.5782052540103724,3.240076736588689,0.09160817879585548
Resolving-Mac,H2-M3,Klrc1,Neutrophils,1.0,171.80198956638938,0.3487949629574052,0.3333333333333333,0.7914856568634834,0.2180378241421098,135.978810562407,0.07605049479496043
Resolving-Mac,Cntn1,Notch2,Neutrophils,0.6666666666666666,1.35599654294592,0.1922567689841729,1.0,11167.1171577267,0.3716688588753044,15142.572260549468,0.07145585393940057
Resolving-Mac,Epo,Crlf3,Neutrophils,0.3333333333333333,0.42686015269,0.2371514152260293,1.0,717.4619199432367,0.2630389726980547,306.2559046962307,0.062380064634944575
Resolving-Mac,Cd86,Ctla4,Neutrophils,1.0,1032.025588969607,0.2158588607093616,0.6666666666666666,2.2096651097262727,0.2785212845791472,2280.430936290848,0.0601212871725626
Resolving-Mac,Ccl12,Ccr10,Neutrophils,1.0,377.34560427564367,0.5245776115839756,0.6666666666666666,4.4765334325738815,0.1134072038311015,1689.200213174712,0.0594908801221363
Resolving-Mac,Grp,Grpr,Neutrophils,0.3333333333333333,0.42686015269,0.0847349365577602,0.6666666666666666,1.48341441935848,0.6871395011020845,0.6332105055499085,0.058224722032216125
Resolving-Mac,H2-T23,Klrc1,Neutrophils,1.0,475.2306823403437,0.223420425136552,0.3333333333333333,0.7914856568634834,0.2180378241421098,376.13826877382826,0.04871410336567895
Resolving-Mac,Cntn1,Notch1,Neutrophils,0.6666666666666666,1.35599654294592,0.1922567689841729,1.0,2620.020204442037,0.1906844577849615,3552.738339671864,0.03666037774923562
Resolving-Mac,a,Atrn,Neutrophils,0.3333333333333333,0.95329494902674,0.1517885243210512,1.0,1388.7617765053799,0.2213500266068758,1323.899586943981,0.03359839389708311
Resolving-Mac,Icosl,Ctla4,Neutrophils,1.0,143.936772969799,0.1115331626541869,0.6666666666666666,2.2096651097262727,0.2785212845791472,318.05206523795664,0.0310643597356191
Resolving-Mac,Cd80,Ctla4,Neutrophils,1.0,433.0726957605884,0.09421750810774432,0.6666666666666666,2.2096651097262727,0.2785212845791472,956.9456257972736,0.02624158138801517
Resolving-Mac,Efna4,Epha1,Neutrophils,0.6666666666666666,3.11322700670028,0.0540221177536182,1.0,969.6240465004432,0.4724463505401367,3018.659767911188,0.02552255238114645
Resolving-Mac,Nmb,Grpr,Neutrophils,1.0,5.11280636858763,0.03175670419447078,0.6666666666666666,1.48341441935848,0.6871395011020845,7.584410690550758,0.021821285876835118
Resolving-Mac,Ccl25,Ccr10,Neutrophils,1.0,200.13005884309442,0.1763743054238227,0.6666666666666666,4.4765334325738815,0.1134072038311015,895.8888992740898,0.02000211680576841
