Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Pmch,Mchr1,FAPs,0.5,1.6099260748725148,0.5652197252763336,1.0,8.140590566518105,0.4357414547474728,13.10574901789871,0.2462896653438765
ECs,Zp3,Egfr,FAPs,0.5,1.6099260748725148,0.3234897319840579,1.0,7766.15008214418,0.7513678619790771,12502.927518617242,0.2430597882930463
ECs,Apob,Ldlr,FAPs,0.5,3.10053542909167,0.6755546332102338,1.0,1212.88709742969,0.2983265562287891,3760.599417068914,0.2015358872700118
ECs,Fgf15,Fgfr2,FAPs,0.5,0.8049630374362551,0.2597270426806834,1.0,60.4329570859503,0.7176169611740534,48.64629669716141,0.1863845311032357
ECs,Fgf15,Fgfr1,FAPs,0.5,0.8049630374362551,0.2597270426806834,1.0,3682.111986847389,0.6645547607592458,2963.964049113119,0.1726028427113679
ECs,Epcam,Epcam,FAPs,0.5,1.207444556154385,0.3021677167720213,0.3333333333333333,2.0974172216892,0.5248868527882181,2.532515006313079,0.1586038618706679
ECs,Gm13306,Ackr2,FAPs,0.5,0.4024815187181286,0.1488937756479047,1.0,14.778373917143481,1.0,5.9480223783562876,0.1488937756479047
ECs,Il19,Il20ra,FAPs,0.5,1.860321257455,0.1478311594250995,1.0,1.339854782547648,1.0,2.492560333876136,0.1478311594250995
ECs,Rspo1,Lgr4,FAPs,1.0,5.363338205264799,0.2048581915873106,1.0,628.168871180034,0.4728566454057542,3369.082106157938,0.09686855725786496
ECs,Ifna11,Ifnar1,FAPs,0.5,1.6099260748725148,1.0,1.0,872.594521435608,0.0958661861894975,1404.812672850089,0.0958661861894975
ECs,Ifna11,Ifnar2,FAPs,0.5,1.6099260748725148,1.0,1.0,448.323096614239,0.09133184054969652,721.767043206853,0.09133184054969652
ECs,Rspo1,Lgr5,FAPs,1.0,5.363338205264799,0.2048581915873106,1.0,90.46123605196884,0.4133537056198045,485.1742034130018,0.08467889261918668
ECs,Rspo1,Lrp6,FAPs,1.0,5.363338205264799,0.2048581915873106,1.0,2933.022863091846,0.2857013769713958,15730.79357853564,0.05852826742036464
ECs,Fgf15,Klb,FAPs,0.5,0.8049630374362551,0.2597270426806834,1.0,41.19318900358663,0.2160250277787383,33.15899454201283,0.056107541609984164
ECs,Rspo1,Lgr6,FAPs,1.0,5.363338205264799,0.2048581915873106,1.0,15.58102252969761,0.2142559778502497,83.5662934106188,0.043892092159173016
