Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Zp3,Chrna7,MuSCs,0.5,1.6099260748725148,0.3234897319840579,1.0,27.675178658684892,0.8782890374109847,44.55499174937217,0.2841174853166157
ECs,Mstn,Acvr2b,MuSCs,0.5,0.620107085818335,0.6394988507087435,1.0,72.85105384691279,0.3727175117477249,45.175454699803716,0.2383524204016927
ECs,Fgf15,Fgfr4,MuSCs,0.5,0.8049630374362551,0.2597270426806834,1.0,464.93234990755997,0.9072541461777596,374.2533565839653,0.2356384363465379
ECs,Gast,Cckbr,MuSCs,1.0,13.96753643448112,0.33031160770619605,1.0,2.64784686373246,0.5499123394723071,36.9838975421097,0.1816424289485732
ECs,Hsp90aa1,Cftr,MuSCs,1.0,6673.61678154342,0.1675440627707181,0.5,5.9130199182611,1.0,39461.228956107785,0.1675440627707181
ECs,Apob,Lrp2,MuSCs,0.5,3.10053542909167,0.6755546332102338,1.0,6.66023678552518,0.2279657687023318,20.650300119660443,0.1540033312601927
ECs,Rspo1,Lgr6,MuSCs,1.0,5.363338205264799,0.2048581915873106,1.0,51.841466505677005,0.7128764545583617,278.0433179268529,0.1460385813059995
ECs,Pmch,Mchr1,MuSCs,0.5,1.6099260748725148,0.5652197252763336,1.0,4.467237607812798,0.2391178622761214,7.191922307468943,0.1351541324243735
ECs,Cck,Cckbr,MuSCs,1.0,20.201376908146752,0.223980336520956,1.0,2.64784686373246,0.5499123394723071,53.49015248931371,0.1231695508520335
ECs,Apob,Ldlr,MuSCs,0.5,3.10053542909167,0.6755546332102338,1.0,667.8537783604455,0.1642679835451101,2070.7043012592967,0.1109719973720016
ECs,Ntn1,Dcc,MuSCs,1.0,226.609673080031,0.1413376804023702,1.0,1.489079202604265,0.6491071422372603,337.4397512924258,0.09174329781642572
ECs,Gm13306,Ccr10,MuSCs,0.5,0.4024815187181286,0.1488937756479047,1.0,28.7040556433452,0.5138410224889466,11.552851908703252,0.07650772992115919
ECs,Ntn4,Dcc,MuSCs,1.0,193.33226988001098,0.1150216828350732,1.0,1.489079202604265,0.6491071422372603,287.88706227059936,0.0746613958403949
ECs,Rspo1,Lgr4,MuSCs,1.0,5.363338205264799,0.2048581915873106,1.0,439.97646957467794,0.3311940578490126,2359.742608687396,0.06784781575541185
ECs,Rspo1,Znrf3,MuSCs,1.0,5.363338205264799,0.2048581915873106,1.0,398.125127928906,0.3297965561875674,2135.279709097037,0.06756152609230791
ECs,Ifna11,Ifnar1,MuSCs,0.5,1.6099260748725148,1.0,1.0,535.2989566690464,0.05880975434346161,861.7917481935502,0.05880975434346161
ECs,Zp3,Egfr,MuSCs,0.5,1.6099260748725148,0.3234897319840579,1.0,1871.460900439195,0.1810621170936998,3012.9137017214557,0.05857173573110708
ECs,Fgf15,Fgfr1,MuSCs,0.5,0.8049630374362551,0.2597270426806834,1.0,1220.07358709171,0.220201263208351,982.11414056109,0.05719222288765576
ECs,Rspo1,Lgr5,MuSCs,1.0,5.363338205264799,0.2048581915873106,1.0,60.153260998582546,0.2748643996484303,322.6222828849627,0.056308223843709225
ECs,Fgf15,Fgfr2,MuSCs,0.5,0.8049630374362551,0.2597270426806834,1.0,16.959255059211053,0.2013843052898716,13.65157346511871,0.052304950055242265
ECs,Ifna11,Ifnar2,MuSCs,0.5,1.6099260748725148,1.0,1.0,255.22799107166546,0.05199473852767898,410.8981978636037,0.05199473852767898
ECs,Fgf15,Klb,MuSCs,0.5,0.8049630374362551,0.2597270426806834,1.0,36.609653874310496,0.19198808556626504,29.469418182154946,0.04986449769405201
ECs,Tnfsf13b,Tnfrsf17,MuSCs,1.0,24.226192095328003,0.0730931089811835,0.5,1.1587676611281952,0.6236952798994269,28.0725279523456,0.04558782706473855
ECs,Tnfsf13,Tnfrsf17,MuSCs,1.0,8.115169605327136,0.06137937932894037,0.5,1.1587676611281952,0.6236952798994269,9.403596103223544,0.03828202917061657
ECs,Snca,Lag3,MuSCs,0.5,2.41488911230877,0.1279343697994322,1.0,331.6964082790435,0.2648923883224575,801.0100449449866,0.033888840764700064
ECs,Rspo1,Lrp6,MuSCs,1.0,5.363338205264799,0.2048581915873106,1.0,1678.450200140885,0.1634953274290754,9002.096084049956,0.033493357110095615
ECs,Fgf15,Fgfr3,MuSCs,0.5,0.8049630374362551,0.2597270426806834,1.0,54.3161258007856,0.1271686774121796,43.722473606370116,0.03302914450587923
ECs,Zp3,Mertk,MuSCs,0.5,1.6099260748725148,0.3234897319840579,1.0,600.9867352570996,0.09998632741343924,967.5442157429097,0.03234455025704373
ECs,Dsc2,Dsg2,MuSCs,1.0,11.987898456372779,0.4688019794451729,0.5,0.579383830564095,0.05088990224865972,6.945594528066666,0.02385728690794303
ECs,Mdk,Alk,MuSCs,1.0,27.39226675538425,0.09121452849397857,0.5,2.3175353222563846,0.2580801568144486,63.48254576227229,0.02354065981748198
ECs,Lep,Lepr,MuSCs,0.5,0.8049630374362551,0.1904572672802329,1.0,44.434012852887754,0.1141798188874087,35.76773795154212,0.02174637628384779
ECs,Ccl20,Ackr4,MuSCs,0.5,1.240214171636665,0.0780877275636861,1.0,13.856560509458447,0.2507849010948614,17.18510271397134,0.0195832230337815
ECs,Il19,Il20rb,MuSCs,0.5,1.860321257455,0.1478311594250995,1.0,65.77391173559965,0.1149656473640488,122.3606061877049,0.01699550494388447
ECs,Rbp4,Stra6,MuSCs,1.0,3.0349961981271054,0.030963851244838667,1.0,43.567614373003494,0.5131501921539753,132.2275439835334,0.01588910621611607
ECs,Wnt2,Fzd3,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,397.838113279586,0.7886665359280511,160.12248803672261,0.015303224055470441
ECs,Clec4g,Lag3,MuSCs,0.5,0.8049630374362551,0.04662722699751909,1.0,331.6964082790435,0.2648923883224575,267.003348314995,0.0123511975202262
ECs,Apob,Lsr,MuSCs,0.5,3.10053542909167,0.6755546332102338,1.0,4.218165318724782,0.01816802392917601,13.078571016471939,0.01227349274162925
ECs,Il1rapl1,Ptprf,MuSCs,0.5,0.4024815187181286,0.01704677320076927,1.0,705.5414212802617,0.6985844796571478,283.9673827554267,0.011908611186292807
ECs,Cgn,F11r,MuSCs,1.0,9.388153392446084,0.4582792385139311,1.0,33.458307900478104,0.02245247111187809,314.1117268213792,0.01028950136390753
ECs,Ptn,Alk,MuSCs,1.0,7.59337136595564,0.0355744885042609,0.5,2.3175353222563846,0.2580801568144486,17.59790635561241,0.009181069571773452
ECs,Npy,Npy1r,MuSCs,0.5,0.620107085818335,0.01067664509325965,1.0,1101.56595898446,0.8343076972930885,683.0888566625331,0.00890760718257301
ECs,Wnt2,Fzd9,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,37.681827751126754,0.39206492348647,15.16623926134842,0.007607597248112079
ECs,Il1rapl1,Ptprs,MuSCs,0.5,0.4024815187181286,0.01704677320076927,1.0,1558.56685927496,0.3779408841628197,627.2943565447298,0.006442672535621796
ECs,Wnt2,Fzd8,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,179.6804389369405,0.2741617428408701,72.3180559472798,0.005319813111120592
ECs,Wnt2,Fzd7,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,474.3011759550405,0.2740987245517025,190.8974576281791,0.005318590309144355
ECs,Ereg,Egfr,MuSCs,0.5,1.240214171636665,0.028197102670053032,1.0,1871.460900439195,0.1810621170936998,2321.012330388603,0.005105427105348217
ECs,Wnt2,Fzd4,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,1434.7456312974148,0.2542475457120755,577.4586006587837,0.0049333995806059
ECs,Ccl20,Ccr6,MuSCs,0.5,1.240214171636665,0.0780877275636861,1.0,1.03423151658418,0.053214919133451916,1.282668583620981,0.0041554321076165785
ECs,Wnt2,Fzd1,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,236.1404518545935,0.1832807230600091,95.04216769322191,0.003556364879531068
ECs,Wnt2,Fzd2,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,75.58013996303336,0.1730331555368333,30.41960951725039,0.0033575218772142713
ECs,Npy,Fap,MuSCs,0.5,0.620107085818335,0.01067664509325965,1.0,520.5059281279284,0.2287233269943566,322.7694142425775,0.00244199778686832
ECs,Apob,Olr1,MuSCs,0.5,3.10053542909167,0.6755546332102338,1.0,5.831780665873059,0.002129329695548369,18.08164256923123,0.001438478541459837
ECs,Wnt2,Fzd5,MuSCs,0.5,0.4024815187181286,0.01940392213733605,1.0,202.50360185356755,0.06913933947167987,81.50395721991508,0.001341574359735321
ECs,Ccl20,Cxcr3,MuSCs,0.5,1.240214171636665,0.0780877275636861,0.5,2.3175353222563846,0.01372249908740775,2.874240149930913,0.001071558770230427
