Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cga,Lhcgr,sCs,0.6666666666666666,2.247130213040686,1.0,1.0,52.99487963488129,0.8286594580214619,119.0863951639963,0.8286594580214619
FAPs,Tac2,Tacr3,sCs,0.3333333333333333,3.6422922890463,0.5577249041773812,1.0,13.114698174118303,0.8906643695860114,47.76756403276067,0.4967457001815658
FAPs,Ntn1,Dcc,sCs,1.0,801.2800111866618,0.4997626826543786,1.0,1.489079202604265,0.6491071422372603,1193.169400120571,0.3243995267346105
FAPs,Tnfsf13b,Tnfrsf17,sCs,1.0,122.172291380583,0.3686073557587282,0.5,1.1587676611281952,0.6236952798994269,141.5693003377505,0.2298986679229276
FAPs,Wnt9b,Fzd10,sCs,0.6666666666666666,1.36137403554118,0.4279742227811508,0.5,2.274238430100425,0.463099235507779,3.096089149368654,0.1981945353869868
FAPs,Hsp90aa1,Cftr,sCs,1.0,7727.5754256451355,0.1940041546527514,0.5,5.9130199182611,1.0,45693.307411704685,0.1940041546527514
FAPs,Ntn4,Dcc,sCs,1.0,397.07080816167434,0.2362345023300241,1.0,1.489079202604265,0.6491071422372603,591.2698823948169,0.1533415027052834
FAPs,Il25,Il17rb,sCs,0.3333333333333333,0.66223496164478,0.5333641579849523,1.0,97.74849496539724,0.2484594163200575,64.73247081424482,0.1325193473789802
FAPs,Cck,Cckbr,sCs,1.0,19.43150005026003,0.2154444194647467,1.0,2.6478468637324597,0.5499123394723071,51.45163646569817,0.1184755447341119
FAPs,Wnt9b,Fzd8,sCs,0.6666666666666666,1.36137403554118,0.4279742227811508,1.0,179.6804389369405,0.2741617428408701,244.61228426339332,0.1173341588086471
FAPs,Ostn,Npr3,sCs,0.3333333333333333,0.34956953694820003,1.0,1.0,20.43555804259565,0.116599089683288,7.143648562228226,0.116599089683288
FAPs,Wnt9b,Fzd4,sCs,0.6666666666666666,1.36137403554118,0.4279742227811508,1.0,1434.7456312974148,0.2542475457120755,1953.2254500544398,0.1088113957701406
FAPs,Ptn,Alk,sCs,1.0,77.49264886449579,0.3630484027891066,0.5,2.3175353222563846,0.2580801568144487,179.5919509586801,0.0936955887230477
FAPs,Tac2,Tacr2,sCs,0.3333333333333333,3.6422922890463,0.5577249041773812,1.0,2.8536222606645203,0.1677414440044822,10.39372635586925,0.0935535807839754
FAPs,Gast,Cckbr,sCs,1.0,5.086725014613354,0.1202935338968155,1.0,2.6478468637324597,0.5499123394723071,13.468868876613419,0.066150898648589
FAPs,Ifnb1,Ifnar1,sCs,0.3333333333333333,17.8280463843582,0.9062107510138484,1.0,535.2989566690464,0.0588097543434616,9543.33462899431,0.0532940316505282
FAPs,Ifnb1,Ifnar2,sCs,0.3333333333333333,17.8280463843582,0.9062107510138484,1.0,255.22799107166549,0.0519947385276789,4550.216463412213,0.0471181910499366
FAPs,Mdk,Alk,sCs,1.0,47.096919352028856,0.15682978450003,0.5,2.3175353222563846,0.2580801568144487,109.14877416778721,0.0404746553769439
