Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Inhbc,Acvr2b,M2,0.6666666666666666,1.8676071665819363,0.5057153192807295,1.0,22.0531773631634,0.1128275427587083,41.1866720893465,0.0570586168098803
M2,Oxt,Avpr1b,M2,1.0,9.47715125065835,0.3248907928757944,0.3333333333333333,0.325179402871857,0.1299664426805137,3.0817743846153554,0.0422249006097185
M2,Inhbc,Acvr2a,M2,0.6666666666666666,1.8676071665819363,0.5057153192807295,1.0,443.984551069279,0.0786746325548476,829.1887294286493,0.0397869669217688
M2,Tac2,Tacr2,M2,0.6666666666666666,1.8677508901175333,0.28599878964979397,0.6666666666666666,1.259090778814524,0.0740117948623985,2.351667922869604,0.0211672837504548
M2,Avp,Avpr1b,M2,0.6666666666666666,1.259090778814524,0.1418050834026248,0.3333333333333333,0.325179402871857,0.1299664426805137,0.4094303876163681,0.0184299022438527
M2,Edn2,Ednrb,M2,0.3333333333333333,1.245215167923553,0.16544008277734198,1.0,849.020118417815,0.0621084413923158,1057.2127293261149,0.0102752256851164
M2,Rln3,Rxfp1,M2,0.6666666666666666,0.961662597724602,0.1257778724024298,0.6666666666666666,1.57039457079541,0.0808089371128519,1.5101897224037257,0.0101639761811562
M2,Cgn,F11r,M2,0.6666666666666666,1.867463443046335,0.0911595378618855,1.0,101.5273767219312,0.068130776358877,189.59866449659992,0.0062107700870467
M2,Gnrh1,Gnrhr,M2,1.0,27.51134612515553,0.0735303769620549,0.3333333333333333,0.325179402871857,0.0803583127687785,8.946123105179051,0.0059087770299229
M2,Tac2,Tacr1,M2,0.6666666666666666,1.8677508901175333,0.28599878964979397,0.3333333333333333,0.3112319302130893,0.0206127148804846,0.5813037146884954,0.0058952115072149
M2,Ifnb1,Ifnar1,M2,0.3333333333333333,0.3112319302130893,0.0158201137206681,1.0,2479.483400752687,0.2724044347187277,771.6944047475736,0.0043094691352645
M2,Lgi1,Rtn4r,M2,0.3333333333333333,0.325179402871857,0.0667218583583159,0.3333333333333333,1.6258970143592832,0.0635983684691411,0.5287082202604869,0.004243401332818
M2,Wnt10b,Fzd7,M2,0.3333333333333333,0.3113037919808887,0.0161588413175748,1.0,414.12642128128095,0.2393237243146114,128.9191253043378,0.0038671940847308
M2,Ifnb1,Ifnar2,M2,0.3333333333333333,0.3112319302130893,0.0158201137206681,1.0,1088.049509149763,0.2216561337801163,338.63574890008516,0.0035066252432849995
M2,Guca2b,Gucy2c,M2,1.0,1.2589470552789261,0.0748376520436147,1.0,7.242450401460477,0.0386271619313242,9.11786160592234,0.0028907661040488
M2,Bdnf,Sort1,M2,0.3333333333333333,0.6226075839617767,0.0081407511171258,1.0,1017.4109946512109,0.2788671240369522,633.4478012759389,0.0022701878515334
M2,Ren1,Atp6ap2,M2,0.3333333333333333,0.3113037919808887,0.0066848403250579,1.0,2368.32738852276,0.2911920669678312,737.2692966993308,0.0019465724716035
M2,Efna3,Epha8,M2,0.3333333333333333,0.325179402871857,0.0190327207200036,0.3333333333333333,0.6224638604261801,0.0906608922392536,0.2024124264426961,0.0017255234422160002
M2,Lgi1,Adam22,M2,0.3333333333333333,0.325179402871857,0.0667218583583159,1.0,33.28096240266417,0.0248813984488065,10.82228348109906,0.0016601331430579997
M2,Efna3,Epha1,M2,0.3333333333333333,0.325179402871857,0.0190327207200036,1.0,186.64394602379866,0.0849242553038305,60.692766917665956,0.0016163396335520002
M2,Il1f6,Il1rl2,M2,0.3333333333333333,0.6503588057437133,0.0227819470253162,1.0,87.91405962151106,0.0623216678961808,57.17568282352754,0.0014198089365401
