Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Oxt,Avpr1b,Neutro,1.0,9.47715125065835,0.3248907928757944,0.3333333333333333,2.176846475232847,0.8700335573194863,20.63030329524419,0.2826658922660758
M2,Pdyn,Oprd1,Neutro,1.0,3.776769304068974,0.4744807936482252,0.3333333333333333,0.6655491945034667,0.5346064254881082,2.5136257681485237,0.2536604810550384
M2,Avp,Avpr1b,Neutro,0.6666666666666666,1.259090778814524,0.1418050834026248,0.3333333333333333,2.176846475232847,0.8700335573194863,2.740847323860575,0.1233751811587721
M2,Gnai2,Oprd1,Neutro,1.0,4492.936957097661,0.1944712828183026,0.3333333333333333,0.6655491945034667,0.5346064254881082,2990.270572751205,0.1039655973675797
M2,Psap,Gpr37,Neutro,1.0,103477.31723535,0.4819755483116264,0.3333333333333333,1.4512309834885633,0.2108873976900811,150169.488860215,0.1016425691336888
M2,B2m,Gm11127,Neutro,1.0,35679.19579854713,0.2923940807750988,0.6666666666666666,2.9478669197283303,0.2892583024208338,105177.52101704711,0.0845774154429052
M2,Oxt,Oxtr,Neutro,1.0,9.47715125065835,0.3248907928757944,0.3333333333333333,2.8574888903634035,0.2182717428666166,27.08085441104987,0.0709144796023165
M2,Guca2b,Gucy2c,Neutro,1.0,1.2589470552789261,0.0748376520436147,1.0,146.1980180302323,0.7797381001537339,184.0555642867763,0.0583537686244543
M2,Tac2,Tacr2,Neutro,0.6666666666666666,1.8677508901175333,0.28599878964979397,0.6666666666666666,2.73763487938547,0.1609234810630537,5.113219982789015,0.0460239208102648
M2,Avp,Oxtr,Neutro,0.6666666666666666,1.259090778814524,0.1418050834026248,0.3333333333333333,2.8574888903634035,0.2182717428666166,3.5978379124215065,0.0309520427016368
M2,Inhbc,Acvr2a,Neutro,0.6666666666666666,1.8676071665819363,0.5057153192807295,1.0,317.8056864141383,0.0563155757159937,593.5361775275362,0.0284796493536918
M2,Pomc,Oprd1,Neutro,0.6666666666666666,1.286842000596459,0.0392633297293663,0.3333333333333333,0.6655491945034667,0.5346064254881082,0.8564566569502028,0.0209904283593774
M2,Lgi1,Rtn4r,Neutro,0.3333333333333333,0.325179402871857,0.0667218583583159,1.0,7.876731035332569,0.3081051495225288,2.561350694651669,0.0205573481459099
M2,Inhbc,Acvr2b,Neutro,0.6666666666666666,1.8676071665819363,0.5057153192807295,1.0,6.970206192224651,0.0356606771096784,13.01760703715255,0.018034150710288
M2,Nmb,Nmbr,Neutro,1.0,5.970058905897362,0.0255197585332745,1.0,5.73019629222384,0.4762906022019373,34.20960940693099,0.0121548211598613
M2,Penk,Oprd1,Neutro,1.0,9.207618014885961,0.0202410514671477,0.3333333333333333,0.6655491945034667,0.5346064254881082,6.128122753102959,0.0108209961729726
M2,Qrfp,Qrfpr,Neutro,1.0,19.46497099516937,0.1604273254800211,0.3333333333333333,1.22463809587003,0.0597642400854248,23.837545015689578,0.0095878171962505
M2,Gphb5,Tshr,Neutro,0.3333333333333333,1.8673915812785369,0.0160664289521628,1.0,76.79440679700643,0.4157964177803417,143.405228742009,0.0066803636048316
M2,Efna3,Epha1,Neutro,0.3333333333333333,0.325179402871857,0.0190327207200036,1.0,762.0163781996112,0.34672259575819603,247.7920308415247,0.0065990743323804
M2,Galp,Galr1,Neutro,0.3333333333333333,0.3113037919808887,0.0360964543216146,0.6666666666666666,1.1792331431188272,0.1218384153341573,0.3670997490824328,0.0043979347937273
M2,Ifnb1,Ifnar2,Neutro,0.3333333333333333,0.3112319302130893,0.0158201137206681,1.0,1315.3421812289698,0.2679599228135748,409.37648595458745,0.0042391564514922
M2,Wnt7b,Fzd5,Neutro,0.3333333333333333,0.325179402871857,0.0099347988981249,1.0,1215.160708629023,0.4148835278856005,395.1452336253284,0.0041217844156879995
M2,Guca2b,Gucy2e,Neutro,1.0,1.2589470552789261,0.0748376520436147,0.3333333333333333,0.4082126986233434,0.0517588273384065,0.5139181748593217,0.0038735091105372
M2,Edn2,Ednrb,Neutro,0.3333333333333333,1.245215167923553,0.16544008277734198,1.0,249.50828791132167,0.0182523011415982,310.6915046298147,0.0030196622117429
M2,Cxcl13,Cxcr3,Neutro,0.3333333333333333,0.6224638604261801,0.0039126730506959,1.0,127.27889252518308,0.7536387772604025,79.22651079199436,0.0029487421337462
M2,Cntn2,Cntnap2,Neutro,1.0,3.8188273073486765,0.0642389146416388,0.6666666666666666,0.7409872958750761,0.0457814674609021,2.8297025198861934,0.0029409517803898
M2,Ifnb1,Ifnar1,Neutro,0.3333333333333333,0.3112319302130893,0.0158201137206681,1.0,1592.526535515293,0.1749603528500844,495.64510756398874,0.0027678926786965
M2,Gal,Galr1,Neutro,1.0,19.591576175615238,0.0211479689640469,0.6666666666666666,1.1792331431188272,0.1218384153341573,23.10303595222268,0.0025766350261154
M2,Cgn,F11r,Neutro,0.6666666666666666,1.867463443046335,0.0911595378618855,1.0,37.49943014692247,0.0251642992404178,70.02881493444738,0.0022939658893746
M2,Wnt10b,Fzd7,Neutro,0.3333333333333333,0.3113037919808887,0.0161588413175748,1.0,244.41405981664698,0.1412469237997353,76.08702363436595,0.0022823866282755
