Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Wnt3a,Lrp1,Inflammatory-Mac,0.6666666666666666,1.028356940375607,0.3775977977087417,1.0,29615.268007682596,0.2264985717444545,30455.066396784063,0.08552536187488145
Neutrophils,Il20,Il20rb,Inflammatory-Mac,0.3333333333333333,2.66219677801386,0.7308805330278407,1.0,54.37137461589301,0.09503525206037162,144.7472983186149,0.06945941568231961
Neutrophils,Icosl,Ctla4,Inflammatory-Mac,1.0,822.2046515377127,0.6017073626637509,0.3333333333333333,0.282867145137124,0.1047368636483118,232.57468249893668,0.06302094199949856
Neutrophils,Cd80,Ctla4,Inflammatory-Mac,1.0,1926.01655386155,0.5587229960448519,0.3333333333333333,0.282867145137124,0.1047368636483118,544.8068040776585,0.058518894253925875
Neutrophils,A2m,Lrp1,Inflammatory-Mac,0.3333333333333333,1.22463809587003,0.2479116408685874,1.0,29615.268007682596,0.2264985717444545,36267.98542160903,0.056151632575559184
Neutrophils,Wnt3a,Fzd7,Inflammatory-Mac,0.6666666666666666,1.028356940375607,0.3775977977087417,1.0,233.3493606272164,0.1348526323892947,239.9664345332082,0.05092005700542421
Neutrophils,Wnt3a,Fzd5,Inflammatory-Mac,0.6666666666666666,1.028356940375607,0.3775977977087417,1.0,378.828132774784,0.1293405481857951,389.570539548481,0.04883870614939762
Neutrophils,Wnt3a,Lrp6,Inflammatory-Mac,0.6666666666666666,1.028356940375607,0.3775977977087417,1.0,1216.923079215163,0.118538659815812,1251.431294414167,0.04475993688979631
Neutrophils,Wnt3a,Apcdd1,Inflammatory-Mac,0.6666666666666666,1.028356940375607,0.3775977977087417,1.0,21.002939729439106,0.07462034639165534,21.598518839059267,0.02817647846175252
Neutrophils,Rln3,Rxfp4,Inflammatory-Mac,0.3333333333333333,1.663872986258663,0.2176214450418134,1.0,28.931792439340327,0.1050483447117884,48.138827883861026,0.02286077257542992
Neutrophils,Nodal,Tdgf1,Inflammatory-Mac,1.0,8.285222317459617,0.1054815719676106,0.3333333333333333,1.06421326760907,0.1743848447748989,8.817243515331288,0.0183943875541841
Neutrophils,Cd40lg,Cd40,Inflammatory-Mac,0.3333333333333333,0.3327745972517326,0.04523193526648239,1.0,174.7881721289103,0.4024126415273767,58.165063584564656,0.01820190255198048
Neutrophils,Gdf3,Tdgf1,Inflammatory-Mac,1.0,70.87670544672213,0.09302851360303442,0.3333333333333333,1.06421326760907,0.1743848447748989,75.4279303008217,0.01622276290430473
Neutrophils,Lcn2,Lrp2,Inflammatory-Mac,1.0,591.5568452225243,0.8336581869663676,0.3333333333333333,0.5657342902742466,0.01936388397540541,334.6639919888372,0.016142860407563582
Neutrophils,Wnt3a,Fzd1,Inflammatory-Mac,0.6666666666666666,1.028356940375607,0.3775977977087417,1.0,50.62223111837787,0.03929051142834387,52.05772270788189,0.0148360105861928
Neutrophils,Tg,Lrp2,Inflammatory-Mac,1.0,293.488735339743,0.6640078392750148,0.3333333333333333,0.5657342902742466,0.01936388397540541,166.0366413909157,0.012857770758481029
Neutrophils,Fgf6,Fgfr3,Inflammatory-Mac,0.3333333333333333,1.663872986258663,0.6133909439021099,1.0,8.564699887250823,0.02005226884348549,14.25057277780926,0.01229988011328443
Neutrophils,Cd86,Ctla4,Inflammatory-Mac,1.0,681.427543090324,0.1170319432399746,0.3333333333333333,0.282867145137124,0.1047368636483118,192.7534637317645,0.012257558681622179
Neutrophils,Inhbc,Acvr2a,Inflammatory-Mac,0.3333333333333333,0.36280774587214,0.09824198489077786,1.0,695.2914145562404,0.1232065314592823,252.25711083940118,0.012104054202067959
Neutrophils,Ccl28,Ccr3,Inflammatory-Mac,0.3333333333333333,2.0410634931167166,0.05765654306471168,1.0,13.545974060592561,0.2086630763207082,27.6481931337815,0.012030791645900141
Neutrophils,Prok2,Prokr2,Inflammatory-Mac,1.0,275.46109746070204,0.9636674215999008,0.3333333333333333,0.282867145137124,0.01229821944545568,77.91889423504786,0.01185139342327204
Neutrophils,Psap,Gpr37,Inflammatory-Mac,1.0,49327.8740840257,0.2297588475803003,0.3333333333333333,0.35473775586969003,0.05154914899759494,17498.45935438992,0.01184387306743261
Neutrophils,Efnb2,Grm5,Inflammatory-Mac,1.0,40.20632141804634,0.009104464904045026,0.3333333333333333,1.41433572568562,1.0,56.86523677994185,0.009104464904045026
Neutrophils,Liph,Lpar2,Inflammatory-Mac,0.6666666666666666,1.9956585403655145,0.05172733278383235,1.0,95.140291823543,0.1665483151890501,189.8675359105209,0.008615100124370598
Neutrophils,Wnt1,Lrp6,Inflammatory-Mac,0.6666666666666666,1.1792331431188272,0.06520319218440652,1.0,1216.923079215163,0.118538659815812,1435.036027636738,0.007729099017252374
Neutrophils,Rln3,Rxfp1,Inflammatory-Mac,0.3333333333333333,1.663872986258663,0.2176214450418134,0.6666666666666666,0.637604901006814,0.03280969974457353,1.0608935706913671,0.007140094269802105
Neutrophils,Wnt6,Fzd7,Inflammatory-Mac,0.3333333333333333,0.6655491945034666,0.05157855605616843,1.0,233.3493606272164,0.1348526323892947,155.3054790033428,0.00695550405901311
Neutrophils,Gnai2,Adora1,Inflammatory-Mac,1.0,5112.938263998532,0.2213072813318282,0.3333333333333333,1.1314685805484972,0.029542158713232618,5785.1289999985165,0.0065378948294988895
Neutrophils,Inhbc,Acvr2b,Inflammatory-Mac,0.3333333333333333,0.36280774587214,0.09824198489077786,1.0,12.631875035898993,0.06462667021923928,4.582942107913071,0.006349052359219789
Neutrophils,Il17b,Il17rb,Inflammatory-Mac,0.3333333333333333,0.3327745972517326,0.05517686655498602,1.0,44.32882476067733,0.1126760461129443,14.75150680637703,0.006217111160317377
Neutrophils,Trf,Tfr2,Inflammatory-Mac,1.0,1011.813205358457,0.3348953869368643,0.3333333333333333,0.6255168076306333,0.016472889897276882,632.9061661343408,0.005516694836116905
Neutrophils,Shh,Ptch1,Inflammatory-Mac,0.6666666666666666,1.0583900889960158,0.1095505069077023,1.0,83.32272786784655,0.04950721654752556,88.18794936344091,0.005423540668370812
Neutrophils,Il17f,Il17ra,Inflammatory-Mac,0.3333333333333333,0.6655491945034666,0.02374885705298592,1.0,2080.13643958117,0.2160479773454637,1384.433131820557,0.0051308925305641575
Neutrophils,Tnfsf11,Tnfrsf11a,Inflammatory-Mac,0.3333333333333333,0.7256154917442833,0.01144977955226313,1.0,1884.684320731677,0.4406286594941098,1367.5561401704558,0.0050451010156167715
Neutrophils,Shh,Ptch2,Inflammatory-Mac,0.6666666666666666,1.0583900889960158,0.1095505069077023,1.0,39.842072216401796,0.04429615354888055,42.16845435890317,0.0048526660753412795
Neutrophils,Fgf6,Fgfr4,Inflammatory-Mac,0.3333333333333333,1.663872986258663,0.6133909439021099,0.6666666666666666,3.610017573843187,0.007044473055692939,6.00661072103672,0.004321015976924472
Neutrophils,Vip,Sctr,Inflammatory-Mac,0.6666666666666666,0.7409872958750761,0.042489393954302436,0.3333333333333333,0.7094755117393801,0.09757923908892707,0.525712340933349,0.004146082731410491
Neutrophils,Wnt1,Fzd9,Inflammatory-Mac,0.6666666666666666,1.1792331431188272,0.06520319218440652,1.0,5.283044257913552,0.05496804338777269,6.229940885495268,0.003584091897013739
Neutrophils,Ccl28,Ccr10,Inflammatory-Mac,0.3333333333333333,2.0410634931167166,0.05765654306471168,0.6666666666666666,2.6941608254923857,0.04822908548261635,5.498953305497707,0.002780722344100131
Neutrophils,Scgb1a1,Lrp2,Inflammatory-Mac,1.0,3.568721621121773,0.1375783084337869,0.3333333333333333,0.5657342902742466,0.01936388397540541,2.0189481935116853,0.002664050402044389
Neutrophils,Vip,Vipr2,Inflammatory-Mac,0.6666666666666666,0.7409872958750761,0.042489393954302436,1.0,9.436377735281873,0.06041672861655991,6.992236020922288,0.002567070183619192
Neutrophils,Wnt1,Fzd1,Inflammatory-Mac,0.6666666666666666,1.1792331431188272,0.06520319218440652,1.0,50.62223111837787,0.03929051142834387,59.695412713412416,0.002561866767685926
Neutrophils,Vip,Vipr1,Inflammatory-Mac,0.6666666666666666,0.7409872958750761,0.042489393954302436,1.0,13.286625152683287,0.053518581963304834,9.845220443192558,0.002273972112914484
Neutrophils,Plau,Lrp2,Inflammatory-Mac,1.0,1726.125102714293,0.113360484787464,0.3333333333333333,0.5657342902742466,0.01936388397540541,976.5281599086316,0.002195099274820164
