Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Cfp,Ncr1,ECs,1.0,1642.623413646957,0.3618613735054241,0.5,0.620107085818335,1.0,1018.60241813358,0.3618613735054241
Resolving-Mac,Tac2,Tacr1,ECs,0.6666666666666666,1.8677508901175333,0.285998789649794,1.0,13.79444222413899,0.9135981141357096,25.764581742810467,0.2612879548691473
Resolving-Mac,Inhbc,Acvr2b,ECs,0.6666666666666666,1.8676071665819365,0.5057153192807295,1.0,70.74346966463379,0.3619347777893585,132.1210109345419,0.1830359617085453
Resolving-Mac,Tac2,Tacr2,ECs,0.6666666666666666,1.8677508901175333,0.285998789649794,1.0,6.254848347872135,0.3676721016525841,11.68249856928836,0.1051537760606351
Resolving-Mac,Inhbc,Acvr2a,ECs,0.6666666666666666,1.8676071665819365,0.5057153192807295,1.0,1098.195505048644,0.1946016536498936,2050.997795536916,0.0984130374081139
Resolving-Mac,Cgn,F11r,ECs,0.6666666666666666,1.867463443046335,0.09115953786188558,1.0,1224.8922689405804,0.8219739732611581,2287.441533916613,0.07493076753698506
Resolving-Mac,Edn2,Ednrb,ECs,0.3333333333333333,1.245215167923553,0.16544008277734198,1.0,3786.519822181265,0.2769956086494695,4715.031916223308,0.04582617642392847
Resolving-Mac,Tac2,Tacr3,ECs,0.6666666666666666,1.8677508901175333,0.285998789649794,0.5,1.6099260748725148,0.1093356304139887,3.0069408593665647,0.03126985796399796
Resolving-Mac,Lgi1,Adam22,ECs,0.3333333333333333,0.325179402871857,0.06672185835831597,1.0,522.3100577009616,0.3904876458271065,169.84447267716382,0.02605406139554844
Resolving-Mac,Edn2,Ednra,ECs,0.3333333333333333,1.245215167923553,0.16544008277734198,1.0,392.39928917641816,0.1468998640562688,488.6215467648964,0.02430312566944939
Resolving-Mac,Ccl12,Ccr3,ECs,1.0,277.9461236867283,0.4051654444186996,0.5,2.8173706310269,0.043398962701097284,783.0772458827585,0.01758376001010064
Resolving-Mac,Ccl24,Ccr3,ECs,1.0,33.41173952952687,0.3907036058004955,0.5,2.8173706310269,0.043398962701097284,94.13325368200954,0.016956131215319914
Resolving-Mac,Efna3,Ephb1,ECs,0.3333333333333333,0.325179402871857,0.019032720720003667,1.0,68.29581093684274,0.7972224909152147,22.208391019091763,0.01517331302129494
Resolving-Mac,Efna3,Epha4,ECs,0.3333333333333333,0.325179402871857,0.019032720720003667,1.0,575.3166021432055,0.6186207681103973,187.0811091471933,0.01177403631103935
Resolving-Mac,Galp,Galr3,ECs,0.3333333333333333,0.3113037919808886,0.036096454321614665,0.5,1.240214171636665,0.3189801189730864,0.3860833744989305,0.011514051294015221
Resolving-Mac,Efna3,Epha2,ECs,0.3333333333333333,0.325179402871857,0.019032720720003667,1.0,1475.14671086974,0.5140432304474697,479.6873265890058,0.009783641243115178
Resolving-Mac,Lgi1,Adam11,ECs,0.3333333333333333,0.325179402871857,0.06672185835831597,1.0,52.91245051203775,0.1395573346797789,17.20603906199112,0.009311524717368302
Resolving-Mac,Ccl2,Ccr3,ECs,1.0,3316.881565643564,0.2116319757851113,0.5,2.8173706310269,0.043398962701097284,9344.884709638698,0.009184608223457569
Resolving-Mac,Nodal,Acvr1c,ECs,0.6666666666666666,4.385141968300779,0.05582851616941691,0.5,0.620107085818335,0.1516087336854116,2.7192576068626733,0.008464090639980826
Resolving-Mac,Ntn1,Dcc,ECs,1.0,36.25481304295656,0.0226123232484581,0.5,0.8049630374362551,0.3508928577627398,29.18378442874187,0.007934502725306302
Resolving-Mac,Slamf6,Slamf6,ECs,1.0,78.85986380587163,0.3697825181564266,1.0,4.275210369763768,0.020046928562689286,337.1425075010209,0.0074130037252132346
Resolving-Mac,Fn1,Mag,ECs,1.0,25042.37920098507,0.2128768162332776,0.5,1.6099260748725148,0.03329264597637535,40316.379252511004,0.007087232479432423
Resolving-Mac,Efna3,Epha8,ECs,0.3333333333333333,0.325179402871857,0.019032720720003667,0.5,2.480428343273335,0.3612705267462883,0.8065842075320525,0.006875961039930723
Resolving-Mac,Gal,Galr3,ECs,1.0,19.591576175615238,0.0211479689640469,0.5,1.240214171636665,0.3189801189730864,24.297750417697287,0.0067457816561908215
Resolving-Mac,Cxcl10,Ccr3,ECs,1.0,270.8089213032027,0.1338466628578352,0.5,2.8173706310269,0.043398962701097284,762.9691014997184,0.005808806329033532
Resolving-Mac,Ccl5,Ccr3,ECs,1.0,9.77493874058726,0.1298995656136456,0.5,2.8173706310269,0.043398962701097284,27.53962532781762,0.005637506402955345
Resolving-Mac,Wnt7b,Fzd4,ECs,0.3333333333333333,0.325179402871857,0.00993479889812495,1.0,2775.5063720280896,0.4918402731488004,902.5375047231283,0.004886334203732175
Resolving-Mac,Vegfc,Flt4,ECs,0.3333333333333333,1.5561596510654467,0.004950112677028913,1.0,1914.84050225411,0.9745842542012612,2979.797527833741,0.004824301871554432
Resolving-Mac,Vegfc,Kdr,ECs,0.3333333333333333,1.5561596510654467,0.004950112677028913,1.0,10092.16257323786,0.9491572823356296,15705.01618846559,0.00469843549578391
Resolving-Mac,Gnai2,Agtr2,ECs,1.0,4492.93695709766,0.1944712828183026,0.5,1.240214171636665,0.02349931024625805,5572.2040864626315,0.004569941008935085
Resolving-Mac,Col9a3,Mag,ECs,1.0,47.1916414243538,0.1370353405271474,0.5,1.6099260748725148,0.03329264597637535,75.97505404510109,0.004562269078422361
Resolving-Mac,Efna3,Epha7,ECs,0.3333333333333333,0.325179402871857,0.019032720720003667,1.0,39.61879865306375,0.2246930161679394,12.8832172885036,0.004276519424459661
Resolving-Mac,Efna3,Epha1,ECs,0.3333333333333333,0.325179402871857,0.019032720720003667,1.0,477.815250158627,0.2174091641170127,155.3756777296493,0.004137887902608547
Resolving-Mac,Wnt7b,Fzd8,ECs,0.3333333333333333,0.325179402871857,0.00993479889812495,1.0,258.7216474723105,0.3947651630935938,84.13095083506902,0.00392191250732035
Resolving-Mac,Wnt7b,Lrp5,ECs,0.3333333333333333,0.325179402871857,0.00993479889812495,1.0,1313.2037845335,0.3563494154902546,427.0268225036663,0.003540259780360051
Resolving-Mac,Ntn1,Unc5d,ECs,1.0,36.25481304295656,0.0226123232484581,1.0,3.067765813609385,0.1554085535169301,111.22127603198179,0.003514148447700123
Resolving-Mac,Il18,Il1rapl1,ECs,1.0,144.26637049337668,0.1886214332718834,0.5,0.4024815187181286,0.01704677320076927,58.06454789612646,0.00321538679378983
Resolving-Mac,Robo2,Robo2,ECs,0.3333333333333333,0.3113037919808886,0.003419648253935387,1.0,85.012663163041,0.9338575778278272,26.464764409048676,0.003193464435443259
Resolving-Mac,Inhba,Acvr1c,ECs,1.0,48.94508178602484,0.020672117687716467,0.5,0.620107085818335,0.1516087336854116,30.35119203147192,0.003134073585230495
Resolving-Mac,Col2a1,Mag,ECs,1.0,4.482989862215559,0.09224951140676524,0.5,1.6099260748725148,0.03329264597637535,7.217282272569972,0.003071230324759035
Resolving-Mac,Ghrl,Gpr39,ECs,1.0,159.6082568063453,0.1530260661569314,0.5,0.620107085818335,0.0168361201828696,98.97421100072724,0.0025763652409298518
Resolving-Mac,Ccl4,Ccr3,ECs,1.0,544.22301136518,0.056389504593433275,0.5,2.8173706310269,0.043398962701097284,1533.277928949277,0.002447246006583764
