Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Inhbc,Acvr2b,Resolving-Mac,0.6666666666666666,1.8676071665819365,0.5057153192807295,1.0,22.0531773631634,0.1128275427587083,41.1866720893465,0.057058616809880336
Resolving-Mac,Oxt,Avpr1b,Resolving-Mac,1.0,9.477151250658352,0.3248907928757944,0.3333333333333333,0.325179402871857,0.1299664426805137,3.081774384615356,0.04222490060971859
Resolving-Mac,Inhbc,Acvr2a,Resolving-Mac,0.6666666666666666,1.8676071665819365,0.5057153192807295,1.0,443.984551069279,0.07867463255484762,829.1887294286493,0.039786966921768835
Resolving-Mac,Tac2,Tacr2,Resolving-Mac,0.6666666666666666,1.8677508901175333,0.285998789649794,0.6666666666666666,1.259090778814524,0.07401179486239855,2.351667922869604,0.021167283750454832
Resolving-Mac,Avp,Avpr1b,Resolving-Mac,0.6666666666666666,1.259090778814524,0.1418050834026248,0.3333333333333333,0.325179402871857,0.1299664426805137,0.4094303876163682,0.0184299022438527
Resolving-Mac,Edn2,Ednrb,Resolving-Mac,0.3333333333333333,1.245215167923553,0.16544008277734198,1.0,849.020118417815,0.06210844139231585,1057.2127293261149,0.01027522568511643
Resolving-Mac,Rln3,Rxfp1,Resolving-Mac,0.6666666666666666,0.961662597724602,0.1257778724024298,0.6666666666666666,1.57039457079541,0.08080893711285196,1.5101897224037255,0.01016397618115627
Resolving-Mac,Cgn,F11r,Resolving-Mac,0.6666666666666666,1.867463443046335,0.09115953786188558,1.0,101.5273767219312,0.06813077635887707,189.59866449659992,0.0062107700870467145
Resolving-Mac,Gnrh1,Gnrhr,Resolving-Mac,1.0,27.51134612515553,0.07353037696205494,0.3333333333333333,0.325179402871857,0.08035831276877854,8.946123105179051,0.005908777029923
Resolving-Mac,Tac2,Tacr1,Resolving-Mac,0.6666666666666666,1.8677508901175333,0.285998789649794,0.3333333333333333,0.3112319302130893,0.02061271488048463,0.5813037146884954,0.005895211507214902
Resolving-Mac,Ifnb1,Ifnar1,Resolving-Mac,0.3333333333333333,0.3112319302130893,0.01582011372066815,1.0,2479.483400752687,0.2724044347187277,771.6944047475737,0.004309469135264594
Resolving-Mac,Lgi1,Rtn4r,Resolving-Mac,0.3333333333333333,0.325179402871857,0.06672185835831597,0.3333333333333333,1.6258970143592832,0.06359836846914113,0.5287082202604869,0.004243401332818022
Resolving-Mac,Wnt10b,Fzd7,Resolving-Mac,0.3333333333333333,0.3113037919808886,0.01615884131757479,1.0,414.12642128128095,0.2393237243146114,128.9191253043378,0.0038671940847308218
Resolving-Mac,Ifnb1,Ifnar2,Resolving-Mac,0.3333333333333333,0.3112319302130893,0.01582011372066815,1.0,1088.049509149763,0.2216561337801162,338.63574890008516,0.003506625243285071
Resolving-Mac,Guca2b,Gucy2c,Resolving-Mac,1.0,1.258947055278926,0.07483765204361471,1.0,7.242450401460477,0.03862716193132421,9.11786160592234,0.002890766104048802
Resolving-Mac,Bdnf,Sort1,Resolving-Mac,0.3333333333333333,0.6226075839617767,0.008140751117125877,1.0,1017.4109946512108,0.2788671240369522,633.4478012759389,0.002270187851533499
Resolving-Mac,Ren1,Atp6ap2,Resolving-Mac,0.3333333333333333,0.3113037919808886,0.006684840325057975,1.0,2368.32738852276,0.2911920669678313,737.2692966993308,0.0019465724716035398
Resolving-Mac,Efna3,Epha8,Resolving-Mac,0.3333333333333333,0.325179402871857,0.019032720720003667,0.3333333333333333,0.6224638604261801,0.0906608922392536,0.2024124264426961,0.001725523442216062
Resolving-Mac,Lgi1,Adam22,Resolving-Mac,0.3333333333333333,0.325179402871857,0.06672185835831597,1.0,33.28096240266417,0.02488139844880656,10.82228348109906,0.0016601331430580939
Resolving-Mac,Efna3,Epha1,Resolving-Mac,0.3333333333333333,0.325179402871857,0.019032720720003667,1.0,186.64394602379863,0.08492425530383056,60.692766917665956,0.001616339633552098
Resolving-Mac,Il1f6,Il1rl2,Resolving-Mac,0.3333333333333333,0.6503588057437133,0.02278194702531627,1.0,87.91405962151106,0.06232166789618085,57.17568282352754,0.001419808936540146
Resolving-Mac,Wnt7b,Lrp5,Resolving-Mac,0.3333333333333333,0.325179402871857,0.00993479889812495,1.0,500.4014173293876,0.1357883328360704,162.72023408340118,0.001349029779438016
Resolving-Mac,Vegfc,Nrp2,Resolving-Mac,0.3333333333333333,1.5561596510654467,0.004950112677028913,1.0,2917.45885939674,0.2705891139402214,4540.031760636627,0.001339446603181511
Resolving-Mac,Rln1,Rxfp1,Resolving-Mac,1.0,5.6725588630396375,0.015671053462718118,0.6666666666666666,1.57039457079541,0.08080893711285196,8.908155641034831,0.00126636117376093
Resolving-Mac,Cadm3,Cadm1,Resolving-Mac,0.6666666666666666,3.832415471168447,0.005506053844739467,1.0,208.1418761260094,0.2059405485959248,797.6861462633448,0.001133919749384347
Resolving-Mac,Cadm1,Cadm3,Resolving-Mac,1.0,208.1418761260094,0.2059405485959248,0.6666666666666666,3.832415471168447,0.005506053844739467,797.6861462633448,0.001133919749384347
Resolving-Mac,Rtn4,Lingo1,Resolving-Mac,1.0,4542.598401516921,0.1922921481540295,0.3333333333333333,0.3112319302130893,0.005607085031274186,1413.801668687005,0.001078198425546017
Resolving-Mac,Gphb5,Tshr,Resolving-Mac,0.3333333333333333,1.8673915812785369,0.016066428952162842,1.0,11.684244601609928,0.06326329289398308,21.81906000264556,0.001016415200561047
Resolving-Mac,Gnai2,Lhcgr,Resolving-Mac,1.0,4492.93695709766,0.1944712828183026,0.3333333333333333,0.3113037919808886,0.004867731247248957,1398.668311875577,0.0009466339400672404
Resolving-Mac,Wnt7b,Fzd5,Resolving-Mac,0.3333333333333333,0.325179402871857,0.00993479889812495,1.0,273.8788193293303,0.09350846350578064,89.05975092876083,0.0009289877802025863
Resolving-Mac,Uts2,Uts2r,Resolving-Mac,0.3333333333333333,1.5565189599044442,0.0520853685156694,0.3333333333333333,0.3113037919808886,0.01765047119196785,0.4845502545084021,0.0009193312965088518
Resolving-Mac,Edn2,Ednra,Resolving-Mac,0.3333333333333333,1.245215167923553,0.16544008277734198,1.0,13.31035720127259,0.004982908270581109,16.57425867750513,0.0008243727567568405
Resolving-Mac,Omg,Lingo1,Resolving-Mac,1.0,103.7425983804126,0.1467193694229189,0.3333333333333333,0.3112319302130893,0.005607085031274186,32.28800913925712,0.0008226679800892361
Resolving-Mac,Gas6,Tyro3,Resolving-Mac,1.0,1114.251359323867,0.2512889889760463,0.3333333333333333,0.6503588057437133,0.003234174048577049,724.663183348179,0.0008127123268394932
