Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Ccl5,Ccr5,M1,0.0,20.84174406928335,0.2784564110895802,0.0,341.90693029547487,0.004293670419477924,176618.6321733665,0.1616772788966518
ECs,Gip,Dpp4,M1,0.6666666666666667,8.629029157399923,0.3780420713167689,0.0,-45.22860391068832,0.0019146106489015824,1230.9335639199987,0.1093625816093398
ECs,Ccl5,Ccr3,M1,0.0,20.84174406928335,0.2784564110895802,0.0,3.941361637930149,0.104000968073583,318.3862388267694,0.0705949899028499
ECs,Pecam1,Cd38,M1,0.0,-1454.8043210412507,0.010395331592394808,0.0,305.26891183319407,0.07037630660301887,5132151.560155008,0.0678032451762394
ECs,Ccl5,Ccr1,M1,0.0,20.84174406928335,0.2784564110895802,0.0,-811.6101335370496,-0.007813742016387766,82664.01114316679,0.0674832736190888
ECs,Ccl28,Ccr3,M1,0.0,8.603179048930901,0.1417400041858678,0.0,3.941361637930149,0.104000968073583,142.48664557642047,0.05945116425446029
ECs,Dll1,Notch2,M1,0.0,172.3277068283495,0.22845177952673015,0.0,-751.8785004440816,-0.012633669892808508,1069153.8836997682,0.0594440019806837
ECs,Cort,Mrgprb1,M1,0.33333333333333337,2.432325442697282,0.161481403761065,-0.33333333333333337,-0.5173392037186321,0.16977676467259978,15.304840230745812,0.0545254610459817
ECs,Prok1,Prokr1,M1,0.6666666666666667,5.5549169070504645,0.5359484690036015,0.0,-31.975230222912455,-0.031743276017520715,259.29052734222563,0.053202645204373004
ECs,Gnas,Avpr2,M1,0.0,115.64002721989948,0.07227797169037847,0.0,9.40176630972364,0.11407794563439767,5666.956651489456,0.0520195018499114
ECs,Spon2,Itga4,M1,0.0,6.6093107012735475,0.09185409433076848,0.0,537.2995748407602,0.038288197987486616,59954.86515526031,0.046420848639696005
ECs,Il5,Csf2rb,M1,0.6666666666666667,2.63587442311052,0.15037906907770782,0.0,-192.75766567914616,-0.017767019449004495,11642.486719534034,0.0429487827797022
ECs,Cx3cl1,Cx3cr1,M1,0.0,175.15168429511948,0.08817997867788457,0.0,-126.68900011537406,-0.009028301871405577,182814.59152962102,0.0422822643638151
ECs,Ccl5,Cxcr3,M1,0.0,20.84174406928335,0.2784564110895802,0.0,12.362861178381234,0.0707057150104605,494.0004056524805,0.0386234473219372
ECs,a,Atrn,M1,-0.16666666666666663,0.5533519177228297,0.2853562703648988,0.0,-18.454778620376715,0.000898491982708194,418.93253548571306,0.0366150548545446
ECs,Dsc2,Dsg2,M1,0.0,3.6551278087769727,0.2570360060461428,-0.3333333333333333,-0.3723584798838839,0.035752809819272084,1.4699099452963988,0.0358153577794243
ECs,Cxcl12,Cxcr3,M1,0.0,4971.715071291648,-0.04064007739836628,0.0,12.362861178381234,0.0707057150104605,259721.29785358172,0.0348542281522323
ECs,Pgf,Nrp1,M1,0.0,-9.976946138094943,-0.0017691986563216355,0.0,769.4780908030672,0.0378567641281896,752056.5769941681,0.034384409480625405
ECs,Agrp,Sdc3,M1,0.0,6.168557264513409,0.10248830046847572,0.0,348.80139731315916,-0.0037905801529867773,29661.614420799528,0.0343218875206171
ECs,Cd6,Alcam,M1,0.6666666666666667,6.008082922841224,0.15120270897618418,0.0,-907.2840985111498,-0.07637446704591658,14825.052920473692,0.0343156987045684
ECs,Ntn1,Adora2b,M1,0.0,100.95826745586001,0.06095788505178791,0.0,11.360132320115323,-0.022422895368543028,62660.28143173711,0.034274677447265915
ECs,Gip,Gipr,M1,0.6666666666666667,8.629029157399923,0.3780420713167689,0.33333333333333337,2.2856669867655466,0.0451409152657771,39.48216948708864,0.0334093328051041
ECs,Insl5,Rxfp4,M1,0.16666666666666669,2.835015498767195,0.24344302785784086,0.0,12.287597978430732,0.03397315314647749,96.64186021873981,0.0319398211647319
ECs,Spon2,Itgam,M1,0.0,6.6093107012735475,0.09185409433076848,0.0,-176.36098403710685,-0.013374018223334505,16485.8333781229,0.03120308847457532
ECs,Ccl5,Sdc4,M1,0.0,20.84174406928335,0.2784564110895802,0.0,-37.34230735239362,0.0021256947997244924,9936.775219980078,0.0292502246077832
ECs,Sema3f,Nrp1,M1,0.0,-232.47286079629228,-0.0388898119457658,0.0,769.4780908030672,0.0378567641281896,1022511.9028809463,0.0288101361568506
ECs,Dlk1,Notch2,M1,0.33333333333333337,2.6905797822389785,0.1033750752041598,0.0,-751.8785004440816,-0.012633669892808508,19020.179870154992,0.0287280404510781
ECs,Col4a3,Cd47,M1,0.0,49.01312406316229,0.1311019355609863,0.0,239.4154541767939,0.00752113306531671,197586.7603806688,0.0280751943262356
ECs,Ifnk,Ifnar1,M1,-0.16666666666666663,3.454435496031916,0.09696652212406599,0.0,177.57844662638402,0.015908384583970592,9103.869931148412,0.0278994146305529
ECs,App,Cd74,M1,0.0,-19.245913072119947,-0.00011081979976268476,0.0,12048.168367952852,0.14593500340146698,87864521.81124374,0.02770939343890261
ECs,Ifnk,Ifnar2,M1,-0.16666666666666663,3.454435496031916,0.09696652212406599,0.0,43.65946708024308,0.0180681797632945,4616.792730815363,0.0265632431224173
ECs,Bmp6,Acvr1,M1,0.0,627.6642017197662,0.1729845267935104,0.0,10.03247120951471,0.008719219933356295,158412.02577498154,0.026317452997842508
ECs,Pnoc,Oprl1,M1,0.33333333333333337,0.6649447617642377,0.02105324445158091,0.3333333333333333,1.085947724862992,0.0738821102960613,4.042329201484397,0.0262497924504464
ECs,Gdf11,Acvr1b,M1,0.0,62.737146810315544,0.09907613705621232,0.0,49.21451864344567,0.020752355597601385,29449.698436580904,0.0250941223673988
ECs,Cd274,Cd80,M1,0.0,315.88438069026176,0.0655913947208675,0.0,-171.94245906908043,0.033121890488378214,266561.03823333693,0.022545160952377102
ECs,Jag2,Notch2,M1,0.0,255.09881763705607,0.10807264987258793,0.0,-751.8785004440816,-0.012633669892808508,1371179.695222493,0.0220355277697053
ECs,Hbegf,Cd44,M1,0.0,332.6389866582148,0.1223634957959046,0.0,-4345.32337489523,-0.014606899683761302,4583050.794484192,0.02180316763177909
ECs,Col4a3,Itgav,M1,0.0,49.01312406316229,0.1311019355609863,0.0,-540.2950389371836,-0.014110247337384698,202774.3962734883,0.0211657753113699
ECs,Col4a3,Cd93,M1,0.0,49.01312406316229,0.1311019355609863,0.0,-291.48600246966635,-0.0010774090972954233,321363.02412526053,0.0209844013977804
ECs,Wnt3a,Lrp1,M1,0.16666666666666669,0.9427642495331429,0.12921862489583552,0.0,-2274.785867591469,-0.02626670715094412,27243.581038868517,0.02070041989018549
ECs,Wnt3a,Fzd7,M1,0.16666666666666669,0.9427642495331429,0.12921862489583552,0.0,30.88906932953571,0.007865396512527517,229.181386116677,0.019990928766208102
ECs,a,F11r,M1,-0.16666666666666663,0.5533519177228297,0.2853562703648988,0.0,8.722413803627957,0.007556271577570695,56.693405883988106,0.0184317135004542
ECs,Vcam1,Itgad,M1,0.0,34.634248169280966,0.02499167043488859,0.33333333333333337,4.7342066735933095,0.1506325495336402,2336.519078075761,0.0184126705771277
ECs,Ccl28,Ccr10,M1,0.0,8.603179048930901,0.1417400041858678,0.3333333333333333,2.377882616581305,0.0402165847729564,38.83328960524153,0.0183885840488403
ECs,Tnfsf12,Cd163,M1,0.0,31.481731142931753,0.0747890941328204,0.0,91.33328170803871,-0.046173834662450834,15899.550001841579,0.018243415446061298
ECs,Pomc,Mc5r,M1,0.0,-7.692493778947001,-0.011509415272512258,-0.33333333333333337,3.8734104284614874,0.0261368028699135,63.491899343064325,0.0173497303335444
ECs,Bmp6,Acvr2a,M1,0.0,627.6642017197662,0.1729845267935104,0.0,7.78487038035837,-0.0067570662786854,439199.5849759777,0.01722090988967889
ECs,Bmp6,Bmpr2,M1,0.0,627.6642017197662,0.1729845267935104,0.0,-118.77199865762304,-0.009584919293650185,2097500.6727178837,0.01681556851670091
ECs,Bmp8a,Tgfbr2,M1,0.0,-5.394781159799481,0.017868515968619103,0.0,699.6288949133369,0.048010106128940716,5863.936841250003,0.016603649784009494
ECs,Ccl5,Sdc1,M1,0.0,20.84174406928335,0.2784564110895802,0.0,-77.05087499836839,-0.0454093562414032,1369.116013957695,0.0163190517044376
ECs,Dll1,Notch1,M1,0.0,172.3277068283495,0.22845177952673015,0.0,-194.12687295961402,-0.012987423823684896,132762.05725382816,0.015509787474902304
ECs,Sema3f,Plxna3,M1,0.0,-232.47286079629228,-0.0388898119457658,0.0,13.383424774526794,0.020402061285910808,13856.833669121304,0.015506131599279703
ECs,Wnt10b,Fzd7,M1,0.16666666666666669,2.077183468426784,0.1117215230316488,0.0,30.88906932953571,0.007865396512527517,495.1408473096597,0.0151731318095766
ECs,a,Mc5r,M1,-0.16666666666666663,0.5533519177228297,0.2853562703648988,-0.33333333333333337,3.8734104284614874,0.0261368028699135,6.241767110777317,0.0151620249418946
ECs,Bmp15,Bmpr1a,M1,-0.5,-5.639903807541849,0.0,0.0,95.96320383185606,0.0148029772530617,3.741298261169476,0.0148029772530617
ECs,Fgf22,Fgfrl1,M1,0.0,10.744098748880392,0.23400930687600704,0.0,5.883050240061142,0.0178687789029651,188.84000942848462,0.014788244998830797
ECs,Gnai2,P2ry12,M1,0.0,-1068.9525168194332,-0.038224590463516006,0.0,265.6713963813284,0.11351937142352594,951054.100652506,0.0146516545671945
ECs,Lama1,Rpsa,M1,0.0,2.3976647796920565,0.07148762045229809,0.0,1.173800777778979,0.01475290901141832,8388.033721301199,0.0142564131551513
ECs,Col9a3,Mag,M1,0.0,10.7678849130309,0.026335950715599826,0.6666666666666667,3.0671349320555965,0.053765240994998506,274.4041318795756,0.0142200104300701
ECs,Efna3,Epha1,M1,0.0,5.601449071329168,0.23783540206782036,0.0,-26.58544994663569,-0.0184593083025614,879.0260053970537,0.013667695827652005
ECs,Lpl,Lrp1,M1,0.0,2145.4543536117344,0.07209194173655631,0.0,-2274.785867591469,-0.02626670715094412,58798771.11665016,0.0136363935487586
ECs,Fasl,Fas,M1,0.0,3.0586034704770237,0.11820620354802193,0.0,34.426748115457,0.001417701387542908,835.880494699649,0.013627755944019404
ECs,Vcam1,Itga4,M1,0.0,34.634248169280966,0.02499167043488859,0.0,537.2995748407602,0.038288197987486616,480200.678010507,0.0135878676547199
ECs,Wnt3a,Lrp6,M1,0.16666666666666669,0.9427642495331429,0.12921862489583552,0.0,23.055059623241053,-0.006468926869622789,1154.1292992048711,0.0132074321945714
ECs,Pomc,Oprm1,M1,0.0,-7.692493778947001,-0.011509415272512258,0.33333333333333337,3.0944250064966785,0.0196526354102549,36.644592484364686,0.0129714619311496
