Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Nts,Ntsr2,sCs,0.0,85.50564852435292,0.003967573749906639,0.6666666666666667,2.386981367536018,0.5285546242326249,312.67998136270575,0.5191042500367009
ECs,Inhbb,Acvr1c,sCs,0.0,-221.49735447923268,-0.07360600136660245,0.16666666666666669,2.422067841573935,0.5578145864022069,329.70347148344416,0.4620841740008722
ECs,Fgf23,Fgfr4,sCs,-0.16666666666666663,-0.20148144141744728,0.4609126964663846,0.0,53.712549612213145,0.005601252747756802,46.85669314997699,0.4195520004277944
ECs,Efna1,Epha5,sCs,0.0,-93.0819826118393,0.020585578248176084,0.0,56.06364187797671,0.4187777479146987,22477.233705276176,0.3819944450304809
ECs,Efna3,Epha5,sCs,0.0,5.601449071329168,0.23783540206782036,0.0,56.06364187797671,0.4187777479146987,500.1358238731248,0.3338951711897223
ECs,Nodal,Acvr1c,sCs,0.0,3.599252749265709,0.016574078104916234,0.16666666666666669,2.422067841573935,0.5578145864022069,78.91090460902664,0.22994656108988545
ECs,Dll1,Notch3,sCs,0.0,172.3277068283495,0.22845177952673015,0.0,4316.606283844788,0.050086835401707885,4153518.8996143932,0.2073797043431882
ECs,Cntn2,Nrcam,sCs,0.0,14.961740818512599,0.2301679769418988,0.0,-222.5840882056448,0.004064731120081766,26197.628495339613,0.20608538089690429
ECs,Insl5,Rxfp3,sCs,0.16666666666666669,2.835015498767195,0.24344302785784086,0.0,7.4441761414778576,0.038251955401400806,44.39488889952485,0.1923628348750721
ECs,Efna3,Epha7,sCs,0.0,5.601449071329168,0.23783540206782036,0.0,14.531807703688687,0.061886351363211974,677.7189463942569,0.16912684912540832
ECs,Ntf3,Ntrk2,sCs,0.0,47.932229313856354,-0.012675176201963012,0.0,456.6047890767021,0.2303993080592631,64241.57511435747,0.16689083570203458
ECs,Tnfsf10,Tnfrsf11b,sCs,0.0,338.01469381040266,0.07622330872140992,0.0,24.242312895687128,0.2075432900370666,27848.971741089623,0.1629052916943464
ECs,Ccl28,Ccr10,sCs,0.0,8.603179048930901,0.1417400041858678,0.0,20.738142267935807,0.3120348759532497,383.47701041783694,0.1624667896901308
ECs,Gnas,Lhcgr,sCs,0.0,115.64002721989948,0.07227797169037847,0.0,42.88118176499053,0.4134000640982756,20816.641111836325,0.15464731316000968
ECs,Vip,Vipr1,sCs,0.0,-11.712500989276009,-0.0424893939543024,0.0,40.07757609257385,0.15939246489859574,313.0843659191562,0.14732915910594108
ECs,Gip,Gipr,sCs,0.6666666666666667,8.629029157399923,0.3780420713167689,0.0,3.7737210967928214,0.08062494962511929,159.1350526381251,0.1343512106287916
ECs,Sema6a,Plxna4,sCs,0.0,129.77696495444025,0.04625922195465637,0.0,259.5531190088318,0.15185079776704488,945298.3549912809,0.13328224791507606
ECs,Ccl5,Ccr4,sCs,0.0,20.84174406928335,0.2784564110895802,-0.16666666666666663,2.861902982893328,0.2874674845150441,110.71476516956206,0.13139258470625118
ECs,Dhh,Hhip,sCs,0.0,-31.84429582397152,-0.11117872127058116,0.0,83.62227563445863,0.30767976029763844,10703.501005845732,0.1301027585295432
ECs,Ntf5,Ngfr,sCs,0.0,5.585626253566102,0.11948418143378793,0.0,662.5818913489852,0.042952782035355914,14857.770083745869,0.12295925523380867
ECs,Jag2,Notch3,sCs,0.0,255.09881763705607,0.10807264987258793,0.0,4316.606283844788,0.050086835401707885,7362757.624831487,0.12222997066300068
ECs,Ccl5,Gpr75,sCs,0.0,20.84174406928335,0.2784564110895802,0.0,-3.8132696288350303,0.03433413715972622,514.369478126815,0.115671402563383
ECs,Vip,Vipr2,sCs,0.0,-11.712500989276009,-0.0424893939543024,0.0,38.62204864670662,0.1307691304546722,440.6871604890147,0.1155186801867662
ECs,Tgfa,Erbb2,sCs,0.0,43.376588362281,0.3217331527302966,0.0,49.3533302082951,-0.00459636005577041,14893.818863359189,0.10972302118644607
ECs,Ntf3,Ntrk3,sCs,0.0,47.932229313856354,-0.012675176201963012,0.0,180.4349873865436,0.15850349037356135,22922.9319637672,0.10751590762651177
ECs,Fgf17,Fgfr4,sCs,0.33333333333333337,4.308053439905957,0.1167979379196075,0.0,53.712549612213145,0.005601252747756802,2277.578669676004,0.1066156849966188
ECs,Ccl5,Sdc1,sCs,0.0,20.84174406928335,0.2784564110895802,0.0,-66.73322238720448,-0.00490425092288177,9559.021839752544,0.10616535915544348
ECs,Wnt3a,Fzd10,sCs,0.16666666666666669,0.9427642495331429,0.12921862489583552,-0.16666666666666663,0.5603012480364151,0.1399928881430375,2.3107322493959983,0.1055025385605382
ECs,Fgf9,Fgfr4,sCs,0.0,27.01443035894853,0.10958535782248502,0.0,53.712549612213145,0.005601252747756802,14732.078914131158,0.10401100627382852
ECs,Egf,Erbb3,sCs,0.0,8.196574430382789,0.0965984458502498,0.0,494.13677321588943,0.2384084476996268,9482.276551322913,0.1031234420615182
ECs,Fgf23,Fgfr1,sCs,-0.16666666666666663,-0.20148144141744728,0.4609126964663846,0.0,167.3253437645178,0.00654421022824081,191.9629173550097,0.1031141093156768
ECs,Ghrh,Vipr1,sCs,0.0,0.7136939896180348,0.2432756728319478,0.0,40.07757609257385,0.15939246489859574,143.33679190408952,0.0992159822828872
ECs,Fgf23,Fgfr2,sCs,-0.16666666666666663,-0.20148144141744728,0.4609126964663846,0.0,1.7165188261832185,0.022479547401308503,1.0740741570464891,0.09838722285656333
ECs,Cntn2,Cntnap2,sCs,0.0,14.961740818512599,0.2301679769418988,0.33333333333333337,3.4137123163780068,0.10152100914130263,112.30542859241079,0.09764904105391133
ECs,Ccl5,Sdc4,sCs,0.0,20.84174406928335,0.2784564110895802,0.0,-339.00604370047495,-0.032680545172416316,32796.52833726225,0.09734226371549942
ECs,Vwf,Tnfrsf11b,sCs,0.0,129.54021470683983,-0.16997864396341664,0.0,24.242312895687128,0.2075432900370666,75788.21249321774,0.0931108755910887
ECs,Npnt,Itga8,sCs,0.0,18.65511237567079,0.0934878737192707,0.0,599.6294687079823,0.3370823194779948,39123.62822652767,0.0921283405021017
ECs,Ntf5,Ntrk2,sCs,0.0,5.585626253566102,0.11948418143378793,0.0,456.6047890767021,0.2303993080592631,8953.713909130509,0.0898241673834391
ECs,Efna3,Epha2,sCs,0.0,5.601449071329168,0.23783540206782036,0.0,-322.260353632578,-0.06911755069918851,6219.192924597865,0.0879041060219724
ECs,Dlk1,Notch3,sCs,0.33333333333333337,2.6905797822389785,0.1033750752041598,0.0,4316.606283844788,0.050086835401707885,51488.23409337578,0.0865869063709831
ECs,Nts,Sort1,sCs,0.0,85.50564852435292,0.003967573749906639,0.0,461.08681827991677,0.08647704228297387,103758.40274324868,0.0855237458126285
ECs,Vegfc,Vipr2,sCs,0.0,40.0235020243844,0.11806193210885395,0.0,38.62204864670662,0.1307691304546722,6114.074724648457,0.085270465171632
ECs,Cadm3,Cadm1,sCs,0.0,84.56862453896791,0.114638937311282,0.0,269.65430186043966,0.06514665918206441,86660.66333772197,0.0840329690410386
ECs,a,Mc1r,sCs,-0.16666666666666663,0.5533519177228297,0.2853562703648988,0.0,13.769351213418169,0.05014654476152508,31.895228047016744,0.083747761914137
ECs,Jam2,Jam3,sCs,0.0,428.8300558893897,0.005226667424028775,0.0,90.656323875383,0.08987840912491929,534561.094426889,0.08356217572778346
ECs,L1cam,Erbb3,sCs,0.0,268.2881124857703,0.0502535396501986,0.0,494.13677321588943,0.2384084476996268,479258.5299700414,0.08238293172182891
ECs,Mmrn2,Cd248,sCs,0.0,119.061492821947,-0.01951818778463721,0.0,224.14122511897682,0.09517191462003882,670670.829612656,0.0823454925867716
ECs,Hcrt,Hcrtr1,sCs,-0.5,-6.549641851272056,-0.14390909010218678,0.33333333333333337,13.583896404586921,0.3509978550974039,36.608547698024296,0.079466699641058
ECs,Ngf,Sorcs3,sCs,0.0,41.1166117518907,0.05645766824314831,0.0,4.3020971151077685,0.2390150253268154,577.3722617579567,0.07863749644697099
ECs,Lama5,Bcam,sCs,0.0,441.7282593014352,-0.07995669353661193,0.0,738.9974511964605,0.1570656067421929,4234023.38685468,0.0782539688704785
ECs,Proc,Procr,sCs,-0.5,1.6774220893171528,0.050496911731111434,0.0,215.05601875644533,0.19236133626932508,1855.4799847406628,0.07807964069491859
ECs,Lama1,Itgb8,sCs,0.0,2.3976647796920565,0.07148762045229809,0.0,1630.720504132307,0.050364532856635565,16573.944700405198,0.07576369238731559
ECs,Efnb2,Epha4,sCs,0.0,630.431802928973,0.16684922382940506,0.0,84.2774200007462,0.08159057413138,317688.57970111363,0.0747729206963762
ECs,Efna1,Epha4,sCs,0.0,-93.0819826118393,0.020585578248176084,0.0,84.2774200007462,0.08159057413138,26172.780116455047,0.07444543802667619
ECs,Efna5,Epha5,sCs,0.33333333333333337,3.902855241999311,0.0586561143137321,0.0,56.06364187797671,0.4187777479146987,637.8543545560591,0.0740267776257547
ECs,Gnai2,Lhcgr,sCs,0.0,-1068.9525168194332,-0.038224590463516006,0.0,42.88118176499053,0.4134000640982756,203474.59256320886,0.0735442818217668
