Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Ccl12,Ccr2,Inflammatory-Mac,0.0,58.10006426795127,0.10371479385570133,0.0,2227.4418717780013,-0.01548640406542301,1575674.7522025069,0.07331475176253742
Inflammatory-Mac,Ccl12,Ccr3,Inflammatory-Mac,0.0,58.10006426795127,0.10371479385570133,0.0,3.94136163793015,0.104000968073583,1897.1454419154952,0.06236379873451488
Inflammatory-Mac,Ccl12,Ccr5,Inflammatory-Mac,0.0,58.10006426795127,0.10371479385570133,0.0,341.906930295474,0.004293670419477813,579935.9214956891,0.061707989433958076
Inflammatory-Mac,Cd14,Itga4,Inflammatory-Mac,0.0,301.40258813460235,0.0678927658028835,0.0,537.2995748407593,0.038288197987486616,4449669.179814272,0.04131294759207979
Inflammatory-Mac,Sectm1a,Cd7,Inflammatory-Mac,-0.33333333333333337,-0.8223568645354136,-0.09027759423011343,0.33333333333333337,3.568690263299734,0.2601586444079208,5.3918503984173585,0.036457355025262025
Inflammatory-Mac,App,Cd74,Inflammatory-Mac,0.0,64.2800834902564,0.002089435528870281,0.0,12048.168367952845,0.14593500340146687,95571816.82229666,0.030814958983965857
Inflammatory-Mac,Ccl24,Ccr3,Inflammatory-Mac,0.0,2.439600904205072,-0.2329015900839285,0.0,3.94136163793015,0.104000968073583,197.43006634983132,0.02931302618540458
Inflammatory-Mac,Il19,Il20rb,Inflammatory-Mac,0.0,3.108841889929227,0.2833599784147254,0.0,11.582595992275238,0.010697951279194956,198.71575350134458,0.02871936477223852
Inflammatory-Mac,Cxcl10,Ccr3,Inflammatory-Mac,0.0,-87.53342557472921,-0.014272750006837696,0.0,3.94136163793015,0.104000968073583,1474.5097915147726,0.028700878885701192
Inflammatory-Mac,Gnai2,P2ry12,Inflammatory-Mac,0.0,77.46401447427071,0.0095509935488165,0.0,265.6713963813283,0.11351937142352593,1289683.212061216,0.025822022793506826
Inflammatory-Mac,Ccl2,Ccr3,Inflammatory-Mac,0.0,-779.5115533083343,-0.0512678394228937,0.0,3.94136163793015,0.104000968073583,10169.54182281532,0.024360835649368216
Inflammatory-Mac,Cd80,Cd28,Inflammatory-Mac,0.0,-171.94245906908043,0.033121890488378214,0.0,72.69337655398566,0.05340779786615901,59109.31527203247,0.024001064733735426
Inflammatory-Mac,Cd28,Cd80,Inflammatory-Mac,0.0,72.69337655398566,0.05340779786615901,0.0,-171.94245906908043,0.033121890488378214,59109.31527203247,0.024001064733735426
Inflammatory-Mac,Tnfsf13,Tnfrsf13b,Inflammatory-Mac,0.0,-0.5630190590768294,-0.0013348081819157256,0.0,90.32413101526801,0.06701040044073259,3954.765945875901,0.0227198704767726
Inflammatory-Mac,F13a1,Itga4,Inflammatory-Mac,0.0,3067.762256278329,-0.001959339921963843,0.0,537.2995748407593,0.038288197987486616,28944522.56994152,0.022618886667723083
Inflammatory-Mac,Ccl12,Ccr1,Inflammatory-Mac,0.0,58.10006426795127,0.10371479385570133,0.0,-811.6101335370496,-0.007813742016387766,22545.146192453107,0.022425070275727543
Inflammatory-Mac,Osm,Lifr,Inflammatory-Mac,0.0,-77.12891001407273,0.014697377936099931,0.0,1246.3040670387702,0.043684284436268206,1621674.917280805,0.0216746559406962
Inflammatory-Mac,Sost,Lrp4,Inflammatory-Mac,0.3333333333333333,2.5772833292977357,0.12574125230351962,0.0,-9.33047713307937,0.013359183651584894,401.9084419228608,0.02084021235482164
Inflammatory-Mac,Ccl12,Ccr10,Inflammatory-Mac,0.0,58.10006426795127,0.10371479385570133,0.3333333333333333,2.3778826165813043,0.040216584772956386,826.2850691254762,0.020749171853782455
Inflammatory-Mac,Dll3,Notch2,Inflammatory-Mac,0.0,2.311814693406159,0.07445376448879079,0.0,-751.8785004440816,-0.012633669892808508,11702.268843046013,0.020136014746280198
Inflammatory-Mac,Fn1,Itga4,Inflammatory-Mac,0.0,-3298.522139929635,0.018667056795652504,0.0,537.2995748407593,0.038288197987486616,117524.81065088509,0.020013775262894384
Inflammatory-Mac,Cxcl10,Cxcr3,Inflammatory-Mac,0.0,-87.53342557472921,-0.014272750006837696,0.0,12.362861178381234,0.07070571501046047,6744.7064317303975,0.019992800218512248
Inflammatory-Mac,Mif,Cd74,Inflammatory-Mac,0.0,59.07835812310663,0.01586622475907941,0.0,12048.168367952845,0.14593500340146687,4111224.177455404,0.019377624735740853
Inflammatory-Mac,Fn1,Mag,Inflammatory-Mac,0.0,-3298.522139929635,0.018667056795652504,0.6666666666666667,3.0671349320555965,0.05376524099499853,119867.13132780339,0.01859710889627447
