Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Shh,Lrp2,Neutrophils,0.0,2.498547425426761,0.2567874707566505,0.0,-2.1946515708385306,0.27864854563049235,35.23411020908257,0.13601864353308146
Inflammatory-Mac,Siglec1,Spn,Neutrophils,0.0,1747.8633669702535,0.08916114137291037,0.0,44.89158155145755,0.18476719667353053,382469.9476891874,0.09890186804361492
Inflammatory-Mac,Apoe,Lrp2,Neutrophils,0.0,6053.651212960502,0.0671007858702633,0.0,-2.1946515708385306,0.27864854563049235,63097.09209776892,0.08650803400358469
Inflammatory-Mac,Enam,Cd63,Neutrophils,-0.33333333333333337,2.956061562871596,0.1845363138956101,0.0,859.8999070255942,0.063329652381865,10024.855536699013,0.07289549737721905
Inflammatory-Mac,Ccl12,Ccr1,Neutrophils,0.0,58.10006426795127,0.10371479385570133,0.0,-1607.0383838015005,0.007576107281346722,224043.31877258,0.07163232898982264
Inflammatory-Mac,Tnfsf8,Tnfrsf8,Neutrophils,0.33333333333333337,4.662199722630314,0.10738759137599953,0.0,23.151916125497213,0.03993227971751878,1067.243591672622,0.06493583897909591
Inflammatory-Mac,Shh,Ptch2,Neutrophils,0.0,2.498547425426761,0.2567874707566505,0.0,-216.9889712993293,-0.15419945887432696,525.7224013811484,0.06258304588848676
Inflammatory-Mac,Fn1,Itgb3,Neutrophils,0.0,-3298.522139929635,0.018667056795652504,0.0,558.2657476853516,0.1461351640605541,20313262.192683917,0.0565716496547358
Inflammatory-Mac,Thbs1,Itgb3,Neutrophils,0.0,-5072.6541417736435,-0.033019603086930686,0.0,558.2657476853516,0.1461351640605541,38875261.72791623,0.051931350370962914
Inflammatory-Mac,Apoe,Sorl1,Neutrophils,0.0,6053.651212960502,0.0671007858702633,0.0,-4952.240252452098,-0.02594349704471799,86683601.29811627,0.0490490067771758
Inflammatory-Mac,Il19,Il20rb,Neutrophils,0.0,3.108841889929227,0.2833599784147254,0.0,3.99431874716116,-0.013033567186822026,301.53211727226767,0.04422647642873352
Inflammatory-Mac,Lpl,Lrp2,Neutrophils,0.0,1149.6102887300765,0.033104905264296394,0.0,-2.1946515708385306,0.27864854563049235,12548.412034816385,0.04117038209552919
Inflammatory-Mac,Cd86,Cd28,Neutrophils,0.0,372.46898057740015,-0.05743469864583117,0.0,45.94451792294392,0.07318381006961854,173399.43660668065,0.04101072511848889
Inflammatory-Mac,Hp,Cd163,Neutrophils,0.0,100.25295326829551,0.05914942236154357,0.0,152.48784291964012,0.08637820359561851,141001.33990090614,0.03929898908513154
Inflammatory-Mac,Fn1,Mag,Neutrophils,0.0,-3298.522139929635,0.018667056795652504,0.0,7.503415454898438,0.1011949323001044,286690.95541045896,0.0365752835788154
Inflammatory-Mac,Cd2,Cd48,Neutrophils,0.0,-1.9004840164103716,0.21998763809457506,0.0,116.61418724984993,0.02652102172333999,96.9265019268723,0.03538304101332376
Inflammatory-Mac,Selplg,Sell,Neutrophils,0.0,-15.58642097665006,0.0325505241759004,0.0,1048.5548265262332,0.0415258701169251,1642825.6058230288,0.0334920076119575
Inflammatory-Mac,Spon1,Lrp8,Neutrophils,0.0,266.38935403314207,0.04225561047326781,0.0,12.606858721023345,0.06519530310609481,97090.63889549961,0.03182404924836822
Inflammatory-Mac,Apoe,Lrp8,Neutrophils,0.0,6053.651212960502,0.0671007858702633,0.0,12.606858721023345,0.06519530310609481,2202325.3208392183,0.03097411107387453
Inflammatory-Mac,Hp,Itgb2,Neutrophils,0.0,100.25295326829551,0.05914942236154357,0.0,-112.76254525861805,0.026342420652163908,574720.4463974899,0.029874306361264674
Inflammatory-Mac,Omg,Tnfrsf1b,Neutrophils,0.0,39.1799632450975,0.054055238047084085,0.0,803.0169690166002,0.00980076254247608,525509.0004584659,0.029177702393360136
Inflammatory-Mac,Icam1,Spn,Neutrophils,0.0,-18.609662536433007,0.024552427493849144,0.0,44.89158155145755,0.18476719667353053,47311.599288470585,0.028012922724320318
Inflammatory-Mac,Cd6,Alcam,Neutrophils,0.0,0.18100643945739936,0.02425879105338949,0.0,1150.368024286854,0.10914094020601683,8324.937274036696,0.02743915549289036
Inflammatory-Mac,Slamf6,Slamf6,Neutrophils,0.0,16.524315742559082,-0.02902925005361057,0.0,16.8832869721856,0.0643853957137017,1815.5121543264634,0.02723670948256146
Inflammatory-Mac,Ccl12,Ccr4,Neutrophils,0.0,58.10006426795127,0.10371479385570133,0.0,0.5443368932564939,0.053066114990384695,195.47617521958614,0.027233391877920888
Inflammatory-Mac,Adam15,Itgb3,Neutrophils,0.0,-248.14939339164155,-0.009488989142504595,0.0,558.2657476853516,0.1461351640605541,412832.3131988028,0.02593993128503416
Inflammatory-Mac,Hgf,St14,Neutrophils,0.0,79.29980903226942,0.009954942062649493,0.0,22.271296930024217,0.10279765754958432,17765.35188675431,0.025144449760730936
