Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Fgf8,Fgfr3,ECs,0.3333333333333333,4.7280735227497965,0.1901994348806818,0.0,66.80113034011782,0.09807929587157728,1444.8099978805405,0.13510520494595832
M1,Il19,Il20rb,ECs,0.0,3.108841889929227,0.2833599784147255,0.0,26.581905613173717,0.00301089166760099,756.1839985012697,0.1101215476538833
M1,Shh,Ptch1,ECs,0.0,2.498547425426761,0.2567874707566506,0.0,25.569379197264997,0.03245231535606197,1673.0772686578644,0.1027941163333357
M1,Shh,Ptch2,ECs,0.0,2.498547425426761,0.2567874707566506,0.0,22.42390582816779,0.08319309476421742,823.8039285279523,0.0961965931634799
M1,B2m,Gm11127,ECs,0.0,5468.005824317064,-0.006217654088408131,0.33333333333333337,5.737417251981333,0.3388000231411317,205346.72074200056,0.09455682603378728
M1,Nppa,Npr1,ECs,0.0,2.884069325022001,0.0884011363609122,0.0,208.2845368451781,0.01569696150223998,6113.610329486916,0.08357524102084431
M1,Cd38,Pecam1,ECs,0.0,305.26891183319407,0.07037630660301887,0.0,-1454.8043210412507,0.010395331592394808,5132151.560155008,0.0678032451762394
M1,Dll3,Notch4,ECs,0.0,2.311814693406156,0.07445376448879079,0.0,-329.50752242014096,-0.025251643531247425,5054.370870445455,0.06324370099165649
M1,Tnfsf18,Tnfrsf18,ECs,-0.33333333333333337,7.2475604018096575,0.14356147808625108,0.0,13.966115420418422,0.11797676683282113,201.96340813670773,0.0553465723661121
M1,Sost,Lrp5,ECs,0.3333333333333333,2.577283329297737,0.1257412523035195,0.0,303.8005305623791,0.03995715561240954,3830.985653189375,0.0510618600701673
M1,Nppa,Npr2,ECs,0.0,2.884069325022001,0.0884011363609122,0.0,-19.384425530419094,-0.04789203601800718,1661.9705326309302,0.047747488866130415
