Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Ngf,Ntrk1,FAPs,0.0,126.94153233355352,0.049378816835962465,0.33333333333333337,7.075806190394241,0.4136714798815212,2648.7072712149184,0.3053183450179795
MuSCs,Bmp7,Bmpr1b,FAPs,0.6666666666666667,3.2131559647243337,0.4823266075265242,0.0,-44.825869695263044,-0.003902810132414447,98.37080910664172,0.2569403790356158
MuSCs,Ccl17,Ackr2,FAPs,0.0,6.7532519126106285,0.2483854944348072,0.0,-0.6458798378848467,0.0,95.85422281082614,0.2483854944348072
MuSCs,Artn,Ret,FAPs,0.0,25.00924568081038,0.3260196872650873,0.0,-84.83502761066285,0.03298443281331731,7249.843608511432,0.2391982427705173
MuSCs,Crlf1,Cntfr,FAPs,0.0,101.2381354292014,0.2850300461608835,0.0,34.35960206127456,-0.017052760457048732,12369.928443798806,0.2087777101022788
MuSCs,Bmp7,Acvr2a,FAPs,0.6666666666666667,3.2131559647243337,0.4823266075265242,0.0,291.5917665411971,0.02772631432699452,8153.924196462368,0.2034209997533281
MuSCs,Efna5,Epha3,FAPs,0.0,7.955934609346207,0.20450636852800824,0.0,-126.36114767458594,0.0026100286178184487,1937.1908167858567,0.2007922433084128
MuSCs,Il11,Il11ra1,FAPs,0.0,153.38162723398491,0.3019956404232776,0.0,96.31831956810764,-0.005613153752592193,119894.57306035626,0.19026583235659625
MuSCs,Btc,Egfr,FAPs,0.0,355.8432851099621,0.13629319037626966,0.0,1676.043065609626,0.09105163744838364,2983490.320495378,0.1772081615959079
MuSCs,Inhba,Tgfbr3,FAPs,0.0,722.1438933840768,0.2585107591297917,0.0,916.6101726751393,0.026346689031529147,3964680.787458838,0.17253440430416
MuSCs,Il11,Il6st,FAPs,0.0,153.38162723398491,0.3019956404232776,0.0,794.2482054974025,0.004731930507206994,2848601.6559891542,0.1708218025825848
MuSCs,Bmp7,Bmpr1a,FAPs,0.6666666666666667,3.2131559647243337,0.4823266075265242,0.0,26.206049007039837,-0.050665557324355785,7629.420563148988,0.1706733374976363
MuSCs,Col18a1,Gpc4,FAPs,0.0,1532.7184168483966,0.19746729093011076,0.0,140.27770745162468,0.11391274826061942,2027908.6407224648,0.16189307804210692
MuSCs,Cck,Cckar,FAPs,0.0,27.523736991681666,0.2219317247029211,0.0,15.978730043038668,0.1844554579135979,1671.5928231925545,0.15745268910521432
MuSCs,Cort,Sstr3,FAPs,0.33333333333333337,1.7379989526264672,0.1330324249379133,0.0,9.084116458408628,0.1607098122232209,84.64156361972111,0.15111460552342731
MuSCs,Avp,Avpr1a,FAPs,0.33333333333333337,4.579124405093644,0.4151500551277492,0.0,-75.61109830695334,-0.14502527148821348,1319.6794155304244,0.14556377905509454
MuSCs,Ctf1,Il6st,FAPs,0.0,11.92130807053638,0.25552898798167906,0.0,794.2482054974025,0.004731930507206994,232186.41489833145,0.14525573784422333
MuSCs,Lgi4,Adam23,FAPs,0.0,144.01395579985632,0.21152395465310114,0.0,521.1092382047876,-0.020112688800661527,249852.568756982,0.14270697651668918
MuSCs,Tnc,Cntn1,FAPs,0.0,2771.969182194536,0.07948057001346959,0.0,3.2923894947937558,0.19225676898417288,40517.62364863482,0.14137431167259068
MuSCs,L1cam,Cntn1,FAPs,0.0,477.8836190929063,0.1126223675526041,0.0,3.2923894947937558,0.19225676898417288,5618.28594010951,0.13708867586152562
MuSCs,Dkk1,Lrp6,FAPs,0.0,7.221323589614893,0.4373677067396812,0.0,354.672149095009,0.015727313594119996,22300.693078218043,0.1313276387930268
MuSCs,Bmp7,Acvr1,FAPs,0.6666666666666667,3.2131559647243337,0.4823266075265242,0.0,-28.330833883871836,-0.004758868436979703,1695.407911521435,0.1296730670090555
MuSCs,Pdgfc,Pdgfra,FAPs,0.0,69.43756458491279,0.12898113280317602,0.0,3373.9001090920665,-0.0011508468375875935,1422765.1544130358,0.12586159411607786
MuSCs,Nppa,Npr3,FAPs,0.6666666666666667,4.92144034600109,0.18757897182038785,0.0,-33.305756097859394,-0.11535237404430645,563.1334171335542,0.12286241938508202
MuSCs,Timp3,Agtr2,FAPs,0.0,2230.686088841225,0.1398022881146026,0.0,7.249347726483236,-0.0322265999998862,120721.13585620074,0.12251723547744225
MuSCs,Dkk1,Kremen1,FAPs,0.0,7.221323589614893,0.4373677067396812,0.0,8.856375523272504,-0.02275486211051481,3963.2028089780324,0.1198445291320408
MuSCs,Bmp2,Acvr2a,FAPs,0.0,91.27651579962034,0.2661069232058468,0.0,291.5917665411971,0.02772631432699452,254040.47369906656,0.11284383045544505
MuSCs,Ntf5,Ntrk1,FAPs,0.0,-1.9857746900267517,0.0262189106762776,0.33333333333333337,7.075806190394241,0.4136714798815212,112.93188817596592,0.11038983698474136
MuSCs,Tgfb3,Tgfbr3,FAPs,0.0,269.0199205727945,0.1574501631223415,0.0,916.6101726751393,0.026346689031529147,1627328.410610132,0.11003881137211358
MuSCs,Inhba,Acvr2a,FAPs,0.0,722.1438933840768,0.2585107591297917,0.0,291.5917665411971,0.02772631432699452,1718421.391771477,0.10920551289270844
MuSCs,Slit3,Robo1,FAPs,0.0,985.4899545985944,0.10544903220671613,0.0,-331.86139807693286,0.13651231399808705,1132472.5866703587,0.10598995962968867
MuSCs,Vtn,Itgb6,FAPs,0.0,335.77559624408633,0.02177014900507257,0.0,32.457399384735716,0.14270517095280652,68584.90432048331,0.10588333527210213
MuSCs,Efna4,Epha3,FAPs,0.0,3.8653822656425856,0.10779797845213128,0.0,-126.36114767458594,0.0026100286178184487,2430.8019383260157,0.1058728229768308
MuSCs,Cort,Ghsr,FAPs,0.33333333333333337,1.7379989526264672,0.1330324249379133,0.0,14.459525649919328,0.10734492416171117,353.4597031626538,0.10271885378516377
MuSCs,Dkk1,Lrp4,FAPs,0.0,7.221323589614893,0.4373677067396812,0.0,27.58697021110069,0.0481329570935331,1554.0529063919323,0.1016476885791162
MuSCs,Pdgfa,Pdgfra,FAPs,0.0,299.4945801834278,0.1024052673483451,0.0,3373.9001090920665,-0.0011508468375875935,9826062.271795401,0.09937854985948924
MuSCs,Dhh,Boc,FAPs,0.0,37.31495965653112,0.13122486538570158,0.0,159.7954732061681,0.03615443426744258,42209.53920161729,0.0971037827093238
MuSCs,L1cam,Egfr,FAPs,0.0,477.8836190929063,0.1126223675526041,0.0,1676.043065609626,0.09105163744838364,4384493.677742319,0.09620792245260892
MuSCs,Fgf1,Fgfr1,FAPs,0.0,283.1499776492707,0.12561859459365174,0.0,494.11608874422836,0.01754555146465031,1119692.4597730793,0.09464962342264982
MuSCs,Fgf1,Fgfr2,FAPs,0.0,283.1499776492707,0.12561859459365174,0.0,-0.12099654903199307,0.006892177339764993,17092.70998540336,0.094533472551944
MuSCs,Bmp2,Bmpr1a,FAPs,0.0,91.27651579962034,0.2661069232058468,0.0,26.206049007039837,-0.050665557324355785,218744.01169925128,0.09304223307849524
MuSCs,Dkk1,Kremen2,FAPs,0.0,7.221323589614893,0.4373677067396812,0.33333333333333337,2.635022127125405,0.06858834702334335,39.586144650229286,0.09153124020360452
MuSCs,Ntf3,Ntrk1,FAPs,0.0,18.96560278171848,0.07902913326396742,0.33333333333333337,7.075806190394241,0.4136714798815212,243.32476256139824,0.09059647827994656
MuSCs,Efna5,Ephb6,FAPs,0.0,7.955934609346207,0.20450636852800824,0.0,13.737139169620244,0.05810408674218848,863.3381794333643,0.09001074867401225
MuSCs,Bmp7,Bmpr2,FAPs,0.6666666666666667,3.2131559647243337,0.4823266075265242,0.0,203.19773662522945,0.0011694709120163016,16081.271784588509,0.08994150808136023
MuSCs,Uts2,Uts2r,FAPs,0.33333333333333337,5.7918383179641895,0.1232355753640006,0.0,4.371195155075709,-0.053363223738860384,95.4554192984334,0.0895128378888849
MuSCs,Efna2,Epha8,FAPs,0.0,27.10119521979809,0.08544035295329361,0.0,-0.8704504785059357,0.187272660247224,24.953627426711588,0.0893257108859796
MuSCs,Tnc,Egfr,FAPs,0.0,2771.969182194536,0.07948057001346959,0.0,1676.043065609626,0.09105163744838364,29468531.28479607,0.08903164588199093
MuSCs,Avp,Oxtr,FAPs,0.33333333333333337,4.579124405093644,0.4151500551277492,-0.33333333333333337,-2.7172773018667087,-0.11631719734684726,12.96830048946058,0.0876561982395951
MuSCs,Nrtn,Ret,FAPs,0.33333333333333337,1.1466813067324295,0.10669421714241134,0.0,-84.83502761066285,0.03298443281331731,178.80588414771717,0.08502071401680641
MuSCs,Efna2,Epha3,FAPs,0.0,27.10119521979809,0.08544035295329361,0.0,-126.36114767458594,0.0026100286178184487,15259.79426305856,0.08427736331872743
