Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Tslp,Il7r,Resolving-Mac,0.33333333333333337,18.106440425563108,0.2997941259717518,0.0,72.75082496805089,0.036903426562927,56779.917443435144,0.1984599632764815
MuSCs,Sema3d,Nrp1,Resolving-Mac,0.0,42.029113493953155,0.38476700736159103,0.0,-422.9740106891886,-0.033910791597647705,233675.31615829453,0.11929799053262792
MuSCs,Wnt6,Fzd7,Resolving-Mac,0.0,6.060550780880558,0.4830154545286138,0.0,3.0659440063806187,-0.01850181496891451,2520.172780658804,0.11100876966333292
MuSCs,Col4a6,Cd93,Resolving-Mac,0.0,105.59625315430382,0.3611992157622395,0.0,-843.6777646780009,-0.009254656495624236,1275900.4902950972,0.10380762648000152
MuSCs,Ucn2,Il10rb,Resolving-Mac,0.0,178.57122532857036,0.3986502581876965,0.0,-119.53064361325687,0.009503621094304388,371408.71937833633,0.10221377827160573
MuSCs,Ptn,Sdc3,Resolving-Mac,0.0,39.006253813921475,0.2381476085279564,0.0,863.8665584800874,0.034708134797652,272378.3115392537,0.1003031438846965
MuSCs,Adm2,Ramp1,Resolving-Mac,0.16666666666666669,1.9672201555538502,0.3506375921103991,0.0,22.607017444085056,0.039562662346487004,110.58652086514208,0.08957957941081532
MuSCs,Ptn,Plxnb2,Resolving-Mac,0.0,39.006253813921475,0.2381476085279564,0.0,839.0949623704272,0.019453505450616027,320658.5877514932,0.08640360474515321
MuSCs,Col4a5,Cd93,Resolving-Mac,0.0,185.05344623887348,0.2956379437123162,0.0,-843.6777646780009,-0.009254656495624236,2214777.1661559483,0.0851349466837798
MuSCs,Tslp,Crlf2,Resolving-Mac,0.33333333333333337,18.106440425563108,0.2997941259717518,0.0,0.0059694259836078345,-0.0006100617521955787,5093.7220136032365,0.0844962040325164
