Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutro,Grp,Grpr,ECs,-0.3333333333333333,-0.7586846751342702,0.2859426504096497,0.16666666666666669,2.141959343262924,0.6871395011020847,1.8189341297977468,0.5378924848124885
Neutro,Cort,Sstr1,ECs,0.3333333333333333,2.059296880895928,0.1428644979636938,0.0,3.69602659506853,-0.026703397841791987,39.40547424036132,0.12912380458612802
Neutro,Dkk4,Kremen2,ECs,0.3333333333333333,2.5604895963958665,0.1479105797980406,0.0,8.150066790935648,0.14195901550489798,62.313919079791795,0.111046120570811
Neutro,Cort,Sstr4,ECs,0.3333333333333333,2.059296880895928,0.1428644979636938,0.0,57.32054428686391,0.06122731164720052,366.5884155269546,0.104477569289572
Neutro,Mepe,Phex,ECs,0.0,1.5312681055556665,0.08383831797500563,0.0,9.075012123317636,0.1159752494975128,68.95842062582683,0.0914736272189931
Neutro,Nmb,Grpr,ECs,0.0,9.88547726005051,0.003894163679607807,0.16666666666666669,2.141959343262924,0.6871395011020847,70.28195324338596,0.08843995888209831
Neutro,Slpi,Plscr1,ECs,0.0,44.792991958483064,-0.02841213071283677,0.0,141.90545436918472,0.1232838099708988,132098.24396913752,0.0883882708519749
Neutro,Alcam,Cd6,ECs,0.0,1150.368024286854,0.10914094020601672,0.6666666666666667,6.008082922841224,0.15120270897618418,38814.22786021141,0.0866718822009771
Neutro,Calca,Calcrl,ECs,0.0,2.5630201989177963,0.2206592556877208,0.0,-490.50934058524314,-0.10445994506285973,5567.663598019932,0.0844543703754197
Neutro,Slit1,Robo2,ECs,0.0,-6.722561329009366,-0.029043672164242782,0.0,50.81868507830504,0.4448768660848745,2197.0226319999574,0.0725168686885214
Neutro,B2m,Gm11127,ECs,0.0,3588.777670340969,-0.006217726258588213,0.33333333333333337,5.737417251981333,0.3388000231411317,141818.69832946756,0.0647696126799057
Neutro,Adipoq,Adipor2,ECs,0.33333333333333337,8.22335298484833,0.2322805068226214,0.0,-17.183016405204967,0.0038355025896548993,8122.371403037113,0.0577887599291466
