Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutrophils,Guca2b,Gucy2c,Neutrophils,0.3333333333333333,3.7883061254156902,0.20565970055044994,0.0,-102.84224030317728,-0.0708622403943504,476.91729584156957,0.15582558327394058
Neutrophils,Pdcd1lg2,Pdcd1,Neutrophils,0.0,185.28386520078524,0.010183466197605129,-0.3333333333333333,-0.7577989276141966,0.16620441138579273,7.657320313198994,0.15445767214293174
Neutrophils,Slamf1,Slamf1,Neutrophils,0.0,18.299802631178853,0.08121994335993378,0.0,18.299802631178853,0.08121994335993378,687.7688099015625,0.11930445276838547
Neutrophils,Cxcl17,Gpr35,Neutrophils,0.6666666666666667,6.291945704914202,0.2953343158145984,0.0,-1036.3700365928357,-0.06779752446232667,13602.996655929914,0.10685639198855304
Neutrophils,Adipoq,Adipor1,Neutrophils,0.33333333333333337,8.223352984848331,0.2322805068226215,0.0,-316.57751149074835,0.0013216678616621016,36578.81774822686,0.10504245263296068
Neutrophils,Icam1,Spn,Neutrophils,0.0,-3063.8749817778967,-0.09135740499092926,0.0,44.89158155145755,0.18476719667353053,424.39825993462006,0.10034154265364433
Neutrophils,Tff2,Cxcr4,Neutrophils,0.0,2.2585572368393483,0.119626145635226,0.0,220.00837278692958,0.024888127820156536,24910.166758826494,0.06992824891672259
Neutrophils,Adipoq,Adipor2,Neutrophils,0.33333333333333337,8.223352984848331,0.2322805068226215,0.0,27.42241482403688,0.01592760553049499,9520.853660424456,0.06783435998488188
Neutrophils,Cel,Cxcr4,Neutrophils,0.0,11.001959057454302,0.11784747498652545,0.0,220.00837278692958,0.024888127820156536,113106.54240448134,0.06328550829098373
Neutrophils,Tnfsf8,Tnfrsf8,Neutrophils,0.0,6.777668112485192,0.09839576640464838,0.0,23.151916125497213,0.03993227971751878,1082.3266644102166,0.054519558691459434
Neutrophils,Calca,Ramp1,Neutrophils,0.0,2.5630201989177968,0.2206592556877208,0.0,-5.422898896358327,-0.16488458034976672,136.37947456406792,0.052942689801117084
Neutrophils,Gpha2,Tshr,Neutrophils,-0.3333333333333333,2.1461872542701066,0.13202282083791528,0.0,-12.561688517439775,-0.01914164982521221,141.61238280889637,0.05177621189666228
Neutrophils,Icosl,Icos,Neutrophils,0.0,11.232423599101594,-0.0266956197046524,0.3333333333333333,1.36150170055022,0.08437163840237588,1146.1039377804095,0.04709151865144358
Neutrophils,Icos,Icosl,Neutrophils,0.3333333333333333,1.36150170055022,0.08437163840237588,0.0,11.232423599101594,-0.0266956197046524,1146.1039377804095,0.04709151865144358
Neutrophils,Icosl,Cd28,Neutrophils,0.0,11.232423599101594,-0.0266956197046524,0.0,45.94451792294392,0.07318381006961854,37993.102724808734,0.041964749231368496
Neutrophils,Bmp10,Bmpr1a,Neutrophils,0.0,-29.33703958963952,-0.11530804226599567,0.0,645.8332160281474,0.0950247391916755,25437.975579589423,0.04165740703253868
Neutrophils,Tgm2,Itgb3,Neutrophils,0.0,-1535.4409151077537,-0.03778537344882765,0.0,558.2657476853516,0.1461351640605541,1177637.77370532,0.04029236336276162
Neutrophils,Tff3,Cxcr4,Neutrophils,0.0,5.954782798783543,0.055186122858638616,0.0,220.00837278692958,0.024888127820156536,62722.509029403074,0.03782034744487151
Neutrophils,Cd28,Cd80,Neutrophils,0.0,45.94451792294392,0.07318381006961854,0.0,-935.8474743556368,-0.06389232909879561,70384.67115874348,0.035934046376481024
Neutrophils,Cd80,Cd28,Neutrophils,0.0,-935.8474743556368,-0.06389232909879561,0.0,45.94451792294392,0.07318381006961854,70384.67115874348,0.035934046376481024
Neutrophils,Plau,Lrp2,Neutrophils,0.0,499.30224896544905,0.020197622559948614,0.0,-2.1946515708385306,0.27864854563049235,4487.341520535971,0.035900658991057974
Neutrophils,Hp,Cd163,Neutrophils,0.0,-284.244633510187,-0.0970893281105607,0.0,152.48784291964012,0.08637820359561851,157901.44519842652,0.0355690456597797
Neutrophils,Vwf,Gp1ba,Neutrophils,0.0,1633.985397744283,0.1614494336796169,0.0,12.716971585836403,-0.004717841160644304,213147.43862034124,0.03362932321322576
Neutrophils,Calca,Calcrl,Neutrophils,0.0,2.5630201989177968,0.2206592556877208,0.0,138.17721293526301,0.017853424903867376,2389.1483152604683,0.03359556790542752
Neutrophils,Ccl22,Ccr4,Neutrophils,-0.33333333333333337,-7.479105332813577,0.18903819739691494,0.0,0.5443368932564939,0.053066114990384695,1.6656533392894068,0.030474844362237997
Neutrophils,Cd44,Sele,Neutrophils,0.0,589.5999179904684,0.048585006517347866,0.0,26.13273046980859,0.038888898228065634,1297401.797480883,0.029882319812829582
Neutrophils,Sele,Cd44,Neutrophils,0.0,26.13273046980859,0.038888898228065634,0.0,589.5999179904684,0.048585006517347866,1297401.797480883,0.029882319812829582
Neutrophils,Cd84,Cd84,Neutrophils,0.0,1399.4197549670873,0.047503381049748605,0.0,1399.4197549670873,0.047503381049748605,12893581.17218772,0.02722252815764291
Neutrophils,Ccl24,Ccr3,Neutrophils,0.6666666666666667,5.097734786608399,0.05023371111196827,0.0,-29.264433861508518,-0.14941070683685045,147.9211125323887,0.02508412662432454
