Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Serpine1,Lrp2,sCs,0.0,579.7698785580069,0.007259538282356703,0.0,42.091092208838184,0.4001257444299667,398101.12270919274,0.2749788324259203
FAPs,Nlgn1,Nrxn1,sCs,0.6666666666666667,1.9705306952687305,0.34806330853808826,-0.33333333333333337,-19.971783846543012,-0.016516989611421562,6.31316561705313,0.270244375725063
FAPs,Ptn,Ptprz1,sCs,0.0,70.43901034808721,0.2382784130131687,0.0,-67.76180291851139,0.03836407151487686,6910.31131144566,0.24426675468832135
FAPs,Tac1,Tacr2,sCs,0.0,8.563157003245237,-0.018700121983708184,0.0,2.8249043993377345,0.24720617638439304,143.4009108831689,0.2232954741635557
FAPs,Dlk1,Notch3,sCs,0.0,17.32391663990129,0.2636114453872226,0.0,-4316.606283844788,-0.050086835401707885,107519.54697288445,0.1884241998975858
FAPs,Efna5,Epha2,sCs,0.0,67.54790209276769,0.2763443783277997,0.0,322.260353632578,0.06911755069918851,122674.23043214176,0.17121651947801902
FAPs,Efna5,Ephb6,sCs,0.0,67.54790209276769,0.2763443783277997,0.0,-10.824134773129018,0.029281498268623973,2093.417381557726,0.15807481895462552
FAPs,Bmp3,Acvr2b,sCs,0.33333333333333337,39.435614397848774,0.4077222339510504,0.0,-17.545492656520363,0.0039273647744620934,2107.732098654584,0.15455713589042347
FAPs,Inhbc,Acvr2a,sCs,0.0,-0.023868800789583974,0.9103391839944628,0.0,89.06412260029333,0.025987635761948485,8.908329481217661,0.1507228155227863
FAPs,Mstn,Acvr2b,sCs,0.0,1.45028371641128,0.38512247094639546,0.0,-17.545492656520363,0.0039273647744620934,74.07538507794595,0.1464702250304044
FAPs,Edn2,Ednrb,sCs,0.33333333333333337,2.481249654630544,0.22222255509487154,0.0,-1265.206231178623,0.015368369889446344,13023.96212094488,0.1439002097730192
FAPs,Efna5,Epha7,sCs,0.0,67.54790209276769,0.2763443783277997,0.0,-14.531807703688687,-0.061886351363211974,6022.701340758123,0.13465866394889786
FAPs,Slit2,Gpc1,sCs,0.0,159.8502547861861,0.16481780687763406,0.0,89.9227852671429,0.028095371472116604,345584.94752931176,0.13412023850405494
FAPs,Edn2,Ednra,sCs,0.33333333333333337,2.481249654630544,0.22222255509487154,0.0,-613.5618303388621,-0.05881870287472979,1535.5880482167468,0.1321694579700602
FAPs,Pdgfc,Pdgfrb,sCs,0.0,136.56655832490688,0.2561906550480976,0.0,-2888.1593877315727,-0.06501973855476463,504836.36194499,0.12024270622998062
FAPs,Slit3,Robo1,sCs,0.0,-1181.7964850039698,0.12281029380331655,0.0,369.5813655394438,0.1226423142857712,1159369.87141095,0.11838740311457548
FAPs,Ncam1,Ptprz1,sCs,0.0,270.9254046911327,0.1094424785380751,0.0,-67.76180291851139,0.03836407151487686,33987.14797682443,0.1107399581910106
FAPs,Scgb1a1,Lrp2,sCs,0.0,6.003362892048233,0.09234651728366502,0.0,42.091092208838184,0.4001257444299667,434.24378351665086,0.1098845218377874
FAPs,Plau,Lrp2,sCs,0.0,-1829.3730955711892,-0.0789317203715556,0.0,42.091092208838184,0.4001257444299667,156794.14593511724,0.1039888890359106
FAPs,Kng1,Gpr135,sCs,0.3333333333333333,2.481933661852215,-0.09629384056867483,0.0,16.15380429566796,0.124054367180148,72.20079221482159,0.1039552783200581
FAPs,Col1a1,Gp6,sCs,0.0,25124.86777300778,0.0020661752634686392,0.16666666666666663,1.9117785357356598,0.11029535088196933,247416.4548734947,0.10091421412671152
FAPs,Slit2,Robo1,sCs,0.0,159.8502547861861,0.16481780687763406,0.0,369.5813655394438,0.1226423142857712,133108.17107749186,0.0997079684426342
FAPs,Col1a2,Gp6,sCs,0.0,11611.104248722258,-0.006297942635093867,0.16666666666666663,1.9117785357356598,0.11029535088196933,166728.01067087956,0.0979910738617936
FAPs,Adm2,Calcr,sCs,0.33333333333333337,5.007104300849137,0.16750804237173256,0.0,-0.8255952847300351,-0.06825092457354365,182.8084267509716,0.09786997092683193
FAPs,Ntrk3,Ptprf,sCs,0.0,0.9208355716175528,0.1524962424861514,0.0,68.23997848478052,-0.08508985581359052,805.4255724547418,0.0930091547187928
FAPs,Ngf,Ntrk1,sCs,0.0,9.300161587760199,0.10583648507911078,-0.33333333333333337,0.8711137455336382,0.2523425286265678,102.9972368237946,0.092934037880348
FAPs,Bmp7,Bmpr1a,sCs,0.0,3.3449748027020028,0.17266792849696316,0.0,76.66740244468521,0.06564166999405913,7788.873010197726,0.0923803785835058
FAPs,Agt,Lrp2,sCs,0.0,-17.708325841880754,-0.2617324100964429,0.0,42.091092208838184,0.4001257444299667,383.497277153352,0.08943943308150333
FAPs,Pthlh,Pth2r,sCs,0.0,6.019180305768177,0.2524737890823683,0.0,0.0290169318088207,0.05565931612846961,32.53011311014092,0.08918081636324011
FAPs,Nrtn,Gfra1,sCs,0.0,1.5715326469497124,0.21000809069880091,0.0,-179.1476473760075,-0.1196536239085646,0.05126552481010549,0.0869165564553798
FAPs,Bmp6,Bmpr1a,sCs,0.0,42.29466534256099,0.18333094460463112,0.0,76.66740244468521,0.06564166999405913,105468.46068217221,0.0824728382273426
FAPs,Efna5,Epha8,sCs,0.0,67.54790209276769,0.2763443783277997,-0.16666666666666669,1.7906726027629003,0.0920396758207324,232.67418695491253,0.0824161475397279
FAPs,Nrtn,Gfra2,sCs,0.0,1.5715326469497124,0.21000809069880091,0.0,59.8740576924547,-0.1079333586962986,726.1694013474147,0.08143707779382778
FAPs,Rspo3,Lgr5,sCs,0.0,-2.173469901839397,-0.010395132020400988,0.0,15.733826309199841,0.0877250145863358,1343.7013124105388,0.08018395670457408
FAPs,Fn1,Col13a1,sCs,0.0,10349.791044505097,0.02822506422148502,0.0,57.37259271066576,0.1454753795005932,3444481.6277551004,0.07827657661102339
FAPs,Bmp7,Bmpr1b,sCs,0.0,3.3449748027020028,0.17266792849696316,0.0,36.16932240743967,0.028823279715588963,365.22552309423884,0.07757773319214849
FAPs,Fgf9,Fgfr4,sCs,0.6666666666666667,4.128261087819259,0.0857857340930346,0.0,-53.712549612213145,-0.005601252747756802,1679.8375359839438,0.0773234152684823
FAPs,Bmp6,Bmpr1b,sCs,0.0,42.29466534256099,0.18333094460463112,0.0,36.16932240743967,0.028823279715588963,7912.872648406849,0.0755130764525693
FAPs,Robo1,Robo1,sCs,0.0,331.86139807693394,-0.13651231399808694,0.0,369.5813655394438,0.1226423142857712,670337.8489537502,0.07223662826112183
FAPs,Has2,Hmmr,sCs,0.0,-637.1938970025531,-0.06680741371773469,0.0,588.694140154488,0.10995325974966824,1103438.12588432,0.07187831848824494
FAPs,Fn1,Itgb6,sCs,0.0,10349.791044505097,0.02822506422148502,0.0,115.5497213183819,0.13675678488236698,8404506.700654935,0.07028426343212868
FAPs,Lamc2,Itga3,sCs,0.0,-34.05489942277427,-0.046358398574171344,0.0,296.9017690372861,0.12782799138999484,60013.315607608616,0.07010484899809291
FAPs,Efnb1,Ephb6,sCs,0.0,97.33999168092896,0.1120301390401367,0.0,-10.824134773129018,0.029281498268623973,677.6484648607002,0.0677706979879519
FAPs,Slit2,Sdc1,sCs,0.0,159.8502547861861,0.16481780687763406,0.0,66.73322238720448,0.00490425092288177,96675.30255866268,0.06637425595156933
FAPs,Bmp7,Acvr2b,sCs,0.0,3.3449748027020028,0.17266792849696316,0.0,-17.545492656520363,0.0039273647744620934,138.95013538092888,0.0662772228404673
FAPs,Lrpap1,Lrp2,sCs,0.0,7.96041007464072,0.0093783890709494,0.0,42.091092208838184,0.4001257444299667,17696.414193705878,0.0658102663071942
FAPs,Dkk2,Kremen2,sCs,0.0,121.1096904131843,-0.0032536315243595353,0.0,0.19420531299086807,0.06879495227118299,683.159281937717,0.06441168835238409
FAPs,Bgn,Fgfr3,sCs,0.0,-3974.700474593002,0.010459968602284708,0.0,22.778200858060107,0.07289175506486477,914596.0413532237,0.06381765856753881
FAPs,Lpl,Lrp2,sCs,0.0,488.37347158945977,0.0407795636031501,0.0,42.091092208838184,0.4001257444299667,112938.90307572644,0.06059367242552681
FAPs,Ntf3,Ntrk1,sCs,0.0,0.6208817927680297,0.06826850976945509,-0.33333333333333337,0.8711137455336382,0.2523425286265678,16.766587798932694,0.0598945793317742
FAPs,Avp,Oxtr,sCs,-0.3333333333333333,0.11114595940977046,0.0775713101269366,0.0,3.065637312939833,0.10195454551976924,4.023193403679339,0.0570211294321801
FAPs,Bdnf,Ngfr,sCs,0.0,9.415543568788802,0.06400363048116291,0.0,-662.5818913489852,-0.042952782035355914,1535.3247872770908,0.0566155700349666
FAPs,Fgf22,Fgfrl1,sCs,0.0,4.062956954044755,0.107675463253185,0.0,11.343144222841332,0.08187291821064424,481.97062842714683,0.05448191877752901
FAPs,Slit3,Robo2,sCs,0.0,-1181.7964850039698,0.12281029380331655,0.0,4.080867921970092,0.06178598914267629,14001.558279732582,0.0535219260002514
FAPs,Rspo1,Znrf3,sCs,0.33333333333333337,0.574602095271985,0.1136136371556877,0.0,151.83033956404932,0.08100413776348786,575.3130139717903,0.051956791875610996
FAPs,Gip,Gipr,sCs,0.33333333333333337,3.933918697091375,0.26428220857248186,0.0,-3.7737210967928214,-0.08062494962511929,35.928500144422095,0.0515518597462384
FAPs,Efna3,Epha2,sCs,0.0,-0.8190543604006333,0.06370314445510894,0.0,322.260353632578,0.06911755069918851,118.74780089258276,0.05071898500295281
FAPs,Ntn3,Cdon,sCs,0.0,9.212517251858898,0.03813332321496918,0.0,992.472166431807,0.10567255900982496,62041.04176607282,0.0506993978200477
