Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Apob,Lsr,Inflammatory-Mac,-0.33333333333333337,1.2397960011839582,0.4791197874882493,0.0,12.153754124630694,0.07986339445413265,175.1975054761503,0.3005835796845343
MuSCs,Apob,Ldlr,Inflammatory-Mac,-0.33333333333333337,1.2397960011839582,0.4791197874882493,0.0,349.90718284803484,0.03991206932056046,2666.4369491383304,0.1947629790679763
MuSCs,Npnt,Itga8,Inflammatory-Mac,0.0,159.73378113699715,0.07893901979696273,0.0,33.213516286487796,0.13676004519046953,26616.04991714805,0.12486884864513
MuSCs,Vcam1,Itgb7,Inflammatory-Mac,0.0,858.5767844223068,0.10631328276907688,0.0,241.14322604451732,0.10260510411403888,1227592.610153677,0.09028091699550657
MuSCs,Il25,Il17rb,Inflammatory-Mac,-0.16666666666666669,0.602970244780938,0.5333641579849522,0.0,16.281457593479445,0.02805898924767169,45.97941005500471,0.08815635370777589
MuSCs,Adam2,Itgb7,Inflammatory-Mac,-0.16666666666666669,0.7732254121662147,0.12896384223104698,0.0,241.14322604451732,0.10260510411403888,915.837316934095,0.08587328305187954
MuSCs,Gal,Gpr151,Inflammatory-Mac,0.0,485.4053970827837,0.03585822757703572,0.0,9.516549522338678,0.09399075073171943,15434.068690532933,0.08434385534107484
MuSCs,Apob,Olr1,Inflammatory-Mac,-0.33333333333333337,1.2397960011839582,0.4791197874882493,0.0,79.31005249712393,-0.007002660349772816,749.7559338133017,0.06962707417532353
MuSCs,Dll1,Notch2,Inflammatory-Mac,0.0,228.2569639743109,0.221057031172006,0.0,751.8785004440816,0.012633669892808508,2232388.412317615,0.06962089021815579
MuSCs,Il2,Il2rg,Inflammatory-Mac,0.5,3.9095110295275095,0.17415665975125727,0.0,11.516762975871757,0.02371313430454891,2744.166954780973,0.06314193274148161
MuSCs,Il2,Cd53,Inflammatory-Mac,0.5,3.9095110295275095,0.17415665975125727,0.0,639.4955928502533,0.030707430129382318,37711.3494247507,0.06291252373960872
MuSCs,Vcam1,Itgb2,Inflammatory-Mac,0.0,858.5767844223068,0.10631328276907688,0.0,1772.9427067572126,0.057977631889658376,9338930.898884062,0.060486084406415015
MuSCs,Cntf,Il6ra,Inflammatory-Mac,0.0,10.333571018111686,0.16675049604450093,0.0,-91.22959352495673,-0.00860740783321634,24970.005730158646,0.052622721984828966
MuSCs,Gal,Galr2,Inflammatory-Mac,0.0,485.4053970827837,0.03585822757703572,0.0,2.9773588737760086,0.051038541417791086,8687.130213070317,0.04651241584596096
MuSCs,Ltbp1,Itgb5,Inflammatory-Mac,0.0,239.44830354436502,0.059639597376116016,0.0,404.21072281052903,0.05095421581704071,1657120.7114019264,0.04525984871019681
MuSCs,Areg,Erbb3,Inflammatory-Mac,0.0,26.333738912945066,0.17143645450407258,0.0,23.698941304397202,0.08099828857470688,2645.016123190212,0.04498643657152159
MuSCs,Il17f,Il17ra,Inflammatory-Mac,0.0,10.570920964183326,0.1207992383702482,0.0,583.9225270346196,0.0362923967151518,32436.37177448703,0.03996322260468658
MuSCs,Il2,Il2rb,Inflammatory-Mac,0.5,3.9095110295275095,0.17415665975125727,0.0,2.8993796309223043,0.07719646413119341,31.673914667414838,0.038597471957197135
MuSCs,Lama1,Rpsa,Inflammatory-Mac,0.5,8.431715180803506,0.2646161622735464,0.0,-1.173800777778979,-0.01475290901141832,29459.92002668638,0.037417316116241495
MuSCs,Ntn4,Unc5a,Inflammatory-Mac,0.0,-59.3684090208119,0.035373868499856576,0.0,30.578496629063807,0.05118608766097213,26624.32010564313,0.037415484004650265
MuSCs,Angptl3,Itga5,Inflammatory-Mac,0.0,41.844629649204826,0.1351495198971433,0.0,699.6470791127903,0.0378420785588085,153024.69458658874,0.03653440376077925
MuSCs,Wnt10a,Fzd5,Inflammatory-Mac,0.0,3.2545464289199844,0.05178507565932089,0.0,69.6590717496736,0.02638370445462909,1909.2342188748846,0.032138384856075106
MuSCs,Angptl3,Itgav,Inflammatory-Mac,0.0,41.844629649204826,0.1351495198971433,0.0,540.2950389371836,0.014110247337384698,241329.6025227315,0.030592235035977505
MuSCs,Vegfc,Vipr2,Inflammatory-Mac,0.0,42.54335256524344,0.14198845028967827,0.0,2.281354301522075,0.09289890123494968,565.9967191876633,0.03051056472854779
MuSCs,Cx3cl1,Cx3cr1,Inflammatory-Mac,0.0,3.7538349965483055,0.05362196251015,0.0,126.68900011537286,0.009028301871405577,22466.140365860716,0.030065595773207707
MuSCs,Cd6,Alcam,Inflammatory-Mac,0.5,4.114723433592181,0.08155485549031448,0.0,907.2840985111512,0.07637446704591652,16454.041226341,0.029082658576625408
MuSCs,Lama1,Itgb1,Inflammatory-Mac,0.5,8.431715180803506,0.2646161622735464,0.0,183.851999811166,0.0063764163768289936,35080.73856981161,0.028765045102104262
MuSCs,Jag2,Notch2,Inflammatory-Mac,0.0,118.12054958085432,0.09235129714726892,0.0,751.8785004440816,0.012633669892808508,1139347.0986096784,0.02854791863610545
MuSCs,Vcam1,Itga4,Inflammatory-Mac,0.0,858.5767844223068,0.10631328276907688,0.0,-537.2995748407593,-0.038288197987486616,4789470.635092206,0.028411699511271787
MuSCs,Dll1,Notch1,Inflammatory-Mac,0.0,228.2569639743109,0.221057031172006,0.0,194.12687295961402,0.01298742382368484,386594.21170547983,0.027447620419920674
MuSCs,Cntf,Lifr,Inflammatory-Mac,0.0,10.333571018111686,0.16675049604450093,0.0,-1246.3040670387702,-0.043684284436268206,10408.115954288509,0.027120323078934503
MuSCs,Icos,Icosl,Inflammatory-Mac,0.0,3.2356696371485243,0.18197384883182607,0.0,-42.95237594119604,-0.021631930260068374,569.628087846055,0.02710242163693019
MuSCs,Csf1,Csf1r,Inflammatory-Mac,0.0,1326.534015440874,0.05541797071304027,0.0,-1152.0869944321005,0.01926496564762781,10875661.914320678,0.027040687700977298
MuSCs,Lrrc4b,Ptprs,Inflammatory-Mac,0.0,-0.858136344523853,0.0374526146456996,0.0,128.051594796301,0.03220542303280419,1665.2266149087918,0.025804875032910013
MuSCs,Shh,Ptch2,Inflammatory-Mac,0.5,4.716620376599167,0.5355813883718425,0.0,10.633022364519832,0.002162369879524638,275.03546697932035,0.025660386109731027
MuSCs,Serpine2,Lrp1,Inflammatory-Mac,0.0,-1.9545056558431495,0.0541980530786394,0.0,2274.7858675914717,0.02626670715094412,3210206.156023145,0.0254767556963489
MuSCs,Mif,Cxcr4,Inflammatory-Mac,0.0,262.71276631109987,0.08537016978763806,0.0,341.9410224749045,0.010640329664177913,1638641.0176407609,0.0243924531926596
MuSCs,Amelx,Lamp1,Inflammatory-Mac,0.0,10.54442467925255,0.09050133134907123,0.0,-389.71861137082766,0.0096394101700748,60651.54240768426,0.02433275941095821
MuSCs,Fgf15,Klb,Inflammatory-Mac,0.0,6.882537707635429,0.2249671133519422,0.0,2.00208794201364,0.01267851090913992,103.37912212722372,0.024258208811900203
MuSCs,Amelx,Lamp2,Inflammatory-Mac,0.0,10.54442467925255,0.09050133134907123,0.0,-468.37119588562746,-0.0013004278765026964,85265.72323184849,0.02384873208535437
MuSCs,Gpha2,Tshr,Inflammatory-Mac,0.0,1.6584249781444151,0.16762519412708488,0.0,13.304871845489721,0.06090492899919439,53.56963291313697,0.02330635166323851
MuSCs,Egf,Erbb3,Inflammatory-Mac,0.0,-0.11822022354199645,0.0375076792113514,0.0,23.698941304397202,0.08099828857470688,397.69850415810095,0.02327152331857993
MuSCs,Cgn,F11r,Inflammatory-Mac,0.0,1.4283535966103171,0.41546517353675,0.0,-8.722413803627973,-0.007556271577570738,66.1160137356054,0.02030757708593013
MuSCs,Leap2,Ghsr,Inflammatory-Mac,0.0,6.286480769303571,0.05746266608564751,0.0,29.900838700675898,0.09125556491822162,753.7411447371572,0.02011515624828974
MuSCs,Vegfc,Nrp2,Inflammatory-Mac,0.0,42.54335256524344,0.14198845028967827,0.0,261.68323425406294,0.022576178473784108,66258.77135801358,0.01999780198320732
MuSCs,Lama1,Itga1,Inflammatory-Mac,0.5,8.431715180803506,0.2646161622735464,0.0,162.3113339933749,0.023516653482162177,6825.993365777124,0.019939682582636627
MuSCs,Amh,Acvr1,Inflammatory-Mac,0.0,11.47242265218188,0.1825978914175338,0.0,-10.032471209514656,-0.008719219933356295,2638.687256224945,0.019843741325486827
MuSCs,Il17c,Il17re,Inflammatory-Mac,0.5,7.874264417394581,0.0550141705048375,0.0,3.9322252602982246,0.1921651963472532,53.397544483448755,0.01961793019509073
MuSCs,Sdc2,Ptprj,Inflammatory-Mac,0.0,120.68877379865309,0.034008574339826785,0.0,-508.35843904799555,0.016536824374254966,278940.816864999,0.01932829554469789
MuSCs,Wnt1,Lrp6,Inflammatory-Mac,0.16666666666666663,4.227595608386299,0.15180355812220106,0.0,-23.055059623241053,0.006468926869622789,5033.833467861258,0.019183833688250784
MuSCs,Tnfsf13b,Tnfrsf13b,Inflammatory-Mac,0.0,14.506497346826382,0.06417608008739042,0.0,-90.32413101526801,-0.06701040044073259,3266.766366475058,0.01903888902821677
MuSCs,Gnas,Gcgr,Inflammatory-Mac,0.0,34.31708155795769,0.02703918289054158,0.0,5.317312552269176,0.06455641189552377,2297.180316900165,0.018699291075769918
MuSCs,Has2,Cd44,Inflammatory-Mac,0.0,183.61077871081108,0.06966203567756593,0.0,4345.32337489523,0.014606899683761302,6391288.672641503,0.018414713230451345
MuSCs,Gdf6,Bmpr2,Inflammatory-Mac,0.5,1.4067079951851509,0.11869409088988185,0.0,118.77199865762304,0.009584919293650185,5287.492332642172,0.018286611989138116
MuSCs,Shank1,Sstr2,Inflammatory-Mac,0.0,-7.084255730414213,-0.06320568043005897,0.33333333333333337,3.2445568664099733,0.09262069989720363,29.28565716264542,0.01827833967335972
MuSCs,Wnt7b,Fzd5,Inflammatory-Mac,0.0,45.484043636663095,-0.04026031889211612,0.0,69.6590717496736,0.02638370445462909,22496.951268469507,0.01800705156411431
MuSCs,Spon1,Lrp8,Inflammatory-Mac,0.0,9.857963248934652,0.07992378671871678,0.0,79.95327786739469,0.0186562311208476,38672.73088272047,0.017861214484294646
MuSCs,Ccl25,Ackr4,Inflammatory-Mac,0.0,52.69316463155673,0.04534960041714189,0.6666666666666667,4.3419011634996565,0.08536117235131148,1030.759547668591,0.01783306834424013
MuSCs,Lgi1,Adam11,Inflammatory-Mac,0.5,1.0107979214238147,-0.12681995986141315,0.6666666666666667,3.772562779090937,0.022566106891541,22.237255297833535,0.01778016400869397
MuSCs,Col2a1,Itgb1,Inflammatory-Mac,0.0,7.915637549179195,0.15296518789518448,0.0,183.851999811166,0.0063764163768289936,34031.82533246991,0.017433723614050926
MuSCs,Rps19,C5ar1,Inflammatory-Mac,0.0,444.4340409217421,0.036282813227240585,0.0,1449.1805152497284,0.03513981433454266,4825652.072811319,0.01741244880193406
MuSCs,Gnas,Tshr,Inflammatory-Mac,0.0,34.31708155795769,0.02703918289054158,0.0,13.304871845489721,0.06090492899919439,5568.894864729386,0.017349156760618482
