Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Neutro,Ccl5,Ackr2,FAPs,0.0,11.585972802362829,0.1511303287692295,0.0,0.6458798378848503,0.0,182.47412450861728,0.1511303287692295
Neutro,L1cam,Ephb2,FAPs,0.0,209.6675782640259,0.12509106896403932,0.0,178.19040407561374,0.09660177699830508,360619.3505835322,0.14531926620936508
Neutro,Il16,Grin2d,FAPs,0.0,105.50635258824394,0.10844470336560584,0.0,19.63608350886156,0.14814207466175644,18845.75184514233,0.1407467270901561
Neutro,Agt,Agtr2,FAPs,0.33333333333333337,3.912407981293156,0.1335649226409341,0.0,-7.2493477264832284,0.0322265999998862,158.24916775343644,0.1311142735025523
Neutro,Alcam,Chl1,FAPs,0.0,-1150.368024286854,-0.10914094020601672,0.0,306.5381733892529,0.3182013460603505,1181645.223108816,0.1098859885508782
Neutro,Aanat,Mtnr1a,FAPs,0.0,27.49366986622026,0.07719613593380009,0.0,1.3865600212990294,0.11720078087603793,508.1850331367109,0.1038385042372662
Neutro,Il12b,Il12rb2,FAPs,0.6666666666666667,6.776888936579673,0.6024015076322501,0.0,-1.82431839527294,-0.04778111397606638,346.92890846001,0.10328086863020212
Neutro,Mmp9,Ephb2,FAPs,0.0,1128.7268236152413,0.006718544413824801,0.0,178.19040407561374,0.09660177699830508,3905753.77068833,0.09737819357761857
Neutro,Omg,Lingo1,FAPs,0.0,34.32642122818132,0.052102866594436865,0.0,4.301657017764859,0.14235784818867706,2433.08016083415,0.08917562038800178
Neutro,Wnt8a,Fzd8,FAPs,0.0,913.0300860281797,0.04404719408476243,0.0,31.89299489626532,0.07592795374194973,238936.0641097337,0.0870566837305185
Neutro,Clec4g,Lag3,FAPs,0.0,8.385842079194749,0.4055820014117669,0.0,-1.7547922447332949,0.0342146420457044,1516.3511118400004,0.08478962978551058
Neutro,Ntf5,Ntrk2,FAPs,0.0,8.53500154495163,0.07238625200614099,0.0,-121.41566842763832,0.22955728888243465,2360.560893642397,0.08018404541088131
Neutro,Bmp10,Bmpr1a,FAPs,0.0,29.337039589639502,0.11530804226599567,0.0,-26.206049007039837,0.050665557324355785,66873.92593815281,0.07503398448921111
Neutro,Nppa,Npr3,FAPs,0.33333333333333337,-0.7721812700361479,0.05577737123736271,0.0,33.30575609785941,0.11535237404430645,109.04987722001091,0.07422010143948063
