Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Shh,Lrp2,sCs,0.5,4.716620376599167,0.5355813883718425,0.0,42.091092208838184,0.4001257444299667,376.26290114060373,0.4803676845924583
sCs,Apob,Lrp2,sCs,-0.33333333333333337,1.239796001183959,0.4791197874882493,0.0,42.091092208838184,0.4001257444299667,123.11867276269469,0.4307500162087286
sCs,Shh,Cdon,sCs,0.5,4.716620376599167,0.5355813883718425,0.0,992.472166431807,0.10567255900982496,15637.965166468291,0.38135739091292503
sCs,Shh,Ptch1,sCs,0.5,4.716620376599167,0.5355813883718425,0.0,83.51056187006212,0.029223009274634337,3861.918883278521,0.2405618409660717
sCs,Lama1,Itga7,sCs,0.5,8.431715180803506,0.2646161622735464,0.0,-417.51403935978806,0.015818577693310187,26856.12470849152,0.2284380234734939
sCs,Lama1,Itgb8,sCs,0.5,8.431715180803506,0.2646161622735464,0.0,-1630.720504132307,-0.050364532856635565,5847.449856533313,0.22802862816434816
sCs,Grp,Nmbr,sCs,-0.16666666666666669,1.569744091261932,0.07922538663783968,0.16666666666666663,0.37025388938494697,0.4639952093957288,5.079689777167019,0.21592019260997747
sCs,Shh,Smo,sCs,0.5,4.716620376599167,0.5355813883718425,0.0,126.84911486128773,0.010321113532654693,3909.4399771198164,0.20196319245639413
sCs,Fgf15,Fgfr4,sCs,0.0,6.882537707635429,0.2249671133519422,0.0,-53.712549612213145,-0.005601252747756802,2743.5643872703063,0.1999259874946852
sCs,Shh,Gas1,sCs,0.5,4.716620376599167,0.5355813883718425,0.0,85.34387129609502,0.08195120193087099,4131.980241140225,0.1551672432559704
sCs,Dll1,Notch3,sCs,0.0,228.25696397431088,0.22105703117200587,0.0,-4316.606283844788,-0.050086835401707885,815445.9191507419,0.15269188323873611
sCs,Tgfa,Erbb2,sCs,0.0,40.6131510146101,0.3171994622295539,0.0,-49.3533302082951,0.00459636005577041,7972.876485504173,0.1125843635572056
sCs,Agt,Lrp2,sCs,0.0,-1.7108411586355723,0.04358768319515008,0.0,42.091092208838184,0.4001257444299667,330.9461117432325,0.11173328767636727
sCs,Fgf15,Klb,sCs,0.0,6.882537707635429,0.2249671133519422,0.0,15.909932986617894,0.0913000985422186,387.14054899908126,0.1112654150972669
sCs,Wnt1,Fzd3,sCs,0.16666666666666663,4.227595608386299,0.1518035581222012,0.0,-72.33685209139861,-0.08340410794421249,1334.1768998677192,0.1043894287890792
sCs,Lama1,Itga1,sCs,0.5,8.431715180803506,0.2646161622735464,0.0,-744.5282874973337,0.004818106291652746,33198.04807707912,0.09920416967888968
