Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand expressing cells,Delta ligand detection rate,Delta ligand expression,Delta ligand specificity,Delta receptor expressing cells,Delta receptor detection rate,Delta receptor expression,Delta receptor specificity,Delta edge expression weight,Delta edge specificity weight
Inflammatory-Mac,Thbs1,Tnfrsf11b,ECs,3.0,1.0,79898.76227173874,0.4752721825430349,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,721208.4693604939,0.015165710330097318
FAPs,Fn1,Tnfrsf11b,ECs,3.0,1.0,55089.494972010056,0.408542192033849,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,497266.90648197173,0.01303638792587514
Resolving-Mac,Psap,Gpr37l1,Inflammatory-Mac,3.0,1.0,92290.31914803581,0.5020514852114567,2.0,0.6666666666666666,4.87017628543543,0.08099757974335738,449470.12369003135,0.04066495520868597
Inflammatory-Mac,Fn1,Tnfrsf11b,ECs,3.0,1.0,43059.939677243834,0.3193313380985716,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,388681.78057327506,0.01018971181316044
Resolving-Mac,Thbs1,Tnfrsf11b,ECs,3.0,1.0,42151.31270492374,0.2507341267464054,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,380480.0331457254,0.008000807275863608
FAPs,Fn1,Sdc2,Inflammatory-Mac,3.0,1.0,55089.494972010056,0.408542192033849,3.0,1.0,5.754440001434325,0.001638724078741174,317009.1935257498,0.0006694879272675688
Inflammatory-Mac,Psap,Gpr37l1,Inflammatory-Mac,3.0,1.0,54199.50211097583,0.2948406808398823,2.0,0.6666666666666666,4.87017628543543,0.08099757974335738,263961.12986328197,0.02388138155791415
Neutrophils,Thbs1,Tnfrsf11b,ECs,3.0,1.0,28600.34881884187,0.1701271686586701,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,258161.86894936577,0.005428677406179519
Inflammatory-Mac,Fn1,Sdc2,Inflammatory-Mac,3.0,1.0,43059.939677243834,0.3193313380985716,3.0,1.0,5.754440001434325,0.001638724078741174,247785.83933808102,0.0005232959528387682
Resolving-Mac,Fn1,Tnfrsf11b,ECs,3.0,1.0,25798.452158813197,0.1913206175042444,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,232870.468381571,0.006104950324926687
ECs,Ltf,Lrp1,Resolving-Mac,2.0,0.6666666666666666,3.770677674134593,0.005138612445898191,3.0,1.0,49336.8402663671,0.3910510856620129,186033.322104735,0.00200945997576482
FAPs,Col3a1,Mag,FAPs,3.0,1.0,100962.1008104382,0.9116511791205664,1.0,0.3333333333333333,1.79985325335948,0.06471194041275055,181716.96560967513,0.05899471678046388
Neutrophils,Cd44,Sele,MuSCs,3.0,1.0,45962.427188988826,0.3971520365161195,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,179769.5909616036,0.002924923220442268
MuSCs,Sele,Cd44,Neutrophils,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,3.0,1.0,45962.427188988826,0.3971520365161195,179769.5909616036,0.002924923220442268
Neutrophils,Has2,Cd44,Neutrophils,3.0,1.0,3.6880334340854066,0.001186500789789448,3.0,1.0,45962.427188988826,0.3971520365161195,169510.968184707,0.0004712212049928637
Resolving-Mac,Fn1,Sdc2,Inflammatory-Mac,3.0,1.0,25798.452158813197,0.1913206175042444,3.0,1.0,5.754440001434325,0.001638724078741174,148455.6450777644,0.00031352170266383536
Neutrophils,Psap,Gpr37l1,Inflammatory-Mac,3.0,1.0,27663.37520262977,0.1504864078340079,2.0,0.6666666666666666,4.87017628543543,0.08099757974335738,134725.51388695,0.01218903481882645
ECs,Ltf,Lrp1,Inflammatory-Mac,2.0,0.6666666666666666,3.770677674134593,0.005138612445898191,3.0,1.0,31890.05387527407,0.2527652788953986,120247.11417444529,0.001298862808022822
Inflammatory-Mac,Cd44,Sele,MuSCs,3.0,1.0,28900.42418018717,0.2497227196498181,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,113036.18523291881,0.0018391439907575577
MuSCs,Sele,Cd44,Inflammatory-Mac,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,3.0,1.0,28900.42418018717,0.2497227196498181,113036.18523291881,0.0018391439907575577
Neutrophils,Has2,Cd44,Inflammatory-Mac,3.0,1.0,3.6880334340854066,0.001186500789789448,3.0,1.0,28900.42418018717,0.2497227196498181,106585.73063578061,0.00029629620409287816
ECs,Ltf,Lrp1,FAPs,2.0,0.6666666666666666,3.770677674134593,0.005138612445898191,3.0,1.0,28166.347054000467,0.2232506284377618,106206.21599844619,0.001147198457844875
ECs,Ccl12,Ccr2,Inflammatory-Mac,1.0,0.3333333333333333,7.091818521521732,0.009858891105802656,3.0,1.0,14094.290909442532,0.7808407497693519,99954.15331929996,0.0076982239229493425
FAPs,Fn1,Mag,FAPs,3.0,1.0,55089.494972010056,0.408542192033849,1.0,0.3333333333333333,1.79985325335948,0.06471194041275055,99153.00675130305,0.026437557986988932
ECs,Ccl12,Ccr1,Neutrophils,1.0,0.3333333333333333,7.091818521521732,0.009858891105802656,3.0,1.0,13253.86836351687,0.6544880536022599,93994.02914219987,0.006452526450513411
ECs,Cd177,Pecam1,ECs,1.0,0.3333333333333333,4.390173370465834,0.007228457355650857,3.0,1.0,19005.6491754879,0.9449654311025516,83438.0948986429,0.006830642321289023
FAPs,Col1a1,Gp6,Resolving-Mac,3.0,1.0,106573.8654696569,0.9116096767571868,2.0,0.6666666666666666,0.7365722827753066,0.05819158093049374,78499.35537317359,0.05304800828203707
Inflammatory-Mac,Fn1,Mag,FAPs,3.0,1.0,43059.939677243834,0.3193313380985716,1.0,0.3333333333333333,1.79985325335948,0.06471194041275055,77501.57251755029,0.02066455052295867
FAPs,Thbs1,Tnfrsf11b,ECs,3.0,1.0,7736.98634325134,0.04602292051980115,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,69838.12914525032,0.001468569604502776
MuSCs,Thbs1,Tnfrsf11b,ECs,3.0,1.0,6796.869984294815,0.04043070430691344,2.0,0.6666666666666666,9.026528682730232,0.0319095265558154,61352.14186602534,0.001290124632751775
MuSCs,Sele,Cd44,Resolving-Mac,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,3.0,1.0,15470.074712205533,0.1336737864548818,60507.00916475726,0.0009844732646875289
Resolving-Mac,Cd44,Sele,MuSCs,3.0,1.0,15470.074712205533,0.1336737864548818,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,60507.00916475726,0.0009844732646875289
Neutrophils,Has2,Cd44,Resolving-Mac,3.0,1.0,3.6880334340854066,0.001186500789789448,3.0,1.0,15470.074712205533,0.1336737864548818,57054.15276641317,0.0001586040532028634
ECs,Ccl12,Ccr5,Inflammatory-Mac,1.0,0.3333333333333333,7.091818521521732,0.009858891105802656,3.0,1.0,7982.256903539488,0.5744740124584016,56608.71735206607,0.0056636767319409
FAPs,Col1a2,Gp6,Resolving-Mac,3.0,1.0,76654.35601534086,0.8986098707068642,2.0,0.6666666666666666,0.7365722827753066,0.05819158093049374,56461.47399489067,0.052291529016179006
Inflammatory-Mac,Vcan,Selp,FAPs,3.0,1.0,30876.39552004293,0.5527948506782733,2.0,0.6666666666666666,1.7205686495996668,0.0011360640022002868,53124.95814442546,0.0006280103304572693
MuSCs,Cd44,Sele,MuSCs,3.0,1.0,12892.22624869283,0.1113991193032896,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,50424.452777097715,0.0008204260354429414
MuSCs,Sele,Cd44,MuSCs,2.0,0.6666666666666666,3.911229279133256,0.007364744358609255,3.0,1.0,12892.22624869283,0.1113991193032896,50424.452777097715,0.0008204260354429414
