Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Pomc,Oprd1,Resolving-Mac,1.0,26.43652447941937,0.8131679233979674,0.3333333333333333,0.6734564688845867,0.1348857164599652,17.8038484254907,0.1096847379497969
ECs,Wnt3a,Lrp1,Resolving-Mac,1.0,1.630519497440994,0.3299681005289288,1.0,29092.83775398357,0.3275532418847366,47436.43919375767,0.1080821210467993
ECs,Wnt3a,Fzd7,Resolving-Mac,1.0,1.630519497440994,0.3299681005289288,1.0,371.78459454615927,0.2702699312037892,606.2020302557074,0.0891804558293986
ECs,Wnt3a,Lrp6,Resolving-Mac,1.0,1.630519497440994,0.3299681005289288,1.0,3123.257730730013,0.2682977728548134,5092.532625488601,0.08852970648504478
ECs,Cort,Mrgprb1,Resolving-Mac,0.3333333333333333,0.98570346039591,0.0776766086863287,0.3333333333333333,0.3367282344422933,1.0,0.3319141859027738,0.0776766086863287
ECs,Pth2,Pth2r,Resolving-Mac,0.3333333333333333,0.98570346039591,0.2125439939817904,1.0,9.80722935862449,0.3058074524754323,9.667019915692519,0.06499753733852495
ECs,Alb,Lrp2,Resolving-Mac,0.3333333333333333,2.099797364131816,0.7744327072678578,0.3333333333333333,0.3367282344422933,0.07853987938998361,0.7070610591106878,0.060823851424476036
ECs,Ccl20,Cxcr3,Resolving-Mac,0.3333333333333333,0.6896899700525067,0.1391723185985017,1.0,47.741329290796564,0.4311019327208993,32.92671596883634,0.05999745552906286
ECs,Adam2,Itga9,Resolving-Mac,0.6666666666666666,1.228480976188464,0.1320616256575475,1.0,1517.0038945464828,0.4389341310712917,1863.610425254165,0.057966354905857824
ECs,Nts,Ntsr1,Resolving-Mac,1.0,23.626355500472737,0.8295302636091847,0.3333333333333333,0.6276169003454367,0.06705070161572442,14.82830000566606,0.05562058618647266
ECs,Ccl20,Ccr6,Resolving-Mac,0.3333333333333333,0.6896899700525067,0.1391723185985017,1.0,31.0188781451052,0.3960262104597874,21.39340913895996,0.05511588593546683
ECs,Wnt3a,Fzd5,Resolving-Mac,1.0,1.630519497440994,0.3299681005289288,1.0,304.244164408708,0.1580225319804263,496.0760420510418,0.05214239471835316
ECs,Cd2,Cd48,Resolving-Mac,0.3333333333333333,1.379379940105016,0.1036551793736678,1.0,1758.974163875023,0.4894395359274575,2426.293676812201,0.05073294288912531
ECs,Inhbb,Acvr1c,Resolving-Mac,1.0,237.12385735651867,0.7638356816743855,0.3333333333333333,0.3367282344422933,0.0640672545758485,79.84629783180674,0.048936855071949635
ECs,Liph,Lpar2,Resolving-Mac,0.6666666666666666,1.675393430448417,0.1361616900837481,1.0,115.90557278058132,0.3059092784848454,194.1874351889467,0.04165312437079653
ECs,Gnai2,Oprd1,Resolving-Mac,1.0,4946.942400100364,0.307205378061632,0.3333333333333333,0.6734564688845867,0.1348857164599652,3331.550360547033,0.041437617520197714
ECs,Fgf23,Fgfr3,Resolving-Mac,0.6666666666666666,2.7569330043957567,0.5408736611197414,1.0,21.74630269449868,0.06891391841971807,59.953099622043794,0.03727372335778011
ECs,Il20,Il20rb,Resolving-Mac,0.3333333333333333,1.7998263121129867,0.5413979589005713,1.0,28.25042653773507,0.05763987918240704,50.84586101103056,0.0312061129406307
