Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Wnt7a,Fzd10,Inflammatory-Mac,1.0,16.90908568571053,0.8947871664482238,0.6666666666666666,0.9377580067331374,0.3940032666338262,15.856630488311742,0.3525490665226253
FAPs,Gnrh1,Gnrhr,Inflammatory-Mac,1.0,50.94268211594254,0.3105479214422848,0.3333333333333333,1.108222774617113,1.0,56.455840520967435,0.3105479214422848
FAPs,Myoc,Fzd10,Inflammatory-Mac,1.0,130.0713429531313,0.6357492842661208,0.6666666666666666,0.9377580067331374,0.3940032666338262,121.9754433008307,0.2504872947609685
FAPs,Epo,Crlf3,Inflammatory-Mac,1.0,1.655873187502157,0.5634078033697567,1.0,869.4930356361864,0.3984506679561671,1439.770204429819,0.2244902155843964
FAPs,Wnt3a,Fzd10,Inflammatory-Mac,0.6666666666666666,2.65719102797544,0.5377355362015823,0.6666666666666666,0.9377580067331374,0.3940032666338262,2.4918021619034247,0.2118695578485155
FAPs,Wnt9a,Fzd10,Inflammatory-Mac,1.0,138.2517830228263,0.4973584695727744,0.6666666666666666,0.9377580067331374,0.3940032666338262,129.64671647478778,0.1959608616996735
FAPs,Slamf1,Slamf1,Inflammatory-Mac,0.3333333333333333,4.6323872318899015,0.31776696698517604,1.0,6.176101620009713,0.4236608429606697,28.61009428738752,0.134625421097995
FAPs,Wnt1,Fzd10,Inflammatory-Mac,1.0,8.956635127685963,0.2983619065171564,0.6666666666666666,0.9377580067331374,0.3940032666338262,8.399156304374786,0.1175555658068559
FAPs,Wnt7b,Fzd10,Inflammatory-Mac,0.6666666666666666,8.313641566522636,0.2280850916025755,0.6666666666666666,0.9377580067331374,0.3940032666338262,7.796183944116024,0.08986627116189022
FAPs,Epo,Epor,Inflammatory-Mac,1.0,1.655873187502157,0.5634078033697567,0.6666666666666666,10.9992379383391,0.1260137094170459,18.213343185052214,0.07099710721713264
FAPs,Crp,Olr1,Inflammatory-Mac,0.3333333333333333,1.323539209111403,0.1276337873737899,1.0,134.2893842091483,0.5289227565453279,177.7372653682335,0.06750841464606526
FAPs,C3,Cd19,Inflammatory-Mac,1.0,8599.774970715485,0.7112025279825467,0.6666666666666666,1.243559661459401,0.09373605127291572,10694.33325120998,0.06666531662839928
FAPs,Epcam,Epcam,Inflammatory-Mac,0.3333333333333333,0.6552799350853266,0.08142660092594944,1.0,6.383169456881514,0.7931874061434836,4.182762867343958,0.06458655437953442
FAPs,Wnt10a,Fzd5,Inflammatory-Mac,0.6666666666666666,2.651047841014444,0.2040028482248837,1.0,397.97134854439867,0.2067038500964281,1055.0410843442348,0.04216817415872074
FAPs,Galp,Galr3,Inflammatory-Mac,1.0,7.28778260124306,0.5466186002003149,0.3333333333333333,0.3058016547262634,0.07078405844870696,2.228615978745399,0.038691882945729485
FAPs,Gip,Gipr,Inflammatory-Mac,1.0,9.257213723743613,0.5056332455374388,1.0,5.355874266714246,0.07524365379074911,49.58047276447238,0.03804569287231189
FAPs,Il17b,Il17rb,Inflammatory-Mac,1.0,3.3038075294210363,0.2063888956004819,1.0,73.75442408256251,0.1720729031472505,243.67042161208215,0.03551393644332973
FAPs,Efnb2,Grm1,Inflammatory-Mac,1.0,493.24499608228876,0.1431834407993219,0.6666666666666666,0.6752092462653001,0.228314347608785,333.043582028853,0.032690833874478284
FAPs,Il23a,Il23r,Inflammatory-Mac,1.0,49.017261126659406,0.2290850656241614,0.3333333333333333,0.6116033094525267,0.1189361174080568,29.979119125363574,0.02724648826150766
FAPs,Il1rapl1,Ptprs,Inflammatory-Mac,0.3333333333333333,0.66970845013898,0.2340503601094712,1.0,816.4112169509523,0.1163006299350248,546.7574907803007,0.0272202043172509
FAPs,Dsc2,Dsg2,Inflammatory-Mac,0.6666666666666666,6.906397996277438,0.1774055641942891,0.6666666666666666,1.962021801983127,0.110134372638016,13.55050344186891,0.01953845051503129
FAPs,Fgf5,Fgfr3,Inflammatory-Mac,0.3333333333333333,2.977963220500654,0.2617919069099886,1.0,23.42365671415557,0.07422944445168413,69.75478818438849,0.01943266781187546
FAPs,Fgf15,Fgfr3,Inflammatory-Mac,0.3333333333333333,2.67883380055592,0.24593497496720895,1.0,23.42365671415557,0.07422944445168413,62.748083338498574,0.01825561656305477
FAPs,Nppc,Npr3,Inflammatory-Mac,1.0,21.11321145022927,0.4981906783973509,0.3333333333333333,2.283082880964277,0.036241190024472535,48.20321162419739,0.01805502304421928
FAPs,Slit3,Robo2,Inflammatory-Mac,1.0,3494.23894582041,0.9150626260581228,0.3333333333333333,1.529008273631317,0.017305985229690908,5342.720258204178,0.01583606029080405
FAPs,Slit2,Robo2,Inflammatory-Mac,1.0,712.2194282226753,0.9070930288705916,0.3333333333333333,1.529008273631317,0.017305985229690908,1088.989398393436,0.01569813855959005
FAPs,Fgf15,Klb,Inflammatory-Mac,0.3333333333333333,2.67883380055592,0.24593497496720895,1.0,11.419538851585742,0.0594925408765055,30.59104666238942,0.01463129655119904
FAPs,Robo2,Robo2,Inflammatory-Mac,1.0,66.04218466138396,0.7474943674255219,0.3333333333333333,1.529008273631317,0.017305985229690908,100.9790467559433,0.01293612648194323
FAPs,Il1rapl1,Ptprf,Inflammatory-Mac,0.3333333333333333,0.66970845013898,0.2340503601094712,1.0,34.74858619465127,0.04886024139226671,23.271421804940648,0.01143575709289571
FAPs,Gas6,Tyro3,Inflammatory-Mac,1.0,3149.2126729663037,0.5250687662679291,1.0,2.92013285127061,0.01526852466076736,9196.119381966631,0.008017025406360567
FAPs,Artn,Gfra3,Inflammatory-Mac,1.0,28.50344283296083,0.3984630253433579,0.3333333333333333,0.3058016547262634,0.01935582628542109,8.716399983714874,0.007712581099709377
FAPs,Pros1,Tyro3,Inflammatory-Mac,1.0,2546.911208665113,0.4366773142560907,1.0,2.92013285127061,0.01526852466076736,7437.3190896923315,0.006667418341516778
FAPs,Dnajb11,Prtg,Inflammatory-Mac,1.0,452.0272001489434,0.2475696297080748,0.6666666666666666,3.9571092616257686,0.01748664251707881,1788.721020216149,0.004329161612790679
FAPs,Gal,Galr3,Inflammatory-Mac,1.0,35.99225360099883,0.06065512348438368,0.3333333333333333,0.3058016547262634,0.07078405844870696,11.00649070851275,0.0042934158059321536
FAPs,Fgf5,Fgfr1,Inflammatory-Mac,0.3333333333333333,2.977963220500654,0.2617919069099886,1.0,90.03635158028385,0.01381145504469535,268.1249435141511,0.003615727153352378
FAPs,Fgf15,Fgfr1,Inflammatory-Mac,0.3333333333333333,2.67883380055592,0.24593497496720895,1.0,90.03635158028385,0.01381145504469535,241.19242189200068,0.003396719850677884
FAPs,Pnoc,Oprl1,Inflammatory-Mac,0.6666666666666666,5.284422332240056,0.2396415253480107,0.3333333333333333,0.3694075915390367,0.011532264802434009,1.952105726427898,0.002763609527972462
FAPs,Wnt10a,Fzd1,Inflammatory-Mac,0.6666666666666666,2.651047841014444,0.2040028482248837,1.0,15.185830302773173,0.01257710157257317,40.25836263817853,0.002565764543218591
FAPs,Sfrp1,Fzd2,Inflammatory-Mac,1.0,7139.70346264472,0.9676618751469744,0.6666666666666666,2.15283961242145,0.0025747705305011128,15370.63643532415,0.002491507279617877
FAPs,Ndp,Lgr4,Inflammatory-Mac,0.3333333333333333,0.6552799350853266,0.2157414113876882,1.0,11.71614387189169,0.01147093990106209,7.677353995823532,0.002474756764198483
FAPs,Slit1,Robo2,Inflammatory-Mac,1.0,50.28522841668783,0.1428078914745078,0.3333333333333333,1.529008273631317,0.017305985229690908,76.8865302905563,0.002471431260541135
FAPs,Wnt5a,Fzd2,Inflammatory-Mac,1.0,430.9998719815136,0.9294691262532572,0.6666666666666666,2.15283961242145,0.0025747705305011128,927.8735973503765,0.002393169715287505
FAPs,Efnb3,Ephb3,Inflammatory-Mac,1.0,43.65493113773717,0.40931542292651707,1.0,7.692881864303433,0.005513084758808653,335.8322280369135,0.002256590619681499
FAPs,Efnb1,Ephb3,Inflammatory-Mac,1.0,359.81641582178526,0.3823836846609616,1.0,7.692881864303433,0.005513084758808653,2768.0251797540745,0.002108113663921441
FAPs,Wnt2,Fzd2,Inflammatory-Mac,0.6666666666666666,2.64058874875243,0.8081132006862559,0.6666666666666666,2.15283961242145,0.0025747705305011128,5.684764058428622,0.002080706054435903
FAPs,Nppa,Npr3,Inflammatory-Mac,0.3333333333333333,0.98291990262799,0.05244161764589945,0.3333333333333333,2.283082880964277,0.036241190024472535,2.244087603049038,0.0019005466302957734
FAPs,Wnt5b,Fzd2,Inflammatory-Mac,1.0,14.230598367663989,0.5480928115455233,0.6666666666666666,2.15283961242145,0.0025747705305011128,30.63619587436706,0.001411213219146913
FAPs,Wnt3a,Fzd2,Inflammatory-Mac,0.6666666666666666,2.65719102797544,0.5377355362015823,0.6666666666666666,2.15283961242145,0.0025747705305011128,5.720506102796401,0.001384545611815049
FAPs,Ndp,Fzd4,Inflammatory-Mac,0.3333333333333333,0.6552799350853266,0.2157414113876882,1.0,39.9777331735075,0.0062081618454246975,26.196606398794497,0.001339357598655119
FAPs,Efnb2,Ephb3,Inflammatory-Mac,1.0,493.24499608228876,0.1431834407993219,1.0,7.692881864303433,0.005513084758808653,3794.475485019858,0.0007893824451845227
FAPs,Wnt1,Fzd2,Inflammatory-Mac,1.0,8.956635127685963,0.2983619065171564,0.6666666666666666,2.15283961242145,0.0025747705305011128,19.282198896887788,0.0007682134443245021
FAPs,Edn3,Ednrb,Inflammatory-Mac,0.3333333333333333,0.32763996754266306,0.007333677349310716,1.0,94.98981218618073,0.05855383075918435,31.122458981563916,0.00042941490235400335
FAPs,Wnt16,Fzd2,Inflammatory-Mac,1.0,15.24744741679443,0.1654132588955766,0.6666666666666666,2.15283961242145,0.0025747705305011128,32.825308787188156,0.0004259011843584817
FAPs,Wnt4,Fzd2,Inflammatory-Mac,1.0,81.99982774786223,0.1624792498578847,0.6666666666666666,2.15283961242145,0.0025747705305011128,176.53247738733342,0.0004183467843520087
FAPs,Ccl4,Ccr1,Inflammatory-Mac,0.3333333333333333,0.66970845013898,0.000469716814513298,1.0,1111.6555919668222,0.7348895217999011,744.485143584431,0.0003451899651990505
FAPs,Ccl4,Ccr5,Inflammatory-Mac,0.3333333333333333,0.66970845013898,0.000469716814513298,1.0,6426.335921866499,0.5643542882416194,4303.771470305666,0.0002650866985297731
FAPs,Fgf5,Fgfr4,Inflammatory-Mac,0.3333333333333333,2.977963220500654,0.2617919069099886,1.0,2.677937133357123,0.0009880827638929397,7.974798289950467,0.0002586720709444247
FAPs,Fgf15,Fgfr4,Inflammatory-Mac,0.3333333333333333,2.67883380055592,0.24593497496720895,1.0,2.677937133357123,0.0009880827638929397,7.173748508600888,0.0002430041098035409
FAPs,Epo,Ephb4,Inflammatory-Mac,1.0,1.655873187502157,0.5634078033697567,0.3333333333333333,1.108222774617113,0.0003081619904382647,1.835076378267724,0.0001736208701148747
FAPs,Il16,Kcnj15,Inflammatory-Mac,1.0,158.287847870956,0.1544208126591753,0.3333333333333333,0.3694075915390367,0.0010822327002239134,58.47273265190729,0.0001671192530549104
FAPs,Ccl4,Ccr3,Inflammatory-Mac,0.3333333333333333,0.66970845013898,0.000469716814513298,1.0,7.448139337240216,0.3331653155257221,4.988081851962315,0.00015649335071506008
FAPs,Cxcl12,Ackr3,Inflammatory-Mac,1.0,7393.627047437556,0.4435126977412239,0.3333333333333333,0.3694075915390367,0.0003236468978663022,2731.261960331787,0.00014354150878826208
FAPs,Ccl4,Ackr2,Inflammatory-Mac,0.3333333333333333,0.66970845013898,0.000469716814513298,0.6666666666666666,2.56853149313619,0.2613049806208727,1.7201672454013983,0.0001227393431136954
FAPs,Edn3,Ednra,Inflammatory-Mac,0.3333333333333333,0.32763996754266306,0.007333677349310716,1.0,3.72255397116146,0.00254185617379346,1.219657462287152,1.86411530469547e-05
