Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Cxcl2,Cxcr1,MuSCs,1.0,1551.163433918227,0.4121354297105358,0.3333333333333333,0.8360090673146866,0.5362387478490909,1296.786695642623,0.2210029867722247
Inflammatory-Mac,Rln3,Rxfp2,MuSCs,1.0,3.307346676214264,0.1596923337708203,0.3333333333333333,2.2293575128391603,0.8694124123530476,7.373258160181893,0.1388384971379769
Inflammatory-Mac,Fgf23,Fgfr4,MuSCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,2647.646421420193,0.9769063512736466,1841.603004868178,0.1333087271234791
Inflammatory-Mac,Il1f10,Il1r1,MuSCs,0.3333333333333333,0.3694075915390367,1.0,1.0,886.9705405132768,0.1267273230767438,327.6536511370872,0.1267273230767438
Inflammatory-Mac,Gnai2,Cxcr1,MuSCs,1.0,3528.982316746491,0.2191499837893655,0.3333333333333333,0.8360090673146866,0.5362387478490909,2950.261215193255,0.1175167128983579
Inflammatory-Mac,Rln3,Rxfp3,MuSCs,1.0,3.307346676214264,0.1596923337708203,1.0,50.01996469615457,0.6244378638516243,165.4333639821816,0.0997179397733316
Inflammatory-Mac,Fgf23,Kl,MuSCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,32.2689833026412,0.6627302021291078,22.4450878838681,0.09043622201548142
Inflammatory-Mac,Galp,Galr3,MuSCs,0.6666666666666666,1.936575141129317,0.1452524108836997,0.6666666666666666,2.682200864930179,0.620850344856177,5.194283518539338,0.09018000938833606
Inflammatory-Mac,Tnfsf13,Tnfrsf17,MuSCs,1.0,47.06968355072484,0.3706359868936903,0.3333333333333333,0.8360090673146866,0.2398487898122862,39.35068224403892,0.088896592917334
Inflammatory-Mac,Tnfsf13b,Tnfrsf17,MuSCs,1.0,67.45717337876182,0.3518466051246588,0.3333333333333333,0.8360090673146866,0.2398487898122862,56.39480860006377,0.08438998243871075
Inflammatory-Mac,Rln3,Rxfp1,MuSCs,1.0,3.307346676214264,0.1596923337708203,1.0,4.016397963000206,0.4591971901391915,13.28362045328247,0.07333027095433059
Inflammatory-Mac,Npy,Prlhr,MuSCs,1.0,5.924224681908346,0.1718976643893419,1.0,2.0685552567361984,0.3576706776241507,12.25458610784784,0.06148275410414475
Inflammatory-Mac,Rln3,Rxfp4,MuSCs,1.0,3.307346676214264,0.1596923337708203,1.0,163.2638646111874,0.3477860798181543,539.9701999677061,0.05553877073916584
Inflammatory-Mac,Fgf16,Fgfr4,MuSCs,1.0,5.07855066775907,0.05591887733339773,1.0,2647.646421420193,0.9769063512736466,13446.20650149344,0.0546275064230882
Inflammatory-Mac,Pdyn,Oprd1,MuSCs,1.0,4.989013484324942,0.359371394768751,0.3333333333333333,0.6537353138247567,0.13093579207351,3.261494295851108,0.04705457822260846
Inflammatory-Mac,Fgf23,Fgfr1,MuSCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,2242.240084811263,0.3439566084946312,1559.617645474483,0.04693634922564256
Inflammatory-Mac,Alb,Lrp2,MuSCs,0.3333333333333333,0.6116033094525267,0.2255672927321421,0.6666666666666666,0.8842070351221679,0.206236088308096,0.5407839489219244,0.0465201161033242
Inflammatory-Mac,a,Mc2r,MuSCs,0.3333333333333333,0.7388151830780734,0.08648565065439916,1.0,2.722290570560953,0.4530242830267101,2.0112696062807034,0.03918009987980769
Inflammatory-Mac,Gal,Galr3,MuSCs,1.0,35.8999808445018,0.06049962292858031,0.6666666666666666,2.682200864930179,0.620850344856177,96.29095967209965,0.03756121175887776
Inflammatory-Mac,Slamf1,Slamf1,MuSCs,1.0,6.176101620009713,0.4236608429606697,0.6666666666666666,1.2191829542112549,0.08363205625227514,7.52979781859236,0.03543162745037304
Inflammatory-Mac,Il19,Il20ra,MuSCs,1.0,3.5439641900607475,0.4166538547854529,0.3333333333333333,0.31350442170212,0.07953518996381045,1.111048443938016,0.03313864348951489
Inflammatory-Mac,Nrtn,Gfra1,MuSCs,0.3333333333333333,0.3694075915390367,0.125295457625637,1.0,277.68073227795367,0.2606124107383169,102.57737052759492,0.03265355126637788
Inflammatory-Mac,Epo,Epor,MuSCs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,22.46973972837987,0.2574264934245319,8.300492435569815,0.03235600106007989
Inflammatory-Mac,Gast,Cckbr,MuSCs,1.0,6.951035286308078,0.2123571155101542,0.6666666666666666,1.7765223324210468,0.1506672496019046,12.34866941957302,0.03199526252730889
Inflammatory-Mac,Lefty2,Acvr2b,MuSCs,0.3333333333333333,0.6116033094525267,0.135080547575954,1.0,46.64589706207941,0.2222000137190677,28.52878501554966,0.03001489952455615
Inflammatory-Mac,Gnai2,Oprd1,MuSCs,1.0,3528.982316746491,0.2191499837893655,0.3333333333333333,0.6537353138247567,0.13093579207351,2307.020362320284,0.02869457671035745
Inflammatory-Mac,Nrtn,Gfra2,MuSCs,0.3333333333333333,0.3694075915390367,0.125295457625637,1.0,48.36417125755154,0.2256656430264726,17.86609202103362,0.028274880013385517
Inflammatory-Mac,Nrtn,Ret,MuSCs,0.3333333333333333,0.3694075915390367,0.125295457625637,1.0,134.409691112842,0.2172246810673984,49.651960273500826,0.02721726582192272
Inflammatory-Mac,Fgf10,Fgfr1,MuSCs,0.3333333333333333,0.3058016547262634,0.07117846672861082,1.0,2242.240084811263,0.3439566084946312,685.6807282288414,0.02448230401382092
Inflammatory-Mac,Uts2,Uts2r,MuSCs,0.6666666666666666,3.8472190356372766,0.1769235540960486,0.6666666666666666,0.9672397355268766,0.1213204596351337,3.721183122543765,0.02146444690321405
Inflammatory-Mac,Wnt10a,Fzd8,MuSCs,0.3333333333333333,1.304618789122443,0.1003927370570705,1.0,207.59563041239534,0.201058443099186,270.8331599757295,0.02018480741116055
Inflammatory-Mac,Fgf23,Fgfr3,MuSCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,44.63411598392593,0.1414452778876586,31.04580787322113,0.01930163513447026
Inflammatory-Mac,Icosl,Ctla4,MuSCs,1.0,541.9276595498337,0.5389271122521412,0.3333333333333333,0.326867656912378,0.03358178029579869,177.138624293063,0.01809813187910064
Inflammatory-Mac,Cd86,Ctla4,MuSCs,1.0,3287.448328812323,0.5364458262953541,0.3333333333333333,0.326867656912378,0.03358178029579869,1074.5605324593969,0.01801480587924877
Inflammatory-Mac,Cxcl1,Cxcr1,MuSCs,1.0,141.926484032782,0.03234686095559766,0.3333333333333333,0.8360090673146866,0.5362387478490909,118.6518275434989,0.017345640215678342
Inflammatory-Mac,Npy,Npy2r,MuSCs,1.0,5.924224681908346,0.1718976643893419,0.3333333333333333,1.5675221085106,0.09680760592295748,9.286353164675507,0.01664100135328021
Inflammatory-Mac,Cd80,Ctla4,MuSCs,1.0,630.810592414623,0.45345698289346,0.3333333333333333,0.326867656912378,0.03358178029579869,206.1915802980769,0.015227892773123919
Inflammatory-Mac,Cxcl2,Cxcr2,MuSCs,1.0,1551.163433918227,0.4121354297105358,0.3333333333333333,0.6537353138247567,0.035916466709736014,1014.050314266019,0.014802448441101209
Inflammatory-Mac,Slurp1,Chrna7,MuSCs,0.3333333333333333,0.3058016547262634,0.01551224135500864,1.0,144.370615638693,0.934106402300504,44.14877315616168,0.014490083963744219
Inflammatory-Mac,Il1f5,Il1rl2,MuSCs,0.3333333333333333,0.3694075915390367,0.1905685581635538,1.0,82.66072507246554,0.0724427688983795,30.53549936388996,0.01380531401833972
Inflammatory-Mac,Epo,Crlf3,MuSCs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,239.583550513714,0.1097906732095353,88.50398236764221,0.01379961748108122
Inflammatory-Mac,Pomc,Mc2r,MuSCs,0.6666666666666666,0.9810109009915634,0.03017516912297238,1.0,2.722290570560953,0.4530242830267101,2.670596725386837,0.01367008435714428
Inflammatory-Mac,Wnt10b,Fzd7,MuSCs,0.6666666666666666,1.898415865170354,0.07091756965794413,1.0,258.0833246842543,0.1876144504922418,489.9494781165,0.013305160861620471
Inflammatory-Mac,Guca2a,Gucy2c,MuSCs,1.0,11.70753427290739,0.2452394301236559,1.0,3.858440824367503,0.0517267155406072,45.17282819126758,0.012685430241346959
Inflammatory-Mac,Fgf10,Fgfrl1,MuSCs,0.3333333333333333,0.3058016547262634,0.07117846672861082,1.0,82.15729024034955,0.1782098773916333,25.12383530332477,0.01268470582863018
Inflammatory-Mac,Wnt10a,Fzd1,MuSCs,0.3333333333333333,1.304618789122443,0.1003927370570705,1.0,140.04311493788128,0.1159855237412751,182.7028790351939,0.01164410418738443
Inflammatory-Mac,Epo,Ephb4,MuSCs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,329.15473609883634,0.0915276070494435,121.5922583059383,0.01150412807680405
Inflammatory-Mac,Fgf23,Fgfr2,MuSCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,15.70433289607111,0.07976455105099142,10.92334173357691,0.010884677693332841
Inflammatory-Mac,Edn2,Ednra,MuSCs,0.3333333333333333,0.3058016547262634,0.0451852272934854,1.0,347.79508961210365,0.2374834864972414,106.3563139090503,0.01073074531582723
Inflammatory-Mac,Edn2,Ednrb,MuSCs,0.3333333333333333,0.3058016547262634,0.0451852272934854,1.0,376.1713633664537,0.2318803863285812,115.03382537809601,0.01047756796115815
Inflammatory-Mac,Cck,Cckbr,MuSCs,1.0,8.086745514517682,0.06928307031963958,0.6666666666666666,1.7765223324210468,0.1506672496019046,14.36628400314639,0.010438689649035441
Inflammatory-Mac,Vasp,Cxcr2,MuSCs,1.0,1062.4687935675681,0.2654419429598507,0.3333333333333333,0.6537353138247567,0.035916466709736014,694.5733701919047,0.009533736707685123
