Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Pdyn,Oprd1,Resolving-Mac,1.0,4.989013484324942,0.359371394768751,0.3333333333333333,0.6734564688845867,0.1348857164599652,3.3598834043710637,0.04847406805859997
Inflammatory-Mac,Epo,Crlf3,Resolving-Mac,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,761.9377533741972,0.3491627814486605,281.46559037662684,0.04388635830136624
Inflammatory-Mac,Gnai2,Oprd1,Resolving-Mac,1.0,3528.982316746491,0.2191499837893655,0.3333333333333333,0.6734564688845867,0.1348857164599652,2376.615969792239,0.02956020257561833
Inflammatory-Mac,Rln3,Rxfp4,Resolving-Mac,1.0,3.307346676214264,0.1596923337708203,1.0,74.36753464380827,0.1584183579208168,245.95921852244842,0.02529819728851634
Inflammatory-Mac,Lefty2,Acvr2b,Resolving-Mac,0.3333333333333333,0.6116033094525267,0.135080547575954,1.0,33.60161893792863,0.1600629564279579,20.55086134539984,0.02162139180091462
Inflammatory-Mac,Wnt10b,Fzd7,Resolving-Mac,0.6666666666666666,1.898415865170354,0.07091756965794413,1.0,371.78459454615927,0.2702699312037892,705.8017727123563,0.01916688667259249
Inflammatory-Mac,Alb,Lrp2,Resolving-Mac,0.3333333333333333,0.6116033094525267,0.2255672927321421,0.3333333333333333,0.3367282344422933,0.07853987938998361,0.2059441025710129,0.01771602796550757
Inflammatory-Mac,Il1f5,Il1rl2,Resolving-Mac,0.3333333333333333,0.3694075915390367,0.1905685581635538,1.0,105.56848720782101,0.09251882940832276,38.99780060186075,0.01763117992332387
Inflammatory-Mac,Wnt10a,Fzd5,Resolving-Mac,0.3333333333333333,1.304618789122443,0.1003927370570705,1.0,304.244164408708,0.1580225319804263,396.92265336845816,0.01586431450220344
Inflammatory-Mac,Prok2,Prokr1,Resolving-Mac,0.3333333333333333,0.7388151830780734,0.1490429114893279,1.0,41.34285449146844,0.1055484019780499,30.5447286100844,0.0157312411338545
Inflammatory-Mac,Epo,Epor,Resolving-Mac,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,8.340919805625347,0.09555846055419258,3.08119909661631,0.01201076707319361
Inflammatory-Mac,Fgf23,Fgfr3,Resolving-Mac,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,21.74630269449868,0.06891391841971807,15.12590807555037,0.009403999404494122
Inflammatory-Mac,Pnoc,Oprl1,Resolving-Mac,0.6666666666666666,2.466766280364454,0.1118645704180486,1.0,2.658824697677124,0.08300389915951133,6.558699109630141,0.009285195522501758
Inflammatory-Mac,Nodal,Acvr1c,Resolving-Mac,1.0,12.94551573029979,0.126640726267695,0.3333333333333333,0.3367282344422933,0.0640672545758485,4.359120655808783,0.008113523649462759
