Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Il1f10,Il1r1,ECs,0.3333333333333333,0.3694075915390367,1.0,1.0,1999.975746780633,0.2857497076072589,738.80622375472,0.2857497076072589
M1,Hsp90aa1,Cftr,ECs,1.0,5387.738955956344,0.2450403877928259,0.3333333333333333,1.199884208075323,1.0,6464.662890484248,0.2450403877928259
M1,Apoe,Lrp2,ECs,1.0,52972.324146582156,0.3628859995146043,0.3333333333333333,2.069069910157523,0.4825983822305975,109603.441962804,0.1751281962998814
M1,Scgb1a1,Lrp2,ECs,0.6666666666666666,5.338068033309632,0.2917549365726425,0.3333333333333333,2.069069910157523,0.4825983822305975,11.044835946094711,0.1408004603977479
M1,Plau,Lrp2,ECs,1.0,1766.024197227676,0.2515960605686341,0.3333333333333333,2.069069910157523,0.4825983822305975,3654.0275270938814,0.1214198518060142
M1,Lrpap1,Lrp2,ECs,1.0,480.3269605671424,0.2293510969100429,0.3333333333333333,2.069069910157523,0.4825983822305975,993.8300611468936,0.1106844683315997
M1,Alb,Lrp2,ECs,0.3333333333333333,0.6116033094525267,0.2255672927321421,0.3333333333333333,2.069069910157523,0.4825983822305975,1.2654500045409842,0.1088584105566674
M1,Lpl,Lrp2,ECs,1.0,2488.8820965725627,0.2206711514169911,0.3333333333333333,2.069069910157523,0.4825983822305975,5149.6710559480625,0.1064955406788031
M1,Epo,Ephb4,ECs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,2839.9380937192896,0.7896976995300897,1049.094691320806,0.0992573035635471
M1,Tg,Lrp2,ECs,1.0,40.24687217086439,0.2001589893376348,0.3333333333333333,2.069069910157523,0.4825983822305975,83.27359218669173,0.0965964044432539
M1,Rln3,Rxfp1,ECs,1.0,3.3073466762142636,0.1596923337708203,0.6666666666666666,4.730166801001853,0.5408028098608085,15.64430144723254,0.0863620628164896
M1,Fgf23,Fgfr3,ECs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,191.6404235093687,0.6073074902514737,133.29785160654302,0.0828732338493116
M1,Cd48,Cd2,ECs,1.0,1825.8323710928,0.5080430211779295,0.3333333333333333,1.379379940105017,0.1036551793736678,2518.516546679788,0.0526612904897384
M1,Nrtn,Ret,ECs,0.3333333333333333,0.3694075915390367,0.12529545762563699,1.0,259.1003524693656,0.4187420636385272,95.71363717262386,0.0524664784906928
M1,Prok2,Prokr1,ECs,0.3333333333333333,0.7388151830780734,0.1490429114893279,1.0,130.1456031017359,0.33226202207911104,96.15354758241526,0.049521299148002
M1,Pnoc,Oprl1,ECs,0.6666666666666666,2.466766280364454,0.1118645704180486,1.0,13.85783191305247,0.43261749587529497,34.18403248207626,0.0483945703314217
M1,Lefty2,Acvr2b,ECs,0.3333333333333333,0.6116033094525267,0.1350805475759539,1.0,74.39396576583563,0.3543792971069861,45.49959566568305,0.0478697495027933
M1,Cfp,Ncr1,ECs,1.0,504.1242899270076,0.3437924227822708,0.3333333333333333,0.5999421040376633,0.1330900531111696,302.44538719530203,0.045755351807309996
M1,Rln3,Rxfp4,ECs,1.0,3.3073466762142636,0.1596923337708203,1.0,132.27766857936479,0.2817790201907909,437.48810751333417,0.0449979493419224
M1,Epo,Epor,ECs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,30.5527458054961,0.3500301433071842,11.286416242912722,0.0439953772327144
M1,Gdf15,Gfral,ECs,1.0,461.14147902423304,0.3486420114026615,0.6666666666666666,2.2344191631540866,0.1025150932217722,1030.3833576569639,0.03574106829997
M1,Tnfsf13,Tnfrsf11b,ECs,1.0,47.06968355072484,0.3706359868936903,1.0,6.115634988643451,0.0916462548350926,287.86100362718787,0.0339674001059152
M1,Fgf16,Fgfr3,ECs,1.0,5.07855066775907,0.0559188773333977,1.0,191.6404235093687,0.6073074902514737,973.2556007831353,0.0339599530510257
M1,Thbs1,Tnfrsf11b,ECs,1.0,17403.4212444354,0.3695844318836557,1.0,6.115634988643451,0.0916462548350926,106432.9718845699,0.0338710290274924
M1,Il1f5,Il1rl2,ECs,0.3333333333333333,0.3694075915390367,0.1905685581635538,1.0,200.9459868971267,0.1761064118066191,74.23097304910239,0.0335603449813444
M1,Epcam,Epcam,ECs,1.0,6.383169456881514,0.7931874061434836,0.3333333333333333,0.3285678201319703,0.0408285975725951,2.097304073980532,0.0323847294050829
M1,Fgf23,Fgfr2,ECs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,45.70020979263873,0.2321178964537816,31.78734252290586,0.0316748286859744
M1,H2-T23,Klrc1,ECs,1.0,1449.4153122018201,0.410493121314035,0.3333333333333333,1.31427128052788,0.0754365383909219,1904.9249183842028,0.0309661801052155
