Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Cxcl2,Cxcr1,sCs,1.0,1551.163433918227,0.4121354297105358,0.3333333333333333,0.8360090673146866,0.5362387478490909,1296.786695642623,0.2210029867722247
M1,Rln3,Rxfp2,sCs,1.0,3.3073466762142636,0.1596923337708203,0.3333333333333333,2.2293575128391603,0.8694124123530476,7.373258160181893,0.1388384971379769
M1,Fgf23,Fgfr4,sCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,2647.646421420193,0.9769063512736468,1841.603004868178,0.1333087271234791
M1,Il1f10,Il1r1,sCs,0.3333333333333333,0.3694075915390367,1.0,1.0,886.9705405132768,0.1267273230767438,327.65365113708714,0.1267273230767438
M1,Gnai2,Cxcr1,sCs,1.0,3528.9823167464897,0.2191499837893655,0.3333333333333333,0.8360090673146866,0.5362387478490909,2950.261215193255,0.1175167128983579
M1,Rln3,Rxfp3,sCs,1.0,3.3073466762142636,0.1596923337708203,1.0,50.01996469615457,0.6244378638516243,165.4333639821816,0.0997179397733316
M1,Fgf23,Kl,sCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,32.2689833026412,0.6627302021291078,22.4450878838681,0.0904362220154814
M1,Galp,Galr3,sCs,0.6666666666666666,1.936575141129317,0.1452524108836997,0.6666666666666666,2.6822008649301803,0.620850344856177,5.19428351853934,0.090180009388336
M1,Tnfsf13,Tnfrsf17,sCs,1.0,47.06968355072484,0.3706359868936903,0.3333333333333333,0.8360090673146866,0.2398487898122862,39.35068224403892,0.088896592917334
M1,Tnfsf13b,Tnfrsf17,sCs,1.0,67.4571733787618,0.3518466051246587,0.3333333333333333,0.8360090673146866,0.2398487898122862,56.394808600063755,0.0843899824387107
M1,Rln3,Rxfp1,sCs,1.0,3.3073466762142636,0.1596923337708203,1.0,4.016397963000207,0.4591971901391915,13.28362045328247,0.0733302709543305
M1,Npy,Prlhr,sCs,1.0,5.924224681908346,0.1718976643893419,1.0,2.0685552567361984,0.3576706776241507,12.25458610784784,0.0614827541041447
M1,Rln3,Rxfp4,sCs,1.0,3.3073466762142636,0.1596923337708203,1.0,163.2638646111874,0.3477860798181542,539.9701999677061,0.0555387707391658
M1,Fgf16,Fgfr4,sCs,1.0,5.07855066775907,0.0559188773333977,1.0,2647.646421420193,0.9769063512736468,13446.20650149344,0.0546275064230881
M1,Pdyn,Oprd1,sCs,1.0,4.98901348432494,0.359371394768751,0.3333333333333333,0.6537353138247567,0.13093579207351,3.261494295851108,0.0470545782226084
M1,Fgf23,Fgfr1,sCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,2242.240084811263,0.3439566084946312,1559.617645474483,0.0469363492256425
M1,Alb,Lrp2,sCs,0.3333333333333333,0.6116033094525267,0.2255672927321421,0.6666666666666666,0.8842070351221679,0.206236088308096,0.5407839489219244,0.0465201161033242
M1,a,Mc2r,sCs,0.3333333333333333,0.7388151830780734,0.0864856506543991,1.0,2.722290570560954,0.4530242830267101,2.0112696062807043,0.0391800998798077
M1,Gal,Galr3,sCs,1.0,35.8999808445018,0.0604996229285803,0.6666666666666666,2.6822008649301803,0.620850344856177,96.29095967209965,0.0375612117588777
M1,Slamf1,Slamf1,sCs,1.0,6.176101620009713,0.4236608429606697,0.6666666666666666,1.2191829542112549,0.0836320562522751,7.52979781859236,0.035431627450373
M1,Il19,Il20ra,sCs,1.0,3.5439641900607475,0.4166538547854529,0.3333333333333333,0.31350442170212,0.0795351899638104,1.111048443938016,0.0331386434895148
M1,Nrtn,Gfra1,sCs,0.3333333333333333,0.3694075915390367,0.12529545762563699,1.0,277.68073227795367,0.260612410738317,102.57737052759491,0.0326535512663778
M1,Epo,Epor,sCs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,22.46973972837987,0.2574264934245319,8.300492435569815,0.0323560010600798
M1,Gast,Cckbr,sCs,1.0,6.951035286308078,0.2123571155101542,0.6666666666666666,1.776522332421046,0.1506672496019045,12.34866941957302,0.0319952625273088
M1,Lefty2,Acvr2b,sCs,0.3333333333333333,0.6116033094525267,0.1350805475759539,1.0,46.6458970620794,0.2222000137190676,28.52878501554965,0.0300148995245561
M1,Gnai2,Oprd1,sCs,1.0,3528.9823167464897,0.2191499837893655,0.3333333333333333,0.6537353138247567,0.13093579207351,2307.020362320283,0.0286945767103574
M1,Nrtn,Gfra2,sCs,0.3333333333333333,0.3694075915390367,0.12529545762563699,1.0,48.364171257551526,0.2256656430264725,17.86609202103362,0.0282748800133855
M1,Nrtn,Ret,sCs,0.3333333333333333,0.3694075915390367,0.12529545762563699,1.0,134.409691112842,0.2172246810673985,49.651960273500826,0.0272172658219227
M1,Fgf10,Fgfr1,sCs,0.3333333333333333,0.3058016547262634,0.0711784667286108,1.0,2242.240084811263,0.3439566084946312,685.6807282288414,0.0244823040138209
M1,Uts2,Uts2r,sCs,0.6666666666666666,3.8472190356372766,0.1769235540960486,0.6666666666666666,0.9672397355268766,0.1213204596351336,3.7211831225437653,0.021464446903214
M1,Wnt10a,Fzd8,sCs,0.3333333333333333,1.304618789122443,0.1003927370570705,1.0,207.59563041239534,0.20105844309918602,270.8331599757294,0.0201848074111605
M1,Fgf23,Fgfr3,sCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,44.63411598392593,0.1414452778876586,31.04580787322113,0.0193016351344702
M1,Icosl,Ctla4,sCs,1.0,541.9276595498336,0.5389271122521411,0.3333333333333333,0.326867656912378,0.0335817802957986,177.138624293063,0.0180981318791006
M1,Cd86,Ctla4,sCs,1.0,3287.448328812323,0.5364458262953541,0.3333333333333333,0.326867656912378,0.0335817802957986,1074.5605324593969,0.0180148058792487
M1,Cxcl1,Cxcr1,sCs,1.0,141.926484032782,0.0323468609555976,0.3333333333333333,0.8360090673146866,0.5362387478490909,118.6518275434989,0.0173456402156783
M1,Npy,Npy2r,sCs,1.0,5.924224681908346,0.1718976643893419,0.3333333333333333,1.5675221085106,0.0968076059229574,9.286353164675507,0.0166410013532802
M1,Cd80,Ctla4,sCs,1.0,630.8105924146231,0.4534569828934601,0.3333333333333333,0.326867656912378,0.0335817802957986,206.191580298077,0.0152278927731239
M1,Cxcl2,Cxcr2,sCs,1.0,1551.163433918227,0.4121354297105358,0.3333333333333333,0.6537353138247567,0.035916466709736,1014.050314266019,0.0148024484411012
M1,Slurp1,Chrna7,sCs,0.3333333333333333,0.3058016547262634,0.0155122413550086,1.0,144.370615638693,0.934106402300504,44.148773156161674,0.0144900839637442
M1,Il1f5,Il1rl2,sCs,0.3333333333333333,0.3694075915390367,0.1905685581635538,1.0,82.66072507246554,0.0724427688983795,30.53549936388996,0.0138053140183397
M1,Epo,Crlf3,sCs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,239.583550513714,0.1097906732095354,88.50398236764221,0.0137996174810812
M1,Pomc,Mc2r,sCs,0.6666666666666666,0.9810109009915634,0.0301751691229723,1.0,2.722290570560954,0.4530242830267101,2.670596725386838,0.0136700843571442
M1,Wnt10b,Fzd7,sCs,0.6666666666666666,1.898415865170353,0.0709175696579441,1.0,258.0833246842543,0.1876144504922418,489.9494781164998,0.0133051608616204
M1,Guca2a,Gucy2c,sCs,1.0,11.70753427290739,0.2452394301236558,1.0,3.858440824367503,0.0517267155406072,45.17282819126758,0.0126854302413469
M1,Fgf10,Fgfrl1,sCs,0.3333333333333333,0.3058016547262634,0.0711784667286108,1.0,82.15729024034955,0.1782098773916333,25.12383530332477,0.0126847058286301
M1,Wnt10a,Fzd1,sCs,0.3333333333333333,1.304618789122443,0.1003927370570705,1.0,140.04311493788128,0.1159855237412751,182.7028790351939,0.0116441041873844
M1,Epo,Ephb4,sCs,0.3333333333333333,0.3694075915390367,0.1256902528937469,1.0,329.15473609883634,0.0915276070494435,121.5922583059383,0.011504128076803998
M1,Fgf23,Fgfr2,sCs,0.6666666666666666,0.6955622888196474,0.1364600884718143,1.0,15.70433289607111,0.0797645510509914,10.92334173357691,0.0108846776933328
M1,Edn2,Ednra,sCs,0.3333333333333333,0.3058016547262634,0.0451852272934854,1.0,347.79508961210365,0.2374834864972415,106.35631390905041,0.0107307453158272
M1,Edn2,Ednrb,sCs,0.3333333333333333,0.3058016547262634,0.0451852272934854,1.0,376.1713633664537,0.2318803863285813,115.03382537809601,0.0104775679611581
M1,Cck,Cckbr,sCs,1.0,8.086745514517682,0.0692830703196395,0.6666666666666666,1.776522332421046,0.1506672496019045,14.36628400314639,0.0104386896490354
M1,Vasp,Cxcr2,sCs,1.0,1062.4687935675681,0.2654419429598507,0.3333333333333333,0.6537353138247567,0.035916466709736,694.5733701919047,0.0095337367076851
M1,Fgf16,Fgfr3,sCs,1.0,5.07855066775907,0.0559188773333977,1.0,44.63411598392593,0.1414452778876586,226.67661953500283,0.0079094611435883
M1,Gnai2,Cxcr2,sCs,1.0,3528.9823167464897,0.2191499837893655,0.3333333333333333,0.6537353138247567,0.035916466709736,2307.020362320283,0.0078710930972099
M1,Wnt10a,Fzd5,sCs,0.3333333333333333,1.304618789122443,0.1003927370570705,1.0,147.754265493311,0.0767426490810052,192.7629909355594,0.0077044045902523
M1,Dkk2,Kremen1,sCs,0.6666666666666666,2.5481784505818434,0.0116001364169137,1.0,2603.094838357923,0.6524340544306221,6633.150171924489,0.0075683240344353
M1,Guca2b,Gucy2c,sCs,0.6666666666666666,2.63723104824843,0.1307742745302248,1.0,3.858440824367503,0.0517267155406072,10.17559993985125,0.0067645236986542
M1,Tgfa,Erbb2,sCs,0.3333333333333333,0.91740496417879,0.0153384831761764,1.0,261.6686342251583,0.37543008776532,240.05610400804431,0.0057585280850188
M1,Fgf10,Fgfr2,sCs,0.3333333333333333,0.3058016547262634,0.0711784667286108,1.0,15.70433289607111,0.0797645510509914,4.8024109859906385,0.0056775184431055
M1,Tgfa,Egfr,sCs,0.3333333333333333,0.91740496417879,0.0153384831761764,1.0,4214.531563094904,0.3699687120837439,3866.43217767146,0.0056747588660081
M1,Pnoc,Oprl1,sCs,0.6666666666666666,2.466766280364454,0.1118645704180486,0.3333333333333333,1.5675221085106,0.0489353236182848,3.8667106809997387,0.0054741289548276
M1,Slitrk6,Ptprs,sCs,0.3333333333333333,1.8470379576951867,0.0175373058067286,1.0,1931.396953746173,0.2751342432728512,3567.363484946036,0.0048251133621788
M1,Fgf16,Fgfr2,sCs,1.0,5.07855066775907,0.0559188773333977,1.0,15.70433289607111,0.0797645510509914,79.75525031605268,0.0044603441457739
M1,Dkk2,Kremen2,sCs,0.6666666666666666,2.5481784505818434,0.0116001364169137,1.0,14.08862916309881,0.3682938138364173,35.900341231647296,0.0042722584820078
M1,Mif,Cxcr2,sCs,1.0,166.2940639931737,0.1164027097083928,0.3333333333333333,0.6537353138247567,0.035916466709736,108.7123021117716,0.0041807740481645
M1,Pomc,Oprd1,sCs,0.6666666666666666,0.9810109009915634,0.0301751691229723,0.3333333333333333,0.6537353138247567,0.13093579207351,0.641321469225227,0.0039510096700685
M1,Prok2,Prokr2,sCs,0.3333333333333333,0.7388151830780734,0.1490429114893279,1.0,8.526172417302082,0.0251322641366856,6.299265635444257,0.0037457858192504
M1,Thpo,Mpl,sCs,0.6666666666666666,1.5926142104440901,0.0443492794314034,1.0,3.4323321143698995,0.0812873985735325,5.4663809003091135,0.0036050375535894
M1,Reln,Vldlr,sCs,0.3333333333333333,0.91740496417879,0.004596846153881,1.0,192.7653808372487,0.5062466199695017,176.84391730190688,0.002327137827922
M1,Penk,Oprd1,sCs,1.0,6.021402292791691,0.0174110394359072,0.3333333333333333,0.6537353138247567,0.13093579207351,3.936403317543286,0.0022797282393636
M1,Dlk1,Notch3,sCs,0.3333333333333333,0.6116033094525267,0.0022682361458211,1.0,7901.572221853719,0.8779569706904408,4832.62772076389,0.0019914137353956
M1,Dkk2,Lrp5,sCs,0.6666666666666666,2.5481784505818434,0.0116001364169137,1.0,783.1099155200508,0.16935159436067102,1995.503811165161,0.0019645015970056
M1,Efnb2,Grm1,sCs,1.0,30.85350523222364,0.0089564234304622,0.3333333333333333,0.62700884340424,0.2120159281268641,19.345420630623213,0.0018989044263066
M1,Prok2,Prokr1,sCs,0.3333333333333333,0.7388151830780734,0.1490429114893279,1.0,4.908713260299083,0.0125319561691113,3.626631886085633,0.0018677992341010002
M1,Dkk2,Lrp6,sCs,0.6666666666666666,2.5481784505818434,0.0116001364169137,1.0,1764.5863389961771,0.1515835789357175,4496.480883221165,0.0017583901942183
M1,Robo2,Robo2,sCs,0.3333333333333333,1.529008273631317,0.0173059852296909,1.0,7.507881424824556,0.0849774898442533,11.47961281599962,0.0014706191841008
M1,Il16,Kcnj15,sCs,1.0,354.7792957246031,0.3461118961267751,0.3333333333333333,1.393348445524473,0.0040820147855391,494.331180202143,0.0014128338774404
M1,Cxcl1,Cxcr2,sCs,1.0,141.926484032782,0.0323468609555976,0.3333333333333333,0.6537353138247567,0.035916466709736,92.78235457921507,0.0011617849546761
M1,Reln,Itga3,sCs,0.3333333333333333,0.91740496417879,0.004596846153881,1.0,363.4537079409864,0.2505120503870196,333.434235914249,0.0011515653553224
M1,Reln,Itgb1,sCs,0.3333333333333333,0.91740496417879,0.004596846153881,1.0,6136.299621174127,0.2116366164676537,5629.471734153572,0.0009728609664297
M1,Gdnf,Gfra1,sCs,0.3333333333333333,0.3694075915390367,0.0032512050663970004,1.0,277.68073227795367,0.260612410738317,102.57737052759491,0.0008473043901583
M1,Flt3l,Flt3,sCs,1.0,55.580245959174,0.1819363211569862,0.6666666666666666,1.5942485789311172,0.0040755557935258,88.6087281370551,0.0007414916277441
M1,Gdnf,Gfra2,sCs,0.3333333333333333,0.3694075915390367,0.0032512050663970004,1.0,48.364171257551526,0.2256656430264725,17.86609202103362,0.0007336852819194
M1,Dlk1,Notch1,sCs,0.3333333333333333,0.6116033094525267,0.0022682361458211,1.0,3872.4426505821034,0.3131580738394943,2368.3987407611294,0.0007103164624384
M1,Gdnf,Ret,sCs,0.3333333333333333,0.3694075915390367,0.0032512050663970004,1.0,134.409691112842,0.2172246810673985,49.651960273500826,0.0007062419836328
M1,Reln,Lrp8,sCs,0.3333333333333333,0.91740496417879,0.004596846153881,1.0,57.82471509976667,0.1202724632089083,53.048680684750174,0.0005528740099196
M1,Dlk1,Notch2,sCs,0.3333333333333333,0.6116033094525267,0.0022682361458211,1.0,4393.07016934675,0.2099196739573662,2686.816254229644,0.00047614739218900003
M1,Dlk1,Notch4,sCs,0.3333333333333333,0.6116033094525267,0.0022682361458211,1.0,44.3206033905509,0.011132509822773999,27.10662771059381,2.5251161173724648e-05
M1,Myl9,Cd69,sCs,0.6666666666666666,1.80378506343676,0.0023685662245905,1.0,8.177825091329817,0.0096951173524447,14.751038751139081,2.29635275044421e-05
M1,Ncam1,Robo3,sCs,1.0,4.830776745778573,0.0009421994161658,0.3333333333333333,0.31350442170212,0.0009734925156677,1.514469870057361,9.172240799040544e-07
