Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Prok2,Prokr2,FAPs,0.3333333333333333,3.8896805410765,0.7846743351837203,1.0,317.192667379119,0.9349763890083744,1233.7781460767098,0.7336519764576217
M2,Cga,Lhcgr,FAPs,0.3333333333333333,0.9414253505181532,1.0,1.0,8.975757653587722,0.6463713261026182,8.45000579519482,0.6463713261026182
M2,Il1f5,Il1rl2,FAPs,0.3333333333333333,1.56904225086359,0.8094314418364462,1.0,684.5083595896057,0.5998940955246522,1074.022537265419,0.48557314268969
M2,Prok2,Prokr1,FAPs,0.3333333333333333,3.8896805410765,0.7846743351837203,1.0,202.0050238070713,0.5157192873262828,785.7350103020606,0.404671688924173
M2,Fgf6,Fgfr2,FAPs,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,135.4790690053087,0.688117552495227,273.7177662602597,0.2361594869793398
M2,Gpha2,Tshr,FAPs,1.0,5.528940317770736,0.3566698270333193,1.0,116.50538091921129,0.5143882688723608,644.151297801465,0.1834667748866735
M2,Fgf6,Fgfr1,FAPs,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,3481.948642773354,0.5341262312780461,7034.822513398875,0.18331021538897102
M2,Apoe,Lrp2,FAPs,1.0,91301.17744634923,0.6254571527350362,0.6666666666666666,0.9973484176816432,0.2326256500713227,91059.08485858732,0.1454973767467464
M2,Oxt,Avpr1b,FAPs,1.0,8.471154811533259,0.2188900024975063,0.3333333333333333,0.66970845013898,0.6444982304935849,5.6732039597193005,0.1410742192823792
M2,Tnfsf4,Tnfrsf4,FAPs,0.6666666666666666,3.9646957607892532,0.5448153958726808,1.0,19.51829715767693,0.2365496556919477,77.38410999886665,0.1288758943093548
M2,Avp,Avpr1b,FAPs,0.6666666666666666,1.96244844452296,0.1855715462531602,0.3333333333333333,0.66970845013898,0.6444982304935849,1.3142683062591232,0.1196005331901202
M2,Il18,Il1rapl1,FAPs,1.0,420.1944011287857,0.4339568130777374,0.3333333333333333,0.66970845013898,0.2340503601094712,281.4077411370359,0.1015677483728029
M2,Gm13306,Ackr2,FAPs,0.3333333333333333,0.3536073219160467,0.1340725357352776,1.0,7.261099335305126,0.7386950193791274,2.567577890123632,0.0990387143831796
M2,Lpl,Lrp2,FAPs,1.0,4180.867593692304,0.3706872523582265,0.6666666666666666,0.9973484176816432,0.2326256500713227,4169.781679105477,0.0862313630529849
M2,Lrpap1,Lrp2,FAPs,1.0,634.2111274046206,0.3028291761325607,0.6666666666666666,0.9973484176816432,0.2326256500713227,632.5294643930893,0.0704458339584
M2,Plau,Lrp2,FAPs,1.0,2090.996855396463,0.2978931841958951,0.6666666666666666,0.9973484176816432,0.2326256500713227,2085.452405106954,0.0692975956253863
M2,Wnt9b,Fzd8,FAPs,0.6666666666666666,0.650536684615011,0.1021121024111065,1.0,622.503531311563,0.6029008923772371,404.96138342056094,0.0615634776661719
M2,Scgb1a1,Lrp2,FAPs,0.6666666666666666,4.798805889669078,0.2622812784004123,0.6666666666666666,0.9973484176816432,0.2326256500713227,4.786081460822802,0.0610133528894334
M2,Cd70,Cd27,FAPs,0.3333333333333333,0.3536073219160467,0.5300571085710645,1.0,23.6159046913059,0.1080014807420641,8.350756812517282,0.057246952603532
M2,Slamf1,Slamf1,FAPs,0.6666666666666666,2.55026647312507,0.1749401338018791,0.3333333333333333,4.632387231889901,0.31776696698517604,11.813821848021462,0.0555901957222039
M2,Gm13306,Ccr10,FAPs,0.3333333333333333,0.3536073219160467,0.1340725357352776,1.0,23.898085349518237,0.4023145832522087,8.450537959364253,0.053939336339905004
M2,Ihh,Boc,FAPs,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,1245.631506659657,0.6955408320028484,781.77938518235,0.0520239523543771
M2,Apob,Lrp2,FAPs,0.6666666666666666,0.6674157720887642,0.2086970473919461,0.6666666666666666,0.9973484176816432,0.2326256500713227,0.6656460642285011,0.0485482863175171
M2,Galp,Galr3,FAPs,0.6666666666666666,2.0878857565487703,0.1566014317480051,0.6666666666666666,1.332202642751133,0.30836559669511604,2.78148692263672,0.048290493944282996
M2,Tg,Lrp2,FAPs,1.0,38.822186844333295,0.1930736294152043,0.6666666666666666,0.9973484176816432,0.2326256500713227,38.71924662013691,0.0449138785543415
M2,Ihh,Hhip,FAPs,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,22.889899734027534,0.5757670170309238,14.3660879202882,0.0430653018241723
M2,Galp,Galr2,FAPs,0.6666666666666666,2.0878857565487703,0.1566014317480051,1.0,33.76804967428037,0.271936747369048,70.50382994136132,0.0425856839828884
M2,Wnt9b,Fzd5,FAPs,0.6666666666666666,0.650536684615011,0.1021121024111065,1.0,782.1598731032631,0.4062489868999733,508.8236906874945,0.0414829381547383
M2,Fgf6,Fgfr3,FAPs,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,34.112984886064766,0.1081038689894653,68.92083103344746,0.0371008618345206
M2,Apob,Ldlr,FAPs,0.6666666666666666,0.6674157720887642,0.2086970473919461,1.0,296.1372648582173,0.1493444915231284,197.646681269602,0.0311677544251284
M2,Prn,Rpsa,FAPs,0.3333333333333333,0.7072146438320899,0.1144724503206291,1.0,4582.807937380961,0.2641382619966898,3241.0288831857506,0.0302365540741933
M2,Prok1,Prokr2,FAPs,0.3333333333333333,0.3138084501727177,0.0281320572926174,1.0,317.192667379119,0.9349763890083744,99.5377393563917,0.0263028093428281
M2,Ihh,Ptch2,FAPs,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,296.39710977883067,0.3362475833700514,186.02383531073582,0.0251501097443066
M2,Wnt9b,Fzd4,FAPs,0.6666666666666666,0.650536684615011,0.1021121024111065,1.0,1379.6299390256531,0.2142434117285196,897.4998865293584,0.0218768451993274
M2,Lcn2,Lrp2,FAPs,0.6666666666666666,2.961794757171917,0.0866327668772303,0.6666666666666666,0.9973484176816432,0.2326256500713227,2.953941314563198,0.020153003712293
M2,Rln3,Rxfp3,FAPs,0.6666666666666666,1.301073369230023,0.0628211866127173,1.0,24.5090086688768,0.3059648904448535,31.88801848530339,0.0192210774795757
M2,Wnt1,Fzd10,FAPs,0.6666666666666666,3.29727998870049,0.1098384303619295,0.3333333333333333,0.32763996754266306,0.1376594137983683,1.0803207084769009,0.0151202939361561
