Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Fgf6,Fgfr3,ECs,0.6666666666666666,3.8665490865442096,0.6568035706646534,1.0,191.6404235093687,0.6073074902514738,740.9871044650951,0.3988817280885572
MuSCs,Shh,Lrp2,ECs,1.0,3.732473300861763,0.6949730889510151,0.3333333333333333,2.069069910157524,0.4825983822305976,7.722748197279405,0.33539288842156106
MuSCs,Il20,Il20rb,ECs,1.0,1.524579113736667,0.4586020410994288,1.0,255.1852239657547,0.5206592353171896,389.0500625924031,0.2387753880337309
MuSCs,Apob,Lrp2,ECs,0.6666666666666666,1.537942348946923,0.4809056673619779,0.3333333333333333,2.069069910157524,0.4825983822305976,3.182110237763062,0.2320842970744164
MuSCs,Hsp90aa1,Cftr,ECs,1.0,5031.00040686,0.2288155199724246,0.3333333333333333,1.199884208075323,1.0,6036.61793901184,0.2288155199724246
MuSCs,Adm2,Ramp2,ECs,1.0,3.6146058678598303,0.2624569706843604,1.0,1047.734650371307,0.8232047448122692,3787.147815192193,0.2160558235764201
MuSCs,Nmu,Nmur1,ECs,0.3333333333333333,1.88102653021272,0.6551449859714854,1.0,6.605594500096551,0.3285478756682596,12.425298502508841,0.2152464933956433
MuSCs,Tg,Lrp2,ECs,1.0,77.05010304555289,0.3831917841586459,0.3333333333333333,2.069069910157524,0.4825983822305976,159.4220497860901,0.1849277351190188
MuSCs,Adm2,Calcrl,ECs,1.0,3.6146058678598303,0.2624569706843604,1.0,3812.448254774436,0.6677530613191978,13780.497832619641,0.1752564456390446
MuSCs,Snca,Lag3,ECs,0.6666666666666666,0.9672397355268766,1.0,1.0,284.8800451185683,0.1672865410907135,275.5472994973687,0.1672865410907135
MuSCs,Nppa,Npr1,ECs,1.0,2.9875970244555896,0.1593969360246277,1.0,2388.834455026163,0.96867994103661,7136.874709753156,0.1544046145897526
MuSCs,Fgf6,Fgfr2,ECs,0.6666666666666666,3.8665490865442096,0.6568035706646534,1.0,45.70020979263873,0.2321178964537816,176.702104428606,0.15245586320601198
MuSCs,a,F11r,ECs,0.6666666666666666,1.8461917976154951,0.2161150751996904,1.0,1422.1670392636331,0.6772338323279038,2625.5931227276333,0.1463604406013195
MuSCs,Cd70,Cd27,ECs,0.3333333333333333,0.31350442170212,0.4699428914289355,1.0,57.59272303243597,0.2633860294058762,18.05557332853421,0.1237763922209841
MuSCs,Wnt3a,Fzd6,ECs,0.3333333333333333,0.6537353138247567,0.1322963632694888,1.0,1118.4541775562332,0.8909794649933614,731.1729927633344,0.1178733429664165
MuSCs,Mepe,Phex,ECs,0.3333333333333333,0.31350442170212,1.0,1.0,6.895519742903364,0.1140016933505237,2.16177592933447,0.1140016933505237
MuSCs,Sost,Lrp5,ECs,0.6666666666666666,3.767299861786083,0.3251956825462889,1.0,1354.020556791993,0.2928139914274605,5101.001456457991,0.0952218458013562
MuSCs,Scgb1a1,Lrp2,ECs,1.0,3.496738434857898,0.1911160917970847,0.3333333333333333,2.069069910157524,0.4825983822305976,7.234996279255793,0.09223231671950748
MuSCs,Serpine1,Lrp2,ECs,1.0,1247.2261037024768,0.1823072016410865,0.3333333333333333,2.069069910157524,0.4825983822305976,2580.598002333802,0.08798116058097567
