Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Nxph2,Nrxn1,FAPs,0.3333333333333333,0.62700884340424,1.0,1.0,8.32662090546339,0.8972335416669767,5.220864943400166,0.8972335416669767
MuSCs,Fgf6,Fgfr2,FAPs,0.6666666666666666,3.8665490865442096,0.6568035706646534,1.0,135.4790690053087,0.688117552495227,523.8364705083362,0.4519580655158872
MuSCs,Il20,Il20ra,FAPs,1.0,1.524579113736667,0.4586020410994288,1.0,3.6282026622285097,0.9204648100361896,5.531481999237356,0.4221270406427945
MuSCs,Fgf6,Fgfr1,FAPs,0.6666666666666666,3.8665490865442096,0.6568035706646534,1.0,3481.948642773354,0.5341262312780461,13463.12534410916,0.3508160158890752
MuSCs,Avp,Avpr1b,FAPs,1.0,3.579771135262607,0.3385075754000735,0.3333333333333333,0.66970845013898,0.6444982304935849,2.397402978848977,0.2181675333540212
MuSCs,Snca,Lag3,FAPs,0.6666666666666666,0.9672397355268766,1.0,1.0,316.79842992736303,0.1860295744598753,306.4200295782723,0.1860295744598753
MuSCs,Ereg,Egfr,FAPs,1.0,4.254977946474327,0.306255718834172,1.0,6842.7295477088355,0.6006826144265872,29115.66331918933,0.1839624858724042
MuSCs,Mepe,Phex,FAPs,0.3333333333333333,0.31350442170212,1.0,1.0,10.91488256986805,0.1804526913243459,3.421863948013033,0.1804526913243459
MuSCs,Shh,Lrp2,FAPs,1.0,3.732473300861763,0.6949730889510151,0.6666666666666666,0.9973484176816432,0.2326256500713227,3.722576340653459,0.16166856659930498
MuSCs,Oxt,Avpr1b,FAPs,1.0,9.43709775117185,0.2438494392182327,0.3333333333333333,0.66970845013898,0.6444982304935849,6.320104108747352,0.157160532083004
MuSCs,a,Mc2r,FAPs,0.6666666666666666,1.8461917976154951,0.2161150751996904,1.0,3.2868587676886434,0.54697571697329,6.068171696827347,0.1182096982060871
MuSCs,Nppa,Npr3,FAPs,1.0,2.9875970244555896,0.1593969360246277,1.0,45.95887000279787,0.7295416889893845,137.3065832677002,0.1162867099271397
MuSCs,Apob,Lrp2,FAPs,0.6666666666666666,1.537942348946923,0.4809056673619779,0.6666666666666666,0.9973484176816432,0.2326256500713227,1.5338643682078037,0.1118709934930634
MuSCs,Wnt3a,Fzd1,FAPs,0.3333333333333333,0.6537353138247567,0.1322963632694888,1.0,995.8456271584377,0.8247722616186002,651.0194535914329,0.1091143707376922
MuSCs,Wnt7b,Fzd10,FAPs,1.0,27.83612422356943,0.7636851904897696,0.3333333333333333,0.32763996754266306,0.1376594137983683,9.120226837123825,0.1051284556493169
MuSCs,Wnt3a,Fzd2,FAPs,0.3333333333333333,0.6537353138247567,0.1322963632694888,1.0,660.0125650296714,0.7893671652982239,431.4735213279548,0.1044304052533005
MuSCs,a,Mc5r,FAPs,0.6666666666666666,1.8461917976154951,0.2161150751996904,1.0,155.3416400327887,0.4821285735530065,286.7904616566732,0.1041952529293275
MuSCs,Il20,Il20rb,FAPs,1.0,1.524579113736667,0.4586020410994288,1.0,110.34697713530198,0.2251430229461084,168.2326966044589,0.1032510498623808
MuSCs,Sost,Lrp6,FAPs,0.6666666666666666,3.767299861786083,0.3251956825462889,1.0,3570.73120010075,0.3067371671009373,13452.015156614807,0.09974960241770438
MuSCs,Wnt3a,Apcdd1,FAPs,0.3333333333333333,0.6537353138247567,0.1322963632694888,1.0,151.1776550053054,0.7049111719269063,98.83017173818408,0.09325718447396307
MuSCs,Tg,Lrp2,FAPs,1.0,77.05010304555289,0.3831917841586459,0.6666666666666666,0.9973484176816432,0.2326256500713227,76.84579835468972,0.08914023789189497
MuSCs,Ccl20,Ackr4,FAPs,0.3333333333333333,1.30747062764951,0.2638340800223143,1.0,28.22809832672823,0.3227596582453269,36.90740943659944,0.08515499750147243
MuSCs,Wnt3a,Fzd8,FAPs,0.3333333333333333,0.6537353138247567,0.1322963632694888,1.0,622.503531311563,0.6029008923772372,406.952541398984,0.07976159547343796
MuSCs,Gm13306,Ackr2,FAPs,0.3333333333333333,0.27866968910489504,0.105659440671099,1.0,7.261099335305126,0.7386950193791274,2.02344829432924,0.07805010257412526
MuSCs,Fgl1,Egfr,FAPs,0.6666666666666666,0.6055373460172729,0.1222871538496375,1.0,6842.7295477088355,0.6006826144265872,4143.528289833584,0.07345576728518656
MuSCs,Fgf6,Fgfr3,FAPs,0.6666666666666666,3.8665490865442096,0.6568035706646534,1.0,34.112984886064766,0.1081038689894653,131.8995305505101,0.07100300715494473
MuSCs,Adm2,Ramp3,FAPs,1.0,3.6146058678598303,0.2624569706843604,1.0,3.9637814753544505,0.2388361121296893,14.327507779730286,0.06268420247958847
MuSCs,Sost,Lrp5,FAPs,0.6666666666666666,3.767299861786083,0.3251956825462889,1.0,864.3012877026542,0.1869096510969638,3256.0821217037437,0.06078221156296585
MuSCs,Pth2,Pth1r,FAPs,0.3333333333333333,0.62700884340424,0.1351998539048582,1.0,186.74823167751663,0.4321398773709582,117.0927927519068,0.058425248287016875
MuSCs,a,Atrn,FAPs,0.6666666666666666,1.8461917976154951,0.2161150751996904,1.0,1115.7710463412739,0.2628722161099989,2059.927353772118,0.0568106487525217
MuSCs,a,Mc1r,FAPs,0.6666666666666666,1.8461917976154951,0.2161150751996904,1.0,40.361614323615825,0.2508613280550804,74.51528130277963,0.05421491477731792
MuSCs,Wnt3a,Fzd5,FAPs,0.3333333333333333,0.6537353138247567,0.1322963632694888,1.0,782.1598731032631,0.4062489868999732,511.32553010429353,0.05374526354878067
MuSCs,Wnt9a,Fzd10,FAPs,1.0,108.26027038817871,0.3894645061243751,0.3333333333333333,0.32763996754266306,0.1376594137983683,35.4703914761428,0.0536134556083525
MuSCs,Cd70,Cd27,FAPs,0.3333333333333333,0.31350442170212,0.4699428914289355,1.0,23.6159046913059,0.1080014807420641,7.403690543220239,0.050754528138532116
