Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Fgf6,Fgfr4,MuSCs,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,2647.646421420193,0.9769063512736466,5349.223829473675,0.3352707715521374
Resolving-Mac,Npy,Prlhr,MuSCs,1.0,28.19460209355073,0.818096292510467,1.0,2.0685552567361984,0.3576706776241507,58.32209237219978,0.2926090553040241
Resolving-Mac,Cxcl2,Cxcr1,MuSCs,1.0,1921.0386058281745,0.5104091896387888,0.3333333333333333,0.8360090673146866,0.5362387478490909,1606.005693133917,0.2737011847425733
Resolving-Mac,Cga,Lhcgr,MuSCs,0.3333333333333333,0.9414253505181532,1.0,1.0,2.408786148858833,0.17346394114296998,2.2676923445127,0.17346394114296998
Resolving-Mac,Gnai2,Cxcr1,MuSCs,1.0,3860.938101127179,0.2397644551117618,0.3333333333333333,0.8360090673146866,0.5362387478490909,3227.7792608830714,0.1285709911878507
Resolving-Mac,Tnfsf4,Tnfrsf4,MuSCs,0.6666666666666666,3.964695760789253,0.5448153958726808,1.0,18.00052292830735,0.2181551734030933,71.36659694584989,0.1188542971592796
Resolving-Mac,Fgf6,Fgfr1,MuSCs,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,2242.240084811263,0.3439566084946312,4530.153269725416,0.1180446798816532
Resolving-Mac,Tnfsf13,Tnfrsf17,MuSCs,1.0,59.03050428698029,0.4648178522309235,0.3333333333333333,0.8360090673146866,0.2398487898122862,49.350036832074004,0.1114859993407331
Resolving-Mac,Galp,Galr3,MuSCs,0.6666666666666666,2.0878857565487703,0.1566014317480051,0.6666666666666666,2.682200864930179,0.620850344856177,5.600128982090513,0.09722605290572003
Resolving-Mac,Npy,Npy2r,MuSCs,1.0,28.19460209355073,0.818096292510467,0.3333333333333333,1.5675221085106,0.09680760592295748,44.19566212230001,0.07919794349238582
Resolving-Mac,Ihh,Cdon,MuSCs,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,5582.833269773567,0.8028408257339966,3503.8805119206654,0.060049605924448676
Resolving-Mac,Il1f5,Il1rl2,MuSCs,0.3333333333333333,1.56904225086359,0.8094314418364462,1.0,82.66072507246554,0.0724427688983795,129.6981701257177,0.058637454880039776
Resolving-Mac,Rln3,Rxfp2,MuSCs,0.6666666666666666,1.301073369230023,0.06282118661271731,0.3333333333333333,2.2293575128391603,0.8694124123530476,2.900557690447911,0.05461751939984353
Resolving-Mac,Gpha2,Tshr,MuSCs,1.0,5.528940317770736,0.3566698270333193,1.0,32.646031692690265,0.1441369968963048,180.4979608409365,0.0514093177521071
Resolving-Mac,Fgf6,Fgfr3,MuSCs,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,44.63411598392593,0.1414452778876586,90.17740242695969,0.0485435143173903
Resolving-Mac,Wnt9b,Fzd10,MuSCs,0.6666666666666666,0.650536684615011,0.1021121024111065,0.3333333333333333,1.11467875641958,0.4683373195678054,0.7251394226119771,0.04782290833865084
Resolving-Mac,Pdyn,Oprd1,MuSCs,1.0,4.9688397673203095,0.3579182303625207,0.3333333333333333,0.6537353138247567,0.13093579207351,3.248306024634074,0.04686430699006566
Resolving-Mac,Apob,Ldlr,MuSCs,0.6666666666666666,0.6674157720887645,0.2086970473919461,1.0,421.61209317412164,0.2126224935090057,281.3905606877665,0.044373686604442734
Resolving-Mac,Cd70,Cd27,MuSCs,0.3333333333333333,0.3536073219160467,0.5300571085710645,1.0,18.0782843123327,0.08267654788286634,6.392613700520847,0.043823291917429286
Resolving-Mac,Apob,Lrp2,MuSCs,0.6666666666666666,0.6674157720887645,0.2086970473919461,0.6666666666666666,0.8842070351221679,0.206236088308096,0.5901337210323789,0.04304086269556432
Resolving-Mac,Rln3,Rxfp3,MuSCs,0.6666666666666666,1.301073369230023,0.06282118661271731,1.0,50.01996469615457,0.6244378638516243,65.07964399599264,0.03922792757306945
Resolving-Mac,Wnt9b,Fzd4,MuSCs,0.6666666666666666,0.650536684615011,0.1021121024111065,1.0,2437.177999952733,0.3784705702083596,1585.473695905894,0.03864642562470588
Resolving-Mac,Cxcl1,Cxcr1,MuSCs,1.0,312.3220477743234,0.07118218929731306,0.3333333333333333,0.8360090673146866,0.5362387478490909,261.1040638616251,0.03817064805794811
Resolving-Mac,Gal,Galr3,MuSCs,1.0,35.251112447311634,0.0594061322793704,0.6666666666666666,2.682200864930179,0.620850344856177,94.55056429593029,0.03688231771221878
Resolving-Mac,Galp,Galr2,MuSCs,0.6666666666666666,2.0878857565487703,0.1566014317480051,1.0,29.18981822537014,0.2350678911298442,60.945005708998,0.0368119683089178
Resolving-Mac,Prn,Rpsa,MuSCs,0.3333333333333333,0.7072146438320899,0.1144724503206291,1.0,4941.31957478807,0.2848017159542257,3494.573563144279,0.03260195028080001
Resolving-Mac,Gnai2,Oprd1,MuSCs,1.0,3860.938101127179,0.2397644551117618,0.3333333333333333,0.6537353138247567,0.13093579207351,2524.031581198337,0.031393748841132066
Resolving-Mac,Tnfsf13b,Tnfrsf17,MuSCs,1.0,24.480780956813067,0.1276881203143762,0.3333333333333333,0.8360090673146866,0.2398487898122862,20.46615485484043,0.030625841130808736
Resolving-Mac,Rln3,Rxfp1,MuSCs,0.6666666666666666,1.301073369230023,0.06282118661271731,1.0,4.016397963000206,0.4591971901391915,5.225628429889281,0.02884731237376958
Resolving-Mac,Fgf6,Fgfr2,MuSCs,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,15.70433289607111,0.07976455105099142,31.72855373512837,0.027374909108237217
Resolving-Mac,Ihh,Hhip,MuSCs,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,13.52316517936653,0.3401584352318318,8.487367012733365,0.02544262739612649
Resolving-Mac,Gast,Cckbr,MuSCs,1.0,4.95196067984656,0.151284527092431,0.6666666666666666,1.7765223324210468,0.1506672496019046,8.797268737018324,0.022793623604341392
Resolving-Mac,Ihh,Ptch1,MuSCs,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,398.93502889607566,0.2954249593909902,250.3783662749723,0.02209672431077019
Resolving-Mac,Rln3,Rxfp4,MuSCs,0.6666666666666666,1.301073369230023,0.06282118661271731,1.0,163.2638646111874,0.3477860798181543,212.41826640319192,0.02184833422156167
Resolving-Mac,Uts2,Uts2r,MuSCs,1.0,3.75944553516859,0.1728870800833859,0.6666666666666666,0.9672397355268766,0.1213204596351337,3.636285105164164,0.02097474002069254
Resolving-Mac,Wnt9b,Fzd8,MuSCs,0.6666666666666666,0.650536684615011,0.1021121024111065,1.0,207.59563041239534,0.201058443099186,135.0485731490428,0.0205305003323617
Resolving-Mac,Prok2,Prokr2,MuSCs,0.3333333333333333,3.8896805410764985,0.7846743351837203,1.0,8.526172417302082,0.02513226413668568,33.1640869414431,0.0197206426531155
Resolving-Mac,Gm13306,Ccr10,MuSCs,0.3333333333333333,0.3536073219160467,0.1340725357352777,1.0,8.541937336402732,0.1438000538286062,3.0204915855000585,0.01927963785567065
Resolving-Mac,Il19,Il20ra,MuSCs,1.0,1.991408925588364,0.2341243197737635,0.3333333333333333,0.31350442170212,0.07953518996381045,0.6243155035890201,0.01862112224835418
Resolving-Mac,Cxcl2,Cxcr2,MuSCs,1.0,1921.0386058281745,0.5104091896387888,0.3333333333333333,0.6537353138247567,0.035916466709736014,1255.850775850554,0.01833209466800489
Resolving-Mac,a,Mc2r,MuSCs,0.3333333333333333,0.3138084501727177,0.0367343939535256,1.0,2.722290570560953,0.4530242830267101,0.8542777848675359,0.01664157248321665
Resolving-Mac,Ihh,Boc,MuSCs,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,386.7746100495567,0.2159687938472717,242.7462818916177,0.01615368893410523
Resolving-Mac,Cd86,Ctla4,MuSCs,1.0,2823.49301147263,0.4607375964828625,0.3333333333333333,0.326867656912378,0.03358178029579869,922.9085449685324,0.01547238873910184
Resolving-Mac,Lefty2,Acvr2b,MuSCs,0.3333333333333333,0.3138084501727177,0.06930867872712597,1.0,46.64589706207941,0.2222000137190677,14.637876663967258,0.01540038936401785
Resolving-Mac,Slamf1,Slamf1,MuSCs,0.6666666666666666,2.55026647312507,0.1749401338018791,0.6666666666666666,1.2191829542112549,0.08363205625227514,3.109241412730541,0.01463060311089929
Resolving-Mac,Fgf9,Fgfr4,MuSCs,0.6666666666666666,0.6674157720887645,0.0132064900184259,1.0,2647.646421420193,0.9769063512736466,1767.0809805702124,0.012901503977032273
Resolving-Mac,Icosl,Ctla4,MuSCs,1.0,372.848021652372,0.3707836351902594,0.3333333333333333,0.326867656912378,0.03358178029579869,121.8719592219264,0.01245157457423686
Resolving-Mac,Cd80,Ctla4,MuSCs,1.0,511.0219875408957,0.36734717433248704,0.3333333333333333,0.326867656912378,0.03358178029579869,167.036559698199,0.01233617210071604
Resolving-Mac,Prok2,Prokr1,MuSCs,0.3333333333333333,3.8896805410764985,0.7846743351837203,1.0,4.908713260299084,0.01253195616911138,19.093326450309533,0.009833504375548993
Resolving-Mac,Tac2,Tacr2,MuSCs,0.3333333333333333,0.3138084501727177,0.05511465253756076,1.0,3.0491582274733298,0.1745298557256784,0.9568516176947964,0.009619152355751377
Resolving-Mac,Lama1,Itga7,MuSCs,0.6666666666666666,1.278153584960447,0.01048428201645406,1.0,4221.238643055863,0.8731412883055724,5395.391304595421,0.009154259506805644
Resolving-Mac,Efna3,Epha5,MuSCs,0.3333333333333333,0.3367282344422933,0.01137677094371548,1.0,4.9864828159973404,0.7880887324940905,1.6790895547076192,0.008965904992908327
Resolving-Mac,Pomc,Mc2r,MuSCs,0.3333333333333333,0.6276169003454367,0.019305031262361192,1.0,2.722290570560953,0.4530242830267101,1.7085555697350758,0.008745647946439403
Resolving-Mac,Gnai2,Cxcr2,MuSCs,1.0,3860.938101127179,0.2397644551117618,0.3333333333333333,0.6537353138247567,0.035916466709736014,2524.031581198337,0.008611492070199591
Resolving-Mac,Guca2b,Gucy2c,MuSCs,1.0,3.085989066284004,0.1530271614311284,1.0,3.858440824367503,0.0517267155406072,11.907106196901948,0.007915592449334555
Resolving-Mac,Wnt9b,Fzd5,MuSCs,0.6666666666666666,0.650536684615011,0.1021121024111065,1.0,147.754265493311,0.0767426490810052,96.11957001174468,0.007836353242259208
Resolving-Mac,Vasp,Cxcr2,MuSCs,1.0,864.3450476474484,0.2159436872163272,0.3333333333333333,0.6537353138247567,0.035916466709736014,565.052880976679,0.007755934253082863
