Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Cd70,Cd27,Resolving-Mac,0.3333333333333333,0.3536073219160467,0.5300571085710645,1.0,61.95875603931287,0.2833529981024016,21.90906979231111,0.1501932708791013
Resolving-Mac,Prok2,Prokr1,Resolving-Mac,0.3333333333333333,3.8896805410764985,0.7846743351837203,1.0,41.34285449146844,0.1055484019780499,160.8104966280219,0.0828211221518304
Resolving-Mac,Il1f5,Il1rl2,Resolving-Mac,0.3333333333333333,1.56904225086359,0.8094314418364462,1.0,105.56848720782101,0.09251882940832276,165.6414167888235,0.07488764948499889
Resolving-Mac,Tnfsf4,Tnfrsf4,Resolving-Mac,0.6666666666666666,3.964695760789253,0.5448153958726808,1.0,10.9720270251508,0.1329741623500866,43.5007490338805,0.07244637090160058
Resolving-Mac,Pdyn,Oprd1,Resolving-Mac,1.0,4.9688397673203095,0.3579182303625207,0.3333333333333333,0.6734564688845867,0.1348857164599652,3.346297284152847,0.04827805693653147
Resolving-Mac,Apob,Ldlr,Resolving-Mac,0.6666666666666666,0.6674157720887645,0.2086970473919461,1.0,450.1774879411586,0.2270282602357399,300.4555556912288,0.047380127585729286
Resolving-Mac,Apob,Lsr,Resolving-Mac,0.6666666666666666,0.6674157720887645,0.2086970473919461,1.0,55.013074745823296,0.2222339723421371,36.71659375646057,0.04637957385798743
Resolving-Mac,Apob,Olr1,Resolving-Mac,0.6666666666666666,0.6674157720887645,0.2086970473919461,1.0,53.45199539192921,0.2105302434145899,35.67470477418951,0.04393704018733263
Resolving-Mac,Gpha2,Tshr,Resolving-Mac,1.0,5.528940317770736,0.3566698270333193,1.0,24.68478817952007,0.1089869442849953,136.480720601379,0.038872354567019284
Resolving-Mac,Galp,Galr2,Resolving-Mac,0.6666666666666666,2.0878857565487703,0.1566014317480051,1.0,26.6386690690843,0.2145232872718945,55.61849772275739,0.03359465393006728
Resolving-Mac,Gnai2,Oprd1,Resolving-Mac,1.0,3860.938101127179,0.2397644551117618,0.3333333333333333,0.6734564688845867,0.1348857164599652,2600.173740167072,0.03234080030938316
Resolving-Mac,Fgf6,Fgfr3,Resolving-Mac,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,21.74630269449868,0.06891391841971807,43.93556467179744,0.02365101073315462
Resolving-Mac,Xcl1,Xcr1,Resolving-Mac,0.3333333333333333,0.3367282344422933,0.06649999338293923,1.0,43.84312204709681,0.3311985704239685,14.76321707935689,0.02202470274163283
Resolving-Mac,Prn,Rpsa,Resolving-Mac,0.3333333333333333,0.7072146438320899,0.1144724503206291,1.0,2953.263802606004,0.1702165961779077,2088.591408302208,0.01948511084972212
Resolving-Mac,Apob,Lrp2,Resolving-Mac,0.6666666666666666,0.6674157720887645,0.2086970473919461,0.3333333333333333,0.3367282344422933,0.07853987938998361,0.2247377345743897,0.01639104093120914
Resolving-Mac,Wnt9b,Fzd5,Resolving-Mac,0.6666666666666666,0.650536684615011,0.1021121024111065,1.0,304.244164408708,0.1580225319804263,197.9219900279052,0.016136012968847632
Resolving-Mac,Ihh,Ptch2,Resolving-Mac,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,140.9510776639544,0.1599018940274906,88.46327846379995,0.011960086501760921
Resolving-Mac,Lefty2,Acvr2b,Resolving-Mac,0.3333333333333333,0.3138084501727177,0.06930867872712597,1.0,33.60161893792863,0.1600629564279579,10.544471962205618,0.0110937520231793
Resolving-Mac,Nodal,Acvr1c,Resolving-Mac,1.0,17.25736107615296,0.1688217592623675,0.3333333333333333,0.3367282344422933,0.0640672545758485,5.811040726306143,0.01081594662860471
Resolving-Mac,Rln3,Rxfp4,Resolving-Mac,0.6666666666666666,1.301073369230023,0.06282118661271731,1.0,74.36753464380827,0.1584183579208168,96.75761886035008,0.009952029225823876
Resolving-Mac,Gm13306,Ccr10,Resolving-Mac,0.3333333333333333,0.3536073219160467,0.1340725357352777,1.0,3.554410479656127,0.05983706016260275,1.2568655707015342,0.008022506386944519
Resolving-Mac,Uts2,Uts2r,Resolving-Mac,1.0,3.75944553516859,0.1728870800833859,0.3333333333333333,0.3367282344422933,0.04223567609369675,1.265911457539282,0.007302002715186897
Resolving-Mac,Ntf5,Ntrk1,Resolving-Mac,1.0,31.22995389741347,0.2509756463700146,0.3333333333333333,0.3536073219160467,0.02807537835330501,11.04314036122598,0.007046236229303441
Resolving-Mac,Ucn,Crhr2,Resolving-Mac,0.3333333333333333,1.01018470332688,0.1330700999856802,0.6666666666666666,1.71739934715897,0.04047742372921173,1.7348905500035616,0.005386334822808949
Resolving-Mac,Ucn2,Crhr2,Resolving-Mac,1.0,4.69607319180464,0.1252180091206725,0.6666666666666666,1.71739934715897,0.04047742372921173,8.06503303381603,0.0050685024137057605
Resolving-Mac,Col9a1,Mag,Resolving-Mac,0.3333333333333333,0.3367282344422933,0.01161108699713352,1.0,18.77700906750903,0.4340080543189713,6.322749111409251,0.005039305276154229
Resolving-Mac,Ihh,Ptch1,Resolving-Mac,0.3333333333333333,0.6276169003454367,0.0747964029725922,1.0,90.44548980168051,0.06697796186436239,56.7651179595555,0.005009710625889762
Resolving-Mac,Pmch,Mchr1,Resolving-Mac,0.6666666666666666,2.2195789354786,0.2177488319360401,0.3333333333333333,0.6276169003454367,0.01971156302932466,1.393045251557103,0.004292169825269075
Resolving-Mac,Tac2,Tacr2,Resolving-Mac,0.3333333333333333,0.3138084501727177,0.05511465253756076,0.3333333333333333,1.25523380069087,0.07184795205531483,0.3939029735992119,0.003959874913064002
Resolving-Mac,Prok1,Prokr1,Resolving-Mac,0.3333333333333333,0.3138084501727177,0.02813205729261745,1.0,41.34285449146844,0.1055484019780499,12.97373709368389,0.002969293691590718
Resolving-Mac,Fgf6,Fgfr1,Resolving-Mac,0.3333333333333333,2.020369406653763,0.3431964293353466,1.0,55.036632875017396,0.008442545343331744,111.19432930591991,0.002897451416333212
Resolving-Mac,Pomc,Oprd1,Resolving-Mac,0.3333333333333333,0.6276169003454367,0.019305031262361192,0.3333333333333333,0.6734564688845867,0.1348857164599652,0.4226726615189274,0.002603972973105616
Resolving-Mac,Inhba,Acvr1c,Resolving-Mac,1.0,11.353136655110301,0.03699560893550073,0.3333333333333333,0.3367282344422933,0.0640672545758485,3.822921661257377,0.002370207095859261
Resolving-Mac,Rtn4,Tnfrsf19,Resolving-Mac,1.0,4031.404533975168,0.2181709917273758,0.3333333333333333,0.3367282344422933,0.01075780677388073,1357.487731048114,0.00234704137266904
Resolving-Mac,Efna3,Epha1,Resolving-Mac,0.3333333333333333,0.3367282344422933,0.01137677094371548,1.0,273.5306016980877,0.1945278223082866,92.10547657573521,0.0022130984765811627
Resolving-Mac,Adm,Mrgprb1,Resolving-Mac,0.3333333333333333,0.9414253505181532,0.001852834649817513,0.3333333333333333,0.3367282344422933,1.0,0.3170044961391949,0.001852834649817513
