Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
ECs,Snca,Lag3,Inflammatory-Mac,0.3333333333333333,0.3316787169437017,1.0,1.0,307.9038793480137,0.2130508769362627,102.1251636441375,0.2130508769362627
ECs,Adam28,Itga4,Inflammatory-Mac,0.3333333333333333,1.658393584718507,0.3519606132557352,1.0,8395.849702370533,0.4988968043152779,13923.62328467207,0.1755920251981318
ECs,Nmu,Nmur1,Inflammatory-Mac,0.3333333333333333,2.28745995711016,0.5301826305303775,0.6666666666666666,4.71298843286666,0.2789419044528669,10.78077231850585,0.1478901526679742
ECs,Efna1,Epha5,Inflammatory-Mac,1.0,448.36929190840766,0.8403655720907295,1.0,1.320046557979161,0.1266291388247925,591.8683404872472,0.1064147686918531
ECs,Shh,Gpc5,Inflammatory-Mac,0.6666666666666666,2.7878037590412497,0.301697476197362,0.3333333333333333,1.409579065354777,0.2966029492896664,3.929629817061898,0.08948436123338649
ECs,Shh,Lrp2,Inflammatory-Mac,0.6666666666666666,2.7878037590412497,0.301697476197362,0.6666666666666666,1.599877842968843,0.2371076943277738,4.460145464635348,0.07153479296566492
ECs,Efna3,Epha5,Inflammatory-Mac,1.0,9.3382361500937,0.5622542589480161,1.0,1.320046557979161,0.1266291388247925,12.32690648752776,0.07119777261115913
ECs,Efna4,Epha5,Inflammatory-Mac,1.0,27.71100096480911,0.4101470324080237,1.0,1.320046557979161,0.1266291388247925,36.579811441753456,0.0519365655053723
ECs,Serpine1,Lrp2,Inflammatory-Mac,1.0,1468.6944459053132,0.2076280576461584,0.6666666666666666,1.599877842968843,0.2371076943277738,2349.7317020953133,0.04923021002623472
ECs,Adm,Mrgprb1,Inflammatory-Mac,1.0,203.1093931651823,0.3441354618255215,0.3333333333333333,0.6237415383150766,0.1298086060761141,126.68776533909252,0.044671744600930735
ECs,Lpl,Lrp2,Inflammatory-Mac,1.0,2655.6377950213573,0.1583381389278347,0.6666666666666666,1.599877842968843,0.2371076943277738,4248.696067205304,0.0375431910453296
ECs,Shh,Ptch2,Inflammatory-Mac,0.6666666666666666,2.7878037590412497,0.301697476197362,1.0,93.84802126582764,0.1183737178243124,261.62986646345746,0.03571305191569374
ECs,Plau,Lrp2,Inflammatory-Mac,1.0,1492.067567586483,0.1494065020123141,0.6666666666666666,1.599877842968843,0.2371076943277738,2387.125841594032,0.03542543120971768
ECs,Tg,Lrp2,Inflammatory-Mac,1.0,19.42107053374764,0.1477597039144126,0.6666666666666666,1.599877842968843,0.2371076943277738,31.07134043367794,0.035034962709700884
ECs,Hsp90aa1,Cftr,Inflammatory-Mac,1.0,3319.172363738213,0.1314543429029179,0.3333333333333333,0.3523947663386933,0.2548583933979359,1169.658969557376,0.03350224263741899
ECs,Lrpap1,Lrp2,Inflammatory-Mac,1.0,296.0002996061243,0.1288748482688273,0.6666666666666666,1.599877842968843,0.2371076943277738,473.56432085197747,0.030557218129863336
ECs,Cdh1,Itgb7,Inflammatory-Mac,0.3333333333333333,2.6534297355496133,0.04966098764006401,1.0,457.9142141034266,0.5754865283462379,1215.043192032864,0.028579229371225867
ECs,Efna2,Epha5,Inflammatory-Mac,1.0,78.37035503554691,0.2182026523838648,1.0,1.320046557979161,0.1266291388247925,103.4525174122785,0.02763081396065436
ECs,Efna5,Epha5,Inflammatory-Mac,1.0,22.86053313238594,0.2065771227698027,1.0,1.320046557979161,0.1266291388247925,30.176968074974624,0.02615868315724354
ECs,Cgn,F11r,Inflammatory-Mac,0.6666666666666666,2.302156126322623,0.1699939655849422,1.0,318.58442047548164,0.15212338273211,733.4310753485727,0.0258600570888273
ECs,Shh,Ptch1,Inflammatory-Mac,0.6666666666666666,2.7878037590412497,0.301697476197362,1.0,96.36322101148498,0.06483449481179658,268.6417497691406,0.01956040345524999
ECs,Gnai2,Lhcgr,Inflammatory-Mac,1.0,5343.44841183303,0.3123379957178902,0.3333333333333333,1.3115620449658631,0.05361010742592918,7008.264126193323,0.0167444735036355
ECs,Lcn2,Lrp2,Inflammatory-Mac,0.6666666666666666,3.9458535418286655,0.06773654189212716,0.6666666666666666,1.599877842968843,0.2371076943277738,6.312883653171817,0.01606085526977893
ECs,Scgb1a1,Lrp2,Inflammatory-Mac,0.6666666666666666,2.016947106360536,0.06747501519808727,0.6666666666666666,1.599877842968843,0.2371076943277738,3.2268689859063464,0.01599884527834997
ECs,Slamf1,Slamf1,Inflammatory-Mac,0.3333333333333333,1.326714867774807,0.08055532152641423,1.0,3.01699213739425,0.1831853833658173,4.002688324640643,0.014756557455972869
ECs,Gnas,Lhcgr,Inflammatory-Mac,1.0,356.62189444205626,0.2519779111153657,0.3333333333333333,1.3115620449658631,0.05361010742592918,467.7317411540236,0.01350856288385599
ECs,Agt,Lrp2,Inflammatory-Mac,1.0,6.318836636104624,0.05575082175007747,0.6666666666666666,1.599877842968843,0.2371076943277738,10.10936672744357,0.01321894880203957
ECs,Guca2b,Gucy2e,Inflammatory-Mac,0.6666666666666666,4.992874498290068,0.3499396804224585,0.3333333333333333,0.3278905112414657,0.03555244109772202,1.637116171808807,0.01244120987597513
ECs,Tnfsf13,Tnfrsf17,Inflammatory-Mac,1.0,11.96717227028919,0.07775138185124886,0.3333333333333333,1.0571842990160831,0.1453982007045347,12.65150662777039,0.0113049110234628
ECs,Nrtn,Gfra2,Inflammatory-Mac,0.6666666666666666,2.4561250420975496,0.4100118722008283,0.6666666666666666,4.50008396804071,0.02653854305602849,11.0527689254465,0.01088111772388453
ECs,Cdh1,Itgae,Inflammatory-Mac,0.3333333333333333,2.6534297355496133,0.04966098764006401,1.0,25.706524707804494,0.2150008044308732,68.21045705732931,0.01067715229144541
ECs,Bmp3,Acvr2b,Inflammatory-Mac,0.3333333333333333,0.9950361508311032,0.0513607411404883,1.0,30.450701942874822,0.1867779855944542,30.299549251343368,0.009593055768858612
ECs,Wnt6,Fzd7,Inflammatory-Mac,0.3333333333333333,0.3316787169437017,0.03611809848709637,1.0,318.519628986668,0.2043010312150196,105.6461818636819,0.007378964766439423
ECs,Qrfp,Qrfpr,Inflammatory-Mac,1.0,9.911788109322345,0.06805824348297328,0.3333333333333333,1.0571842990160831,0.10388387417055,10.4785867643499,0.007070154002253847
ECs,Shh,Smo,Inflammatory-Mac,0.6666666666666666,2.7878037590412497,0.301697476197362,1.0,34.98937178070367,0.02121546315910799,97.54350217673752,0.006400651691460993
ECs,Tnfsf13b,Tnfrsf17,Inflammatory-Mac,1.0,11.826751105538248,0.04099255353970645,0.3333333333333333,1.0571842990160831,0.1453982007045347,12.503055577146153,0.005960243526957624
ECs,Il19,Il20rb,Inflammatory-Mac,0.6666666666666666,0.6902322385857316,0.07797679775395044,1.0,30.597589311971998,0.06577492761525662,21.11944256612929,0.005128918227935595
ECs,Hspg2,Col13a1,Inflammatory-Mac,1.0,42638.274475285136,0.5366963170199013,0.3333333333333333,0.3118707691575376,0.005761036575440518,13297.63145615738,0.0030919271122558712
ECs,Areg,Erbb3,Inflammatory-Mac,0.3333333333333333,1.6338999693644,0.032729034999271316,1.0,53.99863552167379,0.09401139074924936,88.22836892458223,0.003076902098162354
ECs,Cdh1,Igf1r,Inflammatory-Mac,0.3333333333333333,2.6534297355496133,0.04966098764006401,1.0,273.9926552320806,0.05213933926563572,727.0202587149962,0.002589291082831839
ECs,Tnfsf14,Tnfrsf14,Inflammatory-Mac,0.6666666666666666,0.6853335155149103,0.005876453837384616,1.0,418.29802263530127,0.4314546545346445,286.67365438558664,0.002535423360297565
ECs,Cd34,Sele,Inflammatory-Mac,1.0,8005.990751108719,0.7582162427272411,0.6666666666666666,2.304667375646233,0.003019866288270641,18451.14569380575,0.002289711670631225
ECs,Vip,Adcyap1r1,Inflammatory-Mac,1.0,37.92684025641656,1.0,0.3333333333333333,0.70478953267739,0.002266962637344845,26.730440020249855,0.002266962637344845
ECs,Nrtn,Ret,Inflammatory-Mac,0.6666666666666666,2.4561250420975496,0.4100118722008283,0.3333333333333333,2.623124089931723,0.005187061161268708,6.442720765810652,0.002126756657951985
ECs,Nid2,Col13a1,Inflammatory-Mac,1.0,2531.133689064847,0.3606956606987324,0.3333333333333333,0.3118707691575376,0.005761036575440518,789.3866104492093,0.00207798089388808
