Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Fgf6,Fgfr3,ECs,0.3333333333333333,0.3523947663386933,1.0,1.0,172.428135278108,0.5891687489932906,60.76277244154546,0.5891687489932906
Inflammatory-Mac,Bmp7,Eng,ECs,0.3333333333333333,1.0571842990160831,0.3551445470598164,1.0,9530.043199268655,0.7647613967824323,10075.01203921183,0.2716008398691294
Inflammatory-Mac,Galp,Galr1,ECs,0.3333333333333333,1.639452556207327,0.3425353464089759,1.0,4.6262883342727585,0.6417112775796736,7.584580235375612,0.2198087947603
Inflammatory-Mac,Gnrh1,Gnrhr,ECs,1.0,30.079439582624197,0.1613038072293066,0.3333333333333333,0.6633574338874033,1.0,19.95341985430078,0.1613038072293066
Inflammatory-Mac,Gm13306,Ccr10,ECs,0.3333333333333333,1.0571842990160831,0.5175797488417502,1.0,12.56270031114537,0.2733427452027325,13.281089522187347,0.1414766694097448
Inflammatory-Mac,Tnfsf13,Tnfrsf17,ECs,1.0,65.90901773877486,0.4282145430772164,0.3333333333333333,2.32175101860591,0.3193184205472998,153.0243290703155,0.1367367915508004
Inflammatory-Mac,Bmp7,Acvr2b,ECs,0.3333333333333333,1.0571842990160831,0.3551445470598164,1.0,51.47505196101613,0.3157367778150063,54.4186167242233,0.1121321949472363
Inflammatory-Mac,Fgf6,Fgfr2,ECs,0.3333333333333333,0.3523947663386933,1.0,1.0,22.587502747909713,0.106291627410706,7.959717753024234,0.106291627410706
Inflammatory-Mac,Bmp7,Bmpr2,ECs,0.3333333333333333,1.0571842990160831,0.3551445470598164,1.0,6960.688698736512,0.2803739095412106,7358.730802642931,0.09957326511140313
Inflammatory-Mac,Fgf6,Fgfr1,ECs,0.3333333333333333,0.3523947663386933,1.0,1.0,466.25375521229563,0.07500713634325383,164.3053831225752,0.07500713634325383
Inflammatory-Mac,Bmp7,Acvr2a,ECs,0.3333333333333333,1.0571842990160831,0.3551445470598164,1.0,1006.3535092445959,0.1965686310352735,1063.9011292331234,0.06981027743519036
Inflammatory-Mac,Tnfsf13b,Tnfrsf17,ECs,1.0,58.73788861603686,0.2035906583655649,0.3333333333333333,2.32175101860591,0.3193184205472998,136.3747527250441,0.06501024746747709
Inflammatory-Mac,Bmp7,Acvr1,ECs,0.3333333333333333,1.0571842990160831,0.3551445470598164,1.0,417.915289775659,0.1741152628554296,441.8134826695834,0.06183608616299241
Inflammatory-Mac,Proc,Tek,ECs,0.3333333333333333,1.0571842990160831,0.04297534399960939,1.0,4405.057259254623,0.9208808704607953,4656.957370750808,0.0395751721907124
Inflammatory-Mac,Il2,Il2rg,ECs,0.6666666666666666,1.623432814123401,0.1559677223371316,1.0,621.4682275670383,0.2352786356397656,1008.911913567439,0.03669587291532212
Inflammatory-Mac,Mepe,Phex,ECs,0.3333333333333333,0.3523947663386933,1.0,0.6666666666666666,4.584717360361969,0.035929012666179067,1.6156304029337067,0.035929012666179067
Inflammatory-Mac,Cga,Lhcgr,ECs,0.3333333333333333,0.3118707691575376,0.1584626364086394,0.6666666666666666,5.387347540811814,0.2202078670332778,1.6801562212719492,0.03489471916801632
Inflammatory-Mac,Omg,Lingo1,ECs,1.0,136.9092867002537,0.2860576046262381,1.0,3.663025711210805,0.1186178189997744,501.5022372865606,0.03393152916906415
Inflammatory-Mac,Proc,Thbd,ECs,0.3333333333333333,1.0571842990160831,0.04297534399960939,1.0,2219.775638569577,0.633064431266667,2346.711952434157,0.02720616170760209
Inflammatory-Mac,Proc,Procr,ECs,0.3333333333333333,1.0571842990160831,0.04297534399960939,1.0,199.42639589009326,0.5979648635679191,210.83045454437232,0.02569774571151082
Inflammatory-Mac,Bmp7,Bmpr1a,ECs,0.3333333333333333,1.0571842990160831,0.3551445470598164,1.0,344.4086705748193,0.07103964799091718,364.1034389767017,0.02522934360902307
Inflammatory-Mac,Galp,Galr3,ECs,0.3333333333333333,1.639452556207327,0.3425353464089759,0.3333333333333333,0.3267799938728803,0.06249677988976175,0.5357402962723082,0.02140735614898506
Inflammatory-Mac,Rtn4,Lingo1,ECs,1.0,3090.67126618544,0.1583391019760794,1.0,3.663025711210805,0.1186178189997744,11321.20831293772,0.0187818389387854
Inflammatory-Mac,Slamf1,Slamf1,ECs,1.0,3.01699213739425,0.1831853833658173,0.3333333333333333,1.326714867774807,0.08055532152641423,4.002688324640643,0.014756557455972869
Inflammatory-Mac,Fgf6,Fgfr4,ECs,0.3333333333333333,0.3523947663386933,1.0,1.0,28.50498211730577,0.014592495401534109,10.045006512716599,0.014592495401534109
Inflammatory-Mac,Nmb,Nmbr,ECs,1.0,15.21681715743487,0.1317543097964188,0.3333333333333333,0.6633574338874033,0.1083782607917843,10.09418878148981,0.01427930294755782
Inflammatory-Mac,Aanat,Mtnr1a,ECs,1.0,56.03371653174283,0.2626715506199981,0.3333333333333333,0.6633574338874033,0.05192368677860239,37.17038240967109,0.013638875320042591
Inflammatory-Mac,Bmp7,Bmpr1b,ECs,0.3333333333333333,1.0571842990160831,0.3551445470598164,0.6666666666666666,4.92619352344731,0.03477467941651295,5.207894446903214,0.01235003777052781
Inflammatory-Mac,Gal,Galr1,ECs,1.0,17.50641407493983,0.01911135833906636,1.0,4.6262883342727585,0.6417112775796736,80.98971920984259,0.01226397417604522
Inflammatory-Mac,Il2,Il2ra,ECs,0.6666666666666666,1.623432814123401,0.1559677223371316,0.6666666666666666,7.233248372840746,0.07746655047501735,11.742692761174359,0.0120822814349029
Inflammatory-Mac,Gnai2,Mtnr1a,ECs,1.0,3752.117017577577,0.2193206743371827,0.3333333333333333,0.6633574338874033,0.05192368677860239,2488.9947164255177,0.01138793799835573
Inflammatory-Mac,Calr,Mtnr1a,ECs,1.0,3979.992267795979,0.2071697757636891,0.3333333333333333,0.6633574338874033,0.05192368677860239,2640.1574576568482,0.01075701854674709
