Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Tnfsf13,Tnfrsf17,ECs,1.0,62.97706088223794,0.4091654567955763,0.3333333333333333,2.32175101860591,0.3193184205472998,146.2170552521423,0.1306540674064778
M2,Ifng,Ifngr1,ECs,0.6666666666666666,2.799443852049874,0.4207139605617646,1.0,1692.23955199079,0.2046599679708815,4737.32961001625,0.0861033056934734
M2,Adm2,Ramp2,ECs,0.3333333333333333,0.3584828448539933,0.1053666808927799,1.0,928.9570590343837,0.7906841610842292,333.0151692698449,0.0833117656879373
M2,Tnfsf13b,Tnfrsf17,ECs,1.0,65.72272627361528,0.2278007164862908,0.3333333333333333,2.32175101860591,0.3193184205472998,152.59180667132358,0.0727409649879456
M2,Gnrh1,Gnrhr,ECs,1.0,13.155229556462881,0.0705461485279387,0.3333333333333333,0.6633574338874033,1.0,8.72661932077494,0.0705461485279387
M2,Lep,Lepr,ECs,0.3333333333333333,0.290063938071914,0.0840785636115463,1.0,493.4364721169936,0.8250663066054057,143.1281262905674,0.0693703899436662
M2,Il1f6,Il1rl2,ECs,0.3333333333333333,0.5801278761438267,1.0,1.0,83.2226720247037,0.0682894763402882,48.27979196870562,0.0682894763402882
M2,Adm2,Calcrl,ECs,0.3333333333333333,0.3584828448539933,0.1053666808927799,1.0,3168.441957384693,0.6300965537326355,1135.83208663802,0.0663911825087869
M2,Slamf1,Slamf1,ECs,1.0,12.12590471799655,0.7362592951077684,0.3333333333333333,1.326714867774807,0.0805553215264142,16.0876180745867,0.0593096042442173
M2,Tac1,Tacr1,ECs,0.3333333333333333,4.301794138247933,0.0592784766817608,1.0,31.31476195797454,0.9694933391219932,134.7096594314442,0.0574700882962655
M2,Adm2,Ramp3,ECs,0.3333333333333333,0.3584828448539933,0.1053666808927799,1.0,12.691559225988309,0.461332999773831,4.549706256965234,0.0486091269724781
M2,Insl5,Rxfp4,ECs,0.3333333333333333,1.45031969035957,0.1606782075444989,1.0,97.7012630529036,0.2818000300492444,141.698065578626,0.0452791237142985
M2,Tac1,Tacr2,ECs,0.3333333333333333,4.301794138247933,0.0592784766817608,0.6666666666666666,6.2333134989388395,0.5454399099156293,26.81443147159682,0.0323328469812353
M2,Ifng,Ifngr2,ECs,0.6666666666666666,2.799443852049874,0.4207139605617646,1.0,428.26635980354865,0.0725633503554923,1198.907627991824,0.0305284145196901
M2,Rtn4,Lingo1,ECs,1.0,3870.326917219254,0.1982818733040808,1.0,3.663025711210805,0.1186178189997744,14177.107008565381,0.0235197633585196
M2,Omg,Lingo1,ECs,1.0,89.85259194864885,0.1877375731170301,1.0,3.663025711210805,0.1186178189997744,329.1323545268338,0.0222690214674527
M2,Aanat,Mtnr1a,ECs,1.0,75.09554493396081,0.3520284652416881,0.3333333333333333,0.6633574338874033,0.0519236867786023,49.81518798376843,0.0182786157663615
M2,Il5,Il5ra,ECs,0.3333333333333333,0.3421140421023367,0.0613557716154182,0.6666666666666666,2.42925023739922,0.2942937214863813,0.8310806179947081,0.0180566183633699
M2,Ahsg,Insr,ECs,0.3333333333333333,0.5801278761438267,0.040415132847616,1.0,2187.87630316378,0.3917671673870931,1269.248033019811,0.0158333221152835
M2,Gal,Galr1,ECs,1.0,21.78276336751959,0.0237797526409294,1.0,4.626288334272759,0.6417112775796736,100.77334405537991,0.0152597354477394
M2,Adm2,Calcr,ECs,0.3333333333333333,0.3584828448539933,0.1053666808927799,1.0,8.097660805062576,0.1379271876723227,2.9028724820615093,0.0145329299699081
M2,Ngf,Sorcs3,ECs,0.3333333333333333,1.1602557522876569,0.0134761520779457,0.3333333333333333,0.65355998774576,1.0,0.7582967352470684,0.0134761520779457
M2,Gnai2,Mtnr1a,ECs,1.0,3995.12420304969,0.2335250553671042,0.3333333333333333,0.6633574338874033,0.0519236867786023,2650.1953393965,0.0121254818298373
M2,Il5,Csf2rb,ECs,0.3333333333333333,0.3421140421023367,0.0613557716154182,1.0,1512.962664780556,0.1897391282642485,517.6057727979988,0.0116415906202897
M2,Calr,Mtnr1a,ECs,1.0,4208.749353693133,0.2190772245728578,0.3333333333333333,0.6633574338874033,0.0519236867786023,2791.905171141144,0.0113752971890466
M2,Nmb,Nmbr,ECs,1.0,11.898411311539713,0.1030220021576497,0.3333333333333333,0.6633574338874033,0.1083782607917843,7.892899594959833,0.0111653454171335
M2,F12,Gp1ba,ECs,0.3333333333333333,1.792414224269973,0.0465722079434189,1.0,105.8304380418894,0.2260432289367534,189.69198250700458,0.0105273322622443
M2,Gnai2,Lpar3,ECs,1.0,3995.12420304969,0.2335250553671042,0.6666666666666666,2.9557161140683834,0.0373889176580316,11808.45298465858,0.0087312490662079
M2,Tdgf1,Acvr2a,ECs,0.3333333333333333,0.3584828448539933,0.0426320934523029,1.0,1006.3535092445959,0.1965686310352734,360.76046892280215,0.008380132248087
M2,Tdgf1,Acvr1b,ECs,0.3333333333333333,0.3584828448539933,0.0426320934523029,1.0,276.273659085252,0.1860858284152174,99.03936726710344,0.0079332284271467
M2,Guca2b,Gucy2e,ECs,0.6666666666666666,2.424611712636157,0.16993574506209302,0.3333333333333333,0.3316787169437017,0.0359631878423743,0.8041921019338316,0.0061114311208018
M2,Insl5,Rxfp3,ECs,0.3333333333333333,1.45031969035957,0.1606782075444989,0.6666666666666666,1.321816144703984,0.0234808719220818,1.9170559816993618,0.003772864412022
M2,Ccl28,Ccr10,ECs,0.3333333333333333,0.290063938071914,0.007721105940774999,1.0,12.56270031114537,0.2733427452027325,3.6439863250680853,0.0021105082938525
M2,Efna5,Ephb1,ECs,0.3333333333333333,0.3421140421023367,0.0030914823406514,1.0,145.20354802089702,0.6605552849201347,49.676172741029845,0.0020420949983545
M2,Efna5,Epha2,ECs,0.3333333333333333,0.3421140421023367,0.0030914823406514,1.0,892.5813324529813,0.5004153986154279,305.36460755057897,0.0015470253678096
M2,Gal,Galr3,ECs,1.0,21.78276336751959,0.0237797526409294,0.3333333333333333,0.3267799938728803,0.0624967798897617,7.118171279772452,0.0014861579666331
M2,L1cam,Ptprz1,ECs,1.0,226.8962298783547,0.1870351804641374,0.3333333333333333,0.6633574338874033,0.0079001220042393,150.51330081083168,0.0014776007447516
M2,Efna5,Epha4,ECs,0.3333333333333333,0.3421140421023367,0.0030914823406514,1.0,535.5812052440326,0.4734876110540688,183.22985100007716,0.0014637785880908
M2,Mdk,Ptprz1,ECs,1.0,46.40206230942047,0.1507061987025689,0.3333333333333333,0.6633574338874033,0.0079001220042393,30.781152980660554,0.0011905973565454
M2,Rspo3,Fzd8,ECs,0.3333333333333333,0.6842280842046734,0.0043538696976452,1.0,210.206178030585,0.2373508167903628,143.8289704818537,0.0010333945289349
M2,Ngf,Ntrk1,ECs,0.3333333333333333,1.1602557522876569,0.0134761520779457,0.6666666666666666,0.658458710816582,0.0602123018919024,0.763980506868854,0.0008114301372584
M2,Epha4,Efnb1,ECs,0.6666666666666666,1.8965339405227533,0.0016766557825193,1.0,402.1497443433573,0.4195300270684282,762.6906393197254,0.0007034074458247
M2,Efna5,Epha1,ECs,0.3333333333333333,0.3421140421023367,0.0030914823406514,1.0,284.6488533096337,0.2104503405105385,97.38236978555388,0.0006506035112724
M2,Rspo3,Lrp6,ECs,0.3333333333333333,0.6842280842046734,0.0043538696976452,1.0,1422.7761649717731,0.1328894451852839,973.5034096107088,0.0005785833285291
M2,Slit2,Robo4,ECs,0.3333333333333333,0.290063938071914,0.000512170428735,1.0,2507.256572481683,0.9881936982259518,727.2647151707263,0.0005061235900936
M2,Gdnf,Ret,ECs,0.3333333333333333,0.3421140421023367,0.0014367104799333,1.0,165.3912891794574,0.3270507620313362,56.58268246970064,0.0004698772572806
M2,Ngf,Sort1,ECs,0.3333333333333333,1.1602557522876569,0.0134761520779457,1.0,55.73699897623342,0.0341683763345874,64.66917367742607,0.0004604582357413
M2,Adm2,Ramp1,ECs,0.3333333333333333,0.3584828448539933,0.1053666808927799,0.6666666666666666,1.321816144703984,0.0040795854971914,0.4738484119274218,0.0004298523832573
M2,Slit2,Robo2,ECs,0.3333333333333333,0.290063938071914,0.000512170428735,1.0,74.56329419908516,0.8382585587082186,21.62812275100134,0.0004293312454044
M2,Efna5,Epha7,ECs,0.3333333333333333,0.3421140421023367,0.0030914823406514,0.6666666666666666,9.48641726845517,0.1296205451252868,3.2454365567806067,0.0004007196262404
M2,Rspo3,Lgr4,ECs,0.3333333333333333,0.6842280842046734,0.0043538696976452,1.0,67.49292311381834,0.0821039430978617,46.180553479541246,0.0003574698699109
M2,Rspo3,Lgr5,ECs,0.3333333333333333,0.6842280842046734,0.0043538696976452,1.0,39.19014441303543,0.0740407217807228,26.81499743143571,0.0003223636549528
M2,Ngf,Ngfr,ECs,0.3333333333333333,1.1602557522876569,0.0134761520779457,1.0,6.150924281077496,0.0232168952656347,7.1366452790059824,0.0003128744113774
M2,Col4a5,Cd93,ECs,0.3333333333333333,0.3421140421023367,0.0004694513585724,1.0,19839.18541545897,0.6117808086346396,6787.263914500393,0.0002872013317621
M2,Il34,Ptprz1,ECs,1.0,9.545181709653006,0.0321204863970014,0.3333333333333333,0.6633574338874033,0.0079001220042393,6.3318672449043945,0.0002537557613718
M2,Bdnf,Sort1,ECs,0.3333333333333333,0.290063938071914,0.0072535522027532,1.0,55.73699897623342,0.0341683763345874,16.16729341935651,0.0002478421014262
M2,Bdnf,Ngfr,ECs,0.3333333333333333,0.290063938071914,0.0072535522027532,1.0,6.150924281077496,0.0232168952656347,1.7841613197514952,0.0001684049617951
M2,Slit2,App,ECs,0.3333333333333333,0.290063938071914,0.000512170428735,1.0,7554.737026138943,0.2707594359749025,2191.356772899562,0.0001386749764073
