Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Ngf,Sorcs3,ECs,1.0,47.9781607491127,0.5572573024528057,0.3333333333333333,0.65355998774576,1.0,31.35660615125419,0.5572573024528057
MuSCs,Gal,Galr1,ECs,1.0,782.891879495114,0.8546654492306531,1.0,4.6262883342727585,0.6417112775796736,3621.883569105122,0.5484484573290079
MuSCs,Fgf23,Fgfr3,ECs,1.0,2.374293378509285,0.3948424472883258,1.0,172.428135278108,0.5891687489932906,409.394979859515,0.2326288307183122
MuSCs,Gnrh1,Gnrhr,ECs,1.0,27.13229817574645,0.1454994858732954,0.3333333333333333,0.6633574338874033,1.0,17.99841169333104,0.1454994858732954
MuSCs,Nell2,Robo3,ECs,0.5,0.5151566696447301,0.1244864347891397,1.0,237.1069118607973,0.9889931294966262,122.14720706395492,0.1231162287219889
MuSCs,Il19,Il20rb,ECs,0.5,1.23942447257637,0.1400200483643161,1.0,251.2329578621187,0.5400696587388327,311.3842762920579,0.07562057973671106
MuSCs,Galp,Galr1,ECs,0.5,0.5151566696447301,0.1076331044918245,1.0,4.6262883342727585,0.6417112775796736,2.3832632911002207,0.0690693769933152
MuSCs,Fgf23,Kl,ECs,1.0,2.374293378509285,0.3948424472883258,1.0,4.372852842079817,0.1684087893751572,10.382435548145619,0.06649493854175123
MuSCs,Gal,Galr3,ECs,1.0,782.891879495114,0.8546654492306531,0.3333333333333333,0.3267799938728803,0.06249677988976175,255.8334035845411,0.053413838459952484
MuSCs,Fgf23,Fgfr2,ECs,1.0,2.374293378509285,0.3948424472883258,1.0,22.587502747909713,0.106291627410706,53.62935821142231,0.04196844629310203
MuSCs,Rtn4,Lingo1,ECs,1.0,6512.125256457745,0.3336246324041754,1.0,3.663025711210805,0.1186178189997744,23854.08224902998,0.03957382626038475
MuSCs,Il27,Il27ra,ECs,1.0,6.092566796238381,0.06844583056468707,1.0,66.93958243245083,0.4820553268466645,407.833877282012,0.032994677224151635
MuSCs,Tnfsf13b,Tnfrsf17,ECs,1.0,28.5884549451823,0.09909008480013462,0.3333333333333333,2.32175101860591,0.3193184205472998,66.37527438934617,0.03164128937027698
MuSCs,Fgf23,Fgfr1,ECs,1.0,2.374293378509285,0.3948424472883258,1.0,466.25375521229563,0.07500713634325383,1107.023203705643,0.029616001277859464
MuSCs,Ahsg,Insr,ECs,0.5,1.030313339289455,0.07177771004358817,1.0,2187.87630316378,0.3917671673870931,2254.1981398649427,0.02812015014530863
