Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Alb,Lrp2,MuSCs,1.0,6.2864356023801875,0.9485718584624367,0.5,4.121253357157825,0.6107846830624051,25.907993830865824,0.579373161932896
MuSCs,Fgf23,Fgfr4,MuSCs,1.0,2.374293378509285,0.3948424472883258,1.0,1900.687743410855,0.9730150694827614,4512.790323794146,0.3841876512829939
MuSCs,Tac2,Tacr3,MuSCs,0.5,1.859136708864555,0.3006821715164255,1.0,4.9500767267329255,1.0,9.20286935436528,0.3006821715164255
MuSCs,Fgf23,Kl,MuSCs,1.0,2.374293378509285,0.3948424472883258,1.0,15.992720249704199,0.6159170576586912,37.97140979322405,0.2431901983725825
MuSCs,Hsp90aa1,Cftr,MuSCs,1.0,7845.510247406244,0.3107179384770987,0.5,1.030313339289455,0.7451416066020642,8083.333861434766,0.2315288638769066
MuSCs,Fgf23,Fgfr1,MuSCs,1.0,2.374293378509285,0.3948424472883258,1.0,1894.85429617608,0.3048288468565055,4498.940008650738,0.1203593678969009
MuSCs,Fgf23,Fgfr3,MuSCs,1.0,2.374293378509285,0.3948424472883258,1.0,52.28566174883974,0.1786545906395438,124.14150048124641,0.07054041578741149
MuSCs,Shh,Gpc5,MuSCs,0.5,0.5151566696447301,0.05575050488184436,1.0,2.6803389148671,0.5639956259178361,1.380794468902105,0.03144304089607119
MuSCs,Fgf23,Fgfr2,MuSCs,1.0,2.374293378509285,0.3948424472883258,1.0,13.92447240755275,0.06552538585396385,33.06078263648774,0.02587220371009093
MuSCs,Galp,Galr2,MuSCs,0.5,0.5151566696447301,0.1076331044918245,1.0,22.5928225520148,0.2132275398479508,11.638843223770301,0.02295034207698916
MuSCs,Insl3,Rxfp2,MuSCs,0.5,0.6197122362881851,0.032060300149260264,0.5,1.859136708864555,0.6516710609501228,1.15212976741591,0.02089276981264781
MuSCs,Il19,Il20rb,MuSCs,0.5,1.23942447257637,0.1400200483643161,1.0,47.95529725839504,0.103088389538743,59.436969011729325,0.01443444128901425
MuSCs,Gdf15,Gfral,MuSCs,1.0,71.01969022199181,0.04465687758004055,1.0,4.1288745207303785,0.3132599464725468,293.2313894277465,0.01398921108035458
MuSCs,Ccl12,Ccr4,MuSCs,0.5,15.4928059072046,0.01927597240014599,1.0,28.677768184680648,0.5367806077417964,444.2990963370646,0.01034696817976446
MuSCs,Ahsg,Insr,MuSCs,0.5,1.030313339289455,0.07177771004358817,1.0,695.651775846158,0.1245653263472679,716.7393041546944,0.008941013876039126
MuSCs,Il27,Il27ra,MuSCs,1.0,6.092566796238381,0.06844583056468707,1.0,7.219814538598751,0.05199240764145137,43.987202332865884,0.0035586635240769217
MuSCs,Ccl12,Ackr4,MuSCs,0.5,15.4928059072046,0.01927597240014599,1.0,14.238139107483153,0.1843785009938463,220.5887256720158,0.003554074896337671
MuSCs,B2m,Gm11127,MuSCs,1.0,4287.93693476336,0.02791901184739449,0.5,1.859136708864555,0.1200243030295706,7971.86096071472,0.003350959938257848
MuSCs,Matn1,Itgb1,MuSCs,0.5,0.6197122362881851,0.014454149576533931,1.0,5813.88339666613,0.1973964461016056,3602.934681266717,0.002853197757828825
MuSCs,Ccl12,Ccr10,MuSCs,0.5,15.4928059072046,0.01927597240014599,1.0,5.875834499378924,0.1278480495942616,91.03316344173443,0.002464395475391482
MuSCs,Matn1,Itga1,MuSCs,0.5,0.6197122362881851,0.014454149576533931,1.0,907.5476336752837,0.1200985837273373,562.4183736029605,0.001735922893124817
MuSCs,Adm,Ramp3,MuSCs,1.0,16.20183138299115,0.02745133860387448,0.5,1.23942447257637,0.045052573899345236,20.08094631663509,0.0012367534610870038
MuSCs,Il1rn,Il1r1,MuSCs,1.0,35.73419857142781,0.009911968879717226,1.0,943.2677889130204,0.1158475783056162,33706.91847504953,0.001148277590955872
MuSCs,Sele,Cd44,MuSCs,0.5,3.71827341772911,0.004872151471152946,1.0,6442.482428916175,0.2157996204270657,23954.911159625877,0.001051408438137976
MuSCs,Cd44,Sele,MuSCs,1.0,6442.482428916175,0.2157996204270657,0.5,3.71827341772911,0.004872151471152946,23954.911159625877,0.001051408438137976
MuSCs,Bsg,Sele,MuSCs,1.0,1096.9237981348301,0.1826121012457961,0.5,3.71827341772911,0.004872151471152946,4078.662599879192,0.0008897138177350367
MuSCs,Glg1,Sele,MuSCs,1.0,2401.65602511274,0.1713510208796604,0.5,3.71827341772911,0.004872151471152946,8930.013756705657,0.0008348481284623963
MuSCs,Il1rn,Il1r2,MuSCs,1.0,35.73419857142781,0.009911968879717226,1.0,20.62913027650675,0.07722167389330585,737.1654376565457,0.0007654188284701197
MuSCs,H2-M3,Klrc1,MuSCs,1.0,23.74293378509285,0.028536219723471267,0.5,0.6197122362881851,0.022927456646330183,14.713786592002187,0.0006542629405600398
MuSCs,H2-T23,Klrc1,MuSCs,1.0,115.5115521773797,0.02699261232282438,0.5,0.6197122362881851,0.022927456646330183,71.58392231696331,0.0006188719488027537
MuSCs,Serping1,Sele,MuSCs,1.0,1121.484594409094,0.06467055938335313,0.5,3.71827341772911,0.004872151471152946,4169.986355784048,0.0003150847610398879
MuSCs,Ccl12,Ccr5,MuSCs,0.5,15.4928059072046,0.01927597240014599,1.0,113.39971807716542,0.009229563252123568,1756.879822101244,0.00017790880651333559
MuSCs,Selplg,Sele,MuSCs,1.0,111.3598141659318,0.02717271765748298,0.5,3.71827341772911,0.004872151471152946,414.0662368164378,0.0001323895963101294
MuSCs,Anpep,Sele,MuSCs,1.0,229.20755390395803,0.01772119504387957,0.5,3.71827341772911,0.004872151471152946,852.2563548237991,8.634034650362613e-05
MuSCs,Ccl12,Ccr2,MuSCs,0.5,15.4928059072046,0.01927597240014599,0.5,58.2529502110895,0.0035723432344951546,902.5016511424627,6.886038959197686e-05
MuSCs,Ccl5,Ccr1,MuSCs,1.0,8.869840114176409,0.0203880447214011,0.5,4.337985654017294,0.003132868815849695,38.47723916872438,6.387306952382649e-05
MuSCs,Ccl12,Ccr1,MuSCs,0.5,15.4928059072046,0.01927597240014599,0.5,4.337985654017294,0.003132868815849695,67.20756976592793,6.0389092827596766e-05
MuSCs,Cd34,Sele,MuSCs,1.0,123.2312810584779,0.011670755290053791,0.5,3.71827341772911,0.004872151471152946,458.2075965924434,5.6861687555901587e-05
MuSCs,Ceacam1,Sele,MuSCs,1.0,21.7792415095848,0.01094226747290732,0.5,3.71827341772911,0.004872151471152946,80.98117476339158,5.331238456587445e-05
MuSCs,Ccl4,Ccr1,MuSCs,0.5,18.59136708864555,0.01246305202750578,0.5,4.337985654017294,0.003132868815849695,80.64908371911369,3.904510704728518e-05
