Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
MuSCs,Alb,Lrp2,Resolving-Mac,1.0,6.2864356023801875,0.9485718584624367,0.3333333333333333,1.02634212630701,0.1521076226098213,6.452033683038968,0.1442850102653012
MuSCs,Gal,Galr3,Resolving-Mac,1.0,782.891879495114,0.8546654492306531,0.3333333333333333,0.5801278761438267,0.1109496446021098,454.17740330174917,0.09482482784584352
MuSCs,Btla,Vtcn1,Resolving-Mac,1.0,36.42036055649665,0.1474450659418121,0.3333333333333333,1.1602557522876569,0.3767255762272947,42.256932836065715,0.05554632742880061
MuSCs,Col1a2,Gp6,Resolving-Mac,1.0,14171.697086027,0.09442470241982054,0.6666666666666666,5.171985952463674,0.4982559057164072,73295.81825150206,0.04704766562618992
MuSCs,Galp,Galr2,Resolving-Mac,0.5,0.5151566696447301,0.1076331044918245,1.0,31.94797181407973,0.3015199812845161,16.45821076164502,0.03245353165196928
MuSCs,Lgi1,Rtn4r,Resolving-Mac,0.5,2.47884894515274,0.6516710609501233,0.6666666666666666,0.9742920222765874,0.034318982048675915,2.4151227516910487,0.02236468744238887
MuSCs,Ccl17,Ackr2,Resolving-Mac,1.0,13.304760171264553,0.4196854689058895,0.3333333333333333,0.3584828448539933,0.04482601334664698,4.769528276295019,0.0188128264305692
MuSCs,Fgf23,Fgfr3,Resolving-Mac,1.0,2.374293378509285,0.3948424472883258,1.0,12.752253831195722,0.04357310612013781,30.27759183247765,0.01720451185642914
MuSCs,Gnas,Lhcgr,Resolving-Mac,1.0,398.165839943656,0.2813315676634623,0.3333333333333333,1.368456168409347,0.05593565510506213,544.8724997207847,0.015736465538989882
MuSCs,Prok1,Prokr2,Resolving-Mac,1.0,5.46523339637765,0.6740902687814561,0.6666666666666666,3.3795717281937034,0.023267829007215617,18.470148274377962,0.01568461710943493
MuSCs,Nlgn3,Nrxn1,Resolving-Mac,1.0,60.44647638722965,0.4123966802718152,0.3333333333333333,0.3421140421023367,0.0365286925168388,20.67958836767859,0.015064311528614219
MuSCs,Ahsg,Insr,Resolving-Mac,0.5,1.030313339289455,0.07177771004358817,1.0,1110.293440105663,0.1988122067822887,1143.9501418664431,0.014270284931545009
MuSCs,Il19,Il20rb,Resolving-Mac,0.5,1.23942447257637,0.1400200483643161,1.0,41.67911725374379,0.08959663104439865,51.658117919670076,0.012545324612116479
MuSCs,Galp,Galr3,Resolving-Mac,0.5,0.5151566696447301,0.1076331044918245,0.3333333333333333,0.5801278761438267,0.1109496446021098,0.2988567446423242,0.011941854690789679
MuSCs,Ccl12,Ccr3,Resolving-Mac,0.5,15.4928059072046,0.01927597240014599,1.0,19.43375132511742,0.6189473964920694,301.08333732892436,0.01193081293192335
MuSCs,Ccl25,Ackr2,Resolving-Mac,1.0,237.2692934159045,0.2604613634035791,0.3333333333333333,0.3584828448539933,0.04482601334664698,85.05697130023032,0.01167544455221471
MuSCs,Rtn4,Rtn4r,Resolving-Mac,1.0,6512.125256457745,0.3336246324041754,0.6666666666666666,0.9742920222765874,0.034318982048675915,6344.711685432658,0.011449657770475
MuSCs,Il23a,Il23r,Resolving-Mac,1.0,19.308013728004642,0.07566042272684388,0.3333333333333333,1.0754485345619829,0.1452375525417483,20.76477506908525,0.01098873462112088
MuSCs,Il1rapl1,Ptprf,Resolving-Mac,1.0,5.054632293376381,1.0,0.6666666666666666,4.545695363840324,0.009013433860939607,22.976818581918607,0.009013433860939607
MuSCs,Nxph3,Nrxn1,Resolving-Mac,1.0,11.02740119582622,0.2392467797114257,0.3333333333333333,0.3421140421023367,0.0365286925168388,3.77262879698825,0.008739372051722536
MuSCs,Ccl12,Ccr5,Resolving-Mac,0.5,15.4928059072046,0.01927597240014599,1.0,4892.594514783143,0.3982065503060253,75800.0172001891,0.007675818473256286
MuSCs,Nlgn2,Nrxn1,Resolving-Mac,1.0,387.615489599612,0.2097268021496992,0.3333333333333333,0.3421140421023367,0.0365286925168388,132.6087019283995,0.0076610458682662514
MuSCs,Omg,Rtn4r,Resolving-Mac,1.0,100.58511036145521,0.2101620454283645,0.6666666666666666,0.9742920222765874,0.034318982048675915,97.99927058497593,0.007212547464369052
