Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Ifng,Ifngr2,Inflammatory-Mac,0.6666666666666666,2.799443852049874,0.4207139605617646,1.0,2375.2548470778,0.4024515251002901,6649.39257870361,0.1693169750590655
Resolving-Mac,Apoe,Lrp2,Inflammatory-Mac,1.0,82372.81205806923,0.6751040804915681,0.6666666666666666,1.599877842968843,0.2371076943277738,131786.4368747417,0.1600723719566275
Resolving-Mac,Ifng,Ifngr1,Inflammatory-Mac,0.6666666666666666,2.799443852049874,0.4207139605617646,1.0,2781.08453580966,0.3363452126819316,7785.49000580333,0.1415051265434045
Resolving-Mac,Il1f6,Il1rl2,Inflammatory-Mac,0.3333333333333333,0.5801278761438267,1.0,1.0,106.10723787696129,0.08706771285090667,61.55576655304938,0.08706771285090667
Resolving-Mac,Lpl,Lrp2,Inflammatory-Mac,1.0,6065.874824815281,0.3616680454431974,0.6666666666666666,1.599877842968843,0.2371076943277738,9704.658730444482,0.08575427636706905
Resolving-Mac,Lrpap1,Lrp2,Inflammatory-Mac,1.0,666.0838564135394,0.29000462514340697,0.6666666666666666,1.599877842968843,0.2371076943277738,1065.652803435262,0.06876232801214356
Resolving-Mac,Plau,Lrp2,Inflammatory-Mac,1.0,2737.7103170828273,0.274137532967092,0.6666666666666666,1.599877842968843,0.2371076943277738,4380.002076768022,0.06500011837053124
Resolving-Mac,Tnfsf13,Tnfrsf17,Inflammatory-Mac,1.0,62.97706088223794,0.4091654567955763,0.3333333333333333,1.0571842990160831,0.1453982007045347,66.57835996288192,0.05949192120852584
Resolving-Mac,Adm2,Ramp1,Inflammatory-Mac,0.3333333333333333,0.3584828448539933,0.1053666808927799,1.0,160.77391658693898,0.4962043632638735,57.63469099640452,0.05228340680162958
Resolving-Mac,Tg,Lrp2,Inflammatory-Mac,1.0,28.636838500860033,0.2178752592746704,0.6666666666666666,1.599877842968843,0.2371076943277738,45.815443410203066,0.05165990037768301
Resolving-Mac,Scgb1a1,Lrp2,Inflammatory-Mac,0.6666666666666666,6.280211108912827,0.2100983901287005,0.6666666666666666,1.599877842968843,0.2371076943277738,10.04757060231642,0.04981594486539328
Resolving-Mac,Hsp90aa1,Cftr,Inflammatory-Mac,1.0,4092.03289787299,0.1620631400778446,0.3333333333333333,0.3523947663386933,0.2548583933979359,1442.0109768961981,0.04130315150926411
Resolving-Mac,Tnfsf13b,Tnfrsf17,Inflammatory-Mac,1.0,65.72272627361528,0.2278007164862908,0.3333333333333333,1.0571842990160831,0.1453982007045347,69.48103430499788,0.03312181429631052
Resolving-Mac,Qrfp,Qrfpr,Inflammatory-Mac,1.0,40.3984705234114,0.277391820012386,0.3333333333333333,1.0571842990160831,0.10388387417055,42.70862874161458,0.02881653692610655
Resolving-Mac,Il5,Csf2rb,Inflammatory-Mac,0.3333333333333333,0.3421140421023367,0.061355771615418275,1.0,3311.85694340102,0.4153366530481775,1133.032765771613,0.0254833008279362
Resolving-Mac,Adm2,Ramp3,Inflammatory-Mac,0.3333333333333333,0.3584828448539933,0.1053666808927799,1.0,5.94445176741288,0.2160783964397316,2.130983980679518,0.022767463445488783
Resolving-Mac,Cort,Mrgprb1,Inflammatory-Mac,0.6666666666666666,1.554419898420417,0.1471610132797982,0.3333333333333333,0.6237415383150766,0.1298086060761141,0.9695562586283156,0.01910276600259912
Resolving-Mac,Insl5,Rxfp4,Inflammatory-Mac,0.3333333333333333,1.45031969035957,0.1606782075444989,1.0,36.94813173316066,0.1065696011220469,53.58660297460217,0.017123412487022708
Resolving-Mac,Lcn2,Lrp2,Inflammatory-Mac,0.6666666666666666,3.160889900871253,0.054261454186548735,0.6666666666666666,1.599877842968843,0.2371076943277738,5.057037716467901,0.0128658082930447
Resolving-Mac,Gnai2,Lhcgr,Inflammatory-Mac,1.0,3995.124203049691,0.2335250553671043,0.3333333333333333,1.3115620449658631,0.05361010742592918,5239.853269644466,0.01251930330487652
Resolving-Mac,Efna2,Epha5,Inflammatory-Mac,1.0,34.18660028851286,0.09518403809140598,1.0,1.320046557979161,0.1266291388247925,45.127904039860795,0.01205307277338098
Resolving-Mac,Serpine1,Lrp2,Inflammatory-Mac,1.0,304.110578072985,0.04299184817576075,0.6666666666666666,1.599877842968843,0.2371076943277738,486.5397756714153,0.01019369799584434
Resolving-Mac,Il5,Il5ra,Inflammatory-Mac,0.3333333333333333,0.3421140421023367,0.061355771615418275,0.6666666666666666,1.3690550681736209,0.1658554169223669,0.4683729632335676,0.01017618708186872
Resolving-Mac,Tac1,Tacr2,Inflammatory-Mac,0.3333333333333333,4.301794138247933,0.05927847668176085,0.6666666666666666,1.93530358328094,0.169346818879534,8.325277610288168,0.01003862145408084
Resolving-Mac,Adm2,Calcrl,Inflammatory-Mac,0.3333333333333333,0.3584828448539933,0.1053666808927799,1.0,438.9439478930373,0.08729118998206098,157.353875172139,0.00919758295959084
Resolving-Mac,Tdgf1,Acvr1b,Inflammatory-Mac,0.3333333333333333,0.3584828448539933,0.04263209345230291,1.0,280.8884627260773,0.1891941578930253,100.69369520470907,0.008065743019925206
Resolving-Mac,Ahsg,Insr,Inflammatory-Mac,0.3333333333333333,0.5801278761438267,0.04041513284761603,1.0,980.9624989385943,0.1756538516215049,569.0836910859874,0.007099073748478554
Resolving-Mac,Guca2b,Gucy2e,Inflammatory-Mac,0.6666666666666666,2.424611712636157,0.16993574506209302,0.3333333333333333,0.3278905112414657,0.03555244109772202,0.7950071740183151,0.006041630566717568
Resolving-Mac,Gnas,Lhcgr,Inflammatory-Mac,1.0,159.0351226567257,0.11236925894220097,0.3333333333333333,1.3115620449658631,0.05361010742592918,208.58443069305198,0.00602412804326345
Resolving-Mac,F12,Gp1ba,Inflammatory-Mac,0.3333333333333333,1.792414224269973,0.04657220794341891,1.0,41.6697032810191,0.08900231779017806,74.68936888200783,0.004145034451570425
Resolving-Mac,Tdgf1,Acvr2a,Inflammatory-Mac,0.3333333333333333,0.3584828448539933,0.04263209345230291,1.0,487.14622514034795,0.09515311042311404,174.63356464819591,0.004056576295835496
Resolving-Mac,Ngf,Sort1,Inflammatory-Mac,0.3333333333333333,1.1602557522876569,0.01347615207794575,1.0,455.829507840998,0.2794365404381069,528.8788085349695,0.0037657293150789657
Resolving-Mac,Agt,Lrp2,Inflammatory-Mac,0.6666666666666666,1.6555764107058102,0.01460707891061933,0.6666666666666666,1.599877842968843,0.2371076943277738,2.648720016830111,0.0034634508013607988
Resolving-Mac,Efna4,Epha5,Inflammatory-Mac,0.6666666666666666,1.658520106481261,0.024547547045528192,1.0,1.320046557979161,0.1266291388247925,2.18932375789982,0.003108434742636314
Resolving-Mac,Ccl28,Ccr3,Inflammatory-Mac,0.3333333333333333,0.2900639380719141,0.007721105940775092,1.0,11.9643148680028,0.3810526035079306,3.4704162869452437,0.002942147520692899
Resolving-Mac,Rtn4,Rtn4r,Inflammatory-Mac,1.0,3870.326917219254,0.1982818733040808,0.3333333333333333,0.3278905112414657,0.01154979032152282,1269.043471558627,0.002290114061220887
Resolving-Mac,Omg,Rtn4r,Inflammatory-Mac,1.0,89.85259194864884,0.1877375731170301,0.3333333333333333,0.3278905112414657,0.01154979032152282,29.46181231041328,0.002168329604973257
Resolving-Mac,Ucn2,Crhr2,Inflammatory-Mac,1.0,6.573218742760191,0.2482765681306298,0.3333333333333333,0.3523947663386933,0.008623146280404755,2.316367882948096,0.0021409251649872982
Resolving-Mac,Bdnf,Sort1,Inflammatory-Mac,0.3333333333333333,0.2900639380719141,0.007253552202753234,1.0,455.829507840998,0.2794365404381069,132.2197021337423,0.002026907533424573
Resolving-Mac,Selplg,Sele,Inflammatory-Mac,1.0,1902.20789433246,0.4641544925848491,0.6666666666666666,2.304667375646233,0.003019866288270641,4383.956475764739,0.001401684504706351
Resolving-Mac,Ccl28,Ackr2,Inflammatory-Mac,0.3333333333333333,0.2900639380719141,0.007721105940775092,0.3333333333333333,1.409579065354777,0.1762589504735781,0.4088680547205345,0.001360914029616327
Resolving-Mac,Ngf,Ngfr,Inflammatory-Mac,0.3333333333333333,1.1602557522876569,0.01347615207794575,1.0,24.969735250467,0.09424920575012634,28.9712789574542,0.0012701166299143019
Resolving-Mac,Anpep,Sele,Inflammatory-Mac,1.0,5096.9853623377385,0.3940737126824095,0.6666666666666666,2.304667375646233,0.003019866288270641,11746.855878726179,0.001190049920023259
Resolving-Mac,Cd44,Sele,Inflammatory-Mac,1.0,7791.896405239597,0.2610000578520167,0.6666666666666666,2.304667375646233,0.003019866288270641,17957.72943957086,0.0007881852759439923
Resolving-Mac,Rspo3,Sdc4,Inflammatory-Mac,0.3333333333333333,0.6842280842046734,0.004353869697645296,1.0,524.4991795371957,0.1771640882454312,358.87706878165847,0.00077134935532274
Resolving-Mac,Efna5,Epha8,Inflammatory-Mac,0.3333333333333333,0.3421140421023367,0.003091482340651422,0.6666666666666666,1.599877842968843,0.2384125451263349,0.5473406757280385,0.0007370481730478247
Resolving-Mac,Bdnf,Ngfr,Inflammatory-Mac,0.3333333333333333,0.2900639380719141,0.007253552202753234,1.0,24.969735250467,0.09424920575012634,7.242819739363547,0.0006836415339765717
Resolving-Mac,Ucn,Crhr2,Inflammatory-Mac,0.3333333333333333,0.6842280842046734,0.07274212881380715,0.3333333333333333,0.3523947663386933,0.008623146280404755,0.2411183958556776,0.0006272660175095048
Resolving-Mac,Rspo3,Lrp6,Inflammatory-Mac,0.3333333333333333,0.6842280842046734,0.004353869697645296,1.0,1527.521911965713,0.1426728563403471,1045.17339140496,0.0006211790258967378
Resolving-Mac,Glg1,Sele,Inflammatory-Mac,1.0,2849.3752986341497,0.2032944606492219,0.6666666666666666,2.304667375646233,0.003019866288270641,6566.862291734366,0.0006139220883067478
