Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Alb,Lrp2,M2,1.0,6.286435602380185,0.9485718584624367,0.3333333333333333,1.02634212630701,0.1521076226098214,6.452033683038969,0.1442850102653012
sCs,Gal,Galr3,M2,1.0,782.8918794951138,0.8546654492306532,0.3333333333333333,0.5801278761438267,0.1109496446021098,454.1774033017491,0.0948248278458435
sCs,Btla,Vtcn1,M2,1.0,36.42036055649665,0.1474450659418121,0.3333333333333333,1.1602557522876569,0.3767255762272947,42.256932836065715,0.0555463274288006
sCs,Col1a2,Gp6,M2,1.0,14171.697086027,0.0944247024198205,0.6666666666666666,5.171985952463675,0.4982559057164072,73295.81825150206,0.0470476656261899
sCs,Galp,Galr2,M2,0.5,0.5151566696447301,0.1076331044918244,1.0,31.94797181407973,0.3015199812845161,16.45821076164502,0.0324535316519692
sCs,Lgi1,Rtn4r,M2,0.5,2.4788489451527402,0.6516710609501232,0.6666666666666666,0.9742920222765874,0.0343189820486759,2.4151227516910483,0.0223646874423888
sCs,Ccl17,Ackr2,M2,1.0,13.304760171264551,0.4196854689058895,0.3333333333333333,0.3584828448539933,0.0448260133466469,4.769528276295019,0.0188128264305692
sCs,Fgf23,Fgfr3,M2,1.0,2.374293378509285,0.3948424472883258,1.0,12.752253831195722,0.0435731061201378,30.27759183247765,0.0172045118564291
sCs,Gnas,Lhcgr,M2,1.0,398.165839943656,0.2813315676634623,0.3333333333333333,1.368456168409347,0.0559356551050621,544.8724997207847,0.0157364655389898
sCs,Prok1,Prokr2,M2,1.0,5.46523339637765,0.6740902687814561,0.6666666666666666,3.3795717281937034,0.0232678290072156,18.470148274377962,0.0156846171094349
sCs,Nlgn3,Nrxn1,M2,1.0,60.44647638722965,0.4123966802718152,0.3333333333333333,0.3421140421023367,0.0365286925168388,20.67958836767859,0.0150643115286142
sCs,Ahsg,Insr,M2,0.5,1.030313339289455,0.0717777100435881,1.0,1110.293440105663,0.1988122067822887,1143.9501418664431,0.014270284931544999
sCs,Il19,Il20rb,M2,0.5,1.2394244725763701,0.1400200483643161,1.0,41.6791172537438,0.0895966310443986,51.6581179196701,0.0125453246121164
sCs,Galp,Galr3,M2,0.5,0.5151566696447301,0.1076331044918244,0.3333333333333333,0.5801278761438267,0.1109496446021098,0.2988567446423241,0.0119418546907896
sCs,Ccl12,Ccr3,M2,0.5,15.4928059072046,0.0192759724001459,1.0,19.43375132511742,0.6189473964920694,301.08333732892436,0.0119308129319233
sCs,Ccl25,Ackr2,M2,1.0,237.2692934159045,0.2604613634035791,0.3333333333333333,0.3584828448539933,0.0448260133466469,85.05697130023032,0.0116754445522147
sCs,Rtn4,Rtn4r,M2,1.0,6512.125256457744,0.3336246324041754,0.6666666666666666,0.9742920222765874,0.0343189820486759,6344.711685432656,0.0114496577704749
sCs,Il23a,Il23r,M2,1.0,19.308013728004642,0.0756604227268438,0.3333333333333333,1.0754485345619829,0.1452375525417483,20.76477506908525,0.0109887346211208
sCs,Il1rapl1,Ptprf,M2,1.0,5.05463229337638,1.0,0.6666666666666666,4.5456953638403235,0.0090134338609396,22.976818581918586,0.0090134338609396
