Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
sCs,Alb,Lrp2,sCs,1.0,6.286435602380185,0.9485718584624367,0.5,4.121253357157825,0.6107846830624051,25.907993830865806,0.579373161932896
sCs,Fgf23,Fgfr4,sCs,1.0,2.374293378509285,0.3948424472883258,1.0,1900.687743410855,0.9730150694827614,4512.790323794148,0.3841876512829939
sCs,Tac2,Tacr3,sCs,0.5,1.859136708864555,0.3006821715164255,1.0,4.9500767267329255,1.0,9.20286935436528,0.3006821715164255
sCs,Fgf23,Kl,sCs,1.0,2.374293378509285,0.3948424472883258,1.0,15.992720249704199,0.6159170576586911,37.97140979322404,0.2431901983725825
sCs,Hsp90aa1,Cftr,sCs,1.0,7845.510247406245,0.3107179384770987,0.5,1.030313339289455,0.7451416066020642,8083.333861434767,0.2315288638769067
sCs,Fgf23,Fgfr1,sCs,1.0,2.374293378509285,0.3948424472883258,1.0,1894.85429617608,0.3048288468565056,4498.940008650738,0.1203593678969009
sCs,Fgf23,Fgfr3,sCs,1.0,2.374293378509285,0.3948424472883258,1.0,52.28566174883975,0.1786545906395438,124.14150048124641,0.0705404157874114
sCs,Shh,Gpc5,sCs,0.5,0.5151566696447301,0.0557505048818443,1.0,2.6803389148671,0.5639956259178361,1.380794468902105,0.0314430408960711
sCs,Fgf23,Fgfr2,sCs,1.0,2.374293378509285,0.3948424472883258,1.0,13.92447240755275,0.0655253858539638,33.06078263648774,0.0258722037100909
sCs,Galp,Galr2,sCs,0.5,0.5151566696447301,0.1076331044918244,1.0,22.5928225520148,0.2132275398479508,11.638843223770289,0.0229503420769891
sCs,Insl3,Rxfp2,sCs,0.5,0.6197122362881851,0.0320603001492602,0.5,1.859136708864555,0.6516710609501228,1.1521297674159099,0.0208927698126478
sCs,Il19,Il20rb,sCs,0.5,1.2394244725763701,0.1400200483643161,1.0,47.95529725839504,0.10308838953874301,59.43696901172932,0.0144344412890142
sCs,Gdf15,Gfral,sCs,1.0,71.0196902219918,0.0446568775800405,1.0,4.128874520730379,0.3132599464725468,293.23138942774636,0.0139892110803545
sCs,Ccl12,Ccr4,sCs,0.5,15.4928059072046,0.0192759724001459,1.0,28.677768184680648,0.5367806077417964,444.2990963370646,0.0103469681797644
sCs,Ahsg,Insr,sCs,0.5,1.030313339289455,0.0717777100435881,1.0,695.651775846158,0.1245653263472679,716.7393041546944,0.0089410138760391
sCs,Il27,Il27ra,sCs,1.0,6.09256679623838,0.068445830564687,1.0,7.219814538598751,0.0519924076414513,43.98720233286587,0.0035586635240769
sCs,Ccl12,Ackr4,sCs,0.5,15.4928059072046,0.0192759724001459,1.0,14.238139107483152,0.1843785009938463,220.5887256720158,0.0035540748963376
sCs,B2m,Gm11127,sCs,1.0,4287.93693476336,0.0279190118473944,0.5,1.859136708864555,0.1200243030295706,7971.86096071472,0.0033509599382578
sCs,Matn1,Itgb1,sCs,0.5,0.6197122362881851,0.0144541495765339,1.0,5813.88339666613,0.1973964461016055,3602.934681266716,0.0028531977578288
