Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
FAPs,Cxcl5,Cxcr1,Resolving-Mac,0.0,442.48161043335153,0.029590427134019607,0.3333333333333333,3.827737313711317,0.7037774704477144,3620.078024542134,0.7054762493579027
FAPs,Cxcl1,Cxcr1,Resolving-Mac,0.0,415.65445057563187,0.06816685758425199,0.3333333333333333,3.827737313711317,0.7037774704477144,13584.036522814831,0.559839364079296
FAPs,Pth2,Pth2r,Resolving-Mac,0.3333333333333333,2.3558086356865866,0.6361675304860417,0.0,-5.7895922587056425,0.045176226049966295,3.648775887272047,0.23307006692797064
FAPs,Ccl20,Cxcr3,Resolving-Mac,0.33333333333333337,6.938368175470092,0.4030063986208161,0.0,-7.0839016191340605,0.04897731146852791,261.1385203143203,0.2227141488128509
FAPs,Ghrh,Vipr1,Resolving-Mac,0.0,2.249448260789133,0.34408947440132986,0.0,-69.31653723555391,-0.027072419522561564,291.9684015828524,0.1950855563231909
FAPs,Ccl20,Ackr4,Resolving-Mac,0.33333333333333337,6.938368175470092,0.4030063986208161,0.0,7.1204047592924,0.10832610357339267,144.26277764193986,0.15733422426522162
FAPs,Cxcl13,Cxcr3,Resolving-Mac,0.0,712.4933168662741,0.23615949091703514,0.0,-7.0839016191340605,0.04897731146852791,28620.95172423471,0.147984724352256
FAPs,Cxcl13,Ackr4,Resolving-Mac,0.0,712.4933168662741,0.23615949091703514,0.0,7.1204047592924,0.10832610357339267,12999.9562751667,0.13084856040352982
FAPs,Mmp13,Lrp1,Resolving-Mac,0.0,744.262117456648,0.3653961434490553,0.0,2998.2772247143293,0.0046514386203240785,24496851.03460297,0.12263718458899307
FAPs,Hp,Cd163,Resolving-Mac,0.0,239.22335727762425,0.15004634110548432,0.0,124.05205847324328,0.08048379347793683,120254.4862542884,0.12057612873024234
FAPs,Cd59b,Cd2,Resolving-Mac,0.0,-4.9272824787066405,0.0012877659596236546,0.6666666666666667,7.801643005674554,0.3380326912339741,191.40097620745644,0.1054842765730894
FAPs,Il7,Il7r,Resolving-Mac,0.0,34.113170204699095,0.1946570295035347,0.0,144.88523300501788,-0.006346606724744408,45145.4348761209,0.10403478873312973
FAPs,Ccl11,Ackr4,Resolving-Mac,0.0,442.99386956723686,0.0201116415716156,0.0,7.1204047592924,0.10832610357339267,13188.976392637856,0.1028024070134178
FAPs,Rarres2,Ccrl2,Resolving-Mac,0.0,140.3140775512553,0.16259260314084045,0.0,252.96634519409986,0.016714580723043326,227062.52792289414,0.09514788405724643
FAPs,Gnai2,Cxcr1,Resolving-Mac,0.0,211.73691565484023,0.005617690518632909,0.3333333333333333,3.827737313711317,0.7037774704477144,7978.119632408318,0.08621216807768492
FAPs,Penk,Oprm1,Resolving-Mac,0.0,281.58744889475736,0.01942021792222548,0.0,2.193458619996786,0.0822125308580614,7008.763448909992,0.08606046100672142
FAPs,Myoc,Fzd7,Resolving-Mac,0.0,314.5788352237134,0.2548129136021354,0.0,77.96920098585002,0.018205741433342082,151624.58381711575,0.0850816137337845
FAPs,Hp,Itgam,Resolving-Mac,0.0,239.22335727762425,0.15004634110548432,0.0,273.792664051598,0.02420989464143292,383061.40288465907,0.0844434975496983
FAPs,Cfh,Itgam,Resolving-Mac,0.0,1141.559187260922,0.15235974510163613,0.0,273.792664051598,0.02420989464143292,1799887.4347649957,0.0815690640474038
FAPs,Pth2,Pth1r,Resolving-Mac,0.3333333333333333,2.3558086356865866,0.6361675304860417,0.0,-17.379942371663326,-0.003017196223469798,71.99292237142464,0.0789093511872345
FAPs,Il5,Il5ra,Resolving-Mac,0.0,-1.7413918789333158,-0.15982452501288236,0.0,1.0998261492517234,0.18026246523620293,0.5011826925555312,0.07851559658432701
FAPs,Clec4g,Lag3,Resolving-Mac,0.3333333333333333,3.6112976118312328,0.2906157386903757,0.0,-86.82587297802691,-0.009754628903955065,1249.4590793491263,0.07804941038301236
FAPs,Spon2,Itgam,Resolving-Mac,0.0,28.781744829936017,0.13047847639365429,0.0,273.792664051598,0.02420989464143292,63280.268541271835,0.07671478188817721
FAPs,Cxcl12,Cxcr3,Resolving-Mac,0.0,9534.653893783412,0.10902278967372414,0.0,-7.0839016191340605,0.04897731146852791,335278.7744482179,0.07406163800350328
FAPs,Shh,Lrp2,Resolving-Mac,0.3333333333333333,4.299234430232329,0.3375251078718085,0.0,0.6896138918647168,0.0735677432198377,5.54221077235458,0.0737802831966963
FAPs,Cadm3,Cadm1,Resolving-Mac,0.0,134.79059075477699,0.129692154739823,0.0,-10.28097141814817,-0.014257180157661862,75371.82006626231,0.07366235133027801
FAPs,Amelx,Lamp1,Resolving-Mac,0.0,-3.1157385413070173,0.152723355953283,0.0,1046.5702581564399,-0.0017240172343779279,10901.389623671188,0.07166993935329352
FAPs,Cxcl13,Ccr10,Resolving-Mac,0.0,712.4933168662741,0.23615949091703514,0.0,1.943320712158223,0.059784111968997265,4012.3421047847582,0.07049567510135313
FAPs,Lefty2,Acvr2b,Resolving-Mac,0.0,0.6814829942071694,0.1979283123983091,0.0,-0.3221461204273979,0.044066094723610894,21.72086737073721,0.06936162652148191
FAPs,Lcn2,Lrp2,Resolving-Mac,0.0,23.62287036473948,0.18550307944367608,0.0,0.6896138918647168,0.0735677432198377,36.80171631934692,0.067397805882076
FAPs,Guca2b,Gucy2e,Resolving-Mac,-0.33333333333333337,-2.5975758127856476,-0.06011633953359612,-0.33333333333333337,2.875623903018747,0.3124261853355628,6.1087494858905815,0.06456073749045789
FAPs,Agt,Lrp2,Resolving-Mac,0.0,21.316917442500113,0.021399212126731904,0.0,0.6896138918647168,0.0735677432198377,73.18042245434499,0.06380411791465146
FAPs,Rarres2,Cmklr1,Resolving-Mac,0.0,140.3140775512553,0.16259260314084045,0.0,94.91520666421707,-0.014766636529971122,290259.58061923,0.0629736218103239
FAPs,Spon2,Itga4,Resolving-Mac,0.0,28.781744829936017,0.13047847639365429,0.0,-917.9400119600597,-0.002396826898243276,146901.27535002667,0.061105545396719925
FAPs,Sectm1a,Cd7,Resolving-Mac,-0.33333333333333337,0.4158731574313457,0.0427108866492405,0.0,4.6543647362609315,0.17302610316636452,51.40762491127396,0.06107693960043194
FAPs,C3,Itgam,Resolving-Mac,0.0,11985.745370097646,0.08815354308227741,0.0,273.792664051598,0.02420989464143292,18135856.75366187,0.05954413950765303
FAPs,Hp,Itgb2,Resolving-Mac,0.0,239.22335727762425,0.15004634110548432,0.0,458.03238972291365,-0.02199518741701123,1059084.264282702,0.05867230829092629
FAPs,Fgf2,Sdc3,Resolving-Mac,0.0,216.16072901074043,0.12064337360437385,0.0,610.9294600015146,0.018355497698111237,1626438.4233035613,0.05838071131181932
FAPs,Wnt10b,Fzd7,Resolving-Mac,0.0,6.559526566172098,0.170569221315041,0.0,77.96920098585002,0.018205741433342082,3929.630736843674,0.05774853367058519
FAPs,Wnt2,Fzd7,Resolving-Mac,0.33333333333333337,8.589629431028051,0.1480264137365277,0.0,77.96920098585002,0.018205741433342082,4069.103033690773,0.05741431925127161
FAPs,Calca,Ramp1,Resolving-Mac,0.3333333333333333,4.076744881314286,0.1597668594357875,0.0,-35.15091947916929,-0.05441991273913949,476.48961447817254,0.05736409075246679
FAPs,Il7,Il2rg,Resolving-Mac,0.0,34.113170204699095,0.1946570295035347,0.0,104.81273352287495,-0.031136012164119983,30924.632189540785,0.05487992222039224
FAPs,Ccl11,Cxcr3,Resolving-Mac,0.0,442.99386956723686,0.0201116415716156,0.0,-7.0839016191340605,0.04897731146852791,12715.067700501604,0.05404428710986536
FAPs,Wnt6,Fzd7,Resolving-Mac,0.6666666666666667,1.334536417766249,0.1812491558396911,0.0,77.96920098585002,0.018205741433342082,678.5377682922738,0.053623486965641266
FAPs,Edn2,Ednrb,Resolving-Mac,0.33333333333333337,2.4014013314327167,0.3566727658022452,0.0,103.775126324579,0.03263916413569333,819.1472600656267,0.0529915934055401
FAPs,Pros1,Mertk,Resolving-Mac,0.0,1018.5170616316271,0.09406980167217473,0.0,-597.8284020229497,-0.002570644308014791,2240333.2630005293,0.052751382186350115
FAPs,Cxcl12,Cxcr4,Resolving-Mac,0.0,9534.653893783412,0.10902278967372414,0.0,135.49135512983142,-0.0044755179126979025,63650397.05803277,0.05182766502085201
FAPs,Col5a3,Sdc3,Resolving-Mac,0.0,68.10131904043054,0.10458682422732046,0.0,610.9294600015146,0.018355497698111237,2168317.028722979,0.05151268314997137
FAPs,Cxcl12,Itga4,Resolving-Mac,0.0,9534.653893783412,0.10902278967372414,0.0,-917.9400119600597,-0.002396826898243276,70070810.17907278,0.05115806294297179
FAPs,Il13,Il2rg,Resolving-Mac,0.0,-0.6197108400125906,0.18852923536741584,0.0,104.81273352287495,-0.031136012164119983,109.07306939188948,0.050242093609159384
FAPs,Icos,Icosl,Resolving-Mac,0.3333333333333333,3.0678121994796115,0.10937546693358699,0.0,117.25017909730104,0.07488666997292387,1542.3255415305068,0.04946658017941306
FAPs,C3,Itgax,Resolving-Mac,0.0,11985.745370097646,0.08815354308227741,0.0,-75.82114217604294,0.0004694414467748542,28082460.07585323,0.049142426406860895
FAPs,Serpine1,Lrp2,Resolving-Mac,0.0,812.4195032502997,0.10004190652351053,0.0,0.6896138918647168,0.0735677432198377,2960.9993006954132,0.0483870310431016
FAPs,Spon2,Itgb2,Resolving-Mac,0.0,28.781744829936017,0.13047847639365429,0.0,458.03238972291365,-0.02199518741701123,156184.18331893696,0.048037379989906585
FAPs,C3,C3ar1,Resolving-Mac,0.0,11985.745370097646,0.08815354308227741,0.0,29.732331741966853,-0.006598024634543731,177914741.433433,0.047695013693134565
FAPs,Shank1,Sstr2,Resolving-Mac,0.0,-22.602914398829316,0.05784011528343502,0.0,3.5643023759989716,0.0566694080846952,152.6599249815988,0.047648707775248884
