Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Cort,Sstr1,ECs,0.3333333333333333,1.9757837812883532,0.19291491664807284,0.0,10.508989309437467,0.10552400723133626,41.76139445701206,0.17133526096366944
Inflammatory-Mac,Cort,Sstr4,ECs,0.3333333333333333,1.9757837812883532,0.19291491664807284,0.0,-28.306498437994605,-0.06228158400009265,132.20038519199505,0.13959062197319055
Inflammatory-Mac,a,F11r,ECs,0.3333333333333333,0.9986543935181698,0.19566009202653464,0.0,-8.203423985082964,-0.002069215378749823,1406.0001624793522,0.13192381364695616
Inflammatory-Mac,Slit1,Robo2,ECs,0.0,-7.865477831125253,0.020438002730532312,0.0,61.29095410099036,0.6880364012076848,2294.5169722485707,0.1089801824376747
Inflammatory-Mac,Alcam,L1cam,ECs,0.0,367.3494517298332,0.04031109202077249,0.0,248.9269136074357,0.1786653378075947,549351.9473568436,0.10727738492656592
Inflammatory-Mac,Ihh,Ptch1,ECs,0.3333333333333333,1.4215352062897881,0.20490039074002653,0.0,81.97406898314226,0.015051088779518941,1011.7971190549797,0.09410791583775803
Inflammatory-Mac,Adm2,Ramp3,ECs,0.0,-0.034025650400683394,0.15350903795679047,0.0,11.373330383785,0.3819036332644409,7.9709506124404825,0.09130618109172572
Inflammatory-Mac,Npy,Prlhr,ECs,-0.33333333333333337,-2.01967946329327,-0.0519942772461565,0.3333333333333333,4.0343788726104055,0.7731323013797702,14.54072399044282,0.08730755229571327
Inflammatory-Mac,Il27,Il27ra,ECs,0.0,17.847560662427327,0.1035147542629386,0.0,-9.500337102871967,0.0592163689081554,944.6265339090488,0.07315508377271801
Inflammatory-Mac,Ihh,Ptch2,ECs,0.3333333333333333,1.4215352062897881,0.20490039074002653,0.0,-10.345717602657345,0.019237636208472183,340.268343517079,0.06458631595788422
Inflammatory-Mac,Wnt3,Fzd8,ECs,0.0,5.744715093490883,0.25478354453804897,0.0,9.115466728424678,0.0425924528700683,1226.8044712174753,0.06248752737052656
Inflammatory-Mac,Ahsg,Insr,ECs,0.0,2.31732243520546,0.13605290134457595,0.0,-64.19635348670728,0.009871800210930816,5050.383491652184,0.05376196829538316
Inflammatory-Mac,a,Mc5r,ECs,0.3333333333333333,0.9986543935181698,0.19566009202653464,0.0,-5.932532056245974,0.07101449593997393,44.784358788334686,0.05353685274892524
Inflammatory-Mac,Slpi,Plscr1,ECs,0.0,10.944541497798381,-0.025840461960588142,0.0,189.72112510579743,0.12711910968294568,8371.321732158309,0.053276964830403915
Inflammatory-Mac,a,Atrn,ECs,0.3333333333333333,0.9986543935181698,0.19566009202653464,0.0,87.00910065813605,0.0210041681174431,1164.6484496521389,0.0527071531257086
Inflammatory-Mac,Hcrt,Hcrtr1,ECs,0.6666666666666667,2.532510901092211,0.08577926969955005,0.0,-5.131051001562373,-0.006015270796151384,62.18077613930811,0.05051835267286271
Inflammatory-Mac,Tnfsf13,Fas,ECs,0.0,18.839334188050024,0.057578556183526086,0.0,87.92173976224888,0.0980266391536839,7350.711794723971,0.050516777797262366
Inflammatory-Mac,Alcam,Cd6,ECs,0.0,367.3494517298332,0.04031109202077249,0.3333333333333333,2.4846266523955465,0.08964176952377853,5134.203600004144,0.04963317046686375
Inflammatory-Mac,Efnb3,Rhbdl2,ECs,0.0,1.3803077490698392,0.0524204933480419,0.0,12.459808192800507,0.005489566652967515,141.62980505938964,0.04748138418349285
Inflammatory-Mac,Angpt4,Tek,ECs,-0.33333333333333337,3.738789377150826,0.050727791576703526,0.0,-2.657026674750341,0.009121589679380482,16464.314063801023,0.04712965845132948
Inflammatory-Mac,Fasl,Fas,ECs,0.0,1.9284132504649316,0.12661311670068648,0.0,87.92173976224888,0.0980266391536839,868.469083754982,0.04642725862611227
Inflammatory-Mac,a,Mc1r,ECs,0.3333333333333333,0.9986543935181698,0.19566009202653464,0.0,4.16368213358993,0.0475341695406202,33.133619109813026,0.044950065291042604
Inflammatory-Mac,Agrp,Mc5r,ECs,0.0,5.761407011997919,0.10942877770953573,0.0,-5.932532056245974,0.07101449593997393,203.88835508658428,0.04342254121490663
Inflammatory-Mac,Efnb3,Ephb4,ECs,0.0,1.3803077490698392,0.0524204933480419,0.0,-536.3540062105967,0.018491958745683323,299.08580309599887,0.04329688244161471
Inflammatory-Mac,Spon1,Lrp8,ECs,0.0,340.49723889715096,0.03009255393238547,0.0,33.72848351709687,0.08587729012809467,65541.17726068258,0.042624277233631706
Inflammatory-Mac,Wnt3,Ryk,ECs,0.0,5.744715093490883,0.25478354453804897,0.0,-7.306124605022262,0.00602296665872909,2096.480267332218,0.041220381754222636
Inflammatory-Mac,Cort,Ghsr,ECs,0.3333333333333333,1.9757837812883532,0.19291491664807284,0.0,-1.7427628620429731,-0.011148744199992287,89.88350986487465,0.040011473676619135
Inflammatory-Mac,Ifnb1,Ifnar1,ECs,0.3333333333333333,2.10660336946183,0.28781140612132017,0.0,-159.36625346339315,-0.027698164693336413,2276.968287794813,0.03991042593184319
Inflammatory-Mac,Il5,Il5ra,ECs,0.0,0.24485635064632305,0.06646037137814019,0.0,1.172172493097617,0.17543737184820107,1.460836183023285,0.03884895813543775
Inflammatory-Mac,Ifnb1,Ifnar2,ECs,0.3333333333333333,2.10660336946183,0.28781140612132017,0.0,21.427191262571228,0.004372390128648596,1033.078570156907,0.03727106320344502
