Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Inflammatory-Mac,Galp,Galr3,FAPs,-0.3333333333333333,-0.2971225849219901,0.19728293552527626,0.33333333333333337,2.989638783584524,0.5181879788130123,4.505543453030086,0.23833296895869804
Inflammatory-Mac,a,Mc2r,FAPs,0.3333333333333333,0.9986543935181698,0.19566009202653464,0.0,5.722762267312031,0.4530242830267101,13.225561282773564,0.2348401919063423
Inflammatory-Mac,Wnt3,Fzd1,FAPs,0.0,5.744715093490883,0.25478354453804897,0.0,390.2413304389994,0.0113787792874529,8785.922593773232,0.21357569466431556
Inflammatory-Mac,Ihh,Boc,FAPs,0.3333333333333333,1.4215352062897881,0.20490039074002653,0.0,142.57296231414918,0.08193115374956184,2066.383208903026,0.16567357087413614
Inflammatory-Mac,Wnt3,Fzd8,FAPs,0.0,5.744715093490883,0.25478354453804897,0.0,-118.50189477538737,-0.03381581021502112,2645.3557852581657,0.1433941679155433
Inflammatory-Mac,Cort,Sstr3,FAPs,0.3333333333333333,1.9757837812883532,0.19291491664807284,0.0,19.556144698126896,0.18469950306627048,121.86718852534668,0.1406698155150011
Inflammatory-Mac,F7,F3,FAPs,0.0,49.45351413015685,0.1327962306644853,0.0,377.05713850370523,0.03546834896016704,90002.97434680168,0.13519898726708593
Inflammatory-Mac,Ihh,Hhip,FAPs,0.3333333333333333,1.4215352062897881,0.20490039074002653,0.0,22.03169377387953,0.048982729308482915,78.22910752092623,0.1318193422548666
Inflammatory-Mac,Cort,Ghsr,FAPs,0.3333333333333333,1.9757837812883532,0.19291491664807284,0.0,35.316022703920744,0.154645252664234,274.3998509019387,0.12095257124938162
Inflammatory-Mac,F10,F3,FAPs,0.0,179.62002347898698,0.09880165298856323,0.0,377.05713850370523,0.03546834896016704,383106.6021484385,0.11732071094660612
Inflammatory-Mac,Wnt3,Ryk,FAPs,0.0,5.744715093490883,0.25478354453804897,0.0,99.70753997643942,0.0645306405231047,5680.24780129309,0.10907702026873176
Inflammatory-Mac,Gpha2,Tshr,FAPs,0.33333333333333337,2.210078184005289,0.2339021270834225,0.0,-41.43374033173922,-0.05623684139233026,123.58063880525269,0.1034559910118209
Inflammatory-Mac,a,Mc5r,FAPs,0.3333333333333333,0.9986543935181698,0.19566009202653464,0.0,-59.348253203905394,-0.009836549539559869,52.01682694914628,0.0915579804947462
Inflammatory-Mac,Wnt3,Lrp6,FAPs,0.0,5.744715093490883,0.25478354453804897,0.0,123.83925459627017,0.0383412999201696,21485.504301746943,0.08973369817781952
