Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M1,Cxcl2,Cxcr1,M2,0.0,181.573503188463,-0.0011404366141816724,0.3333333333333333,3.827737313711317,0.7037774704477145,6696.667549202523,0.2889903504541204
M1,Cd48,Cd2,M2,0.0,-127.44659207826705,-0.013907368220316962,0.6666666666666667,7.801643005674556,0.3380326912339741,13121.454935977255,0.1659782746519743
M1,Cort,Mrgprb1,M2,0.3333333333333333,1.9757837812883532,0.1929149166480729,0.3333333333333333,3.8446164011850703,-0.12980860607611422,9.68166340020286,0.16409410569991098
M1,Gnai2,Cxcr1,M2,0.0,223.1347008310868,0.00017069054781718165,0.3333333333333333,3.827737313711317,0.7037774704477145,14441.020377580327,0.15439166428265189
M1,Tnfsf4,Tnfrsf4,M2,0.0,-0.640307694387547,0.5448153958726807,0.0,5.234065816187732,0.06257508302653769,6.960644571409155,0.1350214539281383
M1,Alcam,Cd6,M2,0.0,367.34945172983294,0.04031109202077249,0.0,2.4075998049605296,0.18815355959403327,8485.030533536501,0.10902134215922953
M1,Sectm1a,Cd7,M2,0.0,3.23861397327102,0.1427261674144598,0.0,4.6543647362609315,0.17302610316636452,109.53828570829998,0.1038466772759957
M1,Ifnb1,Ifnar2,M2,0.3333333333333333,2.10660336946183,0.28781140612132017,0.0,-9.5980325681669,-0.006029736127345421,2868.745468737192,0.09977111082656508
M1,Epcam,Epcam,M2,-0.33333333333333337,-4.063431623094027,-0.3831674708562592,0.0,1.4388069023539265,0.2728739972859987,1.900795632873728,0.09504737551628628
M1,Wnt3,Fzd7,M2,0.0,5.744715093490883,0.25478354453804913,0.0,77.96920098584997,0.018205741433342082,2748.190208373079,0.07435990985103301
M1,Ifnb1,Ifnar1,M2,0.3333333333333333,2.10660336946183,0.28781140612132017,0.0,-6.688728739526142,-0.006475370459652019,3745.782201032394,0.0737646876909231
