Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
M2,Apoe,Lrp2,sCs,0.0,-8928.365388279999,0.0496469277565319,-0.16666666666666663,3.2370463220356576,0.4045485947543089,258750.084819849,0.2833513952527855
M2,Colq,Musk,sCs,0.3333333333333333,5.404098963325157,0.2775719904113649,0.0,-61.509835359752635,-0.026801674594252426,5107.159277255836,0.2253987842306535
M2,Npy,Npy1r,sCs,0.0,0.4649470945449288,0.0620003203463475,0.0,49.73586945045965,0.11920367052161995,1457.378320277535,0.1487770321759071
M2,Nrg2,Erbb3,sCs,0.0,10.695678083655556,0.20593979861938214,0.0,94.6852448184683,0.001008147108131241,6583.429606122865,0.1482647421015073
M2,Lpl,Lrp2,sCs,0.0,1885.007231122976,-0.009019206915029221,-0.16666666666666663,3.2370463220356576,0.4045485947543089,21302.254446612085,0.1444522135977861
M2,Epo,Epor,sCs,0.0,1.4265751782587657,0.5294673067227889,0.0,-10.81500513269294,0.011423947052886796,13.23251508410032,0.14356728484390732
M2,Ccl22,Ccr4,sCs,0.0,4.927614437789373,0.1604530082666627,0.0,9.407027388557182,0.11320444398284008,396.96295318625437,0.13542009201058489
M2,Sost,Lrp4,sCs,-0.33333333333333337,0.9842751977452072,0.2534352565516969,0.0,157.74165836302257,0.1009636758713659,944.9511688317928,0.1283899209213061
M2,Icosl,Icos,sCs,0.0,117.25017909730104,0.07488666997292376,0.33333333333333337,7.373542006338598,0.2634114565806235,3717.433103685848,0.1193218443162324
M2,Lrpap1,Lrp2,sCs,0.0,31.872729008918785,-0.012824550989153694,-0.16666666666666663,3.2370463220356576,0.4045485947543089,2184.3263887890025,0.1146760783437047
M2,Cfp,Ncr1,sCs,0.0,166.2667832853409,-0.025312358917069618,0.16666666666666669,2.471552338036685,0.21466089215877127,2541.559997486885,0.11106765948176132
M2,Plau,Lrp2,sCs,0.0,646.7134616863636,-0.02375565122880313,-0.16666666666666663,3.2370463220356576,0.4045485947543089,9433.923705243338,0.1060026811466104
M2,Ccl5,Ccr4,sCs,0.0,82.43208593512739,0.14818815982835068,0.0,9.407027388557182,0.11320444398284008,3098.518806788994,0.104537131935315
M2,Tg,Lrp2,sCs,0.0,-10.185348343473274,0.0248016298594661,-0.16666666666666663,3.2370463220356576,0.4045485947543089,83.69281608346913,0.09325612109718028
