Sending cluster,Ligand symbol,Receptor symbol,Target cluster,Delta ligand detection rate,Delta ligand average expression value,Delta ligand derived specificity of average expression value,Delta receptor detection rate,Delta receptor average expression value,Delta receptor derived specificity of average expression value,Edge delta average expression weight,Edge delta average expression derived specificity
Resolving-Mac,Icosl,Ctla4,Inflammatory-Mac,0.0,117.25017909730104,0.07488666997292387,0.0,3.5071723156961725,0.3964306638106014,2142.5011305496487,0.2044759206211506
Resolving-Mac,Epo,Crlf3,Inflammatory-Mac,0.0,1.4265751782587657,0.5294673067227889,0.0,37.345584815273575,-0.011089170761947265,1305.3928267141498,0.2039112274187888
Resolving-Mac,Cd2,Cd48,Inflammatory-Mac,0.6666666666666667,7.801643005674554,0.3380326912339741,0.0,-127.44659207826705,-0.013907368220317018,13121.454935977255,0.16597827465197412
Resolving-Mac,Cd86,Ctla4,Inflammatory-Mac,0.0,-408.97373388541655,-0.024012939479594708,0.0,3.5071723156961725,0.3964306638106014,6990.452402081981,0.1642172457207063
Resolving-Mac,B2m,Gm11127,Inflammatory-Mac,0.0,7575.6791931819325,-0.002943389319537193,0.33333333333333337,6.6707118079367085,0.3995918499476429,399708.6089191935,0.14612551993364814
Resolving-Mac,Camp,Fpr2,Inflammatory-Mac,0.0,1.983033396616224,0.15284271384861653,0.0,129.55577741245995,0.20438665653854804,540.9676140852097,0.12188870989169065
Resolving-Mac,Cd80,Ctla4,Inflammatory-Mac,0.0,-138.90037676952298,-0.03709580998160023,0.0,3.5071723156961725,0.3964306638106014,803.2269468778122,0.11715149887196367
Resolving-Mac,Cd6,Alcam,Inflammatory-Mac,0.0,2.407599804960526,0.18815355959403327,0.0,367.3494517298332,0.04031109202077249,8485.030533536501,0.10902134215922944
Resolving-Mac,Ccl5,Ccr1,Inflammatory-Mac,0.0,82.4320859351274,0.14818815982835054,0.0,-116.91913177123138,-0.016496450755629555,72868.53589429871,0.1028153592984524
Resolving-Mac,Epcam,Epcam,Inflammatory-Mac,0.0,1.4388069023539265,0.2728739972859985,-0.33333333333333337,-4.063431623094027,-0.3831674708562593,1.9007956328737283,0.0950473755162862
Resolving-Mac,Ccl5,Ccr5,Inflammatory-Mac,0.0,82.4320859351274,0.14818815982835054,0.0,782.0315212655732,0.022332207889383504,655265.9304399624,0.09187036381807992
Resolving-Mac,Pdcd1lg2,Pdcd1,Inflammatory-Mac,0.0,1.176798342015548,0.0905205712207344,0.0,5.688946192839928,0.05178417814695191,58.410938256350214,0.0914707728233652
Resolving-Mac,Epo,Epor,Inflammatory-Mac,0.0,1.4265751782587657,0.5294673067227889,0.33333333333333337,-4.669402636476993,0.020002400609596797,7.5646879195173184,0.07944646778180914
Resolving-Mac,Lta,Tnfrsf14,Inflammatory-Mac,0.33333333333333337,4.408646866891153,0.16837799858039004,0.0,54.856007280631616,0.03854066009450907,2029.370296380546,0.07721670257767355
Resolving-Mac,Il2,Il2ra,Inflammatory-Mac,0.0,0.797428665376311,0.08676211562562808,0.0,7.466271777363198,0.07064914208928652,71.35439713233342,0.07539043544979243
Resolving-Mac,Csf3,Csf3r,Inflammatory-Mac,0.0,0.8261392003355104,0.1479833260026115,0.0,-165.60196727915582,-0.0356030520641033,1432.3976109462199,0.07510696512784641
Resolving-Mac,Lta,Tnfrsf1b,Inflammatory-Mac,0.33333333333333337,4.408646866891153,0.16837799858039004,0.0,160.81407731939268,-0.0019875453276697037,23204.6245922988,0.06837191021482307
Resolving-Mac,Ccl5,Cxcr3,Inflammatory-Mac,0.0,82.4320859351274,0.14818815982835054,0.0,-16.018480908901168,-0.02681400639174969,2245.69879897306,0.0683007892495008
Resolving-Mac,Ccl5,Ccr3,Inflammatory-Mac,0.0,82.4320859351274,0.14818815982835054,0.0,4.516175530762585,0.04788728798220848,1338.8903523430072,0.06703975372045434
Resolving-Mac,Gip,Dpp4,Inflammatory-Mac,0.33333333333333337,2.8941116737146317,0.10772762549253397,0.0,-102.97940482017223,-0.061295734535588335,1943.86628970988,0.06535775780924835
Resolving-Mac,Psap,Gpr37l1,Inflammatory-Mac,0.0,5209.383575743108,-0.000963858240129567,-0.33333333333333337,3.511688595595765,0.10699353240228683,388573.31267540046,0.061947930254464524
Resolving-Mac,Slamf1,Slamf1,Inflammatory-Mac,0.33333333333333337,9.575638244871481,0.5613191613058893,0.0,-3.159109482615463,-0.2404754595948524,20.83305429686324,0.0607566566768066
Resolving-Mac,Il12b,Il12rb1,Inflammatory-Mac,0.0,7.1629042902472655,0.15013021606098664,0.0,16.315114273726273,0.04876385494637883,840.0340037158348,0.06071977720820694
Resolving-Mac,Spp1,Itga4,Inflammatory-Mac,0.0,11775.80378123511,0.12816643728460464,0.0,-1062.709524310325,-0.008212988733510895,79739039.18284398,0.059347291583331525
Resolving-Mac,App,Fpr2,Inflammatory-Mac,0.0,906.2979281786756,0.02008913101349649,0.0,129.55577741245995,0.20438665653854804,844850.5255672466,0.05398222746643598
Resolving-Mac,Cel,Cxcr4,Inflammatory-Mac,0.33333333333333337,9.216549812327859,0.12605206779721295,0.0,261.4801636107877,0.0073540081423463235,53221.16864006231,0.05385683386580215
Resolving-Mac,Cd40lg,Cd40,Inflammatory-Mac,0.0,-1.8521831046328463,0.05710796039679419,0.0,196.57917876780635,0.09435777491992108,80.51582102578914,0.051898475792185685
Resolving-Mac,Guca2a,Gucy2c,Inflammatory-Mac,0.0,1.2631621626164486,0.045905075379858926,0.0,0.6406393720636387,0.17103459249329903,60.1465332732879,0.05105736605291069
Resolving-Mac,Il2,Cd53,Inflammatory-Mac,0.0,0.797428665376311,0.08676211562562808,0.0,380.30504789704077,0.003773053274963689,6973.585050010697,0.04792715208836501
Resolving-Mac,Tnfsf13b,Tnfrsf13b,Inflammatory-Mac,0.0,41.24194531680222,0.1001125961719146,0.0,-36.865468746018344,-0.02933078157624885,17652.95995885005,0.04556429871406946
Resolving-Mac,Ltb,Cd40,Inflammatory-Mac,0.0,-11.219315635342202,0.002658482342452973,0.0,196.57917876780635,0.09435777491992108,8671.843078898379,0.043981261579390224
Resolving-Mac,Lta,Tnfrsf1a,Inflammatory-Mac,0.33333333333333337,4.408646866891153,0.16837799858039004,0.0,67.3123895097001,0.0009664289922637348,7552.512912726466,0.04272742084709253
Resolving-Mac,Il2,Il2rg,Inflammatory-Mac,0.0,0.797428665376311,0.08676211562562808,0.0,258.71519141029097,0.02193563906963553,1788.7918959565134,0.04199922780991089
